x,y
"2016/01/04",57.651
"2016/01/05",57.201
"2016/01/06",55.19
"2016/01/07",52.98
"2016/01/08",52.01
"2016/01/11",51.35
"2016/01/12",52.3
"2016/01/13",50.271
"2016/01/14",50.76
"2016/01/15",50.48
"2016/01/19",48.451
"2016/01/20",47.75
"2016/01/21",48.491
"2016/01/22",50.23
"2016/01/25",48.66
"2016/01/26",48.62
"2016/01/27",47.07
"2016/01/28",44.341
"2016/01/29",46.291
"2016/02/01",47.901
"2016/02/02",45.811
"2016/02/03",47
"2016/02/04",47.091
"2016/02/05",36.23
"2016/02/08",31.921
"2016/02/09",31.921
"2016/02/10",31.64
"2016/02/11",30.861
"2016/02/12",31.32
"2016/02/16",32.241
"2016/02/17",34.521
"2016/02/18",33.741
"2016/02/19",34.841
"2016/02/22",35.92
"2016/02/23",35.241
"2016/02/24",36.581
"2016/02/25",38.53
"2016/02/26",41.51
"2016/02/29",43.6
"2016/03/01",45.991
"2016/03/02",44.971
"2016/03/03",46.14
"2016/03/04",46.25
"2016/03/07",46.69
"2016/03/08",45.341
"2016/03/09",46.831
"2016/03/10",46.1
"2016/03/11",47.951
"2016/03/14",47.14
"2016/03/15",46.12
"2016/03/16",47.831
"2016/03/17",47.271
"2016/03/18",47.76
"2016/03/21",47.581
"2016/03/22",48.3
"2016/03/23",47.131
"2016/03/24",47.771
"2016/03/28",46.951
"2016/03/29",48.91
"2016/03/30",48.6
"2016/03/31",48.931
"2016/04/01",49.46
"2016/04/04",49.331
"2016/04/05",48.021
"2016/04/06",49.51
"2016/04/07",48.39
"2016/04/08",49.491
"2016/04/11",48.73
"2016/04/12",47.791
"2016/04/13",49.591
"2016/04/14",49.42
"2016/04/15",49.87
"2016/04/18",49.66
"2016/04/19",48.73
"2016/04/20",49.71
"2016/04/21",51.57
"2016/04/22",51.811
"2016/04/25",51.811
"2016/04/26",51.651
"2016/04/27",53.03
"2016/04/28",52.41
"2016/04/29",51.98
"2016/05/02",52.71
"2016/05/03",51.01
"2016/05/04",48.87
"2016/05/05",47.741
