x,y
"2017/01/03",13.811
"2017/01/04",14.25
"2017/01/05",14.561
"2017/01/06",15
"2017/01/09",15.061
"2017/01/10",14.91
"2017/01/11",14.9
"2017/01/12",14.74
"2017/01/13",14.75
"2017/01/17",14.69
"2017/01/18",14.641
"2017/01/19",14.73
"2017/01/20",14.891
"2017/01/23",14.61
"2017/01/24",14.66
"2017/01/25",14.601
"2017/01/26",14.41
"2017/01/27",14.53
"2017/01/30",14.45
"2017/01/31",14.62
"2017/02/01",14.36
"2017/02/02",14.36
"2017/02/03",14.28
"2017/02/06",14.4
"2017/02/07",14.4
"2017/02/08",14.471
"2017/02/09",14.73
"2017/02/10",14.61
"2017/02/13",14.5
"2017/02/14",14.33
"2017/02/15",14.311
"2017/02/16",13.891
"2017/02/17",14.471
"2017/02/21",14.631
"2017/02/22",15.04
"2017/02/23",17.15
"2017/02/24",17.431
"2017/02/27",17.931
"2017/02/28",17.32
"2017/03/01",17.22
"2017/03/02",16.99
"2017/03/03",16.89
"2017/03/06",16.861
"2017/03/07",16.761
"2017/03/08",16.83
"2017/03/09",17.07
"2017/03/10",16.91
"2017/03/13",16.931
"2017/03/14",16.771
"2017/03/15",16.951
"2017/03/16",17.21
"2017/03/17",17.281
"2017/03/20",17.24
"2017/03/21",16.511
"2017/03/22",16.41
"2017/03/23",16.611
"2017/03/24",16.591
"2017/03/27",17.25
"2017/03/28",17.23
"2017/03/29",17.22
"2017/03/30",17.32
"2017/03/31",17.281
"2017/04/03",17.031
"2017/04/04",17.041
"2017/04/05",16.75
"2017/04/06",17
"2017/04/07",16.691
"2017/04/10",16.99
"2017/04/11",16.921
"2017/04/12",17.3
"2017/04/13",16.921
"2017/04/17",17.08
"2017/04/18",16.98
"2017/04/19",17.201
"2017/04/20",17.71
"2017/04/21",17.49
"2017/04/24",17.851
"2017/04/25",18.22
"2017/04/26",18.08
"2017/04/27",18.23
"2017/04/28",18.24
"2017/05/01",18.611
"2017/05/02",18.81
"2017/05/03",18.281
"2017/05/04",19.9
"2017/05/05",19.781
"2017/05/08",19.56
"2017/05/09",19.8
"2017/05/10",19.951
"2017/05/11",19.71
"2017/05/12",20.08
"2017/05/15",20.25
"2017/05/16",20.341
"2017/05/17",19.56
"2017/05/18",19.681
"2017/05/19",19.91
"2017/05/22",20.951
"2017/05/23",21.64
"2017/05/24",21.921
"2017/05/25",22.33
"2017/05/26",22.33
"2017/05/30",22.74
"2017/05/31",22.99
"2017/06/01",23.23
"2017/06/02",23.201
"2017/06/05",23.39
"2017/06/06",24.21
"2017/06/07",24.291
"2017/06/08",24.781
"2017/06/09",23.031
"2017/06/12",23.601
"2017/06/13",23.48
"2017/06/14",23.47
"2017/06/15",23.99
"2017/06/16",23.56
"2017/06/19",24.201
"2017/06/20",23.851
"2017/06/21",24.16
"2017/06/22",24.281
"2017/06/23",24.171
"2017/06/26",23.931
"2017/06/27",23.32
"2017/06/28",24.3
"2017/06/29",23.4
"2017/06/30",23.46
"2017/07/03",22.83
"2017/07/05",23.761
"2017/07/06",23.22
"2017/07/07",23.591
"2017/07/10",23.941
"2017/07/11",25.441
"2017/07/12",26.21
"2017/07/13",25.98
"2017/07/14",26.33
"2017/07/17",26.191
"2017/07/18",26.591
"2017/07/19",26.361
"2017/07/20",26.39
"2017/07/21",26.851
"2017/07/24",26.75
"2017/07/25",26.89
"2017/07/26",27.31
"2017/07/27",25.921
"2017/07/28",26.201
"2017/07/31",26.351
"2017/08/01",26.81
"2017/08/02",26.46
"2017/08/03",25.22
"2017/08/04",25.21
"2017/08/07",25.681
"2017/08/08",26.021
"2017/08/09",25.591
"2017/08/10",24.65
"2017/08/11",24.82
"2017/08/14",25.201
"2017/08/15",24.83
"2017/08/16",24.99
"2017/08/17",24.541
