x,y
"2013/01/02",11.082
"2013/01/03",11.039
"2013/01/04",10.962
"2013/01/07",10.871
"2013/01/08",10.943
"2013/01/09",10.924
"2013/01/10",10.824
"2013/01/11",10.876
"2013/01/14",10.809
"2013/01/15",10.819
"2013/01/16",10.79
"2013/01/17",10.795
"2013/01/18",10.857
"2013/01/22",10.881
"2013/01/23",10.862
"2013/01/24",10.69
"2013/01/25",10.871
"2013/01/28",10.972
"2013/01/29",10.972
"2013/01/30",10.809
"2013/01/31",10.814
"2013/02/01",11.039
"2013/02/04",10.771
"2013/02/05",10.867
"2013/02/06",10.867
"2013/02/07",10.867
"2013/02/08",10.948
"2013/02/11",10.919
"2013/02/12",10.948
"2013/02/13",10.895
"2013/02/14",10.886
"2013/02/15",11.698
"2013/02/19",12.147
"2013/02/20",11.961
"2013/02/21",11.961
"2013/02/22",12.147
"2013/02/25",11.865
"2013/02/26",11.975
"2013/02/27",11.99
"2013/02/28",12.095
"2013/03/01",12.123
"2013/03/04",12.386
"2013/03/05",13.112
"2013/03/06",12.964
"2013/03/07",13.022
"2013/03/08",13.232
"2013/03/11",13.28
"2013/03/12",13.151
"2013/03/13",13.256
"2013/03/14",13.949
"2013/03/15",13.719
"2013/03/18",13.839
"2013/03/19",13.667
"2013/03/20",13.848
"2013/03/21",13.891
"2013/03/22",14.164
"2013/03/25",13.963
"2013/03/26",14.14
"2013/03/27",14.326
"2013/03/28",14.326
"2013/04/01",14.121
"2013/04/02",13.877
"2013/04/03",13.643
"2013/04/04",13.772
"2013/04/05",13.672
"2013/04/08",13.734
"2013/04/09",13.581
"2013/04/10",13.91
"2013/04/11",13.944
"2013/04/12",14.106
"2013/04/15",13.891
"2013/04/16",14.121
"2013/04/17",13.767
"2013/04/18",13.609
"2013/04/19",13.38
"2013/04/22",13.662
"2013/04/23",14.168
"2013/04/24",14.25
"2013/04/25",14.168
"2013/04/26",14.044
"2013/04/29",14.24
"2013/04/30",14.665
"2013/05/01",14.436
"2013/05/02",15.688
"2013/05/03",16.046
"2013/05/06",16.037
"2013/05/07",15.96
"2013/05/08",16.343
"2013/05/09",14.723
"2013/05/10",15.014
"2013/05/13",15.024
"2013/05/14",15.22
"2013/05/15",15.225
"2013/05/16",15.21
"2013/05/17",15.291
"2013/05/20",15.354
"2013/05/21",15.253
"2013/05/22",15.153
"2013/05/23",15.268
"2013/05/24",15.1
"2013/05/28",15.277
"2013/05/29",15.134
"2013/05/30",15.148
"2013/05/31",15.115
"2013/06/03",15.22
"2013/06/04",15.014
"2013/06/05",14.919
"2013/06/06",15.148
"2013/06/07",15.177
"2013/06/10",15.191
"2013/06/11",15.229
"2013/06/12",15.22
"2013/06/13",15.277
"2013/06/14",15.258
"2013/06/17",15.497
"2013/06/18",15.736
"2013/06/19",15.707
"2013/06/20",15.487
"2013/06/21",15.607
"2013/06/24",15.511
"2013/06/25",15.755
"2013/06/26",15.745
"2013/06/27",15.903
"2013/06/28",15.721
"2013/07/01",15.841
"2013/07/02",15.898
"2013/07/03",15.851
"2013/07/05",16.128
"2013/07/08",16.333
"2013/07/09",16.539
"2013/07/10",16.486
"2013/07/11",17.227
"2013/07/12",17.666
"2013/07/15",17.685
"2013/07/16",17.48
"2013/07/17",17.614
"2013/07/18",17.619
"2013/07/19",17.681
"2013/07/22",17.652
