x,y
"2006/01/03",11.753
"2006/01/04",11.892
"2006/01/05",12.006
"2006/01/06",12.499
"2006/01/09",12.48
"2006/01/10",12.511
"2006/01/11",12.556
"2006/01/12",12.366
"2006/01/13",12.309
"2006/01/17",12.044
"2006/01/18",11.873
"2006/01/19",12.126
"2006/01/20",11.652
"2006/01/23",12
"2006/01/24",12.139
"2006/01/25",11.88
"2006/01/26",12.031
"2006/01/27",11.873
"2006/01/30",11.728
"2006/01/31",11.646
"2006/02/01",11.696
"2006/02/02",11.5
"2006/02/03",11.355
"2006/02/06",11.317
"2006/02/07",11.349
"2006/02/08",11.519
"2006/02/09",11.513
"2006/02/10",11.305
"2006/02/13",11.166
"2006/02/14",11.273
"2006/02/15",11.083
"2006/02/16",11.273
"2006/02/17",11.147
"2006/02/21",10.824
"2006/02/22",10.881
"2006/02/23",10.692
"2006/02/24",10.799
"2006/02/27",10.837
"2006/02/28",10.711
"2006/03/01",11.121
"2006/03/02",11.178
"2006/03/03",11.115
"2006/03/06",10.906
"2006/03/07",10.666
"2006/03/08",10.666
"2006/03/09",10.546
"2006/03/10",10.654
"2006/03/13",10.603
"2006/03/14",10.989
"2006/03/15",11.121
"2006/03/16",10.951
"2006/03/17",11.241
"2006/03/20",11.241
"2006/03/21",11.222
"2006/03/22",11.279
"2006/03/23",11.45
"2006/03/24",11.557
"2006/03/27",11.412
"2006/03/28",11.159
"2006/03/29",11.336
"2006/03/30",11.646
"2006/03/31",11.62
"2006/04/03",11.722
"2006/04/04",11.911
"2006/04/05",11.968
"2006/04/06",12.006
"2006/04/07",11.728
"2006/04/10",11.753
"2006/04/11",11.513
"2006/04/12",11.614
"2006/04/13",11.526
"2006/04/17",11.551
"2006/04/18",11.791
"2006/04/19",11.93
"2006/04/20",12.139
"2006/04/21",12.056
"2006/04/24",12.195
"2006/04/25",12.385
"2006/04/26",11.911
"2006/04/27",11.804
"2006/04/28",11.564
"2006/05/01",11.481
"2006/05/02",11.753
"2006/05/03",11.639
"2006/05/04",11.715
"2006/05/05",11.671
"2006/05/08",11.614
"2006/05/09",11.45
"2006/05/10",11.267
"2006/05/11",11.153
"2006/05/12",10.944
"2006/05/15",10.957
"2006/05/16",10.831
"2006/05/17",10.477
"2006/05/18",10.376
"2006/05/19",10.401
"2006/05/22",10.299
"2006/05/23",10.35
"2006/05/24",10.439
"2006/05/25",10.484
"2006/05/26",10.465
"2006/05/30",10.223
"2006/05/31",10.439
"2006/06/01",10.611
"2006/06/02",10.566
"2006/06/05",10.248
"2006/06/06",10.095
"2006/06/07",9.975
"2006/06/08",9.803
"2006/06/09",9.79
"2006/06/12",9.599
"2006/06/13",9.44
"2006/06/14",9.752
"2006/06/15",10.025
"2006/06/16",9.854
"2006/06/19",9.962
"2006/06/20",9.962
"2006/06/21",10.178
"2006/06/22",10.057
"2006/06/23",10.038
"2006/06/26",10.032
"2006/06/27",9.79
"2006/06/28",9.962
"2006/06/29",10.242
"2006/06/30",10.229
"2006/07/03",10.344
"2006/07/05",10.159
"2006/07/06",10.255
"2006/07/07",9.949
"2006/07/10",9.809
"2006/07/11",9.854
"2006/07/12",9.548
"2006/07/13",9.421
"2006/07/14",9.478
"2006/07/17",9.313
"2006/07/18",9.453
"2006/07/19",9.885
"2006/07/20",9.714
"2006/07/21",9.453
"2006/07/24",9.777
"2006/07/25",9.656
"2006/07/26",9.459
"2006/07/27",9.319
"2006/07/28",9.414
"2006/07/31",9.523
"2006/08/01",9.389
"2006/08/02",9.472
"2006/08/03",9.542
"2006/08/04",9.586
"2006/08/07",9.51
"2006/08/08",9.453
"2006/08/09",9.586
"2006/08/10",9.65
"2006/08/11",9.408
"2006/08/14",9.523
"2006/08/15",10.089
"2006/08/16",10.369
"2006/08/17",10.426
"2006/08/18",10.566
"2006/08/21",10.344
"2006/08/22",10.235
"2006/08/23",10.108
"2006/08/24",10.165
"2006/08/25",10.185
"2006/08/28",10.376
"2006/08/29",10.694
"2006/08/30",10.796
"2006/08/31",10.496
"2006/09/01",10.496
"2006/09/05",10.439
"2006/09/06",10.165
"2006/09/07",10.064
"2006/09/08",10.134
"2006/09/11",10.446
"2006/09/12",10.91
"2006/09/13",10.751
"2006/09/14",10.598
"2006/09/15",10.636
"2006/09/18",10.713
"2006/09/19",10.592
"2006/09/20",10.764
"2006/09/21",10.738
"2006/09/22",10.573
"2006/09/25",10.707
"2006/09/26",10.802
"2006/09/27",10.713
"2006/09/28",11.26
"2006/09/29",10.987
"2006/10/02",10.948
"2006/10/03",10.897
"2006/10/04",11.082
"2006/10/05",10.955
"2006/10/06",10.732
"2006/10/09",10.847
"2006/10/10",10.802
"2006/10/11",11.063
"2006/10/12",11.286
"2006/10/13",11.209
"2006/10/16",11.267
"2006/10/17",11.095
"2006/10/18",10.948
"2006/10/19",11.025
"2006/10/20",10.961
"2006/10/23",10.904
"2006/10/24",10.681
"2006/10/25",10.649
"2006/10/26",10.796
"2006/10/27",10.694
"2006/10/30",10.764
"2006/10/31",11.05
"2006/11/01",10.789
"2006/11/02",10.796
"2006/11/03",10.827
"2006/11/06",10.993
"2006/11/07",11.279
"2006/11/08",11.267
"2006/11/09",11.235
"2006/11/10",11.216
"2006/11/13",11.279
"2006/11/14",11.464
"2006/11/15",11.719
"2006/11/16",11.744
"2006/11/17",11.566
"2006/11/20",11.661
"2006/11/21",11.598
"2006/11/22",11.871
"2006/11/24",11.668
"2006/11/27",11.559
"2006/11/28",11.623
"2006/11/29",11.579
"2006/11/30",11.534
"2006/12/01",11.419
"2006/12/04",11.559
"2006/12/05",11.617
"2006/12/06",11.598
"2006/12/07",11.559
"2006/12/08",11.636
"2006/12/11",11.579
"2006/12/12",11.54
"2006/12/13",11.884
"2006/12/14",11.859
