x,y
"2016/01/04",27.084
"2016/01/05",27.129
"2016/01/06",25.949
"2016/01/07",25.792
"2016/01/08",24.299
"2016/01/11",23.41
"2016/01/12",23.575
"2016/01/13",23.201
"2016/01/14",23.978
"2016/01/15",23.067
"2016/01/19",22.275
"2016/01/20",21.82
"2016/01/21",20.58
"2016/01/22",20.857
"2016/01/25",19.714
"2016/01/26",20.715
"2016/01/27",20.14
"2016/01/28",19.983
"2016/01/29",21.693
"2016/02/01",22.708
"2016/02/02",21.364
"2016/02/03",22.791
"2016/02/04",24.038
"2016/02/05",24.06
"2016/02/08",23.124
"2016/02/09",22.4
"2016/02/10",22.994
"2016/02/11",22.111
"2016/02/12",22.758
"2016/02/16",23.862
"2016/02/17",24.35
"2016/02/18",25.218
"2016/02/19",23.87
"2016/02/22",24.548
"2016/02/23",23.413
"2016/02/24",23.672
"2016/02/25",23.55
"2016/02/26",24.137
"2016/02/29",23.885
"2016/03/01",25.31
"2016/03/02",25.843
"2016/03/03",26.467
"2016/03/04",26.3
"2016/03/07",27.023
"2016/03/08",26.079
"2016/03/09",26.056
"2016/03/10",26.62
"2016/03/11",27.549
"2016/03/14",26.932
"2016/03/15",26.368
"2016/03/16",26.269
"2016/03/17",26.604
"2016/03/18",27.853
"2016/03/21",27.831
"2016/03/22",28.211
"2016/03/23",26.505
"2016/03/24",25.31
"2016/03/28",25.546
"2016/03/29",25.744
"2016/03/30",26.025
"2016/03/31",26.239
"2016/04/01",25.66
"2016/04/04",25.553
"2016/04/05",25.028
"2016/04/06",25.683
"2016/04/07",25.218
"2016/04/08",25.31
"2016/04/11",26.642
"2016/04/12",26.688
"2016/04/13",25.843
"2016/04/14",20.648
"2016/04/15",19.491
"2016/04/18",19.635
"2016/04/19",19.293
"2016/04/20",19.552
"2016/04/21",19.369
"2016/04/22",19.285
"2016/04/25",20.024
"2016/04/26",20.565
"2016/04/27",20.824
"2016/04/28",20.488
"2016/04/29",16.581
"2016/05/02",15.599
"2016/05/03",14.807
"2016/05/04",15.347
"2016/05/05",15.241
"2016/05/06",14.997
"2016/05/09",14.832
"2016/05/10",15.139
"2016/05/11",14.722
"2016/05/12",14.777
"2016/05/13",15.013
"2016/05/16",15.068
"2016/05/17",15.445
"2016/05/18",15.917
"2016/05/19",16.137
"2016/05/20",16.051
"2016/05/23",16.357
"2016/05/24",16.42
"2016/05/25",16.892
"2016/05/26",16.947
"2016/05/27",17.034
"2016/05/31",17.741
"2016/06/01",18.095
"2016/06/02",18.677
"2016/06/03",18.591
