x,y
"2007/01/03",6.6
"2007/01/04",6.673
"2007/01/05",6.137
"2007/01/08",6.282
"2007/01/09",6.455
"2007/01/10",6.373
"2007/01/11",6.673
"2007/01/12",6.8
"2007/01/16",6.7
"2007/01/17",6.673
"2007/01/18",6.3
"2007/01/19",6.264
"2007/01/22",6.019
"2007/01/23",6.073
"2007/01/24",6.428
"2007/01/25",6.364
"2007/01/26",6.119
"2007/01/29",5.991
"2007/01/30",5.928
"2007/01/31",5.973
"2007/02/01",6.128
"2007/02/02",6.164
"2007/02/05",6.21
"2007/02/06",6.046
"2007/02/07",6.264
"2007/02/08",6.255
"2007/02/09",6.082
"2007/02/12",6.046
"2007/02/13",5.928
"2007/02/14",5.973
"2007/02/15",6.01
"2007/02/16",6.119
"2007/02/20",6.291
"2007/02/21",6.173
"2007/02/22",6.219
"2007/02/23",6.337
"2007/02/26",6.419
"2007/02/27",6.073
"2007/02/28",6
"2007/03/01",5.9
"2007/03/02",5.828
"2007/03/05",5.673
"2007/03/06",5.91
"2007/03/07",5.919
"2007/03/08",5.946
"2007/03/09",6.055
"2007/03/12",6.082
"2007/03/13",5.982
"2007/03/14",5.928
"2007/03/15",6.028
"2007/03/16",5.937
"2007/03/19",5.846
"2007/03/20",5.819
"2007/03/21",5.919
"2007/03/22",5.5
"2007/03/23",5.337
"2007/03/26",5.491
"2007/03/27",5.455
"2007/03/28",5.346
"2007/03/29",5.155
"2007/03/30",5.228
"2007/04/02",5.191
"2007/04/03",5.173
"2007/04/04",5.191
"2007/04/05",5.3
"2007/04/09",5.391
"2007/04/10",5.582
"2007/04/11",5.573
"2007/04/12",5.637
"2007/04/13",5.764
"2007/04/16",5.764
"2007/04/17",5.691
"2007/04/18",5.81
"2007/04/19",5.919
"2007/04/20",5.819
"2007/04/23",5.628
"2007/04/24",5.755
"2007/04/25",5.6
"2007/04/26",6.773
"2007/04/27",6.528
"2007/04/30",6.264
"2007/05/01",6.264
"2007/05/02",6.337
"2007/05/03",6.364
"2007/05/04",6.428
"2007/05/07",6.328
"2007/05/08",6.446
"2007/05/09",6.5
"2007/05/10",6.328
"2007/05/11",6.537
"2007/05/14",6.664
"2007/05/15",6.491
"2007/05/16",6.637
"2007/05/17",6.564
"2007/05/18",6.591
"2007/05/21",6.582
"2007/05/22",6.737
"2007/05/23",6.791
"2007/05/24",6.5
"2007/05/25",6.673
"2007/05/29",6.637
"2007/05/30",6.455
"2007/05/31",6.446
"2007/06/01",6.609
"2007/06/04",6.628
"2007/06/05",6.628
"2007/06/06",6.628
"2007/06/07",6.555
"2007/06/08",6.737
"2007/06/11",6.664
"2007/06/12",6.464
"2007/06/13",6.546
"2007/06/14",6.555
"2007/06/15",6.546
"2007/06/18",6.6
"2007/06/19",6.591
"2007/06/20",6.519
"2007/06/21",6.673
"2007/06/22",6.555
"2007/06/25",6.537
"2007/06/26",6.6
"2007/06/27",6.709
"2007/06/28",6.646
"2007/06/29",6.682
"2007/07/02",6.919
"2007/07/03",6.991
"2007/07/05",6.973
"2007/07/06",7.046
"2007/07/09",7.037
"2007/07/10",6.964
"2007/07/11",7.346
"2007/07/12",7.482
"2007/07/13",7.573
"2007/07/16",7.691
