x,y
"2017/01/03",24.601
"2017/01/04",25.15
"2017/01/05",24.97
"2017/01/06",24.72
"2017/01/09",25.031
"2017/01/10",25.24
"2017/01/11",26
"2017/01/12",26.81
"2017/01/13",26.91
"2017/01/17",26.63
"2017/01/18",27.201
"2017/01/19",27.421
"2017/01/20",28.031
"2017/01/23",27.64
"2017/01/24",27.931
"2017/01/25",27.851
"2017/01/26",27.771
"2017/01/27",27.761
"2017/01/30",27.611
"2017/01/31",27.63
"2017/02/01",28.021
"2017/02/02",28.14
"2017/02/03",28.16
"2017/02/06",27.931
"2017/02/07",28
"2017/02/08",28.111
"2017/02/09",28.261
"2017/02/10",28.64
"2017/02/13",28.921
"2017/02/14",28.96
"2017/02/15",29.621
"2017/02/16",29.16
"2017/02/17",29.89
"2017/02/21",30.05
"2017/02/22",29.421
"2017/02/23",29.5
"2017/02/24",29.271
"2017/02/27",28.82
"2017/02/28",28.441
"2017/03/01",28.931
"2017/03/02",28.601
"2017/03/03",28.791
"2017/03/06",28.63
"2017/03/07",28.55
"2017/03/08",28.63
"2017/03/09",28.541
"2017/03/10",28.671
"2017/03/13",29.13
"2017/03/14",28.921
"2017/03/15",29.031
"2017/03/16",29.39
"2017/03/17",29.66
"2017/03/20",29.451
"2017/03/21",28.99
"2017/03/22",29.181
"2017/03/23",29.291
"2017/03/24",29.431
"2017/03/27",29.591
"2017/03/28",29.81
"2017/03/29",29.851
"2017/03/30",29.83
"2017/03/31",29.951
"2017/04/03",29.74
"2017/04/04",29.91
"2017/04/05",30.111
"2017/04/06",31.32
"2017/04/07",31.32
"2017/04/10",31.55
"2017/04/11",31.22
"2017/04/12",31.601
"2017/04/13",31.23
"2017/04/17",31.49
"2017/04/18",31.591
"2017/04/19",31.83
"2017/04/20",31.271
"2017/04/21",31.541
"2017/04/24",32.021
"2017/04/25",32.57
"2017/04/26",32.82
"2017/04/27",33.471
"2017/04/28",34.48
"2017/05/01",34.721
"2017/05/02",34.94
"2017/05/03",35.28
"2017/05/04",36.53
"2017/05/05",36.811
"2017/05/08",36.82
"2017/05/09",36.841
"2017/05/10",37.181
"2017/05/11",36.931
"2017/05/12",36.841
"2017/05/15",37.061
"2017/05/16",36.901
"2017/05/17",35.401
"2017/05/18",35.341
"2017/05/19",35.25
"2017/05/22",35.561
"2017/05/23",35.431
"2017/05/24",35.901
"2017/05/25",35.951
"2017/05/26",35.581
"2017/05/30",35.6
"2017/05/31",35.76
"2017/06/01",36.51
"2017/06/02",36.741
"2017/06/05",36.861
"2017/06/06",37.71
"2017/06/07",36.87
"2017/06/08",37.21
"2017/06/09",34.62
"2017/06/12",34.57
"2017/06/13",34.631
"2017/06/14",34.631
"2017/06/15",34.64
"2017/06/16",34.791
"2017/06/19",34.85
"2017/06/20",34.6
"2017/06/21",34.8
"2017/06/22",35.3
"2017/06/23",36
"2017/06/26",35.931
"2017/06/27",35.67
"2017/06/28",36.1
"2017/06/29",35.181
"2017/06/30",35.181
"2017/07/03",34.16
"2017/07/05",34.681
"2017/07/06",34.62
"2017/07/07",35.311
"2017/07/10",35.32
"2017/07/11",35.341
"2017/07/12",36.241
"2017/07/13",35.53
"2017/07/14",35.651
"2017/07/17",35.651
"2017/07/18",35.431
"2017/07/19",36.26
"2017/07/20",35.98
"2017/07/21",35.75
"2017/07/24",36.41
"2017/07/25",38
"2017/07/26",38.841
"2017/07/27",37.971
"2017/07/28",37.14
"2017/07/31",35.82
"2017/08/01",36.291
"2017/08/02",34.5
"2017/08/03",35.041
"2017/08/04",35.331
"2017/08/07",35.431
"2017/08/08",35.151
"2017/08/09",35.44
"2017/08/10",34.78
"2017/08/11",35.46
"2017/08/14",35.98
"2017/08/15",36.37
"2017/08/16",37.46
"2017/08/17",36.91
"2017/08/18",36.341
"2017/08/21",36.17
"2017/08/22",35.901
"2017/08/23",35.75
"2017/08/24",35.221
"2017/08/25",34.64
"2017/08/28",34.681
"2017/08/29",34.611
"2017/08/30",35.53
"2017/08/31",35.6
"2017/09/01",34.901
