x,y
"2008/01/02",27.528
"2008/01/03",27.46
"2008/01/04",26.592
"2008/01/07",25.649
"2008/01/08",24.646
"2008/01/09",24.982
"2008/01/10",25.426
"2008/01/11",25.125
"2008/01/14",25.802
"2008/01/15",24.937
"2008/01/16",25.343
"2008/01/17",24.592
"2008/01/18",24.253
"2008/01/22",23.862
"2008/01/23",23.614
"2008/01/24",24.516
"2008/01/25",24.982
"2008/01/28",25.08
"2008/01/29",24.667
"2008/01/30",25.118
"2008/01/31",25.366
"2008/02/01",25.479
"2008/02/04",25.441
"2008/02/05",24.516
"2008/02/06",26.125
"2008/02/07",26.403
"2008/02/08",26.012
"2008/02/11",26.403
"2008/02/12",26.464
"2008/02/13",26.952
"2008/02/14",26.464
"2008/02/15",26.373
"2008/02/19",26.448
"2008/02/20",26.313
"2008/02/21",25.682
"2008/02/22",25.96
"2008/02/25",26.073
"2008/02/26",26.065
"2008/02/27",25.892
"2008/02/28",25.178
"2008/02/29",24.734
"2008/03/03",24.772
"2008/03/04",24.742
"2008/03/05",24.577
"2008/03/06",24.411
"2008/03/07",24.381
"2008/03/10",23.629
"2008/03/11",24.193
"2008/03/12",24.231
"2008/03/13",24.118
"2008/03/14",23.855
"2008/03/17",23.441
"2008/03/18",24.163
"2008/03/19",24.065
"2008/03/20",24.704
"2008/03/24",25.411
"2008/03/25",25.268
"2008/03/26",25.591
"2008/03/27",25.163
"2008/03/28",25.434
"2008/03/31",25.802
"2008/04/01",25.922
"2008/04/02",26.313
"2008/04/03",26.291
"2008/04/04",26.945
"2008/04/07",26.915
"2008/04/08",26.336
"2008/04/09",26.261
"2008/04/10",26.223
"2008/04/11",25.77
"2008/04/14",25.989
"2008/04/15",25.694
"2008/04/16",26.359
"2008/04/17",26.706
"2008/04/18",27.831
"2008/04/21",27.461
"2008/04/22",26.796
"2008/04/23",27.227
"2008/04/24",28.072
"2008/04/25",28.389
"2008/04/28",28.065
"2008/04/29",28.404
"2008/04/30",28.238
"2008/05/01",30.155
"2008/05/02",30.05
"2008/05/05",29.582
"2008/05/06",29.129
"2008/05/07",28.608
"2008/05/08",28.865
"2008/05/09",28.797
"2008/05/12",28.933
