x,y
"2018/01/02",43.275
"2018/01/03",43.461
"2018/01/04",43.666
"2018/01/05",44.675
"2018/01/08",45.243
"2018/01/09",44.479
"2018/01/10",43.382
"2018/01/11",43.617
"2018/01/12",43.686
"2018/01/16",44.381
"2018/01/17",45.802
"2018/01/18",46.223
"2018/01/19",46.448
"2018/01/22",46.791
"2018/01/23",47.428
"2018/01/24",45.831
"2018/01/25",43.882
"2018/01/26",46.722
"2018/01/29",45.9
"2018/01/30",45.38
"2018/01/31",44.9
"2018/02/01",44.92
"2018/02/02",43.51
"2018/02/05",42.089
"2018/02/06",42.266
"2018/02/07",41.12
"2018/02/08",38.857
"2018/02/09",40.424
"2018/02/12",41.169
"2018/02/13",39.65
"2018/02/14",41.835
"2018/02/15",42.569
"2018/02/16",42.422
"2018/02/20",43.98
"2018/02/21",43.147
"2018/02/22",43.177
"2018/02/23",43.599
"2018/02/26",44.678
"2018/02/27",43.932
"2018/02/28",44.561
"2018/03/01",44.07
"2018/03/02",44.806
"2018/03/05",45.267
"2018/03/06",46.514
"2018/03/07",47.034
"2018/03/08",47.574
"2018/03/09",48.487
"2018/03/12",48.997
"2018/03/13",48.094
"2018/03/14",48.437
"2018/03/15",48.231
"2018/03/16",48.32
"2018/03/19",47.799
"2018/03/20",48.084
"2018/03/21",48.585
"2018/03/22",46.838
"2018/03/23",44.806
"2018/03/26",46.818
"2018/03/27",44.914
"2018/03/28",44.001
"2018/03/29",44.865
"2018/04/02",42.98
"2018/04/03",43.471
"2018/04/04",43.756
"2018/04/05",43.059
"2018/04/06",41.891
"2018/04/09",41.616
"2018/04/10",42.637
"2018/04/11",42.401
"2018/04/12",42.902
"2018/04/13",42.666
"2018/04/16",43.471
"2018/04/17",43.893
"2018/04/18",42.558
"2018/04/19",40.684
"2018/04/20",40.144
"2018/04/23",39.702
"2018/04/24",40.733
"2018/04/25",34.059
"2018/04/26",33.421
"2018/04/27",32.586
"2018/04/30",31.948
"2018/05/01",32.891
"2018/05/02",33.695
"2018/05/03",34.235
"2018/05/04",35.04
"2018/05/07",35.472
"2018/05/08",35.423
"2018/05/09",35.992
"2018/05/10",36.002
"2018/05/11",35.658
"2018/05/14",35.963
"2018/05/15",35.207
"2018/05/16",36.866
"2018/05/17",37.023
"2018/05/18",36.699
"2018/05/21",37.474
"2018/05/22",37.612
"2018/05/23",37.759
"2018/05/24",37.808
"2018/05/25",38.014
"2018/05/29",37.837
"2018/05/30",37.945
"2018/05/31",37.296
"2018/06/01",38.674
"2018/06/04",38.683
"2018/06/05",38.821
"2018/06/06",38.978
"2018/06/07",38.182
"2018/06/08",38.064
"2018/06/11",38.388
"2018/06/12",38.457
"2018/06/13",38.3
"2018/06/14",38.418
"2018/06/15",38.703
"2018/06/18",38.418
"2018/06/19",38.359
"2018/06/20",38.565
"2018/06/21",38.467
"2018/06/22",38.172
"2018/06/25",37.06
"2018/06/26",37.434
"2018/06/27",36.676
"2018/06/28",37.06
"2018/06/29",37.454
"2018/07/02",37.69
"2018/07/03",37.208
"2018/07/05",38.565
"2018/07/06",38.88
"2018/07/09",39.529
"2018/07/10",39.461
"2018/07/11",38.241
"2018/07/12",39.106
"2018/07/13",38.939
"2018/07/16",39.185
"2018/07/17",39.667
"2018/07/18",40.71
"2018/07/19",39.382
"2018/07/20",39.569
"2018/07/23",40.07
"2018/07/24",39.726
"2018/07/25",42.264
"2018/07/26",43.307
"2018/07/27",43.533
"2018/07/30",42.52
"2018/07/31",42.55
"2018/08/01",42.589
"2018/08/02",42.864
"2018/08/03",43.042
"2018/08/06",43.268
"2018/08/07",43.297
"2018/08/08",43.219
"2018/08/09",42.018
"2018/08/10",41.035
"2018/08/13",40.946
"2018/08/14",41.202
"2018/08/15",39.716
"2018/08/16",39.569
"2018/08/17",38.624
"2018/08/20",38.516
"2018/08/21",39.234
"2018/08/22",39.283
"2018/08/23",39.618
"2018/08/24",40.07
"2018/08/27",41.005
"2018/08/28",41.025
"2018/08/29",40.848
"2018/08/30",40.454
"2018/08/31",40.523
"2018/09/04",40.622
"2018/09/05",40.336
"2018/09/06",39.034
"2018/09/07",39.143
"2018/09/10",38.896
"2018/09/11",38.019
"2018/09/12",36.155
"2018/09/13",36.885
"2018/09/14",37.013
"2018/09/17",36.698
"2018/09/18",36.954
"2018/09/19",36.609
"2018/09/20",37.24
"2018/09/21",37.674
"2018/09/24",37.91
"2018/09/25",36.944
"2018/09/26",36.52
"2018/09/27",36.619
"2018/09/28",36.461
"2018/10/01",36.382
"2018/10/02",36.412
"2018/10/03",36.086
"2018/10/04",35.436
"2018/10/05",34.45
"2018/10/08",34.035
"2018/10/09",33.523
"2018/10/10",31.995
"2018/10/11",32.192
"2018/10/12",32.783
"2018/10/15",32.783
"2018/10/16",34.105
"2018/10/17",33.661
"2018/10/18",32.33
"2018/10/19",32.31
"2018/10/22",31.837
"2018/10/23",31.748
"2018/10/24",29.806
"2018/10/25",32.33
"2018/10/26",31.896
"2018/10/29",31.975
"2018/10/30",33.513
"2018/10/31",33.966
"2018/11/01",35.682
"2018/11/02",35.603
"2018/11/05",35.288
"2018/11/06",35.682
"2018/11/07",36.047
"2018/11/08",36.234
"2018/11/09",35.09
"2018/11/12",33.562
"2018/11/13",33.543
"2018/11/14",34.4
"2018/11/15",35.988
"2018/11/16",35.899
"2018/11/19",34.795
"2018/11/20",34.785
"2018/11/21",35.307
"2018/11/23",35.357
"2018/11/26",36.106
"2018/11/27",35.849
"2018/11/28",35.977
"2018/11/29",34.959
"2018/11/30",35.276
"2018/12/03",35.543
"2018/12/04",34.09
"2018/12/06",33.418
"2018/12/07",32.232
"2018/12/10",32.489
"2018/12/11",32.577
"2018/12/12",32.973
"2018/12/13",32.617
"2018/12/14",32.133
"2018/12/17",31.431
"2018/12/18",31.589
"2018/12/19",30.245
"2018/12/20",30.334
"2018/12/21",29.217
"2018/12/24",28.604
"2018/12/26",30.136
"2018/12/27",30.561
"2018/12/28",30.828
"2018/12/31",31.016
