x,y
"2010/01/04",12.825
"2010/01/05",12.761
"2010/01/06",12.726
"2010/01/07",12.745
"2010/01/08",12.846
"2010/01/11",12.74
"2010/01/12",12.54
"2010/01/13",12.676
"2010/01/14",12.676
"2010/01/15",12.275
"2010/01/19",12.431
"2010/01/20",12
"2010/01/21",11.87
"2010/01/22",11.615
"2010/01/25",11.74
"2010/01/26",11.695
"2010/01/27",11.796
"2010/01/28",11.5
"2010/01/29",11.445
"2010/02/01",11.605
"2010/02/02",11.636
"2010/02/03",12.315
"2010/02/04",11.82
"2010/02/05",12.131
"2010/02/08",12.245
"2010/02/09",12.351
"2010/02/10",12.346
"2010/02/11",12.53
"2010/02/12",12.565
"2010/02/16",12.561
"2010/02/17",12.796
"2010/02/18",13.016
"2010/02/19",13.23
"2010/02/22",13.601
"2010/02/23",13.28
"2010/02/24",13.556
"2010/02/25",13.5
"2010/02/26",13.436
"2010/03/01",13.705
"2010/03/02",13.761
"2010/03/03",13.79
"2010/03/04",13.695
"2010/03/05",13.58
"2010/03/08",13.471
"2010/03/09",13.506
"2010/03/10",13.525
"2010/03/11",13.455
"2010/03/12",13.535
"2010/03/15",13.556
"2010/03/16",13.561
"2010/03/17",13.915
"2010/03/18",13.976
"2010/03/19",14.141
"2010/03/22",14.2
"2010/03/23",14.535
"2010/03/24",14.296
"2010/03/25",14.08
"2010/03/26",14.105
"2010/03/29",14.421
"2010/03/30",14.396
"2010/03/31",14.36
"2010/04/01",14.261
"2010/04/05",14.466
"2010/04/06",14.495
"2010/04/07",14.306
"2010/04/08",14.365
"2010/04/09",14.49
"2010/04/12",14.57
"2010/04/13",14.665
"2010/04/14",15.016
"2010/04/15",15.08
"2010/04/16",14.915
"2010/04/19",14.65
"2010/04/20",15.035
"2010/04/21",15.29
"2010/04/22",15.426
"2010/04/23",15.506
"2010/04/26",15.575
"2010/04/27",15.4
"2010/04/28",15.54
"2010/04/29",15.896
"2010/04/30",16.351
"2010/05/03",16.15
"2010/05/04",15.421
"2010/05/05",15.186
"2010/05/06",14.591
"2010/05/07",14.235
"2010/05/10",14.9
"2010/05/11",15.051
"2010/05/12",15.75
"2010/05/13",15.596
"2010/05/14",15.08
"2010/05/17",15.586
"2010/05/18",15.221
"2010/05/19",15.075
"2010/05/20",14.25
"2010/05/21",14.351
"2010/05/24",14.051
"2010/05/25",13.945
"2010/05/26",14.051
"2010/05/27",14.665
"2010/05/28",14.365
"2010/06/01",14.115
"2010/06/02",14.5
"2010/06/03",14.665
"2010/06/04",14.141
"2010/06/07",13.761
"2010/06/08",13.7
"2010/06/09",14.125
"2010/06/10",14.73
"2010/06/11",14.931
"2010/06/14",14.705
"2010/06/15",15.091
"2010/06/16",15.125
"2010/06/17",15.056
"2010/06/18",15.235
"2010/06/21",15.221
"2010/06/22",15.051
"2010/06/23",14.745
"2010/06/24",14.516
"2010/06/25",14.815
"2010/06/28",14.575
"2010/06/29",14.061
"2010/06/30",14
"2010/07/01",13.87
"2010/07/02",14.035
"2010/07/06",13.961
"2010/07/07",14.426
"2010/07/08",14.511
"2010/07/09",14.631
"2010/07/12",14.551
"2010/07/13",14.966
"2010/07/14",14.891
"2010/07/15",14.881
"2010/07/16",14.16
"2010/07/19",14.216
"2010/07/20",14.131
"2010/07/21",14.245
"2010/07/22",14.426
"2010/07/23",14.855
"2010/07/26",15.346
"2010/07/27",15.101
"2010/07/28",14.41
"2010/07/29",14.136
"2010/07/30",14.186
"2010/08/02",14.355
"2010/08/03",14.575
"2010/08/04",14.53
"2010/08/05",14.686
"2010/08/06",14.716
"2010/08/09",14.825
"2010/08/10",14.601
"2010/08/11",14.235
"2010/08/12",14.061
"2010/08/13",13.896
"2010/08/16",13.91
"2010/08/17",14.61
"2010/08/18",14.565
"2010/08/19",14.5
"2010/08/20",14.806
"2010/08/23",14.855
"2010/08/24",14.431
"2010/08/25",14.346
"2010/08/26",14.155
"2010/08/27",14.37
"2010/08/30",14.086
"2010/08/31",14.065
"2010/09/01",14.5
"2010/09/02",14.78
"2010/09/03",14.99
"2010/09/07",14.671
"2010/09/08",14.631
"2010/09/09",14.74
"2010/09/10",14.961
"2010/09/13",15.315
"2010/09/14",15.905
"2010/09/15",16.011
"2010/09/16",16.06
"2010/09/17",16.23
"2010/09/20",16.945
"2010/09/21",17.046
"2010/09/22",17.025
"2010/09/23",17.011
"2010/09/24",17.386
"2010/09/27",17.265
"2010/09/28",17.5
"2010/09/29",17.265
"2010/09/30",17.521
"2010/10/01",17.605
"2010/10/04",17.47
"2010/10/05",17.82
"2010/10/06",17.365
"2010/10/07",17.425
"2010/10/08",17.25
"2010/10/11",17.08
"2010/10/12",17.445
"2010/10/13",17.605
"2010/10/14",17.4
"2010/10/15",17.58
"2010/10/18",17.705
"2010/10/19",17.22
"2010/10/20",17.71
"2010/10/21",17.921
"2010/10/22",17.97
"2010/10/25",18.136
"2010/10/26",18.101
"2010/10/27",17.951
"2010/10/28",17.875
"2010/10/29",17.921
"2010/11/01",17.746
"2010/11/02",17.791
"2010/11/03",18.65
"2010/11/04",19.05
"2010/11/05",18.955
"2010/11/08",18.816
"2010/11/09",18.441
"2010/11/10",18.375
"2010/11/11",18.13
"2010/11/12",18.05
"2010/11/15",18.191
"2010/11/16",17.986
"2010/11/17",17.976
"2010/11/18",18.576
"2010/11/19",18.445
"2010/11/22",18.355
"2010/11/23",18.146
"2010/11/24",18.761
"2010/11/26",18.845
"2010/11/29",18.765
"2010/11/30",18.621
"2010/12/01",18.99
"2010/12/02",19.421
"2010/12/03",20.015
"2010/12/06",19.925
"2010/12/07",20.16
"2010/12/08",20.341
"2010/12/09",20.511
"2010/12/10",20.63
"2010/12/13",20.83
"2010/12/14",20.38
"2010/12/15",19.896
