x,y
"2016/01/04",18.58
"2016/01/05",18.462
"2016/01/06",17.949
"2016/01/07",17.747
"2016/01/08",17.503
"2016/01/11",17.604
"2016/01/12",17.453
"2016/01/13",17.226
"2016/01/14",18.353
"2016/01/15",17.747
"2016/01/19",18.218
"2016/01/20",17.739
"2016/01/21",17.941
"2016/01/22",18.445
"2016/01/25",18.328
"2016/01/26",18.159
"2016/01/27",18.235
"2016/01/28",18.193
"2016/01/29",18.799
"2016/02/01",18.891
"2016/02/02",18.975
"2016/02/03",19.278
"2016/02/04",19.539
"2016/02/05",19.135
"2016/02/08",19.177
"2016/02/09",18.975
"2016/02/10",18.757
"2016/02/11",18.504
"2016/02/12",18.706
"2016/02/16",19.631
"2016/02/17",19.884
"2016/02/18",20.018
"2016/02/19",20.001
"2016/02/22",20.153
"2016/02/23",19.682
"2016/02/24",19.699
"2016/02/25",19.926
"2016/02/26",19.993
"2016/02/29",19.808
"2016/03/01",20.674
"2016/03/02",20.708
"2016/03/03",20.657
"2016/03/04",20.733
"2016/03/07",20.775
"2016/03/08",20.733
"2016/03/09",20.809
"2016/03/10",20.809
"2016/03/11",21.322
"2016/03/14",21.213
"2016/03/15",20.927
"2016/03/16",21.684
"2016/03/17",21.675
"2016/03/18",21.902
"2016/03/21",21.81
"2016/03/22",21.709
"2016/03/23",21.599
"2016/03/24",21.641
"2016/03/28",21.557
"2016/03/29",21.843
"2016/03/30",22.255
"2016/03/31",22.037
"2016/04/01",21.97
"2016/04/04",21.742
"2016/04/05",21.456
"2016/04/06",21.549
"2016/04/07",21.339
"2016/04/08",21.263
"2016/04/11",21.456
"2016/04/12",21.507
"2016/04/13",22.012
"2016/04/14",21.28
"2016/04/15",21.414
"2016/04/18",21.448
"2016/04/19",21.162
"2016/04/20",21.128
"2016/04/21",21.162
"2016/04/22",21.086
"2016/04/25",21.036
"2016/04/26",21.036
"2016/04/27",21.238
"2016/04/28",20.321
"2016/04/29",19.842
"2016/05/02",19.926
"2016/05/03",19.614
"2016/05/04",19.699
"2016/05/05",19.766
"2016/05/06",19.69
"2016/05/09",19.657
"2016/05/10",19.673
"2016/05/11",19.53
"2016/05/12",19.337
"2016/05/13",19.194
"2016/05/16",19.438
"2016/05/17",19.303
"2016/05/18",19.783
"2016/05/19",19.556
"2016/05/20",20.111
"2016/05/23",20.414
"2016/05/24",20.582
"2016/05/25",20.708
"2016/05/26",20.851
"2016/05/27",20.859
"2016/05/31",20.792
"2016/06/01",21.238
"2016/06/02",21.179
"2016/06/03",21.473
"2016/06/06",21.423
"2016/06/07",21.919
"2016/06/08",22.146
"2016/06/09",22.062
"2016/06/10",21.751
"2016/06/13",21.557
"2016/06/14",21.507
"2016/06/15",21.734
"2016/06/16",21.751
"2016/06/17",21.742
"2016/06/20",22.18
"2016/06/21",22.365
"2016/06/22",22.323
"2016/06/23",22.55
"2016/06/24",21.599
"2016/06/27",21.729
"2016/06/28",22.044
"2016/06/29",22.515
"2016/06/30",22.89
"2016/07/01",23.152
"2016/07/05",22.916
"2016/07/06",22.82
"2016/07/07",22.96
"2016/07/08",23.326
"2016/07/11",23.737
"2016/07/12",23.536
"2016/07/13",23.466
"2016/07/14",23.658
"2016/07/15",23.571
"2016/07/18",24.121
"2016/07/19",23.798
"2016/07/20",24.042
"2016/07/21",23.981
"2016/07/22",24.208
"2016/07/25",24.313
"2016/07/26",24.723
"2016/07/27",24.522
"2016/07/28",24.557
"2016/07/29",24.243
"2016/08/01",24.976
"2016/08/02",24.574
"2016/08/03",24.574
"2016/08/04",24.784
"2016/08/05",25.124
"2016/08/08",25.386
"2016/08/09",25.656
"2016/08/10",25.499
"2016/08/11",25.429
"2016/08/12",25.517
"2016/08/15",25.648
"2016/08/16",25.377
"2016/08/17",25.29
"2016/08/18",25.447
"2016/08/19",24.993
"2016/08/22",24.784
"2016/08/23",24.871
"2016/08/24",24.775
"2016/08/25",24.958
"2016/08/26",24.993
"2016/08/29",25.046
"2016/08/30",24.976
"2016/08/31",25.08
"2016/09/01",25.272
"2016/09/02",25.429
"2016/09/06",25.735
"2016/09/07",26.023
"2016/09/08",25.997
"2016/09/09",24.95
"2016/09/12",25.299
"2016/09/13",24.862
"2016/09/14",24.976
"2016/09/15",25.464
"2016/09/16",25.229
"2016/09/19",26.119
"2016/09/20",26.093
"2016/09/21",26.616
"2016/09/22",26.756
"2016/09/23",26.285
"2016/09/26",26.04
"2016/09/27",26.529
"2016/09/28",26.468
"2016/09/29",26.529
"2016/09/30",26.695
"2016/10/03",26.808
"2016/10/04",26.52
"2016/10/05",26.642
"2016/10/06",26.852
"2016/10/07",27.21
"2016/10/10",27.297
"2016/10/11",26.817
"2016/10/12",27.358
"2016/10/13",26.642
"2016/10/14",26.756
"2016/10/17",26.677
"2016/10/18",26.93
"2016/10/19",27.035
"2016/10/20",27.105
"2016/10/21",27.122
"2016/10/24",27.41
"2016/10/25",27.533
"2016/10/26",27.236
"2016/10/27",26.852
"2016/10/28",26.852
"2016/10/31",27.14
