x,y
"2011/01/03",25.143
"2011/01/04",25.097
"2011/01/05",25.196
"2011/01/06",25.542
"2011/01/07",25.519
"2011/01/10",25.642
"2011/01/11",25.734
"2011/01/12",25.857
"2011/01/13",25.719
"2011/01/14",26.149
"2011/01/18",26.771
"2011/01/19",26.241
"2011/01/20",26.049
"2011/01/21",26.049
"2011/01/24",26.618
"2011/01/25",26.103
"2011/01/26",26.364
"2011/01/27",26.703
"2011/01/28",26.426
"2011/01/31",26.148
"2011/02/01",26.989
"2011/02/02",27.081
"2011/02/03",26.981
"2011/02/04",27.328
"2011/02/07",27.189
"2011/02/08",27.205
"2011/02/09",27.066
"2011/02/10",27.135
"2011/02/11",27.467
"2011/02/14",27.629
"2011/02/15",27.737
"2011/02/16",27.798
"2011/02/17",28.13
"2011/02/18",27.937
"2011/02/22",27.567
"2011/02/23",27.297
"2011/02/24",27.32
"2011/02/25",27.467
"2011/02/28",27.459
"2011/03/01",26.989
"2011/03/02",27.868
"2011/03/03",28.192
"2011/03/04",27.968
"2011/03/07",27.359
"2011/03/08",27.652
"2011/03/09",26.788
"2011/03/10",26.41
"2011/03/11",26.518
"2011/03/14",26.649
"2011/03/15",26.14
"2011/03/16",25.285
"2011/03/17",25.5
"2011/03/18",25.724
"2011/03/21",25.971
"2011/03/22",25.94
"2011/03/23",26.38
"2011/03/24",26.881
"2011/03/25",26.711
"2011/03/28",26.595
"2011/03/29",26.958
"2011/03/30",26.788
"2011/03/31",26.649
"2011/04/01",26.395
"2011/04/04",26.302
"2011/04/05",26.75
"2011/04/06",26.881
"2011/04/07",27.174
"2011/04/08",27.12
"2011/04/11",26.935
"2011/04/12",26.326
"2011/04/13",26.48
"2011/04/14",26.765
"2011/04/15",26.981
"2011/04/18",26.827
"2011/04/19",26.634
"2011/04/20",27.089
"2011/04/21",27.39
"2011/04/25",27.313
"2011/04/26",27.559
"2011/04/27",27.683
"2011/04/28",27.512
"2011/04/29",27.497
"2011/05/02",27.095
"2011/05/03",26.932
"2011/05/04",26.947
"2011/05/05",27.102
"2011/05/06",27.265
"2011/05/09",27.35
"2011/05/10",27.443
"2011/05/11",27.009
"2011/05/12",27.342
