x,y
"2010/01/04",20.3
"2010/01/05",20.781
"2010/01/06",20.771
"2010/01/07",20.5
"2010/01/08",20.74
"2010/01/11",20.511
"2010/01/12",20.181
"2010/01/13",20.16
"2010/01/14",20.441
"2010/01/15",20.48
"2010/01/19",20.64
"2010/01/20",20.021
"2010/01/21",19.531
"2010/01/22",19.021
"2010/01/25",19.021
"2010/01/26",18.98
"2010/01/27",19.121
"2010/01/28",18.771
"2010/01/29",18.73
"2010/02/01",19
"2010/02/02",18.861
"2010/02/03",18.861
"2010/02/04",18.75
"2010/02/05",18.791
"2010/02/08",18.5
"2010/02/09",18.72
"2010/02/10",18.72
"2010/02/11",18.88
"2010/02/12",19
"2010/02/16",19.181
"2010/02/17",19.511
"2010/02/18",19.361
"2010/02/19",19.261
"2010/02/22",19.38
"2010/02/23",19.4
"2010/02/24",19.63
"2010/02/25",18.521
"2010/02/26",18.16
"2010/03/01",18.73
"2010/03/02",18.63
"2010/03/03",18.48
"2010/03/04",18.66
"2010/03/05",19.031
"2010/03/08",19.041
"2010/03/09",18.941
"2010/03/10",19.031
"2010/03/11",18.97
"2010/03/12",18.96
"2010/03/15",19.15
"2010/03/16",19.191
"2010/03/17",19.201
"2010/03/18",19.08
"2010/03/19",19.13
"2010/03/22",19.281
"2010/03/23",19.39
"2010/03/24",19.15
"2010/03/25",18.9
"2010/03/26",19.031
"2010/03/29",19.06
"2010/03/30",18.97
"2010/03/31",18.74
"2010/04/01",18.9
"2010/04/05",19.06
"2010/04/06",18.98
"2010/04/07",18.851
"2010/04/08",18.781
"2010/04/09",18.861
"2010/04/12",18.88
"2010/04/13",18.921
"2010/04/14",18.97
"2010/04/15",18.99
"2010/04/16",18.851
"2010/04/19",18.8
"2010/04/20",18.88
"2010/04/21",18.951
"2010/04/22",19.601
"2010/04/23",19.83
"2010/04/26",19.371
"2010/04/27",19.201
"2010/04/28",19
"2010/04/29",17.47
"2010/04/30",17.041
"2010/05/03",17.271
"2010/05/04",17.38
"2010/05/05",17.22
"2010/05/06",17
"2010/05/07",16.41
"2010/05/10",16.99
"2010/05/11",17.101
"2010/05/12",17.21
"2010/05/13",17.16
"2010/05/14",17
"2010/05/17",17
"2010/05/18",17
"2010/05/19",16.98
"2010/05/20",16.05
"2010/05/21",16.361
"2010/05/24",16.021
"2010/05/25",16.08
"2010/05/26",16.121
"2010/05/27",16.531
"2010/05/28",16.23
"2010/06/01",16.05
"2010/06/02",16.201
"2010/06/03",16.58
"2010/06/04",16.021
"2010/06/07",15.99
"2010/06/08",16.16
"2010/06/09",16.05
"2010/06/10",16.281
"2010/06/11",16.47
"2010/06/14",16.341
"2010/06/15",16.611
"2010/06/16",16.691
"2010/06/17",16.691
"2010/06/18",16.441
"2010/06/21",16.47
"2010/06/22",16.291
"2010/06/23",16.421
"2010/06/24",16.3
"2010/06/25",16.49
"2010/06/28",16.041
"2010/06/29",15.65
"2010/06/30",15.521
"2010/07/01",15.641
"2010/07/02",15.5
"2010/07/06",15.091
"2010/07/07",15.2
"2010/07/08",15.341
"2010/07/09",15.431
"2010/07/12",15.45
"2010/07/13",16.101
"2010/07/14",16.111
"2010/07/15",15.95
"2010/07/16",15.561
"2010/07/19",15.591
"2010/07/20",15.44
"2010/07/21",15.2
"2010/07/22",15.78
"2010/07/23",15.971
"2010/07/26",16.16
"2010/07/27",16.3
"2010/07/28",16.011
"2010/07/29",16.88
"2010/07/30",16.431
"2010/08/02",16.97
"2010/08/03",17.021
"2010/08/04",17.691
"2010/08/05",17.55
"2010/08/06",17.58
"2010/08/09",17.951
"2010/08/10",17.83
"2010/08/11",17.16
"2010/08/12",17.08
"2010/08/13",16.9
"2010/08/16",17.181
"2010/08/17",17.521
"2010/08/18",17.791
"2010/08/19",17.521
"2010/08/20",17.73
"2010/08/23",17.64
"2010/08/24",17.421
"2010/08/25",17.63
"2010/08/26",17.5
"2010/08/27",17.841
"2010/08/30",17.3
"2010/08/31",17.31
"2010/09/01",17.96
"2010/09/02",18.121
"2010/09/03",18.531
"2010/09/07",18.33
"2010/09/08",18.521
"2010/09/09",18.63
"2010/09/10",18.88
"2010/09/13",19.201
"2010/09/14",19.171
"2010/09/15",19.08
