x,y
"2020/09/18",68.35
"2020/09/21",72.96
"2020/09/22",84.82
"2020/09/23",81.85
"2020/09/24",83.2
"2020/09/25",89.85
"2020/09/28",95.801
"2020/09/29",94.92
"2020/09/30",87.28
"2020/10/01",84.56
"2020/10/02",83.53
"2020/10/05",84
"2020/10/06",82.791
"2020/10/07",88.651
"2020/10/08",91.401
"2020/10/09",99.111
"2020/10/12",90
"2020/10/13",92.111
"2020/10/14",90.02
"2020/10/15",91.431
"2020/10/16",92.56
"2020/10/19",89.301
"2020/10/20",87.151
"2020/10/21",91
"2020/10/22",100.96
"2020/10/23",97.28
"2020/10/26",99.96
"2020/10/27",104
"2020/10/28",99.761
"2020/10/29",108.84
"2020/10/30",94.88
"2020/11/02",94.13
"2020/11/03",98.07
"2020/11/04",106.45
"2020/11/05",110.761
"2020/11/06",119
"2020/11/09",102.85
"2020/11/10",99.661
"2020/11/11",105.581
"2020/11/12",101.74
"2020/11/13",114.77
"2020/11/16",111.511
"2020/11/17",118.051
"2020/11/18",115.011
"2020/11/19",116.31
"2020/11/20",122.801
