x,y
"2017/01/03",56.671
"2017/01/04",57.21
"2017/01/05",56.25
"2017/01/06",56.191
"2017/01/09",56.279
"2017/01/10",56.788
"2017/01/11",57.21
"2017/01/12",57.17
"2017/01/13",58.463
"2017/01/17",56.71
"2017/01/18",58.473
"2017/01/19",57.866
"2017/01/20",57.347
"2017/01/23",58.855
"2017/01/24",60.305
"2017/01/25",60.98
"2017/01/26",60.716
"2017/01/27",61.343
"2017/01/30",60.961
"2017/01/31",61.118
"2017/02/01",61.196
"2017/02/02",61.441
"2017/02/03",62.215
"2017/02/06",62.313
"2017/02/07",61.421
"2017/02/08",62.352
"2017/02/09",62.812
"2017/02/10",52.332
"2017/02/13",49.364
"2017/02/14",48.992
"2017/02/15",48.591
"2017/02/16",48.209
"2017/02/17",48.267
"2017/02/21",48.287
"2017/02/22",48.355
"2017/02/23",47.915
"2017/02/24",48.571
"2017/02/27",48.502
"2017/02/28",48.13
"2017/03/01",48.571
"2017/03/02",46.974
"2017/03/03",46.955
"2017/03/06",47.307
"2017/03/07",47.67
"2017/03/08",48.052
"2017/03/09",48.502
"2017/03/10",48.835
"2017/03/13",50.099
"2017/03/14",49.952
"2017/03/15",50.853
"2017/03/16",51.362
"2017/03/17",50.354
"2017/03/20",50.491
"2017/03/21",48.493
"2017/03/22",49.59
"2017/03/23",49.629
"2017/03/24",49.629
"2017/03/27",49.452
"2017/03/28",49.834
"2017/03/29",49.952
"2017/03/30",49.58
"2017/03/31",49.227
"2017/04/03",48.875
"2017/04/04",48.346
"2017/04/05",47.885
"2017/04/06",48.316
"2017/04/07",48.502
"2017/04/10",48.512
"2017/04/11",48.346
"2017/04/12",47.435
"2017/04/13",47.454
"2017/04/17",47.817
"2017/04/18",48.483
"2017/04/19",49.237
"2017/04/20",49.59
"2017/04/21",49.012
"2017/04/24",50.109
"2017/04/25",50.677
"2017/04/26",50.363
"2017/04/27",50.824
"2017/04/28",50.461
"2017/05/01",51.078
"2017/05/02",50.128
"2017/05/03",49.129
"2017/05/04",49.139
"2017/05/05",46.24
"2017/05/08",45.427
"2017/05/09",45.877
"2017/05/10",45.75
"2017/05/11",45.799
"2017/05/12",46.769
"2017/05/15",48.199
"2017/05/16",49.237
"2017/05/17",48.179
"2017/05/18",47.376
"2017/05/19",48.071
"2017/05/22",47.915
"2017/05/23",47.014
"2017/05/24",46.279
"2017/05/25",46.328
"2017/05/26",46.769
"2017/05/30",46.514
"2017/05/31",46.191
"2017/06/01",47.562
"2017/06/02",47.817
"2017/06/05",49.266
"2017/06/06",49.119
"2017/06/07",48.865
"2017/06/08",49.746
"2017/06/09",48.316
"2017/06/12",48.13
"2017/06/13",47.934
"2017/06/14",48.963
"2017/06/15",47.307
