x,y
"2016/01/04",1.447
"2016/01/05",1.439
"2016/01/06",1.423
"2016/01/07",1.374
"2016/01/08",1.366
"2016/01/11",1.358
"2016/01/12",1.35
"2016/01/13",1.35
"2016/01/14",1.415
"2016/01/15",1.342
"2016/01/19",1.366
"2016/01/20",1.358
"2016/01/21",1.35
"2016/01/22",1.382
"2016/01/25",1.382
"2016/01/26",1.415
"2016/01/27",1.471
"2016/01/28",1.576
"2016/01/29",1.584
"2016/02/01",1.609
"2016/02/02",1.592
"2016/02/03",1.6
"2016/02/04",1.609
"2016/02/05",1.617
"2016/02/08",1.584
"2016/02/09",1.56
"2016/02/10",1.592
"2016/02/11",1.568
"2016/02/12",1.56
"2016/02/16",1.617
"2016/02/17",1.665
"2016/02/18",1.689
"2016/02/19",1.657
"2016/02/22",1.665
"2016/02/23",1.641
"2016/02/24",1.625
"2016/02/25",1.657
"2016/02/26",1.657
"2016/02/29",1.673
"2016/03/01",1.681
"2016/03/02",1.681
"2016/03/03",1.697
"2016/03/04",1.714
"2016/03/07",1.706
"2016/03/08",1.665
"2016/03/09",1.657
"2016/03/10",1.689
"2016/03/11",1.73
"2016/03/14",1.689
"2016/03/15",1.665
"2016/03/16",1.722
"2016/03/17",1.697
"2016/03/18",1.714
"2016/03/21",1.697
"2016/03/22",1.706
"2016/03/23",1.689
"2016/03/24",1.706
"2016/03/28",1.673
"2016/03/29",1.657
"2016/03/30",1.706
"2016/03/31",1.681
"2016/04/01",1.722
"2016/04/04",1.689
"2016/04/05",1.673
"2016/04/06",1.633
"2016/04/07",1.6
"2016/04/08",1.617
"2016/04/11",1.617
"2016/04/12",1.649
"2016/04/13",1.649
"2016/04/14",1.633
"2016/04/15",1.617
"2016/04/18",1.649
"2016/04/19",1.641
"2016/04/20",1.617
"2016/04/21",1.592
"2016/04/22",1.609
"2016/04/25",1.609
"2016/04/26",1.609
"2016/04/27",1.576
"2016/04/28",1.528
"2016/04/29",1.528
"2016/05/02",1.495
"2016/05/03",1.439
"2016/05/04",1.455
"2016/05/05",1.455
"2016/05/06",1.439
"2016/05/09",1.463
"2016/05/10",1.439
"2016/05/11",1.463
"2016/05/12",1.431
"2016/05/13",1.415
"2016/05/16",1.455
"2016/05/17",1.447
"2016/05/18",1.455
"2016/05/19",1.423
"2016/05/20",1.455
"2016/05/23",1.463
"2016/05/24",1.479
"2016/05/25",1.504
"2016/05/26",1.52
"2016/05/27",1.528
"2016/05/31",1.52
"2016/06/01",1.528
"2016/06/02",1.552
"2016/06/03",1.544
"2016/06/06",1.552
"2016/06/07",1.584
"2016/06/08",1.633
"2016/06/09",1.625
"2016/06/10",1.576
"2016/06/13",1.584
"2016/06/14",1.544
"2016/06/15",1.56
"2016/06/16",1.52
"2016/06/17",1.536
"2016/06/20",1.568
"2016/06/21",1.576
"2016/06/22",1.584
"2016/06/23",1.609
"2016/06/24",1.552
"2016/06/27",1.584
"2016/06/28",1.609
"2016/06/29",1.617
"2016/06/30",1.609
"2016/07/01",1.6
"2016/07/05",1.592
"2016/07/06",1.576
"2016/07/07",1.625
"2016/07/08",1.625
"2016/07/11",1.689
"2016/07/12",1.696
"2016/07/13",1.688
"2016/07/14",1.696
"2016/07/15",1.688
"2016/07/18",1.696
"2016/07/19",1.654
"2016/07/20",1.671
"2016/07/21",1.688
"2016/07/22",1.671
"2016/07/25",1.645
"2016/07/26",1.679
"2016/07/27",1.603
"2016/07/28",1.612
"2016/07/29",1.595
"2016/08/01",1.637
"2016/08/02",1.603
"2016/08/03",1.595
"2016/08/04",1.62
"2016/08/05",1.629
"2016/08/08",1.603
"2016/08/09",1.629
"2016/08/10",1.637
"2016/08/11",1.654
"2016/08/12",1.629
"2016/08/15",1.629
"2016/08/16",1.612
"2016/08/17",1.603
"2016/08/18",1.595
"2016/08/19",1.578
"2016/08/22",1.553
"2016/08/23",1.578
"2016/08/24",1.586
"2016/08/25",1.603
"2016/08/26",1.595
"2016/08/29",1.578
"2016/08/30",1.586
"2016/08/31",1.57
"2016/09/01",1.57
"2016/09/02",1.578
"2016/09/06",1.595
"2016/09/07",1.603
"2016/09/08",1.578
"2016/09/09",1.57
"2016/09/12",1.578
"2016/09/13",1.544
"2016/09/14",1.544
"2016/09/15",1.536
"2016/09/16",1.544
"2016/09/19",1.553
"2016/09/20",1.561
"2016/09/21",1.595
"2016/09/22",1.586
"2016/09/23",1.578
"2016/09/26",1.561
"2016/09/27",1.561
"2016/09/28",1.561
"2016/09/29",1.561
"2016/09/30",1.561
