x,y
"2010/01/04",36.195
"2010/01/05",37.591
"2010/01/06",37.94
"2010/01/07",37.499
"2010/01/08",37.591
"2010/01/11",37.242
"2010/01/12",37.076
"2010/01/13",37.749
"2010/01/14",39.418
"2010/01/15",38.147
"2010/01/19",38.787
"2010/01/20",37.366
"2010/01/21",36.502
"2010/01/22",34.542
"2010/01/25",34.891
"2010/01/26",39.285
"2010/01/27",38.762
"2010/01/28",38.471
"2010/01/29",37.724
"2010/02/01",37.865
"2010/02/02",37.915
"2010/02/03",38.455
"2010/02/04",36.561
"2010/02/05",36.885
"2010/02/08",36.76
"2010/02/09",37.94
"2010/02/10",37.74
"2010/02/11",38.588
"2010/02/12",38.662
"2010/02/16",39.136
"2010/02/17",39.377
"2010/02/18",40.091
"2010/02/19",40.291
"2010/02/22",40.183
"2010/02/23",40.008
"2010/02/24",40.54
"2010/02/25",40.772
"2010/02/26",41.13
"2010/03/01",41.761
"2010/03/02",42.342
"2010/03/03",42.16
"2010/03/04",43.007
"2010/03/05",44.81
"2010/03/08",45.051
"2010/03/09",44.768
"2010/03/10",45.092
"2010/03/11",44.884
"2010/03/12",44.594
"2010/03/15",44.635
"2010/03/16",44.884
"2010/03/17",44.419
"2010/03/18",43.904
"2010/03/19",44.012
"2010/03/22",44.677
"2010/03/23",45.15
"2010/03/24",45.109
"2010/03/25",45.267
"2010/03/26",44.469
"2010/03/29",44.203
"2010/03/30",44.012
"2010/03/31",44.278
"2010/04/01",43.589
"2010/04/05",44.785
"2010/04/06",45.358
"2010/04/07",44.677
"2010/04/08",44.752
"2010/04/09",45.449
"2010/04/12",47.559
"2010/04/13",47.053
"2010/04/14",47.061
"2010/04/15",46.878
"2010/04/16",46.845
"2010/04/19",46.156
"2010/04/20",46.953
"2010/04/21",51.223
"2010/04/22",51.073
"2010/04/23",52.037
"2010/04/26",52.793
"2010/04/27",51.314
"2010/04/28",51.921
"2010/04/29",51.921
"2010/04/30",51.206
"2010/05/03",52.079
"2010/05/04",50.309
"2010/05/05",50.467
"2010/05/06",48.722
"2010/05/07",46.887
"2010/05/10",50.376
"2010/05/11",50.567
"2010/05/12",52.203
