x,y
"2020/01/02",196.73
"2020/01/03",200.881
"2020/01/06",202.741
"2020/01/07",203.211
"2020/01/08",204.15
"2020/01/09",208.881
"2020/01/10",209.12
"2020/01/13",211.75
"2020/01/14",209.37
"2020/01/15",211.741
"2020/01/16",213.54
"2020/01/17",214
"2020/01/21",214.441
"2020/01/22",214.09
"2020/01/23",215.021
"2020/01/24",212.75
"2020/01/27",209.771
"2020/01/28",210.971
"2020/01/29",212.131
"2020/01/30",213.34
"2020/01/31",208.14
"2020/02/03",210.56
"2020/02/04",214.48
"2020/02/05",213.26
"2020/02/06",216.941
"2020/02/07",205.071
"2020/02/10",205.831
"2020/02/11",204.461
"2020/02/12",208.29
"2020/02/13",209.81
"2020/02/14",209.571
"2020/02/18",210.48
"2020/02/19",211.23
"2020/02/20",209.06
"2020/02/21",206.12
"2020/02/24",200.411
"2020/02/25",193.65
"2020/02/26",195.851
"2020/02/27",190.54
"2020/02/28",189.75
"2020/03/02",196.851
"2020/03/03",189.051
"2020/03/04",199.78
"2020/03/05",192.31
"2020/03/06",192.01
"2020/03/09",176.81
"2020/03/10",186.06
"2020/03/11",178.03
"2020/03/12",165.67
"2020/03/13",182.62
"2020/03/16",160.28
"2020/03/17",176.191
"2020/03/18",164
"2020/03/19",164.601
"2020/03/20",157.131
"2020/03/23",151.17
"2020/03/24",170.53
"2020/03/25",166.971
"2020/03/26",175.9
"2020/03/27",173.911
"2020/03/30",188.551
"2020/03/31",180.09
"2020/04/01",175.461
"2020/04/02",181.801
"2020/04/03",182.691
"2020/04/06",195.851
"2020/04/07",190.95
"2020/04/08",193.2
"2020/04/09",196.071
"2020/04/13",199
"2020/04/14",204.34
"2020/04/15",201.301
"2020/04/16",206.12
"2020/04/17",209.93
"2020/04/20",210.9
"2020/04/21",206.75
"2020/04/22",215.661
"2020/04/23",213
"2020/04/24",212.131
"2020/04/27",214.23
"2020/04/28",211.071
"2020/04/29",211.39
"2020/04/30",209.491
"2020/05/01",205.021
"2020/05/04",208.84
"2020/05/05",210.551
"2020/05/06",212.42
"2020/05/07",211.78
"2020/05/08",210.04
"2020/05/11",212.15
"2020/05/12",208.861
"2020/05/13",212.09
"2020/05/14",214.961
"2020/05/15",217.25
"2020/05/18",217.081
"2020/05/19",212.411
"2020/05/20",215.81
"2020/05/21",211.06
"2020/05/22",213.721
"2020/05/26",208.221
"2020/05/27",209.98
"2020/05/28",212.78
"2020/05/29",219.01
"2020/06/01",219.03
"2020/06/02",217.39
"2020/06/03",213.961
"2020/06/04",210.23
"2020/06/05",211.28
"2020/06/08",214.45
"2020/06/09",213.43
"2020/06/10",213.15
"2020/06/11",204.161
"2020/06/12",204.17
"2020/06/15",205.851
"2020/06/16",207.4
"2020/06/17",209
"2020/06/18",207.23
"2020/06/19",205.26
"2020/06/22",205.75
"2020/06/23",207.191
"2020/06/24",202.73
"2020/06/25",205.111
"2020/06/26",203.64
"2020/06/29",204.101
"2020/06/30",206.831
"2020/07/01",210.48
"2020/07/02",210.81
"2020/07/06",212.2
"2020/07/07",211.111
"2020/07/08",210.801
"2020/07/09",212.611
"2020/07/10",209.991
"2020/07/13",201
"2020/07/14",198.65
"2020/07/15",199.191
"2020/07/16",198.39
"2020/07/17",199.7
"2020/07/20",207.661
"2020/07/21",205.01
"2020/07/22",205.81
"2020/07/23",205.48
"2020/07/24",208.53
"2020/07/27",209.79
"2020/07/28",206.42
"2020/07/29",208.73
"2020/07/30",208.48
"2020/07/31",211.68
"2020/08/03",212.051
"2020/08/04",214.381
"2020/08/05",212.161
"2020/08/06",211.801
"2020/08/07",210.4
"2020/08/10",206.301
"2020/08/11",201.801
"2020/08/12",205.221
"2020/08/13",210.301
"2020/08/14",207.29
"2020/08/17",206.75
"2020/08/18",206.991
"2020/08/19",206.15
"2020/08/20",208.161
"2020/08/21",206.73
"2020/08/24",207.301
"2020/08/25",205.7
"2020/08/26",208.51
"2020/08/27",207.87
"2020/08/28",208.14
"2020/08/31",214.801
"2020/09/01",215.78
"2020/09/02",219.7
"2020/09/03",207.78
"2020/09/04",203.54
"2020/09/08",196.81
"2020/09/09",200.331
"2020/09/10",198
"2020/09/11",198.131
"2020/09/14",202
"2020/09/15",204.331
"2020/09/16",202.991
"2020/09/17",203.491
"2020/09/18",204.68
"2020/09/21",202.89
"2020/09/22",205.29
"2020/09/23",200.14
"2020/09/24",202.01
"2020/09/25",205.581
"2020/09/28",204.721
"2020/09/29",204.911
"2020/09/30",204.851
"2020/10/01",207.221
"2020/10/02",202.161
"2020/10/05",203.45
"2020/10/06",202.09
"2020/10/07",203.821
"2020/10/08",205.471
"2020/10/09",209.56
"2020/10/12",214.15
"2020/10/13",216
"2020/10/14",212.14
"2020/10/15",208.601
"2020/10/16",207.34
"2020/10/19",203.17
"2020/10/20",203.961
"2020/10/21",205.56
"2020/10/22",207.861
"2020/10/23",200.801
"2020/10/26",198.581
"2020/10/27",199.06
"2020/10/28",189.831
"2020/10/29",191.59
"2020/10/30",190.7
"2020/11/02",189.2
"2020/11/03",191.51
"2020/11/04",203.39
"2020/11/05",208.321
"2020/11/06",206.67
"2020/11/09",203.461
"2020/11/10",199.98
"2020/11/11",201.9
"2020/11/12",198.971
"2020/11/13",198.51
"2020/11/16",194.881
"2020/11/17",194.51
"2020/11/18",194.26
"2020/11/19",197.441
"2020/11/20",196.441
