x,y
"2017/01/03",68.38
"2017/01/04",71.361
"2017/01/05",72.28
"2017/01/06",73.85
"2017/01/09",74.761
"2017/01/10",74.35
"2017/01/11",81.7
"2017/01/12",80.121
"2017/01/13",80.89
"2017/01/17",80.99
"2017/01/18",82.111
"2017/01/19",82.041
"2017/01/20",81.78
"2017/01/23",82.081
"2017/01/24",82.63
"2017/01/25",84.731
"2017/01/26",84.1
"2017/01/27",84.77
"2017/01/30",82.71
"2017/01/31",83.09
"2017/02/01",82.38
"2017/02/02",82.67
"2017/02/03",84.401
"2017/02/06",85.371
"2017/02/07",86.051
"2017/02/08",85.801
"2017/02/09",86
"2017/02/10",85.52
"2017/02/13",85.411
"2017/02/14",86.24
"2017/02/15",87.06
"2017/02/16",85.5
"2017/02/17",88.431
"2017/02/21",88.64
"2017/02/22",88.221
"2017/02/23",88.191
"2017/02/24",89.661
"2017/02/27",90.191
"2017/02/28",82.931
"2017/03/01",84.95
"2017/03/02",84
"2017/03/03",83.941
"2017/03/06",82.67
"2017/03/07",82.801
"2017/03/08",82.89
"2017/03/09",82.231
"2017/03/10",82.651
"2017/03/13",84.49
"2017/03/14",83.96
"2017/03/15",83.581
"2017/03/16",85.041
"2017/03/17",84.96
"2017/03/20",85.5
"2017/03/21",81.82
"2017/03/22",81.45
"2017/03/23",81.471
"2017/03/24",82.95
"2017/03/27",82.92
"2017/03/28",83.731
"2017/03/29",84.581
"2017/03/30",83.7
"2017/03/31",83.28
"2017/04/03",82.32
"2017/04/04",82.291
"2017/04/05",82.401
"2017/04/06",82.971
"2017/04/07",82.52
"2017/04/10",81.861
"2017/04/11",81.31
"2017/04/12",83.45
"2017/04/13",83.6
"2017/04/17",83.761
"2017/04/18",83.581
"2017/04/19",84.35
"2017/04/20",85.71
"2017/04/21",85
"2017/04/24",86.88
"2017/04/25",86.871
"2017/04/26",86.621
"2017/04/27",86.831
"2017/04/28",87.401
"2017/05/01",88.651
"2017/05/02",89.35
"2017/05/03",89.27
"2017/05/04",90.651
"2017/05/05",91.861
"2017/05/08",90.261
"2017/05/09",89.78
"2017/05/10",90.17
"2017/05/11",89.07
"2017/05/12",90.89
"2017/05/15",95.721
"2017/05/16",96.53
"2017/05/17",93.75
"2017/05/18",95.441
"2017/05/19",97.82
"2017/05/22",99.49
"2017/05/23",98.441
"2017/05/24",99.42
"2017/05/25",100.5
"2017/05/26",99.99
"2017/05/30",99.31
"2017/05/31",99.981
"2017/06/01",101.5
"2017/06/02",104.411
"2017/06/05",102.871
"2017/06/06",102.661
"2017/06/07",102.5
"2017/06/08",102.84
"2017/06/09",97.971
"2017/06/12",97.35
"2017/06/13",98.67
"2017/06/14",98.581
"2017/06/15",98.27
"2017/06/16",98.39
"2017/06/19",100.21
"2017/06/20",98.941
"2017/06/21",102.24
"2017/06/22",102.831
"2017/06/23",103.331
"2017/06/26",102.231
"2017/06/27",98.361
"2017/06/28",98.941
"2017/06/29",96.45
"2017/06/30",97
"2017/07/03",95.53
"2017/07/05",96.95
"2017/07/06",95.64
"2017/07/07",97.1
"2017/07/10",98.411
"2017/07/11",99.38
"2017/07/12",102.95
"2017/07/13",102.221
"2017/07/14",103.78
"2017/07/17",102.89
"2017/07/18",102.541
"2017/07/19",102.7
"2017/07/20",103.13
"2017/07/21",102.64
"2017/07/24",103.651
"2017/07/25",103.831
"2017/07/26",105.2
"2017/07/27",102.681
"2017/07/28",103.25
"2017/07/31",102.111
"2017/08/01",103.511
"2017/08/02",100.081
"2017/08/03",100.911
"2017/08/04",101.17
"2017/08/07",100.801
"2017/08/08",101.111
"2017/08/09",101.161
"2017/08/10",98.14
"2017/08/11",99.38
"2017/08/14",102.371
"2017/08/15",101.901
"2017/08/16",106.2
"2017/08/17",102.901
"2017/08/18",101.401
"2017/08/21",101.32
"2017/08/22",104.89
"2017/08/23",103.791
"2017/08/24",104.371
"2017/08/25",103.57
"2017/08/28",103.5
"2017/08/29",104.411
"2017/08/30",107.541
"2017/08/31",109.691
"2017/09/01",108.84
"2017/09/05",108.161
"2017/09/06",108.5
"2017/09/07",109.82
"2017/09/08",107.901
"2017/09/11",108.27
"2017/09/12",106.981
"2017/09/13",107.02
"2017/09/14",105.551
"2017/09/15",105.041
"2017/09/18",106.56
"2017/09/19",106.28
"2017/09/20",105
"2017/09/21",103.831
"2017/09/22",103.89
"2017/09/25",100.27
"2017/09/26",99.801
"2017/09/27",100.721
"2017/09/28",101.85
"2017/09/29",105.39
"2017/10/02",103.291
"2017/10/03",104.52
"2017/10/04",105.261
"2017/10/05",107.03
"2017/10/06",110.231
"2017/10/09",108.691
"2017/10/10",108.31
"2017/10/11",108.511
"2017/10/12",108.64
"2017/10/13",109.361
"2017/10/16",107.231
"2017/10/17",107.621
"2017/10/18",107.181
"2017/10/19",106.77
"2017/10/20",108.56
"2017/10/23",107.75
"2017/10/24",107.181
"2017/10/25",105.801
"2017/10/26",107.121
"2017/10/27",108.511
"2017/10/30",108.42
"2017/10/31",110.99
"2017/11/01",110.27
"2017/11/02",110.6
"2017/11/03",109.761
"2017/11/06",108.42
"2017/11/07",108.53
"2017/11/08",110.88
"2017/11/09",106.151
"2017/11/10",107.31
"2017/11/13",106.17
"2017/11/14",107.471
"2017/11/15",106.611
"2017/11/16",109.34
