x,y
"2016/01/04",5.489
"2016/01/05",5.519
"2016/01/06",5.524
"2016/01/07",5.489
"2016/01/08",5.47
"2016/01/11",5.367
"2016/01/12",5.568
"2016/01/13",5.426
"2016/01/14",5.563
"2016/01/15",5.416
"2016/01/19",5.421
"2016/01/20",5.475
"2016/01/21",5.543
"2016/01/22",5.612
"2016/01/25",5.555
"2016/01/26",5.634
"2016/01/27",5.643
"2016/01/28",5.609
"2016/01/29",5.782
"2016/02/01",5.841
"2016/02/02",5.806
"2016/02/03",5.806
"2016/02/04",5.88
"2016/02/05",5.772
"2016/02/08",5.584
"2016/02/09",5.52
"2016/02/10",5.545
"2016/02/11",5.421
"2016/02/12",5.461
"2016/02/16",5.52
"2016/02/17",5.609
"2016/02/18",5.722
"2016/02/19",5.732
"2016/02/22",5.698
"2016/02/23",5.624
"2016/02/24",5.569
"2016/02/25",5.594
"2016/02/26",5.574
"2016/02/29",5.515
"2016/03/01",5.698
"2016/03/02",5.885
"2016/03/03",5.88
"2016/03/04",5.895
"2016/03/07",5.91
"2016/03/08",5.821
"2016/03/09",5.836
"2016/03/10",5.786
"2016/03/11",5.831
"2016/03/14",5.92
"2016/03/15",5.88
"2016/03/16",5.929
"2016/03/17",5.999
"2016/03/18",6.082
"2016/03/21",6.097
"2016/03/22",6.073
"2016/03/23",6.073
"2016/03/24",6.117
"2016/03/28",6.073
"2016/03/29",6.117
"2016/03/30",6.181
"2016/03/31",6.206
"2016/04/01",6.29
"2016/04/04",6.309
"2016/04/05",6.156
"2016/04/06",6.132
"2016/04/07",6.013
"2016/04/08",5.979
"2016/04/11",6.112
"2016/04/12",6.166
"2016/04/13",6.285
"2016/04/14",6.26
"2016/04/15",6.378
"2016/04/18",6.354
"2016/04/19",6.398
"2016/04/20",6.393
"2016/04/21",6.097
"2016/04/22",6.023
"2016/04/25",6.063
"2016/04/26",6.082
"2016/04/27",6.087
"2016/04/28",5.999
"2016/04/29",5.994
"2016/05/02",5.944
"2016/05/03",5.865
"2016/05/04",5.831
"2016/05/05",5.826
"2016/05/06",5.846
"2016/05/09",5.92
"2016/05/10",5.9
"2016/05/11",5.87
"2016/05/12",5.89
"2016/05/13",5.846
"2016/05/16",5.91
"2016/05/17",5.841
"2016/05/18",5.89
"2016/05/19",5.855
"2016/05/20",5.92
"2016/05/23",5.895
"2016/05/24",5.92
"2016/05/25",5.979
"2016/05/26",5.984
"2016/05/27",6.003
"2016/05/31",5.925
"2016/06/01",6.008
"2016/06/02",5.989
"2016/06/03",5.984
"2016/06/06",5.959
"2016/06/07",6.013
"2016/06/08",6.023
"2016/06/09",5.989
"2016/06/10",5.969
"2016/06/13",5.9
"2016/06/14",5.9
"2016/06/15",5.91
"2016/06/16",5.92
"2016/06/17",5.915
"2016/06/20",6.013
"2016/06/21",6.018
"2016/06/22",6.043
"2016/06/23",6.077
"2016/06/24",5.855
"2016/06/27",5.786
"2016/06/28",5.87
"2016/06/29",5.989
"2016/06/30",6.097
"2016/07/01",6.082
"2016/07/05",6.043
"2016/07/06",6.008
"2016/07/07",5.986
"2016/07/08",6.05
"2016/07/11",6.129
"2016/07/12",6.154
"2016/07/13",6.144
"2016/07/14",6.1
"2016/07/15",5.902
"2016/07/18",5.853
"2016/07/19",5.453
"2016/07/20",5.665
"2016/07/21",5.596
"2016/07/22",5.557
"2016/07/25",5.596
"2016/07/26",5.616
"2016/07/27",5.65
"2016/07/28",5.69
"2016/07/29",5.601
"2016/08/01",5.715
"2016/08/02",5.631
"2016/08/03",5.611
"2016/08/04",5.616
"2016/08/05",5.626
"2016/08/08",5.616
"2016/08/09",5.576
"2016/08/10",5.561
"2016/08/11",5.596
"2016/08/12",5.576
"2016/08/15",5.596
"2016/08/16",5.547
"2016/08/17",5.453
"2016/08/18",5.394
"2016/08/19",5.339
"2016/08/22",5.265
"2016/08/23",5.31
"2016/08/24",5.236
"2016/08/25",5.176
"2016/08/26",5.112
"2016/08/29",5.023
"2016/08/30",5.043
"2016/08/31",5.097
"2016/09/01",5.073
"2016/09/02",5.132
"2016/09/06",5.107
"2016/09/07",5.048
"2016/09/08",4.959
"2016/09/09",4.85
"2016/09/12",4.89
"2016/09/13",4.806
"2016/09/14",4.816
"2016/09/15",4.845
"2016/09/16",4.786
"2016/09/19",4.875
"2016/09/20",4.85
"2016/09/21",4.845
"2016/09/22",4.86
"2016/09/23",4.826
"2016/09/26",4.816
"2016/09/27",4.855
"2016/09/28",4.831
"2016/09/29",4.831
"2016/09/30",4.796
"2016/10/03",4.806
"2016/10/04",4.786
"2016/10/05",4.801
"2016/10/06",4.816
"2016/10/07",4.811
"2016/10/10",4.85
"2016/10/11",4.791
"2016/10/12",4.786
"2016/10/13",4.895
"2016/10/14",4.821
"2016/10/17",4.84
"2016/10/18",4.934
"2016/10/19",4.969
"2016/10/20",4.9
"2016/10/21",4.831
"2016/10/24",4.806
"2016/10/25",4.786
"2016/10/26",4.732
"2016/10/27",4.668
"2016/10/28",4.756
"2016/10/31",4.776
"2016/11/01",4.766
"2016/11/02",4.722
"2016/11/03",4.648
"2016/11/04",4.677
"2016/11/07",4.776
"2016/11/08",4.712
"2016/11/09",4.663
"2016/11/10",4.638
"2016/11/11",4.584
"2016/11/14",4.549
"2016/11/15",4.584
"2016/11/16",4.623
"2016/11/17",4.584
"2016/11/18",4.564
"2016/11/21",4.579
"2016/11/22",4.623
"2016/11/23",4.643
"2016/11/25",4.791
"2016/11/28",4.742
"2016/11/29",4.732
"2016/11/30",4.737
"2016/12/01",4.677
"2016/12/02",4.608
"2016/12/05",4.579
"2016/12/06",4.613
"2016/12/07",4.658
"2016/12/08",4.618
"2016/12/09",4.613
"2016/12/12",4.618
"2016/12/13",4.752
"2016/12/14",4.663
"2016/12/15",4.752
"2016/12/16",4.747
"2016/12/19",4.756
"2016/12/20",4.752
"2016/12/21",4.732
"2016/12/22",4.707
"2016/12/23",4.717
"2016/12/27",4.747
"2016/12/28",4.707
"2016/12/29",4.742
"2016/12/30",4.781
