x,y
"2020/01/02",23.021
"2020/01/03",22.46
"2020/01/06",23.521
"2020/01/07",23.83
"2020/01/08",23.771
"2020/01/09",23.171
"2020/01/10",23.121
"2020/01/13",23.201
"2020/01/14",22.281
"2020/01/15",22.33
"2020/01/16",22.97
"2020/01/17",22.46
"2020/01/21",22.31
"2020/01/22",22.14
"2020/01/23",21.22
"2020/01/24",20.591
"2020/01/27",20.06
"2020/01/28",20.98
"2020/01/29",20.8
"2020/01/30",20.64
"2020/01/31",20.73
"2020/02/03",20.98
"2020/02/04",23.25
"2020/02/05",23.31
"2020/02/06",22.65
"2020/02/07",22.99
"2020/02/10",26.541
"2020/02/11",25.98
"2020/02/12",25.81
"2020/02/13",26.55
"2020/02/14",27.99
"2020/02/18",27.58
"2020/02/19",27.5
"2020/02/20",27.49
"2020/02/21",28.441
"2020/02/24",27.921
"2020/02/25",26.75
"2020/02/26",26.611
"2020/02/27",26.22
"2020/02/28",27.021
"2020/03/02",27.21
"2020/03/03",26.921
"2020/03/04",27.8
"2020/03/05",28.39
"2020/03/06",26.421
"2020/03/09",24.89
"2020/03/10",25.06
"2020/03/11",23.621
"2020/03/12",21.351
"2020/03/13",19.591
"2020/03/16",17.041
"2020/03/17",19.9
"2020/03/18",18.011
"2020/03/19",21.011
"2020/03/20",22.23
"2020/03/23",24.75
"2020/03/24",25.951
"2020/03/25",25.88
"2020/03/26",28.48
"2020/03/27",28.58
"2020/03/30",28.21
"2020/03/31",26.841
"2020/04/01",25.75
"2020/04/02",24.261
"2020/04/03",24.261
"2020/04/06",24.31
"2020/04/07",23.48
"2020/04/08",24.9
"2020/04/09",24.701
"2020/04/13",24.96
"2020/04/14",25.32
"2020/04/15",28.031
"2020/04/16",29.38
"2020/04/17",28.101
"2020/04/20",29.25
"2020/04/21",26.46
"2020/04/22",26.16
"2020/04/23",26.531
"2020/04/24",26.06
"2020/04/27",27.31
"2020/04/28",26.88
"2020/04/29",27.07
"2020/04/30",26.691
"2020/05/01",26.38
"2020/05/04",27.201
"2020/05/05",27.291
"2020/05/06",27.63
"2020/05/07",29.951
"2020/05/08",31.16
"2020/05/11",31.261
"2020/05/12",31.011
"2020/05/13",30.201
"2020/05/14",31.66
"2020/05/15",31.33
"2020/05/18",29
"2020/05/19",29.691
"2020/05/20",31.351
"2020/05/21",31.64
"2020/05/22",31.71
"2020/05/26",32.41
"2020/05/27",32.111
"2020/05/28",32.541
"2020/05/29",35.05
"2020/06/01",37.181
"2020/06/02",38.381
"2020/06/03",39.901
"2020/06/04",37.94
"2020/06/05",32.561
"2020/06/08",32.01
"2020/06/09",31.32
"2020/06/10",32.471
"2020/06/11",30.341
"2020/06/12",30.861
"2020/06/15",30.871
"2020/06/16",32.361
"2020/06/17",32.401
"2020/06/18",34.221
"2020/06/19",33.131
"2020/06/22",34.21
"2020/06/23",34.041
"2020/06/24",31.97
"2020/06/25",32.82
"2020/06/26",32.53
"2020/06/29",30.871
"2020/06/30",31.091
"2020/07/01",31.06
"2020/07/02",30.31
"2020/07/06",31.121
"2020/07/07",31.48
"2020/07/08",34.241
"2020/07/09",34.021
"2020/07/10",33.841
"2020/07/13",33.42
"2020/07/14",32.37
"2020/07/15",32.12
"2020/07/16",31.611
"2020/07/17",32.111
"2020/07/20",33.291
"2020/07/21",32.611
"2020/07/22",30.941
"2020/07/23",30.351
"2020/07/24",29.72
"2020/07/27",29.371
"2020/07/28",28.75
"2020/07/29",28.601
"2020/07/30",28.771
"2020/07/31",29.55
"2020/08/03",30.5
"2020/08/04",30.541
"2020/08/05",30.011
"2020/08/06",30.091
"2020/08/07",28.951
"2020/08/10",28.121
"2020/08/11",27.611
"2020/08/12",27.851
"2020/08/13",28.24
"2020/08/14",28.361
"2020/08/17",28.24
"2020/08/18",28.41
"2020/08/19",28.57
"2020/08/20",29.98
"2020/08/21",29.08
"2020/08/24",28.291
"2020/08/25",28.57
"2020/08/26",30.23
"2020/08/27",30.851
"2020/08/28",31.91
"2020/08/31",32.841
"2020/09/01",34.3
"2020/09/02",33.651
"2020/09/03",30.98
"2020/09/04",29.07
"2020/09/08",29.32
"2020/09/09",25.24
"2020/09/10",25.9
"2020/09/11",25.66
"2020/09/14",25.691
"2020/09/15",25.64
"2020/09/16",25.3
"2020/09/17",25.3
"2020/09/18",25.511
"2020/09/21",26.671
"2020/09/22",26.41
"2020/09/23",26.371
"2020/09/24",26.591
"2020/09/25",27.25
"2020/09/28",27.07
"2020/09/29",26.97
"2020/09/30",26.861
"2020/10/01",27.921
"2020/10/02",27.791
"2020/10/05",28.281
"2020/10/06",28.451
"2020/10/07",29.441
"2020/10/08",29.99
"2020/10/09",31
"2020/10/12",31.791
"2020/10/13",32.42
"2020/10/14",32.73
"2020/10/15",32.57
"2020/10/16",32.25
"2020/10/19",32.25
"2020/10/20",30.81
"2020/10/21",28.871
"2020/10/22",28.621
"2020/10/23",28.761
"2020/10/26",27.75
"2020/10/27",27.931
"2020/10/28",26.58
"2020/10/29",26.74
"2020/10/30",25.58
"2020/11/02",25.05
"2020/11/03",25.38
"2020/11/04",26.13
"2020/11/05",27.451
"2020/11/06",27.05
"2020/11/09",25.791
"2020/11/10",24.101
"2020/11/11",25.171
"2020/11/12",25.89
"2020/11/13",25.75
"2020/11/16",26.07
"2020/11/17",26.74
"2020/11/18",26.56
"2020/11/19",27.73
"2020/11/20",29.24
