x,y
"2007/01/03",17.182
"2007/01/04",17.589
"2007/01/05",17.429
"2007/01/08",17.538
"2007/01/09",17.458
"2007/01/10",17.735
"2007/01/11",17.982
"2007/01/12",18.055
"2007/01/16",17.611
"2007/01/17",17.065
"2007/01/18",16.716
"2007/01/19",17.378
"2007/01/22",16.978
"2007/01/23",17.022
"2007/01/24",17.757
"2007/01/25",17.764
"2007/01/26",17.822
"2007/01/29",17.553
"2007/01/30",17.655
"2007/01/31",17.684
"2007/02/01",17.808
"2007/02/02",17.99
"2007/02/05",17.953
"2007/02/06",17.982
"2007/02/07",18.545
"2007/02/08",18.42
"2007/02/09",18.194
"2007/02/12",18.179
"2007/02/13",18.15
"2007/02/14",18.683
"2007/02/15",18.756
"2007/02/16",18.917
"2007/02/20",18.895
"2007/02/21",18.815
"2007/02/22",19.275
"2007/02/23",19.326
"2007/02/26",19.239
"2007/02/27",18.976
"2007/02/28",18.713
"2007/03/01",18.632
"2007/03/02",18.479
"2007/03/05",18.099
"2007/03/06",18.384
"2007/03/07",18.304
"2007/03/08",18.384
"2007/03/09",18.735
"2007/03/12",19.1
"2007/03/13",18.756
"2007/03/14",18.8
"2007/03/15",18.83
"2007/03/16",18.662
"2007/03/19",18.61
"2007/03/20",18.866
"2007/03/21",19.428
"2007/03/22",19.282
"2007/03/23",19.377
"2007/03/26",19.209
"2007/03/27",18.976
"2007/03/28",18.72
"2007/03/29",18.647
"2007/03/30",18.793
"2007/04/02",18.735
"2007/04/03",18.932
"2007/04/04",18.99
"2007/04/05",19.012
"2007/04/09",18.961
"2007/04/10",19.092
"2007/04/11",18.749
"2007/04/12",18.91
"2007/04/13",19.129
"2007/04/16",19.209
"2007/04/17",19.202
"2007/04/18",19.794
"2007/04/19",19.947
"2007/04/20",19.837
"2007/04/23",19.728
"2007/04/24",20.699
"2007/04/25",21.327
"2007/04/26",22.043
"2007/04/27",21.62
"2007/04/30",21.532
"2007/05/01",21.568
"2007/05/02",21.839
"2007/05/03",21.641
"2007/05/04",21.853
"2007/05/07",21.758
"2007/05/08",21.868
"2007/05/09",22.066
"2007/05/10",21.743
"2007/05/11",21.963
"2007/05/14",22.007
"2007/05/15",21.956
"2007/05/16",21.853
"2007/05/17",21.575
"2007/05/18",21.457
"2007/05/21",21.303
"2007/05/22",21.443
"2007/05/23",21.047
"2007/05/24",20.533
"2007/05/25",20.416
"2007/05/29",20.585
"2007/05/30",20.621
"2007/05/31",20.885
"2007/06/01",20.592
"2007/06/04",20.658
"2007/06/05",20.482
