x,y
"2006/01/03",42.831
"2006/01/04",42.41
"2006/01/05",42.53
"2006/01/06",44.12
"2006/01/09",44.791
"2006/01/10",46.46
"2006/01/11",46.021
"2006/01/12",46.51
"2006/01/13",46.16
"2006/01/17",45.241
"2006/01/18",44.931
"2006/01/19",45
"2006/01/20",44.21
"2006/01/23",43.51
"2006/01/24",43.48
"2006/01/25",43.061
"2006/01/26",43.67
"2006/01/27",45.1
"2006/01/30",44.85
"2006/01/31",45.03
"2006/02/01",44.23
"2006/02/02",43.491
"2006/02/03",42.75
"2006/02/06",43.35
"2006/02/07",44
"2006/02/08",46.181
"2006/02/09",45.881
"2006/02/10",45.85
"2006/02/13",45.12
"2006/02/14",45.03
"2006/02/15",44.541
"2006/02/16",44.48
"2006/02/17",44.44
"2006/02/21",44.1
"2006/02/22",44.151
"2006/02/23",44.1
"2006/02/24",45.1
"2006/02/27",44.98
"2006/02/28",44.14
"2006/03/01",44.431
"2006/03/02",44.221
"2006/03/03",43.69
"2006/03/06",43.811
"2006/03/07",44.1
"2006/03/08",43.76
"2006/03/09",43.87
"2006/03/10",43.631
"2006/03/13",43.591
"2006/03/14",44.55
"2006/03/15",45
"2006/03/16",45.28
"2006/03/17",45.361
"2006/03/20",45.431
"2006/03/21",45.451
"2006/03/22",45.66
"2006/03/23",45.76
"2006/03/24",45.75
"2006/03/27",45.311
"2006/03/28",44.71
"2006/03/29",44.841
"2006/03/30",44.841
"2006/03/31",44.721
"2006/04/03",44.92
"2006/04/04",44.28
"2006/04/05",43.271
"2006/04/06",43.771
"2006/04/07",43.66
"2006/04/10",43.5
"2006/04/11",42.861
"2006/04/12",42.401
"2006/04/13",42.1
"2006/04/17",42.91
"2006/04/18",43.17
"2006/04/19",43.16
"2006/04/20",43.21
"2006/04/21",43.25
"2006/04/24",43.021
"2006/04/25",43.35
"2006/04/26",37.96
"2006/04/27",39.331
"2006/04/28",39.69
"2006/05/01",38.78
"2006/05/02",39.01
"2006/05/03",39.6
"2006/05/04",40.23
"2006/05/05",40.6
"2006/05/08",40.361
"2006/05/09",39.21
"2006/05/10",39.16
"2006/05/11",38.12
"2006/05/12",38.01
"2006/05/15",37.811
"2006/05/16",37.241
"2006/05/17",37
"2006/05/18",36.631
"2006/05/19",37.05
"2006/05/22",36.67
"2006/05/23",35.53
"2006/05/24",35.081
"2006/05/25",35.48
"2006/05/26",36.03
"2006/05/30",35.521
"2006/05/31",35.311
"2006/06/01",35.811
"2006/06/02",36.78
"2006/06/05",36.39
"2006/06/06",35.491
"2006/06/07",34.951
"2006/06/08",34.081
"2006/06/09",34.12
"2006/06/12",33.271
"2006/06/13",32.951
"2006/06/14",33.17
"2006/06/15",34.201
"2006/06/16",34.021
"2006/06/19",33.03
"2006/06/20",32.991
"2006/06/21",33.811
"2006/06/22",33.291
"2006/06/23",33.401
"2006/06/26",33.39
"2006/06/27",32.91
"2006/06/28",33.19
"2006/06/29",34.05
"2006/06/30",34.16
"2006/07/03",33.881
"2006/07/05",32.581
"2006/07/06",32.41
"2006/07/07",31.88
"2006/07/10",31.931
"2006/07/11",32.381
"2006/07/12",32.431
"2006/07/13",31.31
"2006/07/14",31.091
"2006/07/17",31.201
"2006/07/18",31
"2006/07/19",31
"2006/07/20",30.23
"2006/07/21",29.58
"2006/07/24",30.08
"2006/07/25",30.99
"2006/07/26",31.81
"2006/07/27",31.261
"2006/07/28",31.41
"2006/07/31",31.351
"2006/08/01",31.22
"2006/08/02",31.75
"2006/08/03",32.42
"2006/08/04",33.05
"2006/08/07",32.6
"2006/08/08",32.5
"2006/08/09",32.28
"2006/08/10",32.51
"2006/08/11",32.651
"2006/08/14",32.96
"2006/08/15",33.37
"2006/08/16",33.791
"2006/08/17",33.881
"2006/08/18",34.041
"2006/08/21",33.3
"2006/08/22",33.41
"2006/08/23",33.341
"2006/08/24",33.21
"2006/08/25",33.331
"2006/08/28",33.64
"2006/08/29",33.89
"2006/08/30",34.111
"2006/08/31",33.841
"2006/09/01",34.291
"2006/09/05",34.631
"2006/09/06",33.94
"2006/09/07",33.32
"2006/09/08",33.53
"2006/09/11",34.05
"2006/09/12",35.6
"2006/09/13",35.901
"2006/09/14",35.471
"2006/09/15",35.64
"2006/09/18",36.381
"2006/09/19",35.541
"2006/09/20",36.151
"2006/09/21",35.32
"2006/09/22",34.62
"2006/09/25",35.19
"2006/09/26",35.6
"2006/09/27",35.221
"2006/09/28",35.96
"2006/09/29",35.741
"2006/10/02",35.291
"2006/10/03",35.05
"2006/10/04",35.741
"2006/10/05",35.51
"2006/10/06",36.041
"2006/10/09",36.341
"2006/10/10",36.401
"2006/10/11",36.67
"2006/10/12",37.061
"2006/10/13",37.07
"2006/10/16",36.951
"2006/10/17",36.6
"2006/10/18",36.181
"2006/10/19",36.491
"2006/10/20",36.361
"2006/10/23",36.721
"2006/10/24",36.721
"2006/10/25",36.771
"2006/10/26",37.431
"2006/10/27",37.03
"2006/10/30",37.5
"2006/10/31",37.271
"2006/11/01",36.831
"2006/11/02",35.931
"2006/11/03",35.73
"2006/11/06",35.8
"2006/11/07",35.991
"2006/11/08",35.87
"2006/11/09",35.51
"2006/11/10",35.48
"2006/11/13",35.37
"2006/11/14",35.591
"2006/11/15",36.69
"2006/11/16",36.48
"2006/11/17",35.5
