x,y
"2014/05/15",13.431
"2014/05/16",15.25
"2014/05/19",16.5
"2014/05/20",16.951
"2014/05/21",17.191
"2014/05/22",16.15
"2014/05/23",16.361
"2014/05/27",16.101
"2014/05/28",17.38
"2014/05/29",17.49
"2014/05/30",15.98
"2014/06/02",15
"2014/06/03",15.061
"2014/06/04",15.301
"2014/06/05",15.221
"2014/06/06",15.391
"2014/06/09",17.32
"2014/06/10",16.5
"2014/06/11",18.49
"2014/06/12",17.89
"2014/06/13",16.75
"2014/06/16",17.24
"2014/06/17",17.701
"2014/06/18",17.611
"2014/06/19",18
"2014/06/20",17.56
"2014/06/23",17.99
"2014/06/24",17.81
"2014/06/25",17.941
"2014/06/26",17.681
"2014/06/27",17.16
"2014/06/30",17.38
"2014/07/01",17.3
"2014/07/02",16.431
"2014/07/03",16.511
"2014/07/07",15.79
"2014/07/08",16.38
"2014/07/09",16.05
"2014/07/10",16.08
"2014/07/11",15.94
"2014/07/14",16.48
"2014/07/15",17.06
"2014/07/16",17.15
"2014/07/17",17.14
"2014/07/18",17.64
"2014/07/21",17.32
"2014/07/22",17.261
"2014/07/23",17.4
"2014/07/24",17.49
"2014/07/25",17.05
"2014/07/28",17.25
"2014/07/29",17.25
"2014/07/30",17.771
"2014/07/31",17.39
"2014/08/01",17.55
"2014/08/04",17.5
"2014/08/05",17.97
"2014/08/06",19.181
"2014/08/07",19.421
"2014/08/08",21.291
"2014/08/11",22.921
"2014/08/12",22.701
"2014/08/13",23.32
"2014/08/14",23.341
"2014/08/15",23.98
"2014/08/18",24.25
"2014/08/19",25.201
"2014/08/20",25.011
"2014/08/21",24.98
"2014/08/22",24.941
"2014/08/25",25.21
"2014/08/26",26.281
"2014/08/27",26.72
"2014/08/28",27.07
"2014/08/29",27.191
"2014/09/02",27.74
"2014/09/03",26.98
"2014/09/04",24.89
"2014/09/05",24.671
"2014/09/08",24.23
"2014/09/09",24.25
"2014/09/10",24.341
"2014/09/11",24.4
"2014/09/12",23.5
"2014/09/15",22.06
"2014/09/16",21.771
"2014/09/17",22.791
"2014/09/18",23.07
"2014/09/19",22.65
"2014/09/22",21.8
"2014/09/23",21.341
"2014/09/24",21.75
"2014/09/25",21.771
"2014/09/26",21.9
"2014/09/29",21.89
"2014/09/30",21.591
"2014/10/01",21.55
"2014/10/02",21.851
"2014/10/03",25.55
"2014/10/06",24.32
"2014/10/07",23.611
"2014/10/08",23.15
"2014/10/09",22.32
"2014/10/10",20.521
"2014/10/13",19.941
"2014/10/14",20.621
"2014/10/15",21.761
"2014/10/16",22.33
"2014/10/17",22.08
"2014/10/20",21.171
"2014/10/21",21.3
"2014/10/22",20.07
"2014/10/23",20.25
"2014/10/24",21.091
"2014/10/27",21.24
"2014/10/28",22.531
"2014/10/29",22.261
"2014/10/30",23.23
"2014/10/31",26
"2014/11/03",26.4
"2014/11/04",26.71
"2014/11/05",24.96
"2014/11/06",25.22
"2014/11/07",24.65
"2014/11/10",24.23
"2014/11/11",23.341
"2014/11/12",25.06
"2014/11/13",24.82
"2014/11/14",25.05
"2014/11/17",24.08
"2014/11/18",24.291
"2014/11/19",24.431
"2014/11/20",24.9
"2014/11/21",24.38
"2014/11/24",24.38
"2014/11/25",23.701
"2014/11/26",23.57
"2014/11/28",23.761
"2014/12/01",22.681
"2014/12/02",23.33
"2014/12/03",23.65
"2014/12/04",23.74
"2014/12/05",23.89
"2014/12/08",23.781
"2014/12/09",24.671
"2014/12/10",23.931
"2014/12/11",23.83
"2014/12/12",23.39
"2014/12/15",22.601
"2014/12/16",23.351
"2014/12/17",24.57
"2014/12/18",24.541
"2014/12/19",24.63
"2014/12/22",24.601
"2014/12/23",24.55
"2014/12/24",24.83
"2014/12/26",25
"2014/12/29",24.091
"2014/12/30",24.41
"2014/12/31",24.371
