x,y
"2020/01/02",47.331
"2020/01/03",47.381
"2020/01/06",48.701
"2020/01/07",48.401
"2020/01/08",50.75
"2020/01/09",54
"2020/01/10",55
"2020/01/13",59.62
"2020/01/14",59.541
"2020/01/15",59.991
"2020/01/16",61.82
"2020/01/17",59.431
"2020/01/21",60.51
"2020/01/22",59.92
"2020/01/23",59.311
"2020/01/24",57.8
"2020/01/27",56.041
"2020/01/28",56.5
"2020/01/29",57.131
"2020/01/30",57.69
"2020/01/31",56.091
"2020/02/03",56.82
"2020/02/04",58.881
"2020/02/05",58.51
"2020/02/06",58.401
"2020/02/07",58.971
"2020/02/10",60.841
"2020/02/11",60.92
"2020/02/12",60.48
"2020/02/13",61.901
"2020/02/14",62.111
"2020/02/18",63.861
"2020/02/19",65.17
"2020/02/20",65.181
"2020/02/21",54.51
"2020/02/24",51.861
"2020/02/25",50.41
"2020/02/26",51.331
"2020/02/27",49.741
"2020/02/28",51.991
"2020/03/02",52.78
"2020/03/03",51.331
"2020/03/04",53.39
"2020/03/05",53.361
"2020/03/06",49.39
"2020/03/09",43.94
"2020/03/10",47.01
"2020/03/11",42.881
"2020/03/12",39.5
"2020/03/13",41.89
"2020/03/16",41.82
"2020/03/17",46.861
"2020/03/18",50.17
"2020/03/19",51.806
"2020/03/20",53.64
"2020/03/23",58.03
"2020/03/24",62.14
"2020/03/25",59.131
"2020/03/26",60.55
"2020/03/27",58.631
"2020/03/30",58.841
"2020/03/31",60.861
"2020/04/01",61.991
"2020/04/02",61.181
"2020/04/03",63.401
"2020/04/06",63.311
"2020/04/07",62.361
"2020/04/08",64.931
"2020/04/09",62.591
"2020/04/13",62.17
"2020/04/14",66.481
"2020/04/15",69.96
"2020/04/16",70.371
"2020/04/17",68
"2020/04/20",70.511
"2020/04/21",65.181
"2020/04/22",66.911
"2020/04/23",66.24
"2020/04/24",67.5
"2020/04/27",70.471
"2020/04/28",66.721
"2020/04/29",66.63
"2020/04/30",67.081
"2020/05/01",66.85
"2020/05/04",69.081
"2020/05/05",71.231
"2020/05/06",72.541
"2020/05/07",74.88
"2020/05/08",74.02
"2020/05/11",76.96
"2020/05/12",76.45
"2020/05/13",75.161
"2020/05/14",75.621
"2020/05/15",76.39
"2020/05/18",73.81
"2020/05/19",75.24
"2020/05/20",77.06
"2020/05/21",75.63
"2020/05/22",76.941
"2020/05/26",76.52
"2020/05/27",74.53
"2020/05/28",75.801
"2020/05/29",98.09
"2020/06/01",109.981
"2020/06/02",106.17
"2020/06/03",107.411
"2020/06/04",103.051
"2020/06/05",99.31
"2020/06/08",102.74
"2020/06/09",103.59
"2020/06/10",105.721
"2020/06/11",102.681
"2020/06/12",102.471
"2020/06/15",104.52
"2020/06/16",102.81
"2020/06/17",106.181
"2020/06/18",113.051
"2020/06/19",108.57
"2020/06/22",109.67
"2020/06/23",110.31
"2020/06/24",108.261
"2020/06/25",111.611
"2020/06/26",106
"2020/06/29",105.39
"2020/06/30",109.5
"2020/07/01",111.511
"2020/07/02",110.21
"2020/07/06",114.78
"2020/07/07",113.84
"2020/07/08",120.85
"2020/07/09",127.411
"2020/07/10",125.49
"2020/07/13",119.911
"2020/07/14",122.431
"2020/07/15",119.84
"2020/07/16",117.151
"2020/07/17",120.31
"2020/07/20",127.6
"2020/07/21",125.471
"2020/07/22",125.111
"2020/07/23",123.46
"2020/07/24",121.721
"2020/07/27",124.871
"2020/07/28",124.38
"2020/07/29",126.971
"2020/07/30",129.29
"2020/07/31",129.851
"2020/08/03",132.581
"2020/08/04",132.491
"2020/08/05",134.53
"2020/08/06",132.28
"2020/08/07",125.85
"2020/08/10",122.39
"2020/08/11",117.511
"2020/08/12",119.34
"2020/08/13",122.07
"2020/08/14",122.89
"2020/08/17",124.49
"2020/08/18",127.971
"2020/08/19",128.26
"2020/08/20",136.42
"2020/08/21",135.221
"2020/08/24",135.741
"2020/08/25",135.631
"2020/08/26",140
"2020/08/27",138.76
"2020/08/28",141.131
"2020/08/31",143.34
"2020/09/01",159.361
"2020/09/02",158.521
"2020/09/03",143.45
"2020/09/04",134.34
"2020/09/08",133.17
"2020/09/09",134.191
"2020/09/10",132.611
"2020/09/11",128.5
"2020/09/14",130.101
"2020/09/15",132.64
"2020/09/16",131.06
"2020/09/17",127.21
"2020/09/18",129.101
"2020/09/21",134.93
"2020/09/22",137.991
"2020/09/23",135.611
"2020/09/24",134.56
"2020/09/25",138.271
"2020/09/28",138.42
"2020/09/29",140.491
"2020/09/30",140.691
"2020/10/01",144.295
"2020/10/02",142.051
"2020/10/05",145.31
"2020/10/06",145.51
"2020/10/07",147.68
"2020/10/08",147.661
"2020/10/09",151.961
"2020/10/12",151.15
"2020/10/13",154.42
"2020/10/14",155.09
"2020/10/15",154.971
"2020/10/16",154.851
"2020/10/19",153.17
"2020/10/20",150.801
"2020/10/21",146.851
"2020/10/22",146.581
"2020/10/23",147.051
"2020/10/26",149
"2020/10/27",148.64
"2020/10/28",144.06
"2020/10/29",142.56
"2020/10/30",135.75
"2020/11/02",134.43
"2020/11/03",134.65
"2020/11/04",145.351
"2020/11/05",150.071
"2020/11/06",150.06
"2020/11/09",128.771
"2020/11/10",127.761
"2020/11/11",135.491
"2020/11/12",140.06
"2020/11/13",131.92
"2020/11/16",133.521
"2020/11/17",136.64
"2020/11/18",135.381
"2020/11/19",138.54
"2020/11/20",143.01
