date,open,high,low,close
"2017/01/03",28.951,29.083,28.691,29.038
"2017/01/04",28.963,29.128,28.938,29.005
"2017/01/05",28.98,29.216,28.953,29.153
"2017/01/06",29.195,29.541,29.118,29.478
"2017/01/09",29.488,29.858,29.486,29.748
"2017/01/10",29.693,29.845,29.576,29.778
"2017/01/11",29.685,29.983,29.65,29.938
"2017/01/12",29.726,29.826,29.553,29.813
"2017/01/13",29.778,29.906,29.703,29.761
"2017/01/17",29.585,30.06,29.556,30
"2017/01/18",30,30.125,29.928,29.998
"2017/01/19",29.851,30.023,29.843,29.945
"2017/01/20",30.113,30.113,29.933,30
"2017/01/23",30,30.203,29.943,30.021
"2017/01/24",29.888,30.025,29.875,29.993
"2017/01/25",30.105,30.525,30.07,30.47
"2017/01/26",30.418,30.611,30.4,30.486
"2017/01/27",30.535,30.588,30.4,30.488
"2017/01/30",30.233,30.408,30.166,30.408
"2017/01/31",30.288,30.348,30.156,30.338
"2017/02/01",31.758,32.623,31.753,32.188
"2017/02/02",31.996,32.348,31.945,32.133
"2017/02/03",32.078,32.298,32.041,32.271
"2017/02/06",32.283,32.625,32.225,32.573
"2017/02/07",32.635,33.023,32.613,32.883
"2017/02/08",32.838,33.056,32.806,33.01
"2017/02/09",32.913,33.113,32.78,33.105
"2017/02/10",33.116,33.236,33.013,33.03
"2017/02/13",33.271,33.456,33.188,33.323
"2017/02/14",33.368,33.773,33.313,33.756
"2017/02/15",33.881,34.068,33.655,33.878
"2017/02/16",33.918,33.975,33.71,33.838
"2017/02/17",33.776,33.958,33.776,33.931
"2017/02/21",34.058,34.188,33.995,34.175
"2017/02/22",34.108,34.28,34.028,34.278
"2017/02/23",34.346,34.37,34.076,34.133
"2017/02/24",33.978,34.166,33.82,34.166
"2017/02/27",34.285,34.361,34.07,34.233
"2017/02/28",34.271,34.361,34.175,34.248
"2017/03/01",34.473,35.038,34.401,34.948
"2017/03/02",35,35.07,34.69,34.741
"2017/03/03",34.695,34.958,34.648,34.945
"2017/03/06",34.843,34.943,34.651,34.835
"2017/03/07",34.765,34.995,34.698,34.881
"2017/03/08",34.738,34.951,34.706,34.75
"2017/03/09",34.686,34.698,34.263,34.67
"2017/03/10",34.813,34.841,34.66,34.785
"2017/03/13",34.713,34.858,34.706,34.8
"2017/03/14",34.826,34.913,34.71,34.748
"2017/03/15",34.853,35.188,34.758,35.116
"2017/03/16",35.181,35.256,35.065,35.173
"2017/03/17",35.25,35.25,34.973,34.998
"2017/03/20",35.1,35.375,35.058,35.366
"2017/03/21",35.528,35.701,34.933,34.96
"2017/03/22",34.963,35.401,34.94,35.355
"2017/03/23",35.315,35.396,35.153,35.23
"2017/03/24",35.375,35.436,35.088,35.16
"2017/03/27",34.848,35.306,34.655,35.221
"2017/03/28",35.228,36.01,35.155,35.951
"2017/03/29",35.92,36.123,35.798,36.03
