date,open,high,low,close
"2020/01/02",210.861,211.92,208.81,210.15
"2020/01/03",208.5,210.631,207,209.801
"2020/01/06",208.271,208.79,206.81,208.43
"2020/01/07",203.2,206.26,203.191,203.93
"2020/01/08",204,205.45,203.53,204.331
"2020/01/09",205.5,207.28,205.161,206.15
"2020/01/10",206.93,208.31,206.73,207.661
"2020/01/13",207.491,209.84,207.491,209.59
"2020/01/14",209.551,211,207.03,207.73
"2020/01/15",208,208.441,206.73,207.26
"2020/01/16",208.14,209.101,207.9,208.98
"2020/01/17",210,210.65,208.351,209.2
"2020/01/21",207.5,210.161,207,209.15
"2020/01/22",210.2,211.861,209.351,209.411
"2020/01/23",209.4,210.81,208.87,210.68
"2020/01/24",211,211.59,208.051,208.571
"2020/01/27",205.18,207.84,204.851,206.551
"2020/01/28",207.87,210.961,207.25,210.241
"2020/01/29",210.68,211.211,207.79,207.961
"2020/01/30",207.5,208.93,205.2,208.37
"2020/01/31",208.5,209.631,204,205.211
"2020/02/03",205.34,208.42,205.25,207.801
"2020/02/04",210,213.79,209.75,212.53
"2020/02/05",213.89,214.461,210.411,212.221
"2020/02/06",213,214.381,212.31,214.161
"2020/02/07",213.34,213.39,211.09,211.581
"2020/02/10",210.191,212.971,210.191,212.551
"2020/02/11",213.381,213.98,211.76,212.14
"2020/02/12",212.2,212.87,211.54,211.991
"2020/02/13",209.87,213.54,209.34,212.4
"2020/02/14",213.25,213.54,211.351,212.37
"2020/02/18",212.5,214.06,211.2,213.76
"2020/02/19",215,216.39,214.381,215.92
"2020/02/20",215.881,216.321,211.611,213.9
"2020/02/21",212.59,213.551,210.491,211.89
"2020/02/24",204.471,207.87,203.45,204.361
"2020/02/25",204.78,205.48,195.861,197.101
"2020/02/26",198.67,201.45,194.79,195.67
"2020/02/27",192.2,194.351,186.37,186.441
"2020/02/28",180.26,183.2,175.301,180.59
"2020/03/02",182,189.821,178.021,189.551
"2020/03/03",189.771,191.9,180.62,182.221
"2020/03/04",185.801,189.711,184.301,188.861
"2020/03/05",185.09,187.461,180.92,182.56
"2020/03/06",177.45,180.31,173.92,178.75
"2020/03/09",165.4,170.881,160.101,164.111
"2020/03/10",171.081,174.741,166.04,174.56
"2020/03/11",169.321,171.17,162.65,165.111
"2020/03/12",153,158.75,147.081,152.53
"2020/03/13",160.62,166.711,152.93,166.51
"2020/03/16",148.29,166.51,143.51,152.54
"2020/03/17",154,160.661,152.48,157.711
"2020/03/18",151.571,159.801,142,151.15
"2020/03/19",151.361,177.801,151.361,158.5
"2020/03/20",157.53,159.471,147.42,149.941
"2020/03/23",148.01,148.01,137.15,143.691
"2020/03/24",152.26,157.631,149.491,156.851
"2020/03/25",156.441,159.691,148.111,151.821
"2020/03/26",153.4,171.601,150,171.34
"2020/03/27",165,169.29,160.611,162.881
"2020/03/30",164.12,170.37,163.78,169.821
"2020/03/31",167.43,169.881,162.161,163.26
"2020/04/01",158.571,160.821,152.581,154.68
"2020/04/02",154.051,160.5,153.551,156.271
"2020/04/03",155.601,158.721,148.28,152.15
"2020/04/06",158.98,166.75,157.04,166.051
"2020/04/07",171.081,171.491,163.93,164.12
"2020/04/08",166.581,172.691,165.071,171.73
"2020/04/09",173.23,179.87,172.51,177.92
"2020/04/13",176.18,177.01,169.56,172.571
"2020/04/14",177,178.89,176.021,178.101
"2020/04/15",174.301,174.31,168.89,169.45
"2020/04/16",171.26,172.051,167.521,167.95
"2020/04/17",172.521,175.161,172.051,175.09
"2020/04/20",172.59,176.9,171.76,174.741
"2020/04/21",170.821,172.801,165.711,166.241
"2020/04/22",170.04,173.34,169.211,172.31
"2020/04/23",173.361,175.321,172.14,172.9
"2020/04/24",176.4,176.4,172.571,175.461
"2020/04/27",176.23,180.54,176.2,179.43
"2020/04/28",182.081,183.26,176.911,178.361
"2020/04/29",182.31,188.17,181.7,187.56
"2020/04/30",185.53,186.48,184.191,185.191
"2020/05/01",181.711,182.991,179.26,180.09
"2020/05/04",177.98,180.64,176.881,179.53
"2020/05/05",182.081,183.89,181,181.62
"2020/05/06",182.101,182.5,179.051,180.381
"2020/05/07",182.991,187.43,182.5,187.111
"2020/05/08",188.991,189.851,187.68,188.56
"2020/05/11",186.491,189.53,185.29,187.75
"2020/05/12",187.84,189.991,185.691,185.721
"2020/05/13",185.04,185.14,178.75,181
"2020/05/14",178.7,180.01,174.941,179.991
"2020/05/15",178.37,183.961,177.831,183.881
"2020/05/18",189,194.14,188.111,192.75
"2020/05/19",192.5,194.51,189.92,190.09
"2020/05/20",192.5,195.67,192.23,195.18
"2020/05/21",194.7,195.521,192.7,193.5
"2020/05/22",194.081,194.89,191.131,193.711
"2020/05/26",199.42,199.991,196.03,196.4
"2020/05/27",198.381,199.95,196.211,199.93
"2020/05/28",200.01,204.18,200.01,201.67
"2020/05/29",201.491,202.411,198.691,201.62
"2020/06/01",201.54,203.75,199.87,203.381
"2020/06/02",204.09,205.79,202.34,205.78
"2020/06/03",204.42,207.831,204.31,207.28
"2020/06/04",206.09,207.79,202.331,203.101
"2020/06/05",205.991,209.721,204.79,208.491
"2020/06/08",207.51,211.321,207,211.28
"2020/06/09",209.39,209.79,205.5,207.34
"2020/06/10",207.26,210.831,205.9,209.43
"2020/06/11",205.521,205.95,195.881,195.95
"2020/06/12",201.101,202.43,197.31,201.59
"2020/06/15",196.491,200.741,194.831,199.79
"2020/06/16",203.361,206.881,202.12,204.4
"2020/06/17",206.03,206.331,203.65,205.2
"2020/06/18",201.73,203.17,199.29,202.93
"2020/06/19",207.54,208.29,201.521,201.551
"2020/06/22",200.801,204.081,199.471,202.601
"2020/06/23",205.37,209.68,205.37,207.4
"2020/06/24",205.51,207.4,200.5,201.84
"2020/06/25",213,217.89,211.5,217.321
"2020/06/26",216.78,216.93,211.071,212.471
"2020/06/29",210.15,213.39,210.15,212.721
"2020/06/30",212.37,215.64,212.131,214.721
"2020/07/01",214.5,216.9,213.881,214.59
"2020/07/02",216.571,218.45,214.9,215.721
"2020/07/06",217.76,219.661,216.31,217.551
"2020/07/07",216.321,219.87,216.12,216.331
"2020/07/08",217.471,219.15,216.34,218.89
"2020/07/09",218.471,220.611,216.23,219.31
"2020/07/10",219,220.861,217.67,220.26
"2020/07/13",221.331,221.87,215.23,215.741
"2020/07/14",214.801,219.37,213.51,219.161
"2020/07/15",220,222.75,218.461,219.76
"2020/07/16",219.78,220.631,218.601,219.111
"2020/07/17",219.691,222.64,218.301,221.941
"2020/07/20",222,224.111,220.111,223.43
"2020/07/21",224.9,225.741,222.441,222.75
"2020/07/22",222.75,224.741,222.441,224.23
"2020/07/23",224.081,225.51,221.37,222.301
"2020/07/24",220.211,223.17,220.211,221.441
"2020/07/27",221.5,224.521,220.831,223.321
"2020/07/28",223.04,224.76,221.9,222.18
"2020/07/29",221.98,225.4,221.93,224.381
"2020/07/30",220.81,223.991,219.78,223.98
"2020/07/31",223.89,224.95,220.9,224.78
"2020/08/03",225,228,224.461,227.18
"2020/08/04",226.29,227.78,225.551,227.15
"2020/08/05",227.941,229.4,227.461,228.7
"2020/08/06",227.68,230.971,227.68,230.89
"2020/08/07",229.25,231.87,228.721,231.56
"2020/08/10",229.691,231.26,229.521,230.34
"2020/08/11",230.581,232.51,228.161,228.571
"2020/08/12",230.301,231.321,229.25,229.75
"2020/08/13",229.59,232.381,228.93,231.73
"2020/08/14",230.571,231.93,229.411,230.25
"2020/08/17",231.45,233.771,230.98,232.62
"2020/08/18",233.351,234.93,232.581,234.23
"2020/08/19",233.801,236.5,233.801,234.631
"2020/08/20",233.941,236.95,233.581,236.611
"2020/08/21",236.861,238.301,235,237.491
"2020/08/24",238.06,239.361,235.851,237.75
"2020/08/25",237.93,238.73,236.711,238.211
"2020/08/26",238.67,241.25,238.111,240.45
"2020/08/27",242.37,242.771,240,240.87
"2020/08/28",241.971,243.221,240.26,242.991
"2020/08/31",243.301,243.54,239.101,239.93
"2020/09/01",238.491,240.021,237.2,240.021
"2020/09/02",241.9,247.821,240.84,247.18
"2020/09/03",245.101,246.14,237.131,238.98
"2020/09/04",240.17,240.87,231.911,236.071
"2020/09/08",231.051,236,230.62,232.65
"2020/09/09",236.801,241.361,234.81,238.911
"2020/09/10",241,243.991,232.111,233.65
"2020/09/11",236.43,237.76,233.25,234.771
"2020/09/14",237.601,240.991,236.81,238.831
"2020/09/15",240.37,242.801,239,240.2
"2020/09/16",241.461,244.9,239.17,239.42
"2020/09/17",237.4,239.09,233.881,236.821
"2020/09/18",234.62,238.4,233.43,236.18
"2020/09/21",232.84,233.98,230.03,233.911
"2020/09/22",234.14,237.071,231.79,236.92
"2020/09/23",238.53,239.351,230.37,230.65
"2020/09/24",218.87,220.45,213.15,214.42
"2020/09/25",213.03,215.071,210.42,214.631
"2020/09/28",219.09,223.89,218.301,222.78
"2020/09/29",223.37,225.17,222.31,224.081
"2020/09/30",225.271,228.301,224.62,225.991
"2020/10/01",227.361,229.241,224.03,225.18
"2020/10/02",222.051,224.92,221.351,222.4
"2020/10/05",224.37,224.941,222.04,223.491
"2020/10/06",223.59,225.271,220.09,220.351
"2020/10/07",221.9,224.631,220.051,223.45
"2020/10/08",226.04,226.79,223.971,225.611
"2020/10/09",225.861,229.09,225.801,228.691
"2020/10/12",229.691,231.771,227.581,230.59
"2020/10/13",230.721,231.9,228.81,229.381
"2020/10/14",228.881,231.9,228.321,229.43
"2020/10/15",225.59,230.68,225.26,228.771
"2020/10/16",229.03,231.941,228.68,230.051
"2020/10/19",230.23,233.25,225.721,226.241
"2020/10/20",226.7,232.29,226.45,230.39
"2020/10/21",229.9,234.381,229.06,233.101
"2020/10/22",233.101,234.711,227.851,228.14
"2020/10/23",227.7,229.801,226.93,229.7
"2020/10/26",225.361,227.991,218.351,219.23
"2020/10/27",220.631,223,220.211,220.661
"2020/10/28",216.81,217.93,212.92,213.941
"2020/10/29",215.51,218.53,212.45,216.441
"2020/10/30",215.28,217.81,213.64,216.911
"2020/11/02",219.17,223.161,218.321,220.191
"2020/11/03",222,227.771,221.43,225.711
"2020/11/04",225,230.9,224.4,227.92
"2020/11/05",233.37,236.12,232.42,233.991
"2020/11/06",235.01,237,231.071,236.29
"2020/11/09",239.89,248,239.67,240.221
"2020/11/10",238.611,239.611,235.581,238.711
"2020/11/11",240.961,244.081,240.131,242.75
"2020/11/12",242,243.09,236.89,238.15
"2020/11/13",239.991,242.42,238.09,241.78
"2020/11/16",243.881,246.691,242.64,244.95
"2020/11/17",243.37,245.491,241.28,243.821
"2020/11/18",243.361,243.821,239.551,239.73
"2020/11/19",241.51,243.471,238.691,243.2
"2020/11/20",243.95,246,242.26,243.441
