date,open,high,low,close
"2015/01/02",72.7,73.2,71.89,72.34
"2015/01/05",72.21,72.431,71.57,71.981
"2015/01/06",71.95,72.1,69.88,70.53
"2015/01/07",70.77,71.291,70.42,71.111
"2015/01/08",71.401,73.06,71.31,72.92
"2015/01/09",72.89,73.13,71.63,71.84
"2015/01/12",72.13,72.261,70.75,71.121
"2015/01/13",71.95,72.96,69.95,70.59
"2015/01/14",69.88,70.401,68.981,69.99
"2015/01/15",71.71,71.75,70.161,70.291
"2015/01/16",70.03,71.85,70.03,71.731
"2015/01/20",71.791,71.99,70.581,71.49
"2015/01/21",71.161,71.89,70.371,71.541
"2015/01/22",71.901,73.651,70.901,73.481
"2015/01/23",73.441,74.401,73.06,74.06
"2015/01/26",72.611,73.151,71.681,72.74
"2015/01/27",71.71,72.361,71.06,71.46
"2015/01/28",71.541,71.84,70.07,70.25
"2015/01/29",70.03,71.82,69.78,71.64
"2015/01/30",71.32,71.67,70.06,70.13
"2015/02/02",70.441,71.2,69.041,71.111
"2015/02/03",71.541,71.971,71,71.92
"2015/02/04",71.791,72.621,71.78,72.28
"2015/02/05",72.471,73.181,72.32,73.1
"2015/02/06",73.181,73.621,72.24,72.541
"2015/02/09",72.09,72.981,72.041,72.331
"2015/02/10",72.941,73.191,72.111,72.761
"2015/02/11",72.78,73.14,72.35,73.011
"2015/02/12",73.6,74.761,73.31,74.59
"2015/02/13",74.981,76.621,74.77,76.511
"2015/02/17",76.67,77.221,76.31,77.13
"2015/02/18",77.02,78,76.801,77.731
"2015/02/19",77.42,77.941,77.2,77.731
"2015/02/20",77.761,78.56,77.2,78.551
"2015/02/23",78.651,78.691,77.791,78.1
"2015/02/24",78.03,78.03,77.081,77.681
"2015/02/25",77.761,78.441,77.471,78.07
"2015/02/26",78.32,79.07,78.02,78.96
"2015/02/27",79.24,80.301,78.931,79.1
"2015/03/02",79.14,79.791,78.721,79.791
"2015/03/03",79.63,79.99,78.971,78.99
"2015/03/04",78.71,78.74,77.13,77.63
"2015/03/05",77.6,78.71,77.301,78.621
"2015/03/06",78.191,78.5,77.051,77.551
"2015/03/09",77.761,78.24,77.431,77.931
"2015/03/10",77.25,77.291,75.99,76.011
"2015/03/11",75.911,76.78,75.681,76.011
"2015/03/12",76.14,77.441,75.971,77.401
"2015/03/13",77.181,78.06,76.621,77.621
"2015/03/16",78.21,78.59,77.801,78.331
"2015/03/17",78.221,79.871,78.181,79.661
"2015/03/18",75.5,78.32,74.75,76.89
"2015/03/19",76.481,77.38,75.291,77.14
"2015/03/20",77.67,77.96,76.81,77.361
"2015/03/23",77.111,77.301,76.34,76.35
"2015/03/24",76.111,76.42,75.38,75.45
"2015/03/25",75.5,75.59,73.121,73.13
"2015/03/26",72.431,73.361,72.121,72.971
"2015/03/27",72.721,73.46,72.56,73.31
"2015/03/30",73.511,73.861,73.1,73.6
"2015/03/31",73.111,74.6,72.941,73.941
"2015/04/01",73.611,75.1,73.03,75.07
"2015/04/02",75.17,76.17,74.611,75.681
"2015/04/06",75.13,76.651,74.75,76.231
"2015/04/07",76.07,76.681,75.621,75.651
"2015/04/08",75.681,76.35,75.121,75.441
"2015/04/09",75.621,76.35,75.21,76.331
"2015/04/10",76.301,76.63,76,76.53
"2015/04/13",76.441,77,75.89,76.02
"2015/04/14",76.02,76.6,75.59,75.95
"2015/04/15",76.09,76.5,75.901,76.03
"2015/04/16",75.411,75.691,75.1,75.151
"2015/04/17",74.38,74.551,72.78,73.151
"2015/04/20",73.42,74.301,73.42,73.92
"2015/04/21",74.31,74.88,74.21,74.621
"2015/04/22",74.681,75.52,74.63,75.5
"2015/04/23",75.081,76.801,75,76.52
"2015/04/24",76.411,77.21,75.84,76.541
"2015/04/27",76.84,77.291,76.361,76.551
"2015/04/28",76.34,77.09,75.871,76.02
"2015/04/29",75.611,77.261,75.471,76.651
"2015/04/30",76.401,77.24,75.31,76.06
"2015/05/01",76.291,76.67,75.661,76.431
"2015/05/04",76.431,76.99,75.82,75.85
"2015/05/05",75.35,75.63,74.75,75
