date,open,high,low,close
"2019/01/02",84.03,86.431,83.96,85.92
"2019/01/03",82.99,84.35,80.551,80.731
"2019/01/04",81.46,83.011,80.46,82.691
"2019/01/07",82.541,84.191,82.081,83.21
"2019/01/08",84.27,85.28,82.67,85.24
"2019/01/09",85.82,88.5,85.82,87.401
"2019/01/10",86.89,88.661,86.57,88.611
"2019/01/11",88.07,91.111,88.07,90.06
"2019/01/14",88.681,88.99,87.361,87.5
"2019/01/15",87.661,88.541,87.011,87.611
"2019/01/16",87.6,88.52,86.89,87
"2019/01/17",86.511,88.85,85.441,88.81
"2019/01/18",89.611,91.53,88.431,91.361
"2019/01/22",90.57,90.75,88.21,89.13
"2019/01/23",89.401,89.71,87.77,88.861
"2019/01/24",90.53,95.5,90.53,94.75
"2019/01/25",95.801,98.151,95.551,97.67
"2019/01/28",94.95,97.7,94.861,97.34
"2019/01/29",98.301,98.301,96.57,97.011
"2019/01/30",97.57,99.441,97.111,99.011
"2019/01/31",98.74,98.96,98.03,98.861
"2019/02/01",99.17,100.63,98.84,100.541
"2019/02/04",100.471,100.791,98.731,99.7
"2019/02/05",99.541,100.511,99.051,100.401
"2019/02/06",101.051,103.481,101,102.411
"2019/02/07",101.32,102.1,99.541,100.63
"2019/02/08",99.45,100.92,99.07,100.731
"2019/02/11",102.401,102.651,101.02,101.75
"2019/02/12",103.13,104.88,102.88,104.06
"2019/02/13",104.431,105.09,103.471,104.42
"2019/02/14",104.231,105.041,103.611,104.49
"2019/02/15",105.371,105.831,104.291,105.74
"2019/02/19",105.441,105.7,104.151,104.221
"2019/02/20",105.1,108.28,104.71,106.82
"2019/02/21",106.331,106.801,104.92,105.28
"2019/02/22",106.081,106.331,105.191,105.911
"2019/02/25",106.801,108.221,106.611,107.901
"2019/02/26",107.361,107.861,106.801,107.181
"2019/02/27",106.331,106.621,104.971,105.931
"2019/02/28",104.95,107.221,104.95,106.96
"2019/03/01",107.84,108.791,106.75,108.441
"2019/03/04",109,109.481,106.761,108.661
"2019/03/05",108.611,109.041,107.96,108.231
"2019/03/06",108.32,108.661,106.56,106.791
"2019/03/07",106.761,106.761,105.221,105.681
