date,open,high,low,close
"2019/01/02",125.39,129.64,124.651,128.961
"2019/01/03",126.49,127.5,121.121,121.85
"2019/01/04",124.371,129.37,121.81,128.28
"2019/01/07",128.271,133.4,128.15,132.721
"2019/01/08",134.26,135.7,132.25,133.87
"2019/01/09",134.721,137.78,133.411,136.771
"2019/01/10",135.211,137.53,134.851,136.711
"2019/01/11",135.78,137.5,135.25,136.741
"2019/01/14",135.37,136.18,134.12,134.75
"2019/01/15",131.881,137.45,131.881,135.881
"2019/01/16",136.18,137.5,134.801,135.301
"2019/01/17",134.631,137.9,134.26,136.5
"2019/01/18",138.29,141.84,135.461,141.73
"2019/01/22",140.28,141.521,138.12,139.06
"2019/01/23",139.461,141.14,136.56,137.491
"2019/01/24",136.021,137.5,135.241,136.051
"2019/01/25",138.111,142.48,137.76,142.081
"2019/01/28",140.65,141.09,138.741,140.771
"2019/01/29",140.92,141.771,139.01,140.161
"2019/01/30",141.68,146.06,140.611,146
"2019/01/31",146.2,148.571,145.861,147.2
"2019/02/01",147.78,149.56,146.9,149.071
"2019/02/04",149.06,152.65,149,151.59
"2019/02/05",151.73,153.691,151.67,152.42
"2019/02/06",152.161,153.14,150.79,152.28
"2019/02/07",151,151.93,149.14,150.56
"2019/02/08",149.12,154.411,149.12,154.31
"2019/02/11",155,156.271,153.801,154.571
"2019/02/12",156.4,159.611,155.89,159.54
"2019/02/13",159.971,161.101,159.211,160.03
"2019/02/14",158.84,161.051,158.01,159.941
"2019/02/15",161.51,161.51,159.39,160.351
"2019/02/19",160.43,160.971,159,160.68
"2019/02/20",160.551,161.491,158.48,159.801
"2019/02/21",159.64,160.68,158.851,159.831
"2019/02/22",160.87,161.78,160.191,161.51
"2019/02/25",163.54,166.29,163.491,163.941
"2019/02/26",163.78,164.29,161.711,163.31
"2019/02/27",162.59,164.321,160.661,164.28
"2019/02/28",164.071,164.67,162.59,163.01
"2019/03/01",167.771,169.051,158.4,159.771
"2019/03/04",161,161.84,153.25,157.79
"2019/03/05",158.2,158.2,154.17,154.711
"2019/03/06",154.76,155.961,152.04,153.51
"2019/03/07",152.9,153.971,150.881,152.771
"2019/03/08",150.29,152.5,149.5,152.37
"2019/03/11",152.39,155.28,151.861,154.04
"2019/03/12",154.361,155.39,152.881,154.81
"2019/03/13",155.34,157.09,153.211,153.381
"2019/03/14",153.051,154.26,151.93,153.15
"2019/03/15",152.7,154.68,152.461,153.28
"2019/03/18",153.29,155.321,152.331,153.851
"2019/03/19",154.62,156.12,153.661,155.101
"2019/03/20",156,156.271,152.361,154.31
"2019/03/21",154.271,159.04,154.271,158.821
"2019/03/22",158,158.821,153.941,154.221
"2019/03/25",153.53,155.551,152.43,154.691
"2019/03/26",155.491,157.39,154.861,155.911
"2019/03/27",155.65,156.101,151.15,153.101
"2019/03/28",153.741,154.53,151.2,153.03
"2019/03/29",154.691,155.941,153.861,155.821
"2019/04/01",158.221,163.971,157.29,163.821
"2019/04/02",163.53,164.851,163.03,164.351
"2019/04/03",165.551,168.56,165,166.65
"2019/04/04",166.691,168,163.221,165.051
"2019/04/05",166.04,167.15,165.14,166.331
"2019/04/08",165.821,166.93,163.131,166.741
"2019/04/09",166.15,167.37,165.56,167.06
"2019/04/10",167.301,170.911,167.17,170.461
"2019/04/11",171.321,172.111,170.03,171.881
"2019/04/12",173.021,173.441,170.65,171.87
"2019/04/15",172.01,173.221,170.991,172.771
"2019/04/16",173,174.4,171.34,172.67
"2019/04/17",173.12,173.4,167.611,168.03
"2019/04/18",168.351,169.381,164.81,169.2
"2019/04/22",168.691,172.31,167.9,172.15
"2019/04/23",173,176.211,172.5,175.28
"2019/04/24",175.04,177.37,175.04,176.31
"2019/04/25",176.76,177.48,172.92,175.321
"2019/04/26",175.37,177.111,174.31,176.991
"2019/04/29",177.29,178.56,176.351,176.68
"2019/04/30",176.67,178.42,175.381,178.211
"2019/05/01",178.93,178.95,173.9,173.971
"2019/05/02",173.64,174.661,171.331,173.361
"2019/05/03",174.721,176.881,174.06,176.7
"2019/05/06",171.801,175.51,169.801,175.28
"2019/05/07",173,174.211,168.87,170.721
"2019/05/08",170.34,172.79,169.721,171.51
"2019/05/09",169.23,172.01,167.461,171.42
"2019/05/10",170.64,174.191,167.81,173.771
"2019/05/13",168.051,170.711,164.601,164.93
"2019/05/14",166.73,170.75,166.14,169.961
"2019/05/15",168.17,173.93,168.17,173.321
"2019/05/16",174.15,178.42,173.76,176.68
"2019/05/17",174.971,177.7,173.89,174.331
"2019/05/20",172.43,172.831,168.31,170.611
"2019/05/21",172.76,174.941,172.23,174.23
"2019/05/22",173.87,175.471,173.241,174.03
"2019/05/23",170.01,173.741,167.14,169.54
"2019/05/24",160.68,165.18,158.51,161.221
"2019/05/28",161.521,165.351,160.7,161.09
"2019/05/29",160,162.29,159.26,161.521
"2019/05/30",161.87,163.56,161.31,162.62
"2019/05/31",160,162.471,159.79,160.911
"2019/06/03",161.42,161.771,153.551,154.821
"2019/06/04",157.581,160.051,155.81,159.911
"2019/06/05",162.321,162.56,158.45,161.31
"2019/06/06",161.09,161.48,158.37,161.161
"2019/06/07",162.04,166,161.67,165.301
"2019/06/10",166.381,168.15,164.991,165.12
"2019/06/11",166.941,167.93,162.03,163.2
"2019/06/12",163.461,163.81,161.721,163.771
"2019/06/13",164.54,164.881,161.771,162.321
"2019/06/14",161.851,163,156.221,158.161
"2019/06/17",158.39,158.81,157.09,157.381
"2019/06/18",159.87,163.381,159.271,161.9
"2019/06/19",163.01,166.79,162.351,165.631
"2019/06/20",169.03,171.111,167.89,169.45
"2019/06/21",169.331,171.68,169,170.89
"2019/06/24",171.37,171.831,168.29,168.5
"2019/06/25",169.28,169.37,162.84,163.161
"2019/06/26",164.17,165.81,162.321,162.48
"2019/06/27",163.15,166.071,162.78,165.25
"2019/06/28",166.12,166.361,162.87,162.9
"2019/07/01",166.991,170.06,165.521,169.29
"2019/07/02",169.111,170.321,168.4,170.101
"2019/07/03",170.361,172.18,168.84,172
"2019/07/05",170.39,172.34,169.441,172.23
"2019/07/08",170.75,171.39,168.771,169.87
"2019/07/09",168.771,171.43,168.26,171.351
"2019/07/10",172.51,175.28,172,172.741
"2019/07/11",173.111,174.801,171.5,173.331
"2019/07/12",174.461,174.461,170.93,174.191
"2019/07/15",174.9,174.9,172.7,173.711
"2019/07/16",174.021,174.661,170.67,171.01
"2019/07/17",170.65,172.021,169.771,171.62
"2019/07/18",170.68,173.631,170.571,172.381
"2019/07/19",173.301,174.351,169.211,169.31
"2019/07/22",170.31,172.271,170.09,170.361
"2019/07/23",171.45,171.45,167.971,169.741
"2019/07/24",169.021,173.95,167.93,173.51
"2019/07/25",171.911,172.76,167.15,169.92
"2019/07/26",170.23,171.51,167.771,167.991
"2019/07/29",168.31,168.62,160.7,162.771
"2019/07/30",162.081,162.851,160.01,160.29
"2019/07/31",160.28,160.601,154.29,156.17
"2019/08/01",156.12,158.831,153.03,153.471
"2019/08/02",153.23,154.271,146.101,147.76
"2019/08/05",143.581,144.051,141.06,143.571
"2019/08/06",145.26,146.67,142.06,143.67
"2019/08/07",141.881,144.961,140.64,144.17
"2019/08/08",146.48,152.221,146.191,152.09
"2019/08/09",151.04,152.67,149.461,151.34
"2019/08/12",149.53,150.361,147.851,148.87
"2019/08/13",148.59,154.521,148.14,151.81
"2019/08/14",148.521,148.67,143.611,146.92
"2019/08/15",144.991,144.991,141.461,142.92
"2019/08/16",144.711,145.321,143.54,144.131
"2019/08/19",146.75,146.801,145.461,146.18
"2019/08/20",145.721,147.42,144.53,146.56
"2019/08/21",147.75,148.101,145.01,145.95
"2019/08/22",145.9,146.43,143.17,145.211
"2019/08/23",144.4,147.111,143.241,143.991
"2019/08/26",145.821,147.861,145.661,147.801
"2019/08/27",149.45,151.4,148.691,150.211
"2019/08/28",131.43,141.361,129.7,140.081
"2019/08/29",142.021,142.98,140.161,142.631
"2019/08/30",143.79,144.131,141.111,142.821
"2019/09/03",141,143,139.87,141.15
"2019/09/04",142.56,145.59,141.861,144.34
"2019/09/05",146.28,149.111,145.62,148.221
"2019/09/06",148.831,152.711,148.101,150.351
"2019/09/09",151.021,151.65,147.571,151.021
"2019/09/10",149.98,151.37,146.06,148.051
"2019/09/11",149.271,154.911,147.551,154.67
"2019/09/12",155.67,159.881,155.051,155.691
"2019/09/13",155.53,156.14,152.87,153.48
"2019/09/16",152.471,155.01,152.461,153.87
"2019/09/17",152.25,153.861,152,153.67
"2019/09/18",152.131,152.34,148.25,151.111
"2019/09/19",151.39,154.191,151.39,153.381
"2019/09/20",153.14,154.26,151.43,153.34
"2019/09/23",152.461,153.53,151.7,152.37
"2019/09/24",152.941,153.631,148.17,149.131
"2019/09/25",148.851,149.14,144.92,147.43
"2019/09/26",146.861,149.89,145.721,149.071
"2019/09/27",149.37,149.991,143.7,145.191
"2019/09/30",145.741,147.971,144.7,147.7
