date,open,high,low,close
"2006/01/03",20,20.941,19.57,20.8
"2006/01/04",20.9,21.58,20.771,21.32
"2006/01/05",21.351,21.73,20.82,21.601
"2006/01/06",21.681,22.691,21.681,22.47
"2006/01/09",22.591,22.65,21.96,22.13
"2006/01/10",22,23.101,21.8,23.011
"2006/01/11",23,23.291,22.591,22.921
"2006/01/12",22.82,23.97,22.81,22.931
"2006/01/13",23.111,23.39,22.73,22.8
"2006/01/17",22.601,22.781,22.351,22.58
"2006/01/18",21.98,23,21.681,22.91
"2006/01/19",23.5,24.14,23.261,23.681
"2006/01/20",23.851,23.861,22.451,22.71
"2006/01/23",22.921,23.05,22.271,22.541
"2006/01/24",22.8,23.21,22.671,22.97
"2006/01/25",23.191,23.25,22.22,22.4
"2006/01/26",22.73,22.73,22.25,22.38
"2006/01/27",22.5,22.941,22.25,22.39
"2006/01/30",22.521,22.9,22.15,22.291
"2006/01/31",22.31,22.421,21.531,21.88
"2006/02/01",21.71,21.941,21.541,21.841
"2006/02/02",21.871,22.541,21.41,21.49
"2006/02/03",21.41,21.91,20.49,21.83
"2006/02/06",21.9,22.191,21.81,21.951
"2006/02/07",21.841,22.441,21.841,22.121
"2006/02/08",22.48,22.48,21.75,22
"2006/02/09",24.99,27.591,24.761,26.011
"2006/02/10",26.671,26.681,25.281,25.541
"2006/02/13",25.4,25.521,24.521,24.931
"2006/02/14",25,25.33,24.74,25.101
"2006/02/15",24.931,26.191,24.9,25.771
"2006/02/16",26.47,26.851,25.851,26.671
"2006/02/17",26.851,26.931,26.39,26.72
"2006/02/21",26.99,27,26.671,26.701
"2006/02/22",27.341,27.451,26.91,27.31
"2006/02/23",26.64,27.361,26.39,27.06
"2006/02/24",27,27.191,26.861,27.08
"2006/02/27",27.08,27.091,26.3,26.39
"2006/02/28",26.63,26.75,25.601,26.5
"2006/03/01",26.64,27.05,26.521,27.011
"2006/03/02",26.48,27.691,25.871,26.091
"2006/03/03",26.3,26.341,25.781,26.111
"2006/03/06",26.31,26.71,25.9,26.05
"2006/03/07",25.8,25.871,24.96,25.23
"2006/03/08",25.16,25.451,24.96,25.181
"2006/03/09",25.121,25.9,25.121,25.291
"2006/03/10",25.101,25.611,25.021,25.531
"2006/03/13",25.761,26.23,25.3,25.371
"2006/03/14",25.681,26.3,25.4,26.261
"2006/03/15",26.3,27.38,26.201,27.32
"2006/03/16",27.601,28.441,27.15,27.191
"2006/03/17",27.271,28.46,26.8,28.421
"2006/03/20",28.771,29.49,28.371,28.99
"2006/03/21",29.08,29.201,28.611,29.08
"2006/03/22",29.041,29.201,28.601,28.74
"2006/03/23",29.091,29.181,28.56,28.681
"2006/03/24",28.73,28.9,28.181,28.591
"2006/03/27",28.601,29.22,28.601,29.22
"2006/03/28",29.3,29.39,28.841,28.96
"2006/03/29",29.281,32.021,29.08,31.421
"2006/03/30",31.55,31.98,30.511,30.771
"2006/03/31",31.5,33.17,31.421,32.89
"2006/04/03",33.151,33.98,32.91,33.19
"2006/04/04",33.201,33.39,31.65,31.931
"2006/04/05",32,32.181,31.33,31.781
"2006/04/06",31.601,32.03,31.4,31.791
"2006/04/07",31.9,31.98,30.8,30.89
"2006/04/10",31.06,31.171,29.98,30.031
"2006/04/11",30.191,31.57,30.101,31.21
"2006/04/12",32.151,32.401,30.611,30.98
"2006/04/13",30.97,31.421,30.75,31.06
"2006/04/17",31.031,31.281,30.761,30.91
"2006/04/18",31.16,32.62,30.91,32.55
"2006/04/19",32.71,33.831,32.471,33.42
"2006/04/20",33.491,34.62,32.78,33.01
"2006/04/21",32.96,34.081,32.92,33.841
"2006/04/24",34,34.57,33.44,34.021
"2006/04/25",34.25,34.331,33.69,34
"2006/04/26",33.991,34,33.05,33.341
"2006/04/27",32.96,34.94,31.15,34.151
"2006/04/28",34.35,34.41,33.37,33.69
"2006/05/01",33.651,35.37,33.631,35.181
"2006/05/02",35.451,35.89,34.341,34.451
"2006/05/03",34.611,35.201,34.341,34.62
"2006/05/04",34.561,35.201,33.771,33.931
"2006/05/05",34.17,35.271,33.8,35.19
"2006/05/08",35.71,36.451,35.451,36.021
"2006/05/09",36.201,36.94,35.78,36.39
"2006/05/10",36.42,36.69,35.6,35.96
"2006/05/11",36.401,36.44,34.631,34.841
"2006/05/12",34.581,34.71,33.26,34.39
"2006/05/15",33.831,34.061,31.73,32.46
"2006/05/16",32.69,32.75,32.241,32.55
"2006/05/17",32.471,32.55,31.22,32.03
"2006/05/18",32,33,32,32.561
"2006/05/19",32.67,34.75,32.64,34.14
"2006/05/22",33.591,33.741,30.091,31.5
"2006/05/23",32.32,32.6,31,31.15
"2006/05/24",31.291,31.531,28.4,29.521
"2006/05/25",30.06,32.331,29.8,32.32
"2006/05/26",32.291,32.491,31,31.671
"2006/05/30",31.201,31.851,30.08,30.701
"2006/05/31",30.55,31.5,30.24,31.291
"2006/06/01",31.32,32.1,31,32.1
"2006/06/02",32.78,33,31,31.341
"2006/06/05",31.521,31.91,30.121,30.261
"2006/06/06",30.4,30.98,29.691,30.441
"2006/06/07",30.441,30.99,30.021,30.101
"2006/06/08",29.81,29.951,28.271,29.72
"2006/06/09",30.191,30.97,29.75,30
"2006/06/12",29.921,30,28.291,28.5
"2006/06/13",28.451,28.691,27.14,27.511
"2006/06/14",27.56,28.81,27.361,28.611
"2006/06/15",29.13,31.88,29.111,31.761
"2006/06/16",31.591,32,30.681,30.89
"2006/06/19",31.091,31.351,29.9,30.13
"2006/06/20",30.101,31.771,30.06,31.351
"2006/06/21",31.341,33.8,31.341,33.53
"2006/06/22",33.431,33.901,32.651,33.25
"2006/06/23",33.311,35,32.951,34.521
"2006/06/26",34.76,35.591,34.111,35.271
"2006/06/27",35.44,35.44,33.581,33.771
"2006/06/28",33.651,33.75,32.111,33.46
"2006/06/29",33.811,36.05,33.541,35.85
"2006/06/30",35.98,36.25,35.39,36.19
"2006/07/03",36.111,37.14,36.111,36.681
"2006/07/05",36.5,37.401,35.28,35.39
"2006/07/06",35.64,35.64,35.05,35.41
"2006/07/07",35.201,35.951,34.611,35.25
"2006/07/10",35.491,35.561,32.39,33.021
"2006/07/11",32.701,33.21,31.111,33.16
"2006/07/12",33,33,30.88,31.351
"2006/07/13",30.48,33.131,30.181,31.261
"2006/07/14",31.31,32.701,30.81,32.541
"2006/07/17",32.71,33.51,31.89,32.39
"2006/07/18",32.591,33.131,31.121,32.92
"2006/07/19",33.1,33.75,32.42,32.951
"2006/07/20",32.98,33.14,31.201,31.3
"2006/07/21",31.201,31.201,29.281,29.5
"2006/07/24",29.89,31.541,29.541,31.3
"2006/07/25",31.56,32.151,30.65,31.98
"2006/07/26",32.1,32.1,30,30
"2006/07/27",35.971,37.401,34.98,36.831
"2006/07/28",36.831,37.73,36,36.591
"2006/07/31",36.611,39.721,36.381,39.631
"2006/08/01",39.021,39.42,37.75,38.41
"2006/08/02",38.6,39.241,38.381,38.66
"2006/08/03",38.471,40.46,37.811,40.291
"2006/08/04",40.41,42,38.5,39.42
"2006/08/07",39.03,39.831,38.521,38.96
"2006/08/08",38.92,39.451,38.17,38.271
"2006/08/09",38.69,39.741,38.25,38.48
"2006/08/10",38.521,39.181,38.21,38.98
