date,open,high,low,close
"2012/01/03",10.931,10.971,10.681,10.7
"2012/01/04",10.711,10.761,10.61,10.761
"2012/01/05",10.721,10.841,10.641,10.83
"2012/01/06",10.851,11.03,10.73,11.011
"2012/01/09",11.08,11.37,11.021,11.341
"2012/01/10",11.471,11.711,11.44,11.601
"2012/01/11",11.601,11.881,11.54,11.711
"2012/01/12",11.811,11.851,11.631,11.801
"2012/01/13",11.75,11.771,11.45,11.5
"2012/01/17",11.801,11.91,11.73,11.78
"2012/01/18",11.891,12.181,11.841,12.12
"2012/01/19",12.19,12.421,12.15,12.311
"2012/01/20",12.391,12.551,12.311,12.471
"2012/01/23",12.431,12.471,12.12,12.221
"2012/01/24",12.221,12.41,12.12,12.311
"2012/01/25",12.32,12.44,12.181,12.36
"2012/01/26",12.431,12.641,12.29,12.4
"2012/01/27",12.4,12.521,12.181,12.23
"2012/01/30",12.091,12.15,11.98,12.061
"2012/01/31",12.181,12.341,12.11,12.28
"2012/02/01",12.44,12.66,12.351,12.57
"2012/02/02",12.551,12.761,12.551,12.641
"2012/02/03",12.811,12.891,12.711,12.79
"2012/02/06",12.74,12.75,12.45,12.61
"2012/02/07",12.631,12.801,12.551,12.74
"2012/02/08",12.711,13.091,12.711,13
"2012/02/09",13,13.131,12.921,13.11
"2012/02/10",12.971,13.11,12.87,12.95
"2012/02/13",13.04,13.131,12.801,12.931
"2012/02/14",12.95,12.99,12.69,12.87
"2012/02/15",12.891,13.101,12.841,12.9
"2012/02/16",12.94,13.23,12.931,13.211
"2012/02/17",13.86,13.94,12.971,12.99
"2012/02/21",13.011,13.021,12.601,12.711
"2012/02/22",12.7,12.94,12.7,12.9
"2012/02/23",12.891,12.921,12.521,12.74
"2012/02/24",12.73,12.83,12.601,12.631
"2012/02/27",12.551,12.721,12.48,12.53
"2012/02/28",12.511,12.73,12.48,12.561
"2012/02/29",12.54,12.561,12.211,12.25
"2012/03/01",12.301,12.37,12.16,12.24
"2012/03/02",12.221,12.4,12.131,12.221
"2012/03/05",12.15,12.181,11.921,12.03
"2012/03/06",11.931,12.2,11.931,12.011
"2012/03/07",12.03,12.221,12.021,12.101
"2012/03/08",12.19,12.29,12.08,12.19
"2012/03/09",12.181,12.41,12.101,12.37
"2012/03/12",12.36,12.421,12.23,12.381
"2012/03/13",12.49,12.57,12.391,12.5
"2012/03/14",12.511,12.66,12.49,12.54
"2012/03/15",12.591,12.881,12.58,12.79
"2012/03/16",12.75,12.931,12.711,12.82
"2012/03/19",12.801,12.94,12.75,12.83
"2012/03/20",12.74,12.841,12.671,12.711
"2012/03/21",12.7,12.891,12.65,12.721
"2012/03/22",12.671,12.711,12.461,12.65
"2012/03/23",12.65,12.73,12.54,12.69
"2012/03/26",12.801,13,12.78,12.961
"2012/03/27",12.95,12.99,12.811,12.82
"2012/03/28",12.771,12.801,12.301,12.461
"2012/03/29",12.36,12.5,12.271,12.48
"2012/03/30",12.58,12.58,12.41,12.45
"2012/04/02",12.45,12.551,12.351,12.5
"2012/04/03",12.4,12.53,12.221,12.24
"2012/04/04",12.101,12.221,12,12.061
"2012/04/05",12.04,12.16,12,12.03
"2012/04/09",11.86,11.94,11.79,11.86
"2012/04/10",11.801,11.94,11.69,11.75
"2012/04/11",11.83,12,11.801,11.921
"2012/04/12",11.921,12.15,11.86,12.07
"2012/04/13",11.99,12.08,11.79,11.801
"2012/04/16",11.841,11.931,11.711,11.86
"2012/04/17",11.91,12.131,11.891,12.03
"2012/04/18",11.98,11.98,11.811,11.851
"2012/04/19",11.851,12.051,11.82,11.87
"2012/04/20",11.91,11.99,11.771,11.771
"2012/04/23",11.61,11.631,11.48,11.58
"2012/04/24",11.591,11.65,11.461,11.49
"2012/04/25",11.561,11.69,11.53,11.641
"2012/04/26",11.671,12.011,11.65,11.94
"2012/04/27",11.94,12.051,11.881,12.03
"2012/04/30",11.99,12.101,11.961,11.99
"2012/05/01",12.011,12.061,11.851,11.86
"2012/05/02",11.83,11.841,11.721,11.811
"2012/05/03",11.801,11.82,11.511,11.53
"2012/05/04",11.5,11.5,11.23,11.28
"2012/05/07",11.181,11.25,11.11,11.19
"2012/05/08",11.091,11.211,10.961,11.16
"2012/05/09",11.011,11.16,10.9,11.08
"2012/05/10",11.141,11.23,10.99,11.061
"2012/05/11",11.04,11.15,10.971,10.98
"2012/05/14",10.91,11.04,10.851,10.95
"2012/05/15",10.881,11.03,10.78,10.811
"2012/05/16",10.82,10.9,10.65,10.66
"2012/05/17",10.671,10.74,10.48,10.48
"2012/05/18",10.461,10.671,10.351,10.36
"2012/05/21",10.36,10.69,10.36,10.66
