date,open,high,low,close
"2013/01/02",2.55,2.57,2.451,2.53
"2013/01/03",2.52,2.59,2.461,2.491
"2013/01/04",2.51,2.59,2.491,2.59
"2013/01/07",2.61,2.701,2.6,2.671
"2013/01/08",2.721,2.76,2.641,2.671
"2013/01/09",2.701,2.721,2.6,2.631
"2013/01/10",2.691,2.701,2.61,2.62
"2013/01/11",2.631,2.681,2.55,2.671
"2013/01/14",2.681,2.701,2.62,2.641
"2013/01/15",2.62,2.701,2.6,2.681
"2013/01/16",2.671,2.76,2.631,2.721
"2013/01/17",2.76,2.78,2.711,2.741
"2013/01/18",2.651,2.681,2.431,2.461
"2013/01/22",2.52,2.54,2.431,2.451
"2013/01/23",2.62,2.75,2.59,2.731
"2013/01/24",2.701,2.84,2.671,2.79
"2013/01/25",2.84,2.931,2.82,2.85
"2013/01/28",2.891,2.921,2.78,2.82
"2013/01/29",2.86,2.86,2.691,2.741
"2013/01/30",2.75,2.78,2.631,2.651
"2013/01/31",2.701,2.711,2.451,2.6
"2013/02/01",2.631,2.681,2.57,2.6
"2013/02/04",2.631,2.641,2.52,2.52
"2013/02/05",2.55,2.6,2.491,2.6
"2013/02/06",2.59,2.641,2.56,2.6
"2013/02/07",2.61,2.631,2.56,2.57
"2013/02/08",2.58,2.6,2.58,2.59
"2013/02/11",2.59,2.701,2.59,2.671
"2013/02/12",2.711,2.78,2.691,2.77
"2013/02/13",2.81,2.83,2.731,2.75
"2013/02/14",2.741,2.75,2.691,2.75
"2013/02/15",2.77,2.79,2.701,2.711
"2013/02/19",2.75,2.82,2.731,2.82
"2013/02/20",2.84,2.84,2.681,2.701
"2013/02/21",2.691,2.691,2.52,2.6
"2013/02/22",2.641,2.671,2.55,2.61
"2013/02/25",2.641,2.651,2.53,2.53
"2013/02/26",2.54,2.55,2.441,2.461
"2013/02/27",2.481,2.55,2.451,2.53
"2013/02/28",2.56,2.57,2.481,2.491
"2013/03/01",2.5,2.51,2.421,2.421
"2013/03/04",2.441,2.451,2.36,2.401
"2013/03/05",2.451,2.471,2.401,2.431
"2013/03/06",2.451,2.461,2.401,2.431
"2013/03/07",2.441,2.57,2.431,2.55
"2013/03/08",2.57,2.641,2.52,2.56
"2013/03/11",2.57,2.6,2.51,2.59
"2013/03/12",2.59,2.631,2.57,2.61
"2013/03/13",2.62,2.631,2.57,2.6
"2013/03/14",2.62,2.631,2.58,2.631
"2013/03/15",2.6,2.62,2.58,2.6
"2013/03/18",2.59,2.681,2.55,2.651
"2013/03/19",2.661,2.701,2.62,2.671
"2013/03/20",2.701,2.75,2.691,2.75
"2013/03/21",2.731,2.75,2.631,2.641
"2013/03/22",2.661,2.671,2.53,2.54
"2013/03/25",2.57,2.6,2.491,2.51
"2013/03/26",2.52,2.54,2.5,2.54
"2013/03/27",2.5,2.62,2.5,2.55
"2013/03/28",2.55,2.57,2.52,2.55
"2013/04/01",2.54,2.57,2.421,2.441
"2013/04/02",2.451,2.451,2.381,2.391
"2013/04/03",2.401,2.411,2.32,2.32
"2013/04/04",2.34,2.37,2.32,2.33
"2013/04/05",2.3,2.31,2.28,2.29
"2013/04/08",2.31,2.61,2.26,2.59
"2013/04/09",2.58,2.631,2.441,2.631
"2013/04/10",2.651,2.661,2.57,2.61
"2013/04/11",2.55,2.57,2.461,2.52
"2013/04/12",2.5,2.5,2.431,2.481
"2013/04/15",2.451,2.471,2.401,2.401
"2013/04/16",2.431,2.441,2.401,2.441
"2013/04/17",2.411,2.471,2.401,2.401
"2013/04/18",2.401,2.56,2.29,2.51
"2013/04/19",2.441,2.5,2.391,2.471
"2013/04/22",2.471,2.51,2.431,2.461
"2013/04/23",2.5,2.55,2.471,2.53
"2013/04/24",2.54,2.62,2.52,2.61
"2013/04/25",2.631,2.721,2.631,2.681
"2013/04/26",2.661,2.681,2.6,2.641
"2013/04/29",2.661,2.701,2.651,2.681
"2013/04/30",2.681,2.82,2.671,2.82
"2013/05/01",2.81,3.28,2.79,3.221
"2013/05/02",3.161,3.481,3.141,3.411
"2013/05/03",3.471,3.8,3.471,3.6
"2013/05/06",3.721,3.75,3.53,3.61
"2013/05/07",3.651,3.671,3.441,3.54
"2013/05/08",3.54,3.85,3.471,3.83
"2013/05/09",3.911,3.991,3.83,3.86
"2013/05/10",3.79,3.971,3.79,3.951
"2013/05/13",3.951,4.22,3.941,4.171
"2013/05/14",4.31,4.321,4.18,4.261
"2013/05/15",4.29,4.421,4.261,4.381
"2013/05/16",3.901,3.941,3.661,3.83
"2013/05/17",3.931,4.1,3.901,4.071
"2013/05/20",4.18,4.2,4.071,4.1
"2013/05/21",4.151,4.2,3.951,4.02
"2013/05/22",4.08,4.1,3.911,3.961
"2013/05/23",3.81,4.051,3.79,4.011
"2013/05/24",4.031,4.06,3.971,4.051
"2013/05/28",4.131,4.151,4.02,4.051
"2013/05/29",4.011,4.051,3.961,3.981
"2013/05/30",4,4.06,3.991,4.04
"2013/05/31",4.071,4.111,3.991,4
"2013/06/03",4.02,4.031,3.81,3.961
"2013/06/04",3.951,4.04,3.941,4.011
"2013/06/05",4.011,4.031,3.891,3.911
"2013/06/06",3.87,3.941,3.81,3.941
"2013/06/07",3.981,3.991,3.881,3.911
"2013/06/10",3.951,4.08,3.921,4.06
"2013/06/11",4,4.111,3.961,3.961
"2013/06/12",4,4.031,3.901,3.901
"2013/06/13",3.901,3.961,3.87,3.951
"2013/06/14",3.981,4.04,3.911,3.941
"2013/06/17",4.12,4.14,4.02,4.051
"2013/06/18",4.1,4.111,4.051,4.091
"2013/06/19",4.151,4.18,4.04,4.071
"2013/06/20",4.02,4.031,3.86,3.87
"2013/06/21",3.971,4.04,3.901,4
"2013/06/24",4.071,4.091,3.991,4.051
"2013/06/25",4.111,4.151,4.06,4.151
"2013/06/26",4.2,4.211,4.12,4.14
"2013/06/27",4.191,4.191,4.06,4.08
"2013/06/28",4.08,4.12,4.02,4.08
"2013/07/01",4.111,4.131,4.071,4.1
"2013/07/02",4.091,4.12,3.951,3.971
"2013/07/03",4,4.071,3.961,4.06
"2013/07/05",4.08,4.1,4.031,4.071
"2013/07/08",4.08,4.091,3.981,4
"2013/07/09",4.02,4.08,4.011,4.051
"2013/07/10",4.06,4.06,3.961,3.981
"2013/07/11",4.22,4.45,4.16,4.45
"2013/07/12",4.481,4.5,4.261,4.321
"2013/07/15",4.341,4.401,4.31,4.401
"2013/07/16",4.41,4.49,4.25,4.43
"2013/07/17",4.441,4.45,4.33,4.381
"2013/07/18",4.381,4.651,4.37,4.64
"2013/07/19",3.991,4.08,3.85,4.031
"2013/07/22",4.011,4.011,3.891,3.901
"2013/07/23",3.881,3.881,3.641,3.661
"2013/07/24",3.691,3.75,3.58,3.631
"2013/07/25",3.641,3.741,3.6,3.701
"2013/07/26",3.701,3.83,3.661,3.82
"2013/07/29",3.87,3.891,3.75,3.75
"2013/07/30",3.79,3.85,3.75,3.82
"2013/07/31",3.85,3.901,3.77,3.77
"2013/08/01",3.81,3.87,3.78,3.81
"2013/08/02",3.8,3.84,3.77,3.8
"2013/08/05",3.83,3.84,3.8,3.82
"2013/08/06",3.81,3.82,3.711,3.721
"2013/08/07",3.681,3.701,3.57,3.691
"2013/08/08",3.711,3.731,3.61,3.711
"2013/08/09",3.691,3.701,3.631,3.651
"2013/08/12",3.62,3.721,3.61,3.651
"2013/08/13",3.671,3.711,3.631,3.691
"2013/08/14",3.681,3.83,3.651,3.82
"2013/08/15",3.76,3.84,3.651,3.691
"2013/08/16",3.691,3.711,3.651,3.661
"2013/08/19",3.671,3.681,3.59,3.6
"2013/08/20",3.62,3.691,3.59,3.631
"2013/08/21",3.62,3.681,3.6,3.61
"2013/08/22",3.631,3.651,3.6,3.631
"2013/08/23",3.671,3.741,3.61,3.651
"2013/08/26",3.651,3.661,3.58,3.58
"2013/08/27",3.55,3.55,3.33,3.391
"2013/08/28",3.35,3.491,3.33,3.421
"2013/08/29",3.431,3.481,3.37,3.381
"2013/08/30",3.381,3.411,3.25,3.27
"2013/09/03",3.32,3.35,3.25,3.27
"2013/09/04",3.28,3.34,3.25,3.31
"2013/09/05",3.32,3.491,3.3,3.411
"2013/09/06",3.54,3.6,3.431,3.57
"2013/09/09",3.631,3.721,3.62,3.691
"2013/09/10",3.78,3.87,3.77,3.87
"2013/09/11",3.87,3.891,3.741,3.82
"2013/09/12",3.76,3.8,3.691,3.75
"2013/09/13",3.75,3.87,3.721,3.83
"2013/09/16",3.901,3.901,3.79,3.82
"2013/09/17",3.83,3.901,3.77,3.85
"2013/09/18",3.85,3.951,3.83,3.931
"2013/09/19",3.961,4,3.921,3.951
"2013/09/20",3.911,3.961,3.79,3.83
"2013/09/23",3.81,3.87,3.77,3.79
"2013/09/24",3.79,3.891,3.75,3.8
"2013/09/25",3.82,3.941,3.79,3.911
"2013/09/26",3.941,3.981,3.881,3.891
"2013/09/27",3.87,3.911,3.83,3.86
"2013/09/30",3.79,3.86,3.75,3.81
"2013/10/01",3.82,3.941,3.81,3.86
"2013/10/02",3.83,3.941,3.82,3.901
"2013/10/03",3.931,3.941,3.86,3.901
"2013/10/04",3.911,3.951,3.891,3.911
"2013/10/07",3.87,3.911,3.83,3.86
"2013/10/08",3.87,3.891,3.681,3.721
"2013/10/09",3.75,3.75,3.55,3.651
"2013/10/10",3.721,3.8,3.721,3.79
"2013/10/11",3.78,3.85,3.75,3.83
"2013/10/14",3.87,4.051,3.85,3.971
"2013/10/15",4.031,4.1,4.011,4.02
"2013/10/16",4.1,4.1,4.031,4.091
"2013/10/17",4.12,4.131,4.06,4.091
"2013/10/18",3.56,3.661,3.51,3.53
"2013/10/21",3.56,3.56,3.3,3.37
"2013/10/22",3.32,3.34,3.12,3.181
"2013/10/23",3.201,3.25,3.04,3.141
"2013/10/24",3.211,3.3,3.161,3.231
"2013/10/25",3.29,3.391,3.29,3.34
"2013/10/28",3.381,3.391,3.32,3.32
"2013/10/29",3.34,3.37,3.32,3.33
"2013/10/30",3.35,3.36,3.3,3.3
"2013/10/31",3.31,3.35,3.25,3.34
"2013/11/01",3.37,3.37,3.3,3.31
"2013/11/04",3.34,3.381,3.29,3.32
"2013/11/05",3.32,3.35,3.29,3.33
"2013/11/06",3.33,3.35,3.3,3.32
"2013/11/07",3.33,3.33,3.231,3.28
"2013/11/08",3.26,3.29,3.201,3.27
"2013/11/11",3.29,3.34,3.25,3.34
"2013/11/12",3.34,3.451,3.33,3.441
"2013/11/13",3.5,3.55,3.461,3.54
"2013/11/14",3.55,3.57,3.471,3.52
"2013/11/15",3.53,3.53,3.481,3.5
"2013/11/18",3.53,3.54,3.471,3.471
"2013/11/19",3.461,3.481,3.36,3.421
"2013/11/20",3.441,3.461,3.401,3.421
"2013/11/21",3.431,3.441,3.35,3.37
"2013/11/22",3.381,3.391,3.33,3.34
"2013/11/25",3.36,3.401,3.34,3.391
"2013/11/26",3.421,3.481,3.401,3.451
"2013/11/27",3.481,3.58,3.461,3.56
"2013/11/29",3.6,3.681,3.58,3.641
"2013/12/02",3.651,3.701,3.56,3.661
"2013/12/03",3.641,3.711,3.58,3.62
"2013/12/04",3.57,3.631,3.481,3.57
"2013/12/05",3.56,3.651,3.55,3.641
"2013/12/06",3.671,3.701,3.631,3.661
"2013/12/09",3.661,3.701,3.631,3.631
"2013/12/10",3.631,3.78,3.6,3.721
"2013/12/11",3.741,3.77,3.661,3.681
"2013/12/12",3.681,3.75,3.651,3.691
"2013/12/13",3.701,3.721,3.651,3.691
"2013/12/16",3.641,3.661,3.51,3.59
"2013/12/17",3.6,3.671,3.58,3.651
"2013/12/18",3.641,3.671,3.6,3.651
"2013/12/19",3.641,3.681,3.6,3.651
"2013/12/20",3.641,3.701,3.641,3.691
"2013/12/23",3.741,3.78,3.721,3.75
"2013/12/24",3.77,3.8,3.75,3.77
"2013/12/26",3.8,3.85,3.79,3.8
"2013/12/27",3.82,3.83,3.76,3.78
"2013/12/30",3.79,3.881,3.78,3.85
"2013/12/31",3.87,3.881,3.83,3.87
