date,open,high,low,close
"2015/01/02",60.76,62.875,60.16,62.681
"2015/01/05",63,64.75,62.05,63.8
"2015/01/06",64,64.911,62.21,63.811
"2015/01/07",64.39,65.5,63.98,65.14
"2015/01/08",65.71,66.831,64.857,66.121
"2015/01/09",66.03,66.75,65.64,66.42
"2015/01/12",66.081,66.42,65.401,66.07
"2015/01/13",66.07,66.07,64.011,65.27
"2015/01/14",64.5,65.14,64,65.06
"2015/01/15",65.551,65.82,63.015,63.21
"2015/01/16",62.48,64.801,62.201,64.541
"2015/01/20",64.541,65.67,63.977,65.471
"2015/01/21",65.471,66.221,64.07,64.28
"2015/01/22",64.081,64.431,62.75,63.5
"2015/01/23",63.5,64.691,62.82,63.41
"2015/01/26",63.41,64.35,62.221,64.35
"2015/01/27",63.89,64.115,62.771,63.62
"2015/01/28",64.1,66.231,63.71,65.431
"2015/01/29",65.81,66.871,61.66,63.46
"2015/01/30",62.591,63.431,62.32,63.12
"2015/02/02",62.96,63.791,61.5,62.66
"2015/02/03",62.64,63.331,62.53,62.71
"2015/02/04",61.5,61.974,59.8,60.861
"2015/02/05",60.861,61.959,60.186,60.5
"2015/02/06",60.401,60.44,56.111,56.71
"2015/02/09",56.51,60,56.502,60
"2015/02/10",60,65.95,59.631,63.07
"2015/02/11",62.561,62.98,60.631,61.51
"2015/02/12",61.951,61.951,60.081,60.991
"2015/02/13",60.96,63.94,60.875,62.931
"2015/02/17",63.831,64.901,63.401,63.991
"2015/02/18",63.861,65.181,62.6,65.181
"2015/02/19",65.49,68,65.25,67.99
"2015/02/20",72.21,74,67.901,68.5
"2015/02/23",69.95,71.401,68.301,69.051
"2015/02/24",67.95,68.5,66.25,66.35
"2015/02/25",66.35,68.081,66.231,67.03
"2015/02/26",67.38,68.84,67.151,68.77
"2015/02/27",68.871,70,68.5,69.21
"2015/03/02",69,69.89,68.161,69.07
"2015/03/03",69,70,68.011,69.39
"2015/03/04",68.761,69.181,67.121,67.42
"2015/03/05",67.67,69.611,67.121,69.28
"2015/03/06",68.5,68.911,66.941,67.89
"2015/03/09",68.111,68.99,67.691,68.49
"2015/03/10",67.95,68.52,67.792,68.02
"2015/03/11",68.661,68.99,67.74,68.791
"2015/03/12",68.411,69.63,67.931,68.931
"2015/03/13",68.74,69.441,68.551,69.051
"2015/03/16",69,71.7,68.861,71.53
"2015/03/17",71.75,74.231,71.401,73.651
"2015/03/18",74.32,74.441,72.74,74.231
"2015/03/19",74,74.52,72.6,73.25
"2015/03/20",73.581,73.721,71.401,71.901
"2015/03/23",71.88,73.21,70.941,72.651
"2015/03/24",71.291,71.63,70.02,70.121
"2015/03/25",70.551,70.75,67.761,68.721
"2015/03/26",67.39,69.14,66.931,68.831
"2015/03/27",68.191,69.051,67.52,67.88
"2015/03/30",68.221,68.661,67.1,68.52
"2015/03/31",68.39,70.651,67,70.53
"2015/04/01",69.78,70.166,68.191,69.621
"2015/04/02",67.331,67.5,65.52,66.011
"2015/04/06",66.151,66.67,65.276,65.791
"2015/04/07",66,67.181,65.7,66.161
"2015/04/08",66.25,66.5,64.801,66.111
"2015/04/09",65.731,67.221,65.25,65.63
"2015/04/10",65.53,65.731,64.35,65.25
"2015/04/13",65.471,66.691,65.431,66.14
"2015/04/14",66,67.25,66,66.32
"2015/04/15",66.56,67.791,66,67.791
"2015/04/16",67.511,67.676,65.52,65.67
"2015/04/17",65.31,65.691,64.801,64.971
"2015/04/20",65.371,65.686,63.651,65.07
"2015/04/21",65.49,67.24,65.481,65.871
"2015/04/22",65.861,66.633,65.221,66.27
"2015/04/23",66.07,66.901,65.45,66.151
"2015/04/24",66.971,69.46,65.96,66.39
"2015/04/27",66.75,66.95,64.56,64.6
"2015/04/28",64.82,66.371,63.66,65.71
"2015/04/29",65.67,66.14,64.441,64.761
"2015/04/30",64.56,65,63.8,64.011
"2015/05/01",64.081,64.84,63.25,64.71
"2015/05/04",64.24,65.291,63.78,64.651
"2015/05/05",64.661,65,63.5,63.82
"2015/05/06",64,64.57,63.16,63.53
"2015/05/07",63.471,65.551,63.471,64.95
"2015/05/08",65.2,66,65.02,65.801
"2015/05/11",65.95,67.77,65.761,67.651
"2015/05/12",67.02,67.459,65.386,65.85
"2015/05/13",66.2,66.581,66.03,66.31
"2015/05/14",66.99,69,66.1,68.911
"2015/05/15",66.38,67.401,64.051,65.42
"2015/05/18",65.401,67.88,65.125,67.731
"2015/05/19",67.88,68.471,67.051,67.551
"2015/05/20",67.56,67.92,66.89,67.481
"2015/05/21",67.5,68.45,67.163,67.911
"2015/05/22",67.88,68.96,67.761,68.871
"2015/05/26",69,69.801,68.32,68.75
"2015/05/27",68.511,68.971,67.941,68.17
"2015/05/28",68.261,69.401,68,69.051
"2015/05/29",69.121,69.911,68.78,69.911
"2015/06/01",69.95,70,69.24,69.81
"2015/06/02",69.681,71.75,69.13,71.611
"2015/06/03",72.081,74.871,71.752,74.85
"2015/06/04",74.56,74.941,73.643,73.99
"2015/06/05",73.6,77.901,73.5,77.09
"2015/06/08",78.151,79.42,77.081,78.731
"2015/06/09",78.89,79.81,78.261,79.78
"2015/06/10",79.78,81.49,78.56,81.011
"2015/06/11",81.5,81.715,79.541,80.34
"2015/06/12",79.911,81.7,78.682,81.161
"2015/06/15",80.941,83.95,80.361,83.24
"2015/06/16",83.441,85.84,83.361,84.971
"2015/06/17",85.861,86.63,84.181,85.721
"2015/06/18",86.161,87.88,85.96,87.07
"2015/06/19",87,87.481,86.121,86.71
"2015/06/22",87.111,88.301,85.761,87.681
"2015/06/23",87.551,88.31,86.901,87.46
"2015/06/24",87.63,88.56,85.56,87.21
"2015/06/25",87.661,87.661,85.06,85.361
"2015/06/26",84.49,84.831,81.431,82.24
"2015/06/29",81,83.27,80.541,80.96
"2015/06/30",82,82.515,81.32,81.74
"2015/07/01",82.6,83.5,81.59,81.84
"2015/07/02",82.191,83,81.371,81.861
"2015/07/06",81.52,82.24,80.1,80.82
"2015/07/07",81,81.932,76.621,79.85
"2015/07/08",79.39,79.39,77.011,77.49
"2015/07/09",78.941,79.401,78,78.291
"2015/07/10",79.34,80.75,78.75,80.53
"2015/07/13",81.191,81.551,78.511,79.471
"2015/07/14",80.291,82.07,79.5,81.551
"2015/07/15",81.361,82.85,81.35,81.88
"2015/07/16",82.801,84.611,82.03,83.931
"2015/07/17",84.291,84.78,83.801,84.7
"2015/07/20",85,86.17,83.481,84.06
"2015/07/21",84.27,84.681,83.07,83.581
"2015/07/22",83.03,85.801,82.681,85.2
"2015/07/23",85.2,88.25,83.761,84.191
"2015/07/24",84.901,86.695,84.5,84.721
"2015/07/27",85.25,85.25,82.27,82.74
"2015/07/28",82.96,83.89,80.411,80.75
"2015/07/29",81.011,81.92,79.102,80.411
"2015/07/30",80.541,85.051,79.89,84.971
"2015/07/31",85.81,85.831,83.651,84.471
"2015/08/03",84.291,84.71,83.21,84.63
"2015/08/04",84.14,84.53,82.286,82.941
"2015/08/05",83.21,85.6,83.21,84.59
"2015/08/06",84.06,84.878,81.24,81.581
"2015/08/07",82.661,87.6,81.681,84.081
"2015/08/10",84.5,85.5,81.7,83.52
"2015/08/11",82.791,83.611,78.411,79.52
"2015/08/12",79.121,80.931,78.014,80.35
"2015/08/13",80.45,81.971,80.361,81.39
"2015/08/14",81.221,81.99,79.911,80.801
"2015/08/17",79.78,82.57,79.441,81.981
"2015/08/18",81.99,81.99,79.84,79.88
"2015/08/19",78.32,80.581,77.691,79.541
"2015/08/20",79.261,79.52,73.99,74.09
"2015/08/21",72.84,76.301,71.25,73.971
"2015/08/24",70.011,71.621,63.361,71.621
"2015/08/25",73.191,74.941,72.011,72.051
"2015/08/26",73.67,74.84,72.5,74.67
"2015/08/27",75.1,76.581,74.291,75.24
"2015/08/28",75.99,76.901,74.717,76.371
"2015/08/31",75.92,76.27,74.221,74.791
"2015/09/01",73.301,74.52,71.721,71.911
"2015/09/02",73.011,73.69,70.5,73.2
"2015/09/03",73.75,74.861,73.041,73.96
"2015/09/04",73.13,75.361,73.13,74.871
"2015/09/08",75.67,78.77,75.401,78.261
"2015/09/09",78.5,78.5,73.791,74.03
"2015/09/10",73.731,74.39,69.63,69.88
"2015/09/11",69.17,69.21,61.061,64.46
"2015/09/14",65.46,66.481,62.686,63.19
"2015/09/15",64.02,65.261,62.041,63.5
"2015/09/16",64,64.39,62.188,63.51
"2015/09/17",63.76,66,63.6,64.731
"2015/09/18",64.31,67.931,64.303,66.88
"2015/09/21",67.721,67.85,65.111,66.67
"2015/09/22",65.611,66.99,65.09,66.361
"2015/09/23",66.28,66.441,64.99,65.52
"2015/09/24",65.541,65.92,63.6,65
"2015/09/25",65.291,65.831,63.12,63.5
"2015/09/28",63.5,64.85,61.331,62.241
"2015/09/29",62.53,63.28,60.096,60.87
"2015/09/30",61.201,61.55,60.491,61.19
"2015/10/01",61.12,61.71,59.701,61
"2015/10/02",60.431,62.901,60.381,62.8
"2015/10/05",63.451,64.411,63.151,63.91
"2015/10/06",63.741,69,61.741,67.38
"2015/10/07",67.35,68.96,65.82,66.971
"2015/10/08",66.5,67.721,65.59,66.75
"2015/10/09",67.07,67.541,65.403,67.21
"2015/10/12",67.261,67.661,65.801,66.6
"2015/10/13",65.75,68.03,65.56,65.67
