date,open,high,low,close
"2014/01/02",86.441,87.151,85.291,86.011
"2014/01/03",85.96,86.38,85.34,85.6
"2014/01/06",86.111,86.731,84.95,85.02
"2014/01/07",85.511,85.95,85.231,85.581
"2014/01/08",85.84,86.331,85.03,85.28
"2014/01/09",85.52,86,84.181,84.511
"2014/01/10",84.5,85.13,84.14,84.77
"2014/01/13",84.64,84.981,83.27,83.401
"2014/01/14",84.011,85.2,83.6,84.7
"2014/01/15",84.691,85.481,84.481,85.28
"2014/01/16",85,85.861,85,85.401
"2014/01/17",85.231,85.541,84.441,84.64
"2014/01/21",85.481,85.481,84.25,84.5
"2014/01/22",84.871,84.871,84.24,84.31
"2014/01/23",83.6,84.39,82.581,83.331
"2014/01/24",82.88,82.88,79.681,79.74
"2014/01/27",79.931,80.111,77.59,77.96
"2014/01/28",77.92,79.34,77.92,79.331
"2014/01/29",78.301,79.371,78.28,78.45
"2014/01/30",79.17,79.39,78.5,78.78
"2014/01/31",78.161,78.901,77.291,78.53
"2014/02/03",78.511,78.901,76.89,77.221
"2014/02/04",77.81,77.941,77.161,77.31
"2014/02/05",77.03,77.801,76.181,77.661
"2014/02/06",77.831,79.661,77.1,79.621
"2014/02/07",79.871,81.231,79.831,81
"2014/02/10",80.861,81.051,80.14,80.42
"2014/02/11",80.5,81.95,80.17,80.82
"2014/02/12",81.09,81.541,80.161,80.941
"2014/02/13",80.221,82.13,80.1,82.06
"2014/02/14",81.78,82.6,81.27,81.941
"2014/02/18",82.24,83.121,81.911,83.07
"2014/02/19",82.63,83.401,82.401,82.46
"2014/02/20",82.57,83.191,81.42,83.111
"2014/02/21",83.231,83.25,82.291,82.371
"2014/02/24",82.77,85.06,82.53,84.07
"2014/02/25",84.401,84.78,83.38,83.7
"2014/02/26",84.1,84.89,83.791,84.471
"2014/02/27",84.02,84.28,80.07,83.2
"2014/02/28",82.971,84.25,82.45,83.52
"2014/03/03",82.831,83.261,81.84,82.39
"2014/03/04",83,83.88,82.761,83.63
"2014/03/05",83.42,83.84,83.181,83.401
"2014/03/06",83.791,83.831,83.081,83.38
"2014/03/07",83.88,83.88,82.78,83.301
"2014/03/10",83.25,83.52,82.831,82.99
"2014/03/11",83.13,83.42,81.49,81.861
"2014/03/12",81.45,81.941,80.7,81.191
"2014/03/13",81.64,82.78,77.931,78.301
"2014/03/14",78.331,78.45,75.71,75.85
"2014/03/17",76.39,77.13,74.621,75.691
"2014/03/18",75.611,76.191,75.14,75.831
"2014/03/19",75.75,75.831,72.59,73.651
"2014/03/20",72.95,74.721,72.1,73.89
"2014/03/21",74.901,74.901,73.1,73.46
"2014/03/24",73.82,74.471,73.2,73.92
"2014/03/25",74.151,74.911,73.84,74.331
"2014/03/26",74.42,75.081,73.96,74
"2014/03/27",76.1,76.1,74.21,75.691
"2014/03/28",75.96,76.911,75.301,76.13
"2014/03/31",76.651,77.191,75.99,77.02
"2014/04/01",77.27,77.801,76.95,77.74
"2014/04/02",77.77,78.06,77.2,77.661
"2014/04/03",77.59,78.06,77.28,77.45
"2014/04/04",78.13,78.13,75.361,75.63
"2014/04/07",75.5,75.551,74.111,74.411
"2014/04/08",74.45,75.191,73.92,74.621
"2014/04/09",74.74,76.151,74.39,76.111
"2014/04/10",76.03,76.34,74.57,75.02
"2014/04/11",74.441,74.761,73.67,73.7
"2014/04/14",74.42,74.661,73.38,73.84
"2014/04/15",73.911,74.71,72.89,73.941
"2014/04/16",74.56,75.38,74.32,75.07
"2014/04/17",74.981,75.96,74.651,75.81
"2014/04/21",75.75,76.42,74.64,74.721
"2014/04/22",74.57,75.291,74.49,74.761
"2014/04/23",74.75,75.901,74.28,75.611
"2014/04/24",75.99,76.71,74.84,76.661
"2014/04/25",76.64,77.081,76.42,76.64
"2014/04/28",76.92,77.261,75.95,76.5
"2014/04/29",76.791,77.121,75.63,76.24
"2014/04/30",75.901,76.95,75.38,76.31
"2014/05/01",75.541,75.541,71.5,72.49
"2014/05/02",72,74.46,72,74
"2014/05/05",73.46,75.051,72.981,74.801
"2014/05/06",74.77,75.14,73.791,74.651
"2014/05/07",75.06,75.57,74.14,75.49
"2014/05/08",75.261,75.911,74.46,74.511
"2014/05/09",74.49,75.151,73.81,75.14
"2014/05/12",75.5,76.471,75.39,75.88
"2014/05/13",76.051,76.481,74.581,74.6
"2014/05/14",74.7,75.191,74.181,74.32
"2014/05/15",74.181,74.651,72.611,73.71
"2014/05/16",73.791,74.24,73.331,74.221
"2014/05/19",74.411,75.111,74.191,74.801
"2014/05/20",74.77,74.901,73.09,73.57
"2014/05/21",73.67,74.2,73.27,73.831
"2014/05/22",74.06,74.77,73.57,74.27
"2014/05/23",74.2,75.051,73.92,74.88
"2014/05/27",75.291,75.32,74.39,74.471
"2014/05/28",74.371,74.85,73.49,74.051
"2014/05/29",74.38,74.39,73.84,73.92
"2014/05/30",73.78,74.331,72.82,73.45
"2014/06/02",73.34,74.35,72.731,73.801
"2014/06/03",73.511,74.52,73.221,74.231
"2014/06/04",73.99,74.74,73.861,74.64
"2014/06/05",74.581,75.28,74.28,74.96
"2014/06/06",75.03,75.88,75,75.831
"2014/06/09",75.6,76.84,75.6,76.511
"2014/06/10",76.121,76.661,75.63,75.96
"2014/06/11",75.791,75.791,75.121,75.53
"2014/06/12",75.24,76.7,75.02,75.6
"2014/06/13",75.621,76.151,75.431,75.661
"2014/06/16",75.511,75.831,75.081,75.27
"2014/06/17",75.25,76.27,74.99,75.431
"2014/06/18",75.551,76.361,75.28,75.931
"2014/06/19",75.88,76.331,75.02,75.1
"2014/06/20",75.511,75.691,74.56,74.59
"2014/06/23",74.84,74.99,74.27,74.411
"2014/06/24",74.291,74.84,74.25,74.45
"2014/06/25",74.511,74.82,73.52,73.7
"2014/06/26",73.911,74.371,73.1,74.051
"2014/06/27",73.84,75.7,73.84,75.31
"2014/06/30",75.301,76.081,75.14,75.82
"2014/07/01",75.901,77.64,75.75,77.191
"2014/07/02",77.191,77.5,76.481,76.581
"2014/07/03",76.67,77.82,76.551,77.75
"2014/07/07",77.77,77.77,76.57,76.661
"2014/07/08",76.34,76.6,75.151,75.721
"2014/07/09",75.791,76.2,75.35,75.581
"2014/07/10",74.361,75.231,73.67,74.74
"2014/07/11",74.581,74.861,74.13,74.181
"2014/07/14",74.49,75.221,74.35,74.96
"2014/07/15",74.63,75.731,74.63,75.301
"2014/07/16",78.84,78.84,75.221,75.541
"2014/07/17",75.181,75.7,74.67,74.71
"2014/07/18",74.63,75.31,74.5,75.27
"2014/07/21",75.06,75.581,74.78,75.231
"2014/07/22",75.38,76.441,75.38,76.25
"2014/07/23",76.57,77.231,76.14,76.77
"2014/07/24",76.02,77.45,76.02,77.221
"2014/07/25",77.301,77.67,76.64,77.27
"2014/07/28",77.09,77.81,76.971,77.39
"2014/07/29",77.45,78.25,77.1,77.6
"2014/07/30",77.761,78.89,77.761,78.291
"2014/07/31",77.63,78.03,76.761,76.941
"2014/08/01",76.651,77.34,75.621,76
"2014/08/04",76.03,76.691,75.34,76.59
"2014/08/05",77.041,78.14,76.71,77.96
"2014/08/06",77.471,78.96,76.6,78.661
"2014/08/07",78.99,79.401,78.551,78.85
"2014/08/08",79.14,79.56,78.78,79.371
"2014/08/11",79.49,79.59,78.981,79.09
"2014/08/12",78.84,79.46,78.84,79.121
"2014/08/13",79.49,79.89,78.911,79.511
"2014/08/14",79.441,79.82,79.27,79.78
"2014/08/15",80.011,80.371,79.2,79.791
"2014/08/18",80.2,81.17,79.96,81.121
"2014/08/19",81.17,81.27,80.38,81.2
"2014/08/20",81.231,81.901,80.82,81.84
"2014/08/21",82.06,82.721,81.441,82.71
"2014/08/22",82.77,82.96,81.761,81.99
"2014/08/25",82.161,82.21,80.901,80.92
"2014/08/26",81.24,81.59,80.971,81.431
"2014/08/27",81.901,82.111,81.221,81.621
"2014/08/28",81.041,81.78,80.42,80.63
"2014/08/29",80.96,81.761,80.581,81.301
"2014/09/02",81.59,82.09,81.02,81.901
"2014/09/03",81.981,82.1,81.431,81.6
"2014/09/04",81.59,82.051,80.941,81.221
"2014/09/05",81.32,81.71,80.861,81.151
"2014/09/08",81.13,81.611,80.57,81.551
"2014/09/09",81.231,81.861,80.28,80.39
"2014/09/10",80.28,80.74,79.931,80.471
"2014/09/11",80,80.981,80,80.95
"2014/09/12",81.1,81.401,80,80.191
"2014/09/15",80.371,80.441,79.231,79.791
"2014/09/16",79.84,80.35,78.941,79.74
"2014/09/17",79.611,80.06,79.121,79.63
"2014/09/18",79.82,80.5,79.59,80.231
"2014/09/19",80.17,80.32,79.361,79.57
"2014/09/22",79.511,79.661,77.17,77.64
"2014/09/23",77.161,77.6,76.78,76.78
"2014/09/24",76.63,77.431,76.42,76.95
"2014/09/25",76.92,77.09,75.27,75.431
"2014/09/26",75.49,75.981,75.14,75.801
"2014/09/29",75.03,75.96,75,75.721
"2014/09/30",75.59,76.041,75.13,75.67
"2014/10/01",75.371,76.27,74.931,75.17
"2014/10/02",75.151,76.74,74.831,76.371
"2014/10/03",76.761,77.77,76.691,76.721
"2014/10/06",76.89,77.361,75.941,76.191
"2014/10/07",75.74,75.981,75.49,75.801
"2014/10/08",75.861,76.941,75.32,76.85
"2014/10/09",76.871,76.911,75.801,75.95
"2014/10/10",75.59,76.35,74.911,74.96
"2014/10/13",74.63,74.92,73.291,73.371
"2014/10/14",73.471,73.651,72.121,72.681
"2014/10/15",71.71,72.63,71.151,72.21
"2014/10/16",71.621,72.63,71.09,72.42
"2014/10/17",73.25,73.5,72.441,72.99
"2014/10/20",72.95,74.14,72.39,74.121
