date,open,high,low,close
"2006/01/03",11.178,11.195,10.971,11.118
"2006/01/04",11.16,11.483,11.16,11.48
"2006/01/05",11.445,11.516,11.346,11.403
"2006/01/06",11.45,11.638,11.363,11.613
"2006/01/09",11.588,11.868,11.588,11.853
"2006/01/10",11.79,11.806,11.641,11.7
"2006/01/11",11.5,11.623,11.45,11.596
"2006/01/12",11.543,11.723,11.485,11.54
"2006/01/13",11.558,11.601,11.426,11.533
"2006/01/17",11.525,11.61,11.45,11.54
"2006/01/18",11.375,11.463,11.315,11.373
"2006/01/19",11.5,12.771,11.458,12.575
"2006/01/20",12.4,12.5,12.293,12.323
"2006/01/23",12.403,12.403,12.221,12.273
"2006/01/24",12.28,12.48,12.256,12.458
"2006/01/25",12.493,12.553,12.258,12.325
"2006/01/26",12.36,12.516,12.306,12.476
"2006/01/27",12.476,12.648,12.368,12.528
"2006/01/30",12.493,12.683,12.478,12.646
"2006/01/31",12.65,12.78,12.538,12.708
"2006/02/01",12.728,12.905,12.663,12.878
"2006/02/02",12.9,12.936,12.471,12.69
"2006/02/03",12.628,12.69,12.466,12.506
"2006/02/06",12.525,12.525,12.125,12.466
"2006/02/07",12.45,12.623,12.266,12.318
"2006/02/08",12.351,12.513,12.33,12.4
"2006/02/09",12.483,12.508,12.238,12.285
"2006/02/10",12.235,12.28,12.078,12.261
"2006/02/13",12.213,12.346,12.108,12.115
"2006/02/14",12.118,12.19,11.931,11.976
"2006/02/15",11.931,12.263,11.858,12.253
"2006/02/16",12.375,12.563,12.313,12.54
"2006/02/17",12.565,12.603,12.463,12.476
"2006/02/21",12.535,12.535,12.383,12.426
"2006/02/22",12.648,12.648,12.29,12.365
"2006/02/23",12.325,12.445,12.24,12.37
"2006/02/24",12.391,12.686,12.303,12.65
"2006/02/27",12.738,12.853,12.648,12.671
"2006/02/28",12.673,12.688,12.413,12.558
"2006/03/01",12.588,12.973,12.535,12.955
"2006/03/02",12.855,12.988,12.653,12.763
"2006/03/03",12.7,12.806,12.583,12.586
"2006/03/06",12.601,12.62,12.358,12.453
"2006/03/07",12.391,12.483,12.261,12.375
"2006/03/08",12.351,12.495,12.29,12.405
"2006/03/09",12.405,12.463,12.2,12.23
"2006/03/10",12.256,12.643,12.256,12.563
"2006/03/13",12.563,12.628,12.513,12.53
"2006/03/14",12.543,12.653,12.493,12.588
"2006/03/15",12.565,12.726,12.463,12.688
"2006/03/16",12.748,12.94,12.7,12.853
"2006/03/17",12.918,12.931,12.671,12.678
"2006/03/20",12.653,12.713,12.588,12.623
"2006/03/21",12.575,12.713,12.443,12.516
"2006/03/22",12.49,12.551,12.426,12.498
"2006/03/23",12.506,12.578,12.393,12.443
"2006/03/24",12.66,12.66,12.421,12.558
"2006/03/27",12.588,12.708,12.558,12.591
"2006/03/28",12.65,12.74,12.543,12.561
"2006/03/29",12.561,13.075,12.561,13.04
"2006/03/30",13.04,13.051,12.878,13.013
"2006/03/31",13.075,13.125,12.948,13.046
"2006/04/03",13.038,13.155,12.898,12.961
"2006/04/04",13.025,13.098,12.926,13
"2006/04/05",12.993,13.101,12.983,13.068
"2006/04/06",13.108,13.25,13.018,13.183
"2006/04/07",13.245,13.25,12.943,13
"2006/04/10",12.998,13.038,12.838,12.851
"2006/04/11",12.858,12.888,12.563,12.668
"2006/04/12",12.673,12.778,12.636,12.658
"2006/04/13",12.886,13.118,12.796,13.035
"2006/04/17",12.95,12.983,12.785,12.936
"2006/04/18",12.958,13.086,12.918,13.046
"2006/04/19",13.806,15.053,13.806,14.636
"2006/04/20",14.636,15.218,14.636,15.046
"2006/04/21",15.063,15.063,14.618,14.713
"2006/04/24",14.65,14.713,14.408,14.485
"2006/04/25",14.468,14.503,14.311,14.423
"2006/04/26",14.483,14.493,14.243,14.296
"2006/04/27",14.33,14.45,14.238,14.33
"2006/04/28",14.268,14.551,14.256,14.45
"2006/05/01",14.588,14.808,14.538,14.556
"2006/05/02",14.538,14.74,14.525,14.681
"2006/05/03",14.748,14.993,14.748,14.83
"2006/05/04",15,15.405,14.978,15.25
"2006/05/05",15.25,15.343,15.086,15.315
"2006/05/08",15.226,15.248,15.051,15.073
"2006/05/09",15.176,15.19,14.953,14.993
"2006/05/10",14.9,14.94,14.705,14.766
"2006/05/11",14.788,14.788,14.513,14.518
"2006/05/12",14.403,14.403,13.918,14.021
"2006/05/15",13.896,14.063,13.815,14.008
"2006/05/16",14.065,14.188,13.913,13.971
"2006/05/17",13.908,13.983,13.478,13.61
"2006/05/18",13.75,13.851,13.448,13.453
"2006/05/19",13.488,13.608,13.2,13.605
"2006/05/22",13.551,13.605,13.375,13.528
"2006/05/23",13.641,13.833,13.54,13.54
"2006/05/24",13.478,13.533,13.261,13.403
"2006/05/25",13.565,13.58,13.358,13.433
"2006/05/26",13.478,13.753,13.4,13.73
"2006/05/30",14.125,14.128,13.521,13.54
"2006/05/31",13.601,13.888,13.58,13.888
"2006/06/01",13.91,14.358,13.91,14.358
"2006/06/02",14.373,14.503,14.198,14.328
"2006/06/05",14.301,14.301,14.068,14.091
"2006/06/06",14.115,14.195,13.543,13.625
"2006/06/07",13.61,13.693,13.313,13.386
"2006/06/08",13,13.271,12.748,13.23
"2006/06/09",13.303,13.5,13.208,13.226
"2006/06/12",13.325,13.358,12.57,12.653
"2006/06/13",12.375,12.695,12.333,12.551
"2006/06/14",12.521,12.82,12.488,12.748
"2006/06/15",12.796,13.478,12.79,13.438
"2006/06/16",13.563,13.623,13.168,13.386
"2006/06/19",13.413,13.495,12.993,13.091
"2006/06/20",13.051,13.245,12.888,13.061
"2006/06/21",13.086,13.688,13.086,13.591
"2006/06/22",13.476,13.625,13.226,13.48
"2006/06/23",13.438,13.65,13.313,13.458
"2006/06/26",13.5,13.851,13.421,13.711
"2006/06/27",13.663,13.768,13.521,13.588
"2006/06/28",13.586,13.586,13.216,13.41
"2006/06/29",13.473,13.963,13.393,13.963
"2006/06/30",13.973,14.131,13.855,13.99
"2006/07/03",13.99,14.218,13.875,14.208
"2006/07/05",14.15,14.165,13.563,13.748
"2006/07/06",13.748,13.846,13.625,13.716
"2006/07/07",13.7,13.726,13.436,13.503
"2006/07/10",13.556,13.628,13.426,13.511
"2006/07/11",13.455,13.5,13.223,13.476
"2006/07/12",13.601,13.65,12.95,13.08
"2006/07/13",12.976,13.075,12.851,12.968
"2006/07/14",12.926,13.025,12.61,12.721
"2006/07/17",12.686,12.785,12.575,12.766
"2006/07/18",12.815,12.91,12.578,12.823
"2006/07/19",13.438,14.125,13.438,13.718
"2006/07/20",13.718,13.838,13.631,13.83
"2006/07/21",13.79,13.801,13.008,13.363
"2006/07/24",13.36,13.75,13.36,13.738
"2006/07/25",13.718,14.053,13.673,13.94
"2006/07/26",13.918,14.086,13.556,13.846
"2006/07/27",13.95,14.073,13.851,13.921
"2006/07/28",14,14.346,13.988,14.108
"2006/07/31",14.108,14.163,13.875,14.021
"2006/08/01",13.976,14.038,13.568,13.703
"2006/08/02",13.743,14.075,13.738,14.063
"2006/08/03",13.976,14.203,13.846,14.141
"2006/08/04",14.25,14.623,14.04,14.228
