date,open,high,low,close
"2006/01/03",22.906,23.119,22.681,23.007
"2006/01/04",23.108,23.535,23.063,23.378
"2006/01/05",23.569,23.941,23.535,23.896
"2006/01/06",24.728,24.762,24.525,24.694
"2006/01/09",24.773,25.448,24.728,25.313
"2006/01/10",24.829,25.111,24.829,25.032
"2006/01/11",24.48,24.514,24.053,24.323
"2006/01/12",23.569,23.896,23.558,23.614
"2006/01/13",23.682,23.806,23.49,23.682
"2006/01/17",22.939,23.254,22.804,23.22
"2006/01/18",23.941,24.964,23.929,24.064
"2006/01/19",24.109,24.717,24.076,24.345
"2006/01/20",24.368,24.368,23.367,23.49
"2006/01/23",24.064,24.233,23.761,24.188
"2006/01/24",24.222,24.807,24.222,24.705
"2006/01/25",24.897,25.425,24.852,25.392
"2006/01/26",25.988,26.281,25.842,26.101
"2006/01/27",26.247,26.595,26.213,26.517
"2006/01/30",26.202,26.303,25.785,25.909
"2006/01/31",25.504,25.56,25.234,25.425
"2006/02/01",25.313,25.718,25.313,25.684
"2006/02/02",25.74,25.842,25.167,25.335
"2006/02/03",25.009,25.268,24.942,25.054
"2006/02/06",24.919,25.257,24.829,25.201
"2006/02/07",25.246,25.594,25.099,25.257
"2006/02/08",25.459,25.729,25.279,25.707
"2006/02/09",25.684,26.078,25.65,25.707
"2006/02/10",25.437,25.482,24.841,25.178
"2006/02/13",24.773,25.066,24.75,24.908
"2006/02/14",24.852,25.223,24.694,25.144
"2006/02/15",25.156,25.201,24.728,24.953
"2006/02/16",25.223,25.324,24.762,25.021
"2006/02/17",24.717,24.863,24.525,24.604
"2006/02/21",24.582,24.66,24.188,24.379
"2006/02/22",23.907,23.952,23.603,23.839
"2006/02/23",23.918,23.918,23.524,23.558
"2006/02/24",23.592,23.592,23.243,23.299
"2006/02/27",23.378,23.468,23.209,23.333
"2006/02/28",23.524,23.603,23.198,23.265
"2006/03/01",23.58,24.132,23.558,24.076
"2006/03/02",23.738,24.087,23.738,23.997
"2006/03/03",23.693,24.143,23.648,23.896
"2006/03/06",23.614,23.806,23.288,23.434
"2006/03/07",23.243,23.277,22.602,22.726
"2006/03/08",22.534,22.771,22.422,22.647
"2006/03/09",22.973,23.029,22.579,22.602
"2006/03/10",22.534,22.624,22.275,22.433
"2006/03/13",22.748,22.951,22.647,22.692
"2006/03/14",22.669,23.243,22.669,23.22
"2006/03/15",23.603,23.704,23.412,23.637
"2006/03/16",23.58,23.58,22.906,22.928
"2006/03/17",22.692,22.906,22.546,22.793
"2006/03/20",22.647,22.726,22.399,22.489
"2006/03/21",22.275,22.726,22.14,22.275
"2006/03/22",22.073,22.287,22.028,22.23
"2006/03/23",22.287,22.478,21.927,22.005
"2006/03/24",22.129,22.489,22.005,22.377
"2006/03/27",22.377,22.455,22.174,22.264
"2006/03/28",22.118,22.208,21.769,21.848
"2006/03/29",22.118,22.309,21.96,22.197
"2006/03/30",22.377,22.557,22.264,22.444
"2006/03/31",22.883,23.097,22.759,22.917
"2006/04/03",22.681,23.052,22.602,22.793
"2006/04/04",22.759,23.142,22.669,22.928
"2006/04/05",22.782,23.355,22.782,23.254
"2006/04/06",23.603,23.851,23.502,23.738
"2006/04/07",23.659,23.727,23.085,23.322
"2006/04/10",23.344,23.4,22.883,23.063
"2006/04/11",23.119,23.153,22.669,22.771
"2006/04/12",22.568,22.703,22.388,22.523
"2006/04/13",22.861,23.007,22.613,22.973
"2006/04/17",23.063,23.288,22.669,22.759
"2006/04/18",22.996,23.738,22.951,23.423
"2006/04/19",23.738,24.48,23.682,24.435
"2006/04/20",24.143,24.435,24.109,24.233
"2006/04/21",24.435,24.525,24.166,24.289
"2006/04/24",24.21,24.503,24.031,24.435
"2006/04/25",24.548,24.559,24.031,24.278
"2006/04/26",24.132,24.244,23.929,24.076
"2006/04/27",23.693,23.918,23.592,23.794
"2006/04/28",23.839,23.907,23.614,23.783
"2006/05/01",23.986,23.986,23.569,23.659
"2006/05/02",24.21,24.345,24.087,24.244
"2006/05/03",23.986,24.121,23.659,24.087
"2006/05/04",24.132,24.796,24.087,24.717
"2006/05/05",25.021,25.178,24.807,25.178
"2006/05/08",25.201,25.335,25.144,25.212
"2006/05/09",24.919,24.919,24.593,24.717
"2006/05/10",24.559,24.627,24.076,24.188
"2006/05/11",24.132,24.21,23.164,23.479
"2006/05/12",22.939,23.119,22.568,22.647
"2006/05/15",22.613,22.636,21.916,22.163
"2006/05/16",22.534,22.557,21.769,22.062
"2006/05/17",22.23,22.264,21.162,21.488
"2006/05/18",21.769,21.904,21.24,21.252
"2006/05/19",21.567,21.612,21.173,21.533
"2006/05/22",21.229,21.252,20.599,21.038
"2006/05/23",22.455,22.726,22.005,22.152
"2006/05/24",22.512,22.827,22.174,22.636
"2006/05/25",22.703,22.962,22.422,22.872
"2006/05/26",22.782,22.782,22.365,22.557
"2006/05/30",22.827,22.861,22.557,22.636
"2006/05/31",22.782,22.906,22.546,22.883
"2006/06/01",22.726,23.468,22.658,23.434
"2006/06/02",23.738,23.783,23.288,23.603
"2006/06/05",23.49,23.513,22.804,22.894
"2006/06/06",22.579,22.636,22.152,22.388
"2006/06/07",22.365,22.928,22.152,22.422
"2006/06/08",22.264,22.377,21.713,22.242
"2006/06/09",22.095,22.23,21.646,21.758
"2006/06/12",22.062,22.107,21.634,21.646
"2006/06/13",21.702,21.949,21.488,21.544
"2006/06/14",21.916,22.32,21.837,22.174
"2006/06/15",22.624,22.951,22.534,22.906
"2006/06/16",22.726,22.748,22.174,22.309
"2006/06/19",22.377,22.422,21.904,22.039
"2006/06/20",21.927,22.185,21.724,21.826
"2006/06/21",22.253,22.928,22.152,22.681
"2006/06/22",22.41,22.546,22.174,22.399
"2006/06/23",22.377,22.703,22.185,22.365
"2006/06/26",22.388,22.602,22.298,22.568
"2006/06/27",22.534,22.534,21.826,21.882
"2006/06/28",21.938,21.994,21.567,21.848
"2006/06/29",21.724,22.512,21.601,22.5
"2006/06/30",22.658,22.748,22.5,22.748
"2006/07/03",22.883,23.029,22.849,22.973
"2006/07/05",22.591,22.636,22.14,22.309
"2006/07/06",22.444,22.557,22.365,22.444
"2006/07/07",22.174,22.253,21.814,21.927
"2006/07/10",22.219,22.253,21.769,21.859
"2006/07/11",21.691,22.309,21.612,22.275
"2006/07/12",22.107,22.107,21.589,21.691
"2006/07/13",21.409,21.601,20.959,21.004
"2006/07/14",21.038,21.06,20.656,20.959
"2006/07/17",20.723,20.869,20.566,20.768
"2006/07/18",21.105,21.229,20.554,21.128
"2006/07/19",21.443,22.568,21.409,22.444
"2006/07/20",22.298,22.309,21.274,21.409
"2006/07/21",21.229,21.24,20.757,20.88
"2006/07/24",21.094,21.24,20.948,21.195
"2006/07/25",21.24,21.589,21.139,21.533
"2006/07/26",21.263,21.612,21.072,21.398
"2006/07/27",21.443,21.871,21.409,21.511
"2006/07/28",21.893,22.343,21.814,22.219
"2006/07/31",22.028,22.41,21.96,22.388
"2006/08/01",22.084,22.118,21.623,21.949
"2006/08/02",22.242,22.444,22.107,22.275
"2006/08/03",21.994,22.759,21.983,22.579
"2006/08/04",22.455,22.557,21.736,22.017
"2006/08/07",22.005,22.163,21.904,22.028
"2006/08/08",21.983,22.32,21.871,22.005
"2006/08/09",22.253,22.782,22.152,22.275
"2006/08/10",22.118,22.298,21.994,22.298
"2006/08/11",22.073,22.095,21.657,21.826
"2006/08/14",22.107,22.579,22.107,22.163
"2006/08/15",22.883,23.052,22.737,23.007
"2006/08/16",23.367,23.783,23.243,23.749
"2006/08/17",23.851,24.233,23.817,24.019
"2006/08/18",23.817,24.109,23.625,24.053
"2006/08/21",23.986,23.986,23.671,23.828
"2006/08/22",23.445,23.997,23.445,23.693
"2006/08/23",23.637,23.873,23.445,23.625
"2006/08/24",23.659,23.671,23.209,23.535
"2006/08/25",23.4,23.637,23.378,23.479
"2006/08/28",23.457,24.019,23.457,23.929
"2006/08/29",24.233,24.582,23.997,24.548
"2006/08/30",24.447,24.784,24.312,24.75
"2006/08/31",24.762,24.829,24.525,24.818
"2006/09/01",24.615,24.694,24.368,24.548
"2006/09/05",24.357,24.728,24.267,24.717
"2006/09/06",25.088,25.133,24.773,24.886
"2006/09/07",24.863,25.549,24.807,25.414
"2006/09/08",25.324,25.459,25.189,25.313
"2006/09/11",25.144,25.504,24.919,25.302
"2006/09/12",25.56,26.101,25.56,26.078
"2006/09/13",25.921,26.044,25.819,25.988
"2006/09/14",25.628,25.875,25.527,25.785
"2006/09/15",25.774,25.83,25.313,25.515
"2006/09/18",25.257,25.662,25.234,25.515
"2006/09/19",25.414,25.414,24.807,25.088
"2006/09/20",25.234,25.448,25.144,25.403
"2006/09/21",25.605,25.684,25.032,25.257
"2006/09/22",25.009,25.077,24.796,24.908
"2006/09/25",25.268,25.707,25.144,25.605
"2006/09/26",25.763,26.213,25.684,26.146
"2006/09/27",25.808,26.134,25.785,25.909
"2006/09/28",26.303,26.393,26.022,26.314
"2006/09/29",26.382,26.404,26.112,26.191
"2006/10/02",26.067,26.337,25.887,25.943
"2006/10/03",26.022,26.247,25.943,26.067
"2006/10/04",25.932,26.528,25.864,26.517
"2006/10/05",26.472,26.573,26.247,26.438
"2006/10/06",26.281,26.382,26.179,26.247
"2006/10/09",26.146,26.483,26.146,26.438
"2006/10/10",26.371,26.382,26.202,26.348
"2006/10/11",26.236,26.854,26.236,26.528
"2006/10/12",26.933,27.338,26.764,27.316
"2006/10/13",27.079,27.417,27,27.282
"2006/10/16",27.192,27.451,27.113,27.327
"2006/10/17",27.338,27.394,26.753,26.854
"2006/10/18",25.774,25.898,24.773,25.347
"2006/10/19",25.088,25.605,25.054,25.47
"2006/10/20",25.504,25.65,25.313,25.572
"2006/10/23",25.246,25.662,25.167,25.493
"2006/10/24",25.335,25.482,25.043,25.088
"2006/10/25",25.122,25.437,25.077,25.347
"2006/10/26",25.673,25.921,25.538,25.819
"2006/10/27",26.134,26.224,25.515,25.673
"2006/10/30",25.605,25.909,25.538,25.797
"2006/10/31",25.921,25.999,25.56,25.695
"2006/11/01",26.033,26.067,25.414,25.47
"2006/11/02",25.538,25.977,25.538,25.932
"2006/11/03",25.988,25.988,25.617,25.752
"2006/11/06",25.988,26.382,25.875,26.269
"2006/11/07",26.494,26.719,26.393,26.438
"2006/11/08",26.168,26.404,26.056,26.348
"2006/11/09",26.292,26.416,26.101,26.146
"2006/11/10",26.427,26.505,26.236,26.348
"2006/11/13",26.382,26.607,26.371,26.494
"2006/11/14",27.181,27.563,26.775,27.563
"2006/11/15",27.585,28.002,27.541,27.822
"2006/11/16",27.63,27.653,27.214,27.552
"2006/11/17",27.585,27.957,27.507,27.934
"2006/11/20",27.777,28.463,27.72,28.396
"2006/11/21",28.632,28.969,28.564,28.677
"2006/11/22",29.093,29.16,28.845,29.059
"2006/11/24",28.407,28.733,28.317,28.621
"2006/11/27",28.227,28.306,27.642,27.687
"2006/11/28",27.799,28.002,27.451,27.754
"2006/11/29",28.137,28.193,27.709,27.968
"2006/11/30",28.204,28.204,27.833,28.013
"2006/12/01",28.261,28.306,27.563,27.878
"2006/12/04",27.833,28.328,27.664,28.114
"2006/12/05",28.148,28.384,28.092,28.238
"2006/12/06",28.193,28.474,28.035,28.249
"2006/12/07",29.048,29.082,28.542,28.542
"2006/12/08",28.317,28.677,28.227,28.294
"2006/12/11",28.384,28.587,28.272,28.373
"2006/12/12",28.182,28.261,27.844,28.159
"2006/12/13",28.294,28.396,28.024,28.148
"2006/12/14",27.923,28.159,27.878,28.092
"2006/12/15",28.306,28.407,28.137,28.283
"2006/12/18",28.283,28.339,27.878,27.945
"2006/12/19",27.957,27.968,27.473,27.552
"2006/12/20",27.709,27.709,27.237,27.372
"2006/12/21",27.394,27.428,26.787,26.978
"2006/12/22",27.203,27.214,26.865,26.978
"2006/12/26",27.034,27.518,26.922,27.383
"2006/12/27",27.496,27.765,27.462,27.72
"2006/12/28",27.619,27.844,27.552,27.743
"2006/12/29",27.822,27.945,27.653,27.709
