date,open,high,low,close
"2020/01/02",319.321,322.5,317.321,322.391
"2020/01/03",317.511,320,314.08,314.191
"2020/01/06",310.851,313.921,309.631,313.721
"2020/01/07",315.25,316.58,312.25,312.641
"2020/01/08",312.981,313.49,308.411,308.74
"2020/01/09",312.321,312.99,303.05,306.261
"2020/01/10",305.451,305.55,298.8,299.221
"2020/01/13",300.02,303.8,299.671,301.18
"2020/01/14",302,309.15,301.59,308.18
"2020/01/15",307.31,307.881,300.701,303.141
"2020/01/16",305,307.86,304.21,307.05
"2020/01/17",308.661,308.941,304.071,308.791
"2020/01/21",307.8,309.511,306.33,308.071
"2020/01/22",310.8,317.921,310.5,312.971
"2020/01/23",315.18,319.8,310.821,319.65
"2020/01/24",330.5,331.58,320.77,324
"2020/01/27",316.411,319.881,308.641,309.03
"2020/01/28",313.53,319.231,312.77,318.31
"2020/01/29",320.821,325.43,317.141,317.511
"2020/01/30",314.321,315.52,308.59,315.201
"2020/01/31",314.161,314.58,303.62,305.161
"2020/02/03",305.631,306.601,303.641,305.231
"2020/02/04",311.791,314.571,309.65,311.601
"2020/02/05",317.5,319.81,315.86,317.381
"2020/02/06",318.84,319.881,314.231,319.691
"2020/02/07",318.321,318.52,314.87,315.231
"2020/02/10",312.37,314.601,310.3,314.201
"2020/02/11",316.65,320.791,316.011,320.161
"2020/02/12",322.041,325.09,321.631,324.701
"2020/02/13",321.481,325.46,320.951,323.971
"2020/02/14",324.84,325.701,317.101,317.77
"2020/02/18",315,315.011,308.05,310.75
"2020/02/19",313,316.83,311.701,315.691
"2020/02/20",313.96,315.691,306.12,309.24
"2020/02/21",308.5,309.451,302.291,304.5
"2020/02/24",294.201,298.8,290.06,291.601
"2020/02/25",294.11,295.731,281.071,282.68
"2020/02/26",284.351,288.201,284,285.881
"2020/02/27",280.3,285.31,273.541,273.951
"2020/02/28",263.33,274.131,262.74,272.62
"2020/03/02",276.761,285.4,271.15,284.971
"2020/03/03",284.65,288.481,271.571,274.25
"2020/03/04",277.541,285.721,274.77,285.451
"2020/03/05",277.261,283.09,272.451,274.041
"2020/03/06",266.981,270.93,262.5,269.451
"2020/03/09",251.081,260.27,244.25,247.721
