date,open,high,low,close
"2009/01/02",12.591,14.391,12.551,14.211
"2009/01/05",14.211,14.211,13.37,13.95
"2009/01/06",14.091,14.48,13.74,14.261
"2009/01/07",14.11,14.11,13.601,13.711
"2009/01/08",13.761,13.91,13.521,13.771
"2009/01/09",13.73,13.771,13.08,13.58
"2009/01/12",13.341,13.62,13.131,13.25
"2009/01/13",13.271,13.811,13.07,13.711
"2009/01/14",13.54,13.771,13.04,13.24
"2009/01/15",13.24,13.48,12.66,13.311
"2009/01/16",13.551,13.671,13.28,13.61
"2009/01/20",13.45,13.721,12.811,12.841
"2009/01/21",12.99,13.261,12.74,13.24
"2009/01/22",12.971,13.471,12.57,13.19
"2009/01/23",12.931,13.36,12.851,13.141
"2009/01/26",13.19,13.471,13.131,13.33
"2009/01/27",13.351,13.65,13.051,13.49
"2009/01/28",13.681,14.12,13.591,14.061
"2009/01/29",13.98,13.98,13.48,13.721
"2009/01/30",13.74,13.971,13.36,13.49
"2009/02/02",13.271,13.851,13,13.79
"2009/02/03",14.15,15.08,14.08,14.851
"2009/02/04",14.9,15.37,14.421,14.7
"2009/02/05",14.641,15.36,14.58,15.11
"2009/02/06",15.181,15.851,15.12,15.761
"2009/02/09",15.801,16.201,15.41,16.05
"2009/02/10",15.851,16.74,15.73,15.891
"2009/02/11",16,16.24,15.771,16.111
"2009/02/12",15.811,16.56,15.601,16.511
"2009/02/13",16.5,17.271,16.24,16.89
"2009/02/17",16.521,16.851,16.021,16.541
"2009/02/18",16.57,16.63,16.15,16.271
"2009/02/19",16.47,16.91,16.22,16.291
"2009/02/20",15.841,16.361,15.75,15.95
"2009/02/23",16.261,16.671,15.57,15.681
"2009/02/24",15.78,15.961,15.25,15.9
"2009/02/25",15.881,16.08,15.54,15.761
"2009/02/26",16.13,16.48,15.641,15.75
"2009/02/27",15.5,16.591,15.431,15.98
"2009/03/02",15.65,15.9,15.131,15.171
"2009/03/03",15.4,15.95,15.28,15.82
"2009/03/04",15.841,16.791,15.771,16.39
"2009/03/05",16.201,16.55,15.931,16.041
"2009/03/06",16.13,16.351,15.4,16.031
"2009/03/09",15.94,16.101,15.54,15.82
"2009/03/10",15.961,16.421,15.921,16.421
"2009/03/11",16.541,17.011,16.06,16.871
"2009/03/12",16.851,17.621,16.63,17.591
"2009/03/13",17.66,18,17.33,17.9
"2009/03/16",18,18.15,17.38,17.49
"2009/03/17",17.531,18.101,17.48,18
"2009/03/18",17.89,18.25,17.73,18.24
"2009/03/19",18.421,18.421,17.951,18.091
"2009/03/20",18.23,18.47,17.64,17.781
"2009/03/23",18.201,19.031,18.08,18.96
"2009/03/24",18.771,18.88,18.421,18.681
"2009/03/25",18.63,19.271,18.63,19.271
"2009/03/26",19.4,19.441,18.65,19.07
"2009/03/27",18.91,19.16,18.5,18.58
"2009/03/30",18.451,18.511,17.701,18.291
"2009/03/31",18.39,18.951,18.22,18.611
"2009/04/01",18.361,18.64,18,18.5
"2009/04/02",19.011,19.5,18.781,19.22
"2009/04/03",19.24,19.371,18.941,19.371
"2009/04/06",19.171,19.41,18.8,19.351
"2009/04/07",19.031,19.441,18.99,19.201
"2009/04/08",19.25,19.63,18.951,19.441
"2009/04/09",19.75,19.861,19.41,19.82
"2009/04/13",19.701,19.701,19.281,19.5
"2009/04/14",19.47,19.621,19.14,19.15
"2009/04/15",18.99,19.191,18.761,19.171
"2009/04/16",19.421,20,19.361,19.671
"2009/04/17",19.64,19.861,19.451,19.611
"2009/04/20",19.33,19.33,18.851,18.89
"2009/04/21",18.931,19.41,18.89,19.361
