date,open,high,low,close
"2012/01/03",44.69,45.151,44.67,45.081
"2012/01/04",44.8,44.8,44.46,44.53
"2012/01/05",44.12,44.151,43.831,44.091
"2012/01/06",43.881,43.991,43.51,43.55
"2012/01/09",43.76,43.8,43.5,43.55
"2012/01/10",43.62,43.62,43.28,43.361
"2012/01/11",42.811,43.081,42.57,43.021
"2012/01/12",42.681,42.771,42.46,42.541
"2012/01/13",43.35,43.561,43.081,43.561
"2012/01/17",43.401,43.451,43.041,43.081
"2012/01/18",43.181,43.66,43.181,43.62
"2012/01/19",43.82,44.01,43.78,44.01
"2012/01/20",44.19,44.57,44.19,44.5
"2012/01/23",44.14,44.51,44.03,44.311
"2012/01/24",43.89,44.1,43.791,43.98
"2012/01/25",44.62,45.19,44.57,45.1
"2012/01/26",45.25,45.37,45.01,45.181
"2012/01/27",45.01,45.181,44.791,45.14
"2012/01/30",44.87,44.87,43.611,43.701
"2012/01/31",43.431,43.431,42.741,42.85
"2012/02/01",42.96,43.23,42.841,43
"2012/02/02",44.51,44.701,44.381,44.491
"2012/02/03",43.89,44.3,43.82,44.21
"2012/02/06",44.381,44.381,44.111,44.23
"2012/02/07",44.17,44.8,44.1,44.66
"2012/02/08",44.66,44.87,44.5,44.62
"2012/02/09",44.67,44.87,44.57,44.82
"2012/02/10",44,44,43.591,43.69
"2012/02/13",44.23,44.381,44.131,44.32
"2012/02/14",44.591,44.831,44.541,44.8
"2012/02/15",44.991,45.151,44.581,44.611
"2012/02/16",44.831,45.46,44.741,45.46
"2012/02/17",45.25,45.26,44.951,45
"2012/02/21",45.241,45.37,45.041,45.16
"2012/02/22",44.67,44.67,44.46,44.611
"2012/02/23",44.82,45.131,44.741,45.131
"2012/02/24",45.05,45.25,45.03,45.201
"2012/02/27",45.23,45.53,45.061,45.46
"2012/02/28",45.741,46,45.6,45.991
"2012/02/29",45.82,46.03,45.271,45.341
"2012/03/01",45.591,45.91,45.591,45.841
"2012/03/02",45.561,45.75,45.541,45.651
"2012/03/05",45.75,45.75,45.28,45.521
"2012/03/06",44.991,45.021,44.701,44.85
"2012/03/07",45.03,45.201,44.991,45.1
"2012/03/08",45.76,46.1,45.76,45.951
"2012/03/09",45.901,46.25,45.901,46.12
"2012/03/12",45.241,45.44,45.151,45.201
"2012/03/13",44.831,45.32,44.771,45.311
"2012/03/14",45.85,45.92,45.51,45.591
"2012/03/15",46.98,47.221,46.841,47.05
"2012/03/16",47.53,47.66,47.25,47.32
"2012/03/19",46.951,47.07,46.841,46.971
"2012/03/20",46.55,46.75,46.39,46.631
"2012/03/21",46.57,46.631,46.341,46.46
"2012/03/22",46.341,46.64,46.341,46.6
"2012/03/23",46.51,46.85,46.42,46.741
"2012/03/26",47.16,47.381,46.971,47.361
"2012/03/27",48.201,48.341,48.061,48.1
"2012/03/28",47.91,47.91,47.541,47.67
"2012/03/29",47.581,47.681,47.37,47.631
"2012/03/30",47.69,47.791,47.541,47.66
"2012/04/02",47.881,48.48,47.85,48.291
"2012/04/03",48.291,48.331,47.841,48.021
"2012/04/04",47,47.081,46.62,46.87
"2012/04/05",46.861,47.201,46.831,47.07
"2012/04/09",46.451,46.611,46.341,46.46
"2012/04/10",46.1,46.271,45.491,45.521
"2012/04/11",46.16,46.44,46.081,46.381
"2012/04/12",46.151,46.66,46.091,46.6
"2012/04/13",46.591,46.701,46.28,46.311
"2012/04/16",46.221,46.3,45.82,45.82
"2012/04/17",46.21,46.611,46.21,46.53
"2012/04/18",46.591,46.89,46.581,46.771
"2012/04/19",46.48,46.67,46.131,46.291
"2012/04/20",46.221,46.611,46.181,46.401
"2012/04/23",46.111,46.25,45.881,46.1
"2012/04/24",46.361,46.62,46.271,46.42
"2012/04/25",46.76,47.061,46.76,47.061
"2012/04/26",45.82,46.23,45.791,46.061
"2012/04/27",45.581,45.73,45.53,45.53
"2012/04/30",45.46,45.51,45.291,45.361
"2012/05/01",45.26,45.561,45.26,45.41
"2012/05/02",44.721,44.94,44.591,44.861
"2012/05/03",44.831,44.831,44.471,44.561
"2012/05/04",44.181,44.311,44.07,44.17
"2012/05/07",44.3,44.701,44.291,44.591
"2012/05/08",44.12,44.17,43.811,44.091
"2012/05/09",43.55,43.811,43.291,43.611
"2012/05/10",43.741,43.82,43.401,43.46
"2012/05/11",43.341,43.561,43.25,43.311
"2012/05/14",42.91,43.14,42.771,42.811
"2012/05/15",42.5,42.64,42.07,42.21
"2012/05/16",41.94,42.21,41.82,41.831
"2012/05/17",42.05,42.201,41.831,41.92
"2012/05/18",41.94,41.951,41.3,41.37
"2012/05/21",41.581,42.151,41.581,42.081
"2012/05/22",41.71,41.901,41.491,41.69
"2012/05/23",40.71,40.76,40.291,40.721
"2012/05/24",39.91,40.05,39.471,39.741
"2012/05/25",40.44,40.581,40.32,40.39
"2012/05/29",41.05,41.25,40.51,41.081
"2012/05/30",40.76,40.811,40.431,40.46
"2012/05/31",40,40.111,39.73,39.931
"2012/06/01",38.96,38.971,37.861,37.94
"2012/06/04",37.82,38.48,37.82,38.42
"2012/06/05",38.26,38.51,38.21,38.44
"2012/06/06",38.811,39.491,38.37,39.44
"2012/06/07",40.201,40.291,39.66,39.741
"2012/06/08",39.44,39.55,39.25,39.53
"2012/06/11",40.381,40.381,39.721,39.78
"2012/06/12",40.521,40.75,40.23,40.64
"2012/06/13",40.17,40.5,40.1,40.221
"2012/06/14",40.17,40.53,40.111,40.271
"2012/06/15",40.541,40.831,40.471,40.771
"2012/06/18",40.651,40.811,40.51,40.55
