date,open,high,low,close
"2019/01/02",9.53,9.58,9.53,9.58
"2019/01/03",9.58,9.601,9.561,9.58
"2019/01/04",9.551,9.601,9.551,9.601
"2019/01/07",9.61,9.61,9.561,9.58
"2019/01/08",9.601,9.601,9.57,9.591
"2019/01/09",9.601,9.601,9.57,9.591
"2019/01/10",9.601,9.601,9.601,9.601
"2019/01/11",9.601,9.601,9.57,9.591
"2019/01/14",10,10,9.891,9.9
"2019/01/15",9.931,9.95,9.91,9.931
"2019/01/16",9.91,10.101,9.91,10.051
"2019/01/17",10.061,10.29,10.061,10.24
"2019/01/18",10.25,10.511,10.221,10.44
"2019/01/22",10.44,10.45,10.311,10.44
"2019/01/23",10.511,10.511,10.351,10.4
"2019/01/24",10.391,10.44,10.301,10.4
"2019/01/25",10.4,10.4,10.37,10.4
"2019/01/28",10.351,10.391,10.351,10.37
"2019/01/29",10.381,10.4,10.341,10.37
"2019/01/30",10.4,10.45,10.351,10.44
"2019/01/31",10.461,10.641,10.45,10.58
"2019/02/01",10.511,10.78,10.5,10.74
"2019/02/04",10.801,10.95,10.721,10.921
"2019/02/05",11,11.091,10.86,11.051
"2019/02/06",11,11.5,11,11.29
"2019/02/07",11.49,11.49,11,11.07
"2019/02/08",11.091,11.15,10.961,11.08
"2019/02/11",11.141,11.19,11.011,11.051
"2019/02/12",11.011,11.25,11.011,11.24
"2019/02/13",11.471,11.471,11.2,11.391
"2019/02/14",11.4,11.591,11.351,11.511
"2019/02/15",11.75,11.75,11.471,11.54
"2019/02/19",11.58,11.641,11.471,11.53
"2019/02/20",11.431,11.53,11.23,11.25
"2019/02/21",11.131,11.32,10.95,11
"2019/02/22",10.961,11.2,10.961,11.15
"2019/02/25",11.131,11.15,11.021,11.101
"2019/02/26",11.03,11.15,11,11.15
"2019/02/27",11.101,11.15,11.051,11.15
"2019/02/28",11.101,11.2,11.021,11.021
"2019/03/01",11,11.03,10.87,10.94
"2019/03/04",10.91,11,10.86,10.86
"2019/03/05",10.801,11.04,10.801,10.95
"2019/03/06",10.9,11,10.9,10.921
"2019/03/07",10.841,11.16,10.841,10.99
"2019/03/08",10.87,11.08,10.75,11.011
"2019/03/11",11.021,11.141,11,11.061
"2019/03/12",11.03,11.75,11.03,11.681
"2019/03/13",11.69,12.28,11.65,12.23
"2019/03/14",12.28,12.32,12.04,12.261
"2019/03/15",12.351,12.521,12.351,12.4
"2019/03/18",12.311,12.601,12.311,12.551
"2019/03/19",12.69,12.7,12.4,12.48
"2019/03/20",12.57,12.681,12.311,12.681
"2019/03/21",12.58,12.69,12.5,12.641
"2019/03/22",12.62,12.7,12.58,12.66
"2019/03/25",12.7,12.811,12.53,12.75
"2019/03/26",12.78,13.131,12.7,13.101
"2019/03/27",13.171,13.801,13.021,13.591
"2019/03/28",13.881,13.881,13.25,13.461
"2019/03/29",13.44,13.671,13.391,13.44
"2019/04/01",13.53,13.75,13.15,13.54
"2019/04/02",13.641,13.65,13.33,13.53
"2019/04/03",13.62,13.62,13.461,13.5
"2019/04/04",13.591,13.7,13.521,13.591
"2019/04/05",13.711,13.78,13.5,13.5
"2019/04/08",13.58,13.631,13.49,13.591
"2019/04/09",13.65,13.65,13.421,13.521
"2019/04/10",13.5,13.57,13.37,13.44
"2019/04/11",13.5,13.65,13.5,13.641
"2019/04/12",13.771,13.771,13.551,13.601
"2019/04/15",13.69,13.711,13.61,13.7
"2019/04/16",13.62,13.841,13.601,13.75
"2019/04/17",13.711,13.99,13.711,13.9
"2019/04/18",13.99,14,13.841,13.931
"2019/04/22",14,14,13.841,13.931
"2019/04/23",14.021,14.021,13.87,13.94
"2019/04/24",13.86,13.95,13.711,13.801
"2019/04/25",13.711,13.86,13.7,13.851
"2019/04/26",13.78,14.28,13.78,14.061
"2019/04/29",14.381,14.381,14.15,14.261
"2019/04/30",14.54,14.54,14.261,14.4
"2019/05/01",14.53,14.62,14.29,14.381
"2019/05/02",14.381,14.61,14.271,14.41
"2019/05/03",14.511,14.601,14.301,14.45
"2019/05/06",14.5,14.5,14.301,14.41
"2019/05/07",14.69,14.69,13.971,14.12
"2019/05/08",14.4,14.4,13.75,13.87
"2019/05/09",14.141,14.29,13.391,13.73
"2019/05/10",13.66,13.82,13.511,13.65
"2019/05/13",13.891,13.891,13.011,13.341
"2019/05/14",13.45,13.551,13.36,13.48
"2019/05/15",13.75,13.75,13.15,13.311
"2019/05/16",13.4,13.511,13.301,13.37
"2019/05/17",13.62,13.9,13.25,13.351
"2019/05/20",13.25,13.41,13.16,13.301
"2019/05/21",13.221,13.36,13.211,13.33
"2019/05/22",13.2,13.301,12.7,13.211
"2019/05/23",13.021,13.33,12.95,13.19
"2019/05/24",13.171,13.2,12.83,12.961
"2019/05/28",13.03,13.11,12.87,13.04
"2019/05/29",12.931,13.101,12.801,13.051
"2019/05/30",13.07,13.23,13.07,13.101
"2019/05/31",12.931,13.141,12.87,12.921
"2019/06/03",12.971,13.25,12.971,13.25
"2019/06/04",13.341,13.711,13.221,13.69
"2019/06/05",13.711,14.15,13.601,14.101
"2019/06/06",14.08,14.681,13.971,14.561
"2019/06/07",14.58,15.24,14.551,14.7
"2019/06/10",14.78,15.07,14.7,14.95
"2019/06/11",15,15.12,14.73,14.73
"2019/06/12",14.721,15.051,14.45,14.9
"2019/06/13",14.98,15,14.7,14.79
"2019/06/14",14.761,14.95,14.5,14.801
"2019/06/17",14.771,14.931,14.471,14.471
"2019/06/18",14.631,14.74,14.051,14.061
"2019/06/19",14.15,14.391,13.971,14.28
"2019/06/20",14.311,14.65,14.311,14.36
"2019/06/21",14.5,15.011,14.301,14.95
"2019/06/24",15,15.03,14.841,14.921
"2019/06/25",14.891,15.311,14.771,15
"2019/06/26",15,15.061,14.83,14.961
"2019/06/27",15.011,15.171,14.771,14.86
"2019/06/28",14.961,15.471,14.931,15.381
"2019/07/01",15.471,15.511,14.891,15.03
"2019/07/02",15.15,15.381,14.971,15.28
"2019/07/03",15.23,15.671,15.23,15.49
"2019/07/05",15.561,15.65,15.29,15.431
"2019/07/08",15.28,15.431,15.11,15.221
"2019/07/09",15.131,15.381,15.04,15.051
"2019/07/10",15.091,15.4,15.011,15.15
"2019/07/11",15.15,15.5,15.12,15.32
"2019/07/12",15.381,15.381,15.061,15.101
"2019/07/15",15.051,15.16,14.98,15.16
"2019/07/16",15.021,15.461,14.7,15.381
"2019/07/17",15.48,15.5,15.061,15.07
"2019/07/18",15.04,15.53,15,15.5
"2019/07/19",15.5,15.721,15.431,15.54
"2019/07/22",15.66,15.86,15.391,15.801
"2019/07/23",15.891,15.9,15.711,15.811
"2019/07/24",15.671,16.21,15.671,15.961
"2019/07/25",15.87,16.291,15.87,16.201
"2019/07/26",16.191,16.371,16.05,16.271
"2019/07/29",16.341,16.56,16.101,16.56
"2019/07/30",16.58,16.65,16.431,16.601
"2019/07/31",16.601,16.621,16.291,16.451
"2019/08/01",16.341,16.75,15.891,16.101
"2019/08/02",16.101,16.32,15.94,16.16
"2019/08/05",15.94,16.111,15.44,15.681
"2019/08/06",15.631,16,15.631,15.841
"2019/08/07",15.601,16.541,15.601,16.541
"2019/08/08",16.701,17.16,16.66,17.13
"2019/08/09",17.281,17.33,17.08,17.101
"2019/08/12",17.011,17.32,16.82,16.97
"2019/08/13",16.81,17.25,16.81,17.23
"2019/08/14",17.101,17.181,16.861,17.08
"2019/08/15",17.05,17.4,16.97,17.371
"2019/08/16",17.46,17.46,17.271,17.31
"2019/08/19",17.46,17.57,17.111,17.511
"2019/08/20",17.38,17.601,17.24,17.55
"2019/08/21",17.601,17.75,17.25,17.66
"2019/08/22",17.701,17.75,17.601,17.681
"2019/08/23",17.63,17.73,17.521,17.63
"2019/08/26",17.74,17.75,17.451,17.55
"2019/08/27",17.75,17.761,17.49,17.55
"2019/08/28",17.601,17.73,17.47,17.601
"2019/08/29",17.691,17.73,17.57,17.66
"2019/08/30",17.701,17.8,17.55,17.621
"2019/09/03",17.25,17.591,16.38,16.38
"2019/09/04",16.181,16.621,16,16.531
"2019/09/05",16.58,16.8,16.041,16.16
"2019/09/06",16.64,17.421,16.31,17.281
"2019/09/09",17.23,17.24,16.681,16.941
"2019/09/10",16.851,17.25,16.46,16.9
"2019/09/11",16.871,17.271,16.8,17.24
"2019/09/12",17.201,17.541,17.101,17.49
"2019/09/13",17.63,17.671,17.08,17.171
"2019/09/16",17.13,17.32,16.8,17
"2019/09/17",16.97,17.22,16.851,17.16
"2019/09/18",17.201,17.271,17.021,17.21
"2019/09/19",17.22,17.451,17.07,17.371
"2019/09/20",17.3,17.48,17.06,17.15
"2019/09/23",17.201,17.32,17.101,17.13
"2019/09/24",17.15,17.281,16.75,16.97
"2019/09/25",17.05,17.181,16.701,16.97
"2019/09/26",17.021,17.23,16.771,16.97
"2019/09/27",17,17.13,16.791,17.031
"2019/09/30",17.041,17.041,16.73,16.871
"2019/10/01",16.841,16.91,16.431,16.511
