date,open,high,low,close
"2015/01/02",19.15,19.24,18.57,18.83
"2015/01/05",18.71,18.75,18.341,18.4
"2015/01/06",18.47,18.531,17.89,17.91
"2015/01/07",18.041,18.451,17.88,18.421
"2015/01/08",18.611,18.74,18.49,18.611
"2015/01/09",18.57,18.671,18.281,18.55
"2015/01/12",18.56,18.56,18.23,18.361
"2015/01/13",18.451,18.841,18.171,18.431
"2015/01/14",18.21,18.41,18.011,18.261
"2015/01/15",18.32,18.4,17.71,17.73
"2015/01/16",17.71,18.351,17.681,18.33
"2015/01/20",18.38,18.55,17.9,18.14
"2015/01/21",18.14,18.441,18.041,18.341
"2015/01/22",18.421,18.541,18.08,18.361
"2015/01/23",18.371,18.66,18.3,18.451
"2015/01/26",18.5,18.621,18.25,18.58
"2015/01/27",18.38,18.55,18.181,18.351
"2015/01/28",18.5,18.591,18.101,18.121
"2015/01/29",18.191,18.201,17.75,18.011
"2015/01/30",17.9,18.21,17.75,17.99
"2015/02/02",17.97,18.041,17.58,17.9
"2015/02/03",17.941,18.31,17.82,18.24
"2015/02/04",18.13,18.361,18.091,18.101
"2015/02/05",16.681,17.621,16.521,17.21
"2015/02/06",17.3,17.4,17.05,17.13
"2015/02/09",17.121,17.31,17.011,17.16
"2015/02/10",17.24,17.291,17,17.24
"2015/02/11",17.22,17.64,17.101,17.611
"2015/02/12",17.681,17.96,17.451,17.921
"2015/02/13",17.921,18.091,17.72,18.021
"2015/02/17",17.97,18.011,17.8,17.941
"2015/02/18",17.861,18.011,17.65,18
"2015/02/19",17.951,18.32,17.851,18.23
"2015/02/20",18.25,18.5,17.97,18.5
"2015/02/23",18.48,18.55,18.3,18.47
"2015/02/24",18.541,18.73,18.421,18.671
"2015/02/25",18.63,18.771,18.431,18.73
"2015/02/26",18.691,18.73,18.38,18.511
"2015/02/27",18.47,18.48,18.24,18.361
"2015/03/02",18.41,18.64,18.41,18.591
"2015/03/03",18.521,18.591,18.351,18.451
"2015/03/04",18.4,18.55,18.32,18.431
"2015/03/05",18.48,18.49,18.101,18.21
"2015/03/06",18.13,18.201,17.921,18.091
"2015/03/09",18.08,18.23,17.921,18.201
"2015/03/10",18.06,18.121,17.8,17.841
"2015/03/11",17.851,17.921,17.65,17.83
"2015/03/12",17.81,17.951,17.65,17.951
"2015/03/13",17.97,18.191,17.781,18.111
"2015/03/16",18.191,18.58,18.041,18.521
"2015/03/17",18.451,18.57,18.291,18.39
"2015/03/18",18.3,18.82,18.281,18.63
"2015/03/19",18.621,18.74,18.56,18.601
"2015/03/20",17.941,18.861,17.941,18.66
"2015/03/23",18.66,18.681,18.511,18.521
"2015/03/24",18.531,18.64,18.361,18.49
"2015/03/25",18.531,18.58,17.99,17.99
"2015/03/26",17.88,18.111,17.671,18
"2015/03/27",17.99,18.111,17.83,18.08
"2015/03/30",17.99,18.56,17.88,18.441
"2015/03/31",18.32,18.5,18.091,18.441
"2015/04/01",18.441,18.48,18.201,18.39
"2015/04/02",18.4,18.66,18.32,18.5
"2015/04/06",18.41,18.58,18.291,18.46
"2015/04/07",18.46,18.781,18.31,18.65
"2015/04/08",18.72,19.41,18.691,19.07
"2015/04/09",19,19.171,18.82,19.021
"2015/04/10",19.08,19.5,18.97,19.06
"2015/04/13",19.091,19.341,19.041,19.07
"2015/04/14",19.021,19.101,18.63,18.65
"2015/04/15",18.701,18.861,18.57,18.73
"2015/04/16",18.71,18.791,18.58,18.601
"2015/04/17",18.5,18.55,18.32,18.431
"2015/04/20",17.771,18.71,17.771,18.64
