date,open,high,low,close
"2013/06/27",17.64,18.75,17.38,18.371
"2013/06/28",18.4,19.171,18.38,18.621
"2013/07/01",18.65,18.9,18.341,18.341
"2013/07/02",18.341,19.64,18.261,19.22
"2013/07/03",18.99,19.21,18.671,19.08
"2013/07/05",18.8,19.361,18.55,19.22
"2013/07/08",19.05,19.48,18.861,19.23
"2013/07/09",19.13,19.921,19.06,19.5
"2013/07/10",19.47,19.951,19.05,19.101
"2013/07/11",19.05,19.65,19.05,19.58
"2013/07/12",19.23,19.541,19.21,19.511
"2013/07/15",19.361,19.75,19.22,19.56
"2013/07/16",19.041,20.65,19.041,20.101
"2013/07/17",20.011,20.47,19.72,20.371
"2013/07/18",20.5,21,20.06,20.83
"2013/07/19",21,21.39,20.771,20.841
"2013/07/22",20.601,20.701,20.22,20.341
"2013/07/23",20.291,20.691,20,20.22
"2013/07/24",20.23,20.691,20.05,20.57
"2013/07/25",20.341,21.98,20,21.98
"2013/07/26",22.121,22.14,21.05,21.591
"2013/07/29",21.5,22,21.06,21.701
"2013/07/30",21.71,21.8,20.8,21.601
"2013/07/31",21.791,21.791,21.191,21.5
"2013/08/01",21.451,21.8,21.16,21.66
"2013/08/02",21.671,22.5,21.171,22.431
"2013/08/05",22.431,23,22.261,22.791
"2013/08/06",22.83,23.101,22.591,22.81
"2013/08/07",22.8,22.99,22.64,22.951
"2013/08/08",23,23.101,22.8,23.07
"2013/08/09",22.851,23.121,22.851,23.05
"2013/08/12",22.851,23.201,22.851,23.16
"2013/08/13",23.14,23.55,22.851,23.4
"2013/08/14",23.3,23.4,23.15,23.361
"2013/08/15",23.4,23.4,22.8,23
"2013/08/16",22.98,23.091,22.8,23.05
"2013/08/19",23,23.14,22.701,23.091
"2013/08/20",23.07,23.75,22.871,23.111
"2013/08/21",23.07,23.3,22.8,23.031
"2013/08/22",23.05,23.3,22.851,23.011
"2013/08/23",22.96,23.31,22.871,23.271
"2013/08/26",23.271,23.271,22.951,22.98
"2013/08/27",22.871,22.91,22,22.22
"2013/08/28",22.21,22.441,21.9,21.98
"2013/08/29",21.861,22.14,21.271,22.08
"2013/08/30",22.011,22.16,21.851,21.931
"2013/09/03",22.16,23.171,21.781,22.531
"2013/09/04",22.46,23.011,22.021,23.011
"2013/09/05",22.91,23.75,22.8,23.32
"2013/09/06",23.31,23.75,22.99,23.24
"2013/09/09",23.271,23.521,22.66,22.96
"2013/09/10",23,23.24,22.591,23.031
"2013/09/11",22.9,23.521,22.511,23.421
"2013/09/12",23.4,23.541,23.021,23.091
"2013/09/13",23.021,23.521,22.9,23.5
"2013/09/16",23.65,23.97,23.25,23.871
"2013/09/17",23.82,23.98,23.091,23.23
"2013/09/18",23.08,23.99,22.96,23.791
"2013/09/19",23.601,23.9,23.16,23.46
"2013/09/20",23.361,23.531,22.681,22.89
"2013/09/23",22.9,23.951,22.74,23.861
"2013/09/24",23.871,24.39,23.851,24.3
"2013/09/25",24.3,24.431,24,24.13
"2013/09/26",24.261,24.511,23.83,23.99
"2013/09/27",23.96,24.4,23.791,23.98
"2013/09/30",23.82,24.091,22.781,22.83
"2013/10/01",22.701,23.201,22.63,23.201
"2013/10/02",23.13,23.15,22.271,22.781
"2013/10/03",22.72,23.32,22.64,23.32
"2013/10/04",23.341,23.371,23.16,23.351
"2013/10/07",23.191,23.32,22.97,23.05
"2013/10/08",23,23.291,22.81,23.121
"2013/10/09",23.181,23.33,22.511,22.681
"2013/10/10",22.81,23.32,22.74,23.05
"2013/10/11",23.06,23.271,22.871,22.99
"2013/10/14",22.941,22.951,22.521,22.781
"2013/10/15",22.791,22.91,22.511,22.65
"2013/10/16",22.701,22.91,22.361,22.671
"2013/10/17",22.56,23.07,22.14,22.781
"2013/10/18",22.8,23.15,22.57,22.99
"2013/10/21",22.99,23.13,22.5,22.56
"2013/10/22",22.58,22.91,22.021,22.8
"2013/10/23",22.72,23.101,21.71,22.72
"2013/10/24",22.701,22.701,21.201,22.011
"2013/10/25",22,22.65,21.49,22.15
"2013/10/28",22.261,22.47,21.841,22.05
"2013/10/29",22.171,22.361,21.761,21.951
"2013/10/30",21.921,22.181,21.08,22.101
"2013/10/31",22,22.24,21.31,21.99
"2013/11/01",23,23.56,21.9,22.05
"2013/11/04",21.8,23.041,21.701,22.941
"2013/11/05",22.761,23.351,22.63,23
"2013/11/06",23,23.25,22.8,22.99
"2013/11/07",22.96,23.24,22.621,22.98
"2013/11/08",22.96,23.06,22.541,22.951
"2013/11/11",22.39,22.39,21.611,21.72
"2013/11/12",21.591,21.65,20.701,21.091
"2013/11/13",20.72,21.23,20.55,20.791
"2013/11/14",21.021,21.46,20.611,20.66
"2013/11/15",20.65,21.701,20.5,21.58
"2013/11/18",21.521,21.9,21,21.32
"2013/11/19",21.24,21.49,21.101,21.261
"2013/11/20",21.22,21.951,21.111,21.73
"2013/11/21",21.681,22.371,21.41,21.99
"2013/11/22",22.011,22.431,21.851,22.171
"2013/11/25",22.541,22.98,22.261,22.3
"2013/11/26",22.32,22.48,22.041,22.21
"2013/11/27",22.191,22.47,21.781,22.201
"2013/11/29",22.25,22.341,22.011,22.3
"2013/12/02",22.22,22.591,22.06,22.46
"2013/12/03",22.3,22.56,22.23,22.46
