date,open,high,low,close
"2007/01/03",22,22.8,21.941,22.58
"2007/01/04",22.521,22.701,21.91,22.24
"2007/01/05",22.101,22.101,21.46,21.921
"2007/01/08",21.871,22.06,21.5,21.851
"2007/01/09",21.871,22.57,21.871,22.421
"2007/01/10",22.181,22.531,22.171,22.421
"2007/01/11",22.841,23.48,22.72,23.101
"2007/01/12",23.5,23.921,23.191,23.41
"2007/01/16",23.351,23.671,23.15,23.38
"2007/01/17",23.71,24.431,23.541,24.261
"2007/01/18",24.16,24.171,23.351,23.63
"2007/01/19",23.171,23.73,23,23.57
"2007/01/22",23.46,23.701,23.08,23.41
"2007/01/23",23.351,23.73,23.181,23.191
"2007/01/24",22.951,24.291,22.89,24.08
"2007/01/25",23.861,23.951,23.111,23.191
"2007/01/26",23.24,23.591,23.201,23.38
"2007/01/29",23.201,23.671,23.191,23.38
"2007/01/30",23.4,23.75,23.351,23.56
"2007/01/31",23.4,24.021,23.3,23.861
"2007/02/01",23.861,23.91,23.55,23.701
"2007/02/02",23.74,24.9,23.681,24.5
"2007/02/05",24.541,24.791,24.441,24.64
"2007/02/06",24.621,24.91,24.47,24.74
"2007/02/07",24.74,25.031,24.691,24.871
"2007/02/08",24.841,24.941,24.601,24.761
"2007/02/09",24.791,24.931,24.371,24.38
"2007/02/12",24.271,24.63,24.021,24.5
"2007/02/13",24.38,24.91,24.361,24.65
"2007/02/14",24.771,25.031,24.63,24.921
"2007/02/15",24.81,24.97,24.71,24.89
"2007/02/16",24.791,24.88,24.091,24.31
"2007/02/20",24.101,24.49,23.671,24.23
"2007/02/21",24.701,24.701,24.181,24.5
"2007/02/22",24.56,24.681,23.871,24.041
"2007/02/23",24.121,24.33,23.791,24.15
"2007/02/26",24.05,24.091,23.73,23.861
"2007/02/27",23.46,23.591,22.531,22.55
"2007/02/28",22.47,22.701,22.021,22.58
"2007/03/01",21.98,22.74,21.64,22.5
"2007/03/02",22.3,22.671,22.101,22.22
"2007/03/05",22,22.261,21.82,21.82
"2007/03/06",21.97,22.06,21.39,21.701
"2007/03/07",21.82,21.96,21.701,21.8
"2007/03/08",21.951,22,21.531,21.65
"2007/03/09",21.841,22,21.39,21.56
"2007/03/12",21.601,21.81,21.46,21.58
"2007/03/13",21.451,21.65,21.31,21.511
"2007/03/14",21.531,21.951,21.4,21.431
"2007/03/15",21.46,21.55,21.21,21.4
