date,open,high,low,close
"2008/01/02",15.763,15.888,14.968,15.07
"2008/01/03",15,15.458,15,15.245
"2008/01/04",15.003,15.153,14.521,14.716
"2008/01/07",14.48,14.506,13.716,14.44
"2008/01/08",14.44,14.823,13.628,13.676
"2008/01/09",13.605,13.813,13.056,13.583
"2008/01/10",13.495,14.088,13.273,13.896
"2008/01/11",13.891,14.273,13.493,13.618
"2008/01/14",13.818,13.955,13.45,13.913
"2008/01/15",13.596,13.793,13.523,13.553
"2008/01/16",13.433,13.775,13.078,13.588
"2008/01/17",13.745,13.905,13.296,13.381
"2008/01/18",13.618,13.618,12.748,12.961
"2008/01/22",12.183,13.25,12.04,13.07
"2008/01/23",12.565,13.858,12.4,13.815
"2008/01/24",13.833,14.186,13.495,14.113
"2008/01/25",14.043,14.398,13.088,13.235
"2008/01/28",12.825,13.426,12.825,13.386
"2008/01/29",13.351,13.523,12.848,13.008
"2008/01/30",12.865,13.113,12.575,12.591
"2008/01/31",12.426,13.323,12.198,12.978
"2008/02/01",13.125,13.473,12.773,12.931
"2008/02/04",12.928,13.173,12.578,12.943
"2008/02/05",12.796,13.45,12.57,13.195
"2008/02/06",13.306,13.306,11.888,11.971
"2008/02/07",11.766,12.985,11.766,12.711
"2008/02/08",12.75,12.95,12.578,12.718
"2008/02/11",13.266,13.985,13.266,13.7
"2008/02/12",13.811,13.846,13.468,13.613
"2008/02/13",13.836,14.123,13.75,13.983
"2008/02/14",14.016,14.125,13.75,13.785
"2008/02/15",13.735,13.793,13.275,13.461
"2008/02/19",13.688,13.688,12.82,12.868
"2008/02/20",12.783,13.351,12.75,13.283
"2008/02/21",13.37,13.546,13.128,13.381
"2008/02/22",13.495,13.495,12.893,13.086
"2008/02/25",13.075,13.713,13.075,13.603
"2008/02/26",13.4,13.586,13.19,13.19
"2008/02/27",13.123,13.498,12.596,13.155
"2008/02/28",14.556,15.868,14.386,15.415
"2008/02/29",15.173,15.448,14.801,14.931
"2008/03/03",14.998,15.176,14.543,14.693
"2008/03/04",14.673,14.748,14.28,14.471
"2008/03/05",14.558,14.888,14.418,14.753
"2008/03/06",14.698,14.75,14.36,14.436
"2008/03/07",14.183,14.578,13.91,14.165
"2008/03/10",14.29,14.448,13.843,14.021
"2008/03/11",14.271,14.668,13.983,14.613
"2008/03/12",14.648,15.056,14.41,14.553
"2008/03/13",14.301,14.9,14.056,14.728
"2008/03/14",14.9,15,14.308,14.463
"2008/03/17",14,14.293,13.546,13.878
"2008/03/18",14.188,14.726,14.188,14.653
"2008/03/19",14.596,14.75,14.153,14.153
"2008/03/20",14.153,14.243,13.711,13.958
"2008/03/24",13.976,15,13.976,14.91
"2008/03/25",14.82,15.396,14.82,15.24
"2008/03/26",15.148,15.476,14.695,14.811
"2008/03/27",14.936,14.936,14.075,14.158
"2008/03/28",14.2,14.638,14.15,14.213
"2008/03/31",14.018,14.556,13.886,14.468
"2008/04/01",14.625,15.415,14.62,15.306
"2008/04/02",15.375,16.523,15.301,15.575
"2008/04/03",15.478,16.06,15.07,15.7
"2008/04/04",15.801,16.47,15.421,16.281
"2008/04/07",16.498,16.621,16.136,16.263
"2008/04/08",16.263,16.383,15.91,15.958
"2008/04/09",15.503,15.9,15.183,15.815
"2008/04/10",15.798,16.515,15.623,16.408
"2008/04/11",16.25,16.25,15.273,15.273
"2008/04/14",15.495,15.603,14.676,15.025
"2008/04/15",14.94,15.311,14.625,14.838
"2008/04/16",14.875,15.623,14.875,15.393
"2008/04/17",15.155,15.608,15.053,15.551
"2008/04/18",16.226,16.388,15.938,15.976
"2008/04/21",15.905,15.905,15.546,15.681
"2008/04/22",15.646,15.716,15.125,15.336
"2008/04/23",15.445,16.938,15.325,16.893
"2008/04/24",17,17.413,16.416,17.07
"2008/04/25",16.861,17.253,16.566,17.023
"2008/04/28",17.085,17.341,16.843,16.865
"2008/04/29",16.83,17.113,16.628,16.738
"2008/04/30",16.736,17.313,16.625,16.683
"2008/05/01",16.82,16.993,16.313,16.823
"2008/05/02",17,17,16.671,16.826
"2008/05/05",16.598,17.478,16.598,17.343
"2008/05/06",17.3,17.785,17.093,17.543
"2008/05/07",17.568,17.603,16.633,16.703
"2008/05/08",16.863,16.91,16.518,16.893
"2008/05/09",16.853,17.05,16.603,16.675
"2008/05/12",16.685,17.038,16.306,16.906
"2008/05/13",16.933,17.226,16.73,16.988
"2008/05/14",16.953,17.476,16.953,17.351
"2008/05/15",17.275,17.428,16.826,17.306
"2008/05/16",17.306,17.306,16.99,17.175
"2008/05/19",17.14,17.25,16.518,16.57
"2008/05/20",16.435,16.435,15.601,15.7
"2008/05/21",15.818,15.958,15.358,15.665
"2008/05/22",15.87,17.243,15.763,16.578
"2008/05/23",16.625,16.923,16.421,16.755
"2008/05/27",16.578,17.121,16.378,17.063
"2008/05/28",17.125,17.726,16.898,17.546
"2008/05/29",17.503,18.08,17.201,17.878
"2008/05/30",17.886,18.675,17.886,18.078
"2008/06/02",18,18.083,17.63,17.823
"2008/06/03",17.888,18.121,17.671,18.048
"2008/06/04",18.06,18.248,17.98,18.138
"2008/06/05",18.156,18.5,17.781,18.48
"2008/06/06",18.308,18.333,17.736,17.755
"2008/06/09",17.796,17.963,17.193,17.425
"2008/06/10",17.47,17.886,17.443,17.835
"2008/06/11",17.918,17.918,17.128,17.361
"2008/06/12",17.483,17.603,17.413,17.553
"2008/06/13",17.973,18.396,17.875,18.198
"2008/06/16",18.193,18.371,18.013,18.205
"2008/06/17",18.213,18.351,17.896,18.013
"2008/06/18",17.988,18.208,17.638,17.758
