date,open,high,low,close
"2020/01/02",50.03,50.75,49.25,49.44
"2020/01/03",48.92,51.991,48.791,50.75
"2020/01/06",51.85,56.17,51.03,55.111
"2020/01/07",54.55,56.5,54.5,54.75
"2020/01/08",54.201,55.861,53.3,55.66
"2020/01/09",56.951,57.25,55.1,55.94
"2020/01/10",56.491,58.3,56,57.201
"2020/01/13",57.361,59.741,57,58.971
"2020/01/14",59.23,60.66,57.5,59.241
"2020/01/15",59.23,61.971,59.23,60.25
"2020/01/16",61.5,62.75,61,62.241
"2020/01/17",63.05,63.701,62.061,63.451
"2020/01/21",63.021,63.39,61.26,62.241
"2020/01/22",63,64.041,62.3,62.57
"2020/01/23",62.57,62.66,60.71,61.55
"2020/01/24",62,63.05,57.841,59.25
"2020/01/27",56.581,58.16,55.311,58.061
"2020/01/28",58.66,59.64,58.131,59.07
"2020/01/29",60,61.78,59.741,60.26
"2020/01/30",60,62.561,58.94,62.451
"2020/01/31",62.5,63,60.25,61.091
"2020/02/03",61.131,61.46,59.651,61.081
"2020/02/04",61.92,64.331,61.151,63.556
"2020/02/05",64.21,64.801,60.061,61.815
"2020/02/06",61.6,62.98,60.181,62.19
"2020/02/07",62,63.721,61.82,62.091
"2020/02/10",62.331,63.861,61.451,63.3
"2020/02/11",66,66.84,63.655,65.191
"2020/02/12",65.191,65.5,62.721,65.081
"2020/02/13",64.25,66.2,64.13,65.31
"2020/02/14",65.81,65.831,63.87,64.85
"2020/02/18",65,66.28,64.551,66.041
"2020/02/19",66.63,67.56,65.611,66.03
"2020/02/20",65.7,65.981,60.03,63.381
"2020/02/21",62.581,62.64,59.26,60.931
"2020/02/24",56.401,59.25,56.021,58.081
"2020/02/25",59.5,59.791,56.061,57.741
"2020/02/26",58.39,60.26,57.51,58.46
"2020/02/27",56.151,59.451,54.346,57.5
"2020/02/28",55.6,60.021,55.5,59.64
"2020/03/02",60.201,60.971,58,59.131
"2020/03/03",59.611,60.734,55.01,56.48
"2020/03/04",57.181,58.081,56.061,57.201
"2020/03/05",56.081,57.44,54.55,55.92
"2020/03/06",54.241,54.87,50.361,51.96
"2020/03/09",46.811,48.89,45.651,45.741
"2020/03/10",48.471,48.471,45,46.91
"2020/03/11",45.96,46.3,42.23,42.85
"2020/03/12",38.6,40.201,35.98,37.82
"2020/03/13",39.901,40.081,36.591,39.55
"2020/03/16",36,36,32.12,33.01
"2020/03/17",33.931,38.3,31.951,38.01
"2020/03/18",35.76,41.471,35.5,38.631
"2020/03/19",40.431,44.491,38.201,41.741
"2020/03/20",49.956,51.971,46.811,49.01
"2020/03/23",46.241,53,46.01,51.451
"2020/03/24",54.92,58.651,54.28,57.331
"2020/03/25",56,59.5,55.6,55.78
"2020/03/26",55.841,59.1,55.041,58.64
"2020/03/27",57.021,59.87,56.021,58.791
"2020/03/30",58.811,59.831,56.271,57.721
"2020/03/31",57.03,60.03,55.26,55.681
"2020/04/01",54,56.55,53.53,54.581
"2020/04/02",54.51,56.92,54.111,56.69
"2020/04/03",55.85,59.25,55.85,57.82
"2020/04/06",59.081,60.53,58.66,59.07
"2020/04/07",59.451,61.3,57.75,59.6
"2020/04/08",59.651,60.881,59.05,60.32
"2020/04/09",60.48,60.791,57.5,58.151
"2020/04/13",58,59.37,57.361,58.771
"2020/04/14",59.991,62,58.5,60.89
"2020/04/15",59.341,62.64,58.73,61.82
"2020/04/16",62,64.45,61.541,63.451
"2020/04/17",64.46,65.621,63.25,64.74
"2020/04/20",64.871,70.2,64.39,68.431
"2020/04/21",68.661,70.5,62.771,66.07
"2020/04/22",67.67,69.31,67.231,68.07
"2020/04/23",68.06,69.96,68,68.911
"2020/04/24",69,74.651,68.895,72
"2020/04/27",73,75,72.02,73.6
"2020/04/28",74,74.71,68.39,70.13
"2020/04/29",71,71.6,68.191,69.28
"2020/04/30",69.28,69.28,67.121,67.661
"2020/05/01",66.28,70.191,65.801,69.21
"2020/05/04",68.35,73.67,67.81,73.431
"2020/05/05",74.27,75,70.88,71.59
"2020/05/06",71.941,73.621,69.32,72.441
"2020/05/07",74,76.75,73.661,75.49
"2020/05/08",76.551,77.96,75,76.7
"2020/05/11",77.051,78.35,76.151,76.231
"2020/05/12",77,80.63,75.31,76.151
"2020/05/13",77.861,79.301,73.121,76.57
"2020/05/14",76,77.401,74.53,77.14
"2020/05/15",77.5,80.291,76.331,77.14
"2020/05/18",78.111,78.99,75.78,76.1
"2020/05/19",76.53,79.581,76.5,78.551
"2020/05/20",80.721,81.74,79.151,80.971
"2020/05/21",81.621,81.871,78.816,80.6
"2020/05/22",81,82.7,80,82.221
"2020/05/26",83.39,83.401,77.95,79.35
"2020/05/27",79,79,71.511,77.99
"2020/05/28",78.2,82.28,78,79.5
"2020/05/29",83.191,88,81.2,87.81
"2020/06/01",90.56,95.801,90.21,94.84
"2020/06/02",96.59,96.801,90.03,92.25
"2020/06/03",99.981,103.801,95.6,98.1
"2020/06/04",94.231,98.49,91.831,95.981
"2020/06/05",92.731,95.981,88.871,93.931
"2020/06/08",93.871,97.5,93.621,95.431
"2020/06/09",96,96.88,93.621,93.901
"2020/06/10",95,97.74,94.331,97.221
"2020/06/11",94.85,100.121,94.221,95.041
"2020/06/12",97.987,97.987,91.051,93.121
"2020/06/15",92.651,100,91.5,99.02
"2020/06/16",100,101.681,94.691,101.041
"2020/06/17",101.64,101.743,97.77,98.691
"2020/06/18",98.181,101.871,97.861,101.611
"2020/06/19",103,104.89,100.64,101.081
"2020/06/22",101.34,105.56,100.261,105.02
"2020/06/23",105.801,107.301,103.151,104.27
"2020/06/24",103.831,106.096,100.5,103.7
"2020/06/25",103.801,108.336,103.64,105.71
"2020/06/26",104,104,97.52,98.791
"2020/06/29",99.77,99.77,94.181,98.1
"2020/06/30",98.441,101.38,97.331,100.291
"2020/07/01",100,103.645,99.25,102.95
"2020/07/02",103.651,107.7,102.301,107.27
"2020/07/06",109.339,109.681,104.715,106.39
"2020/07/07",107,108.67,105.21,106.42
"2020/07/08",107.371,114.691,107.1,114.551
"2020/07/09",115.511,118.38,113.111,117.46
"2020/07/10",117.57,118.25,115.411,116.651
"2020/07/13",118.02,118.581,105.721,106.21
"2020/07/14",107.14,109.35,99.121,105.611
"2020/07/15",105.581,106.024,100.59,103.151
"2020/07/16",102.1,102.816,98.611,101.06
"2020/07/17",101.405,102.871,99,101.431
"2020/07/20",101.89,106.947,101.661,106.721
"2020/07/21",108.441,108.471,104.441,106.6
"2020/07/22",106.6,107.177,102.6,103.71
"2020/07/23",104.56,105.661,99.6,101.46
"2020/07/24",99.1,101.67,97.06,100.03
"2020/07/27",101.32,104.35,100.17,103.6
"2020/07/28",104.401,109.28,103.821,105.731
"2020/07/29",107.611,113.831,107.402,112.92
"2020/07/30",111,112.801,108.911,111.911
"2020/07/31",112.911,113.84,109.411,113.2
"2020/08/03",114.481,116.181,112.25,115.481
"2020/08/04",115.56,116,112.78,114.96
"2020/08/05",114.971,116.181,113.981,114.75
"2020/08/06",114.56,115.411,109.03,110.301
"2020/08/07",107.2,107.39,100.28,101.75
"2020/08/10",102.81,102.81,96.7,97
"2020/08/11",97.1,100.5,93.371,98.161
"2020/08/12",98.611,100.411,97.231,98.45
"2020/08/13",99.441,102.121,98.31,100.89
"2020/08/14",103.21,104.361,100.912,101.25
"2020/08/17",102.011,105.5,101.75,105.34
"2020/08/18",106.52,107.651,105.624,107.1
"2020/08/19",107.651,109.691,105.7,108.151
"2020/08/20",107.551,112.651,106.82,112.49
"2020/08/21",112,113.53,110.871,112.02
"2020/08/24",113.401,113.656,108.261,111.246
"2020/08/25",110.301,114.45,109.35,113.57
"2020/08/26",115.011,119.944,114.261,117.111
"2020/08/27",117.401,118.27,113.78,117.13
"2020/08/28",118.261,121,117.42,118.64
"2020/08/31",120,126.551,120,125.731
"2020/09/01",134.441,144.68,130,143.691
"2020/09/02",152.04,153.101,130.98,142.071
"2020/09/03",131,138.79,127,129.25
"2020/09/04",125.28,129.95,115.25,125.191
"2020/09/08",118.861,128.93,118,125.63
"2020/09/09",129.611,129.696,124,128.18
"2020/09/10",130.28,134.051,128.4,129.351
"2020/09/11",131.12,131.665,122.85,126.28
"2020/09/14",127.78,129.9,127.151,128.5
