date,open,high,low,close
"2009/01/02",16.41,17,16.25,16.96
"2009/01/05",16.851,17.3,16.75,17.111
"2009/01/06",17.33,17.98,17.261,17.791
"2009/01/07",17.371,17.58,17.111,17.32
"2009/01/08",17.23,17.57,17,17.541
"2009/01/09",17.24,17.261,16.611,16.701
"2009/01/12",16.681,16.781,16.031,16.4
"2009/01/13",16.291,16.541,16.111,16.451
"2009/01/14",16.101,16.22,15.601,15.74
"2009/01/15",15.62,15.95,15.19,15.811
"2009/01/16",16.22,16.33,15.5,15.82
"2009/01/20",15.811,15.931,15.011,15.011
"2009/01/21",15.32,15.761,15.051,15.7
"2009/01/22",15.381,15.591,15,15.37
"2009/01/23",15.04,16.021,15,15.891
"2009/01/26",15.851,16.5,15.78,16.3
"2009/01/27",16.431,17,16.291,16.73
"2009/01/28",17.06,17.191,16.691,16.88
"2009/01/29",16.701,16.701,15.801,15.931
"2009/01/30",15.91,16.091,14.91,14.971
"2009/02/02",14.86,15.461,14.83,15.311
"2009/02/03",15.48,15.75,15.011,15.62
"2009/02/04",15.721,16.16,15.381,15.841
"2009/02/05",15.54,16.65,15.45,16.351
"2009/02/06",16.421,17.091,16.21,17.041
"2009/02/09",16.99,17.05,16.621,16.851
"2009/02/10",16.591,16.931,15.921,16.05
"2009/02/11",16.181,16.271,15.851,16.171
"2009/02/12",15.971,16.22,15.631,16.201
"2009/02/13",16.201,16.46,15.95,16.101
"2009/02/17",15.681,15.761,15.28,15.29
"2009/02/18",15.45,15.73,15.15,15.37
"2009/02/19",15.461,15.521,15.011,15.04
"2009/02/20",14.961,15.341,14.881,15.08
"2009/02/23",15.2,15.351,14.311,14.36
"2009/02/24",14.391,15.051,14.381,14.99
"2009/02/25",14.921,15.131,14.37,14.771
"2009/02/26",15.051,15.211,14.49,14.49
"2009/02/27",14.301,14.82,14.301,14.57
"2009/03/02",14.33,14.78,14.271,14.32
"2009/03/03",14.49,14.73,14.36,14.391
"2009/03/04",14.641,15.521,14.631,15.25
"2009/03/05",14.94,15.091,14.511,14.551
"2009/03/06",14.58,14.931,13.98,14.181
"2009/03/09",14,14.431,13.61,13.62
"2009/03/10",14.04,14.79,13.921,14.641
"2009/03/11",14.79,15.2,14.521,15.021
"2009/03/12",15,15.511,14.771,15.511
"2009/03/13",15.461,15.69,15.25,15.511
"2009/03/16",15.79,15.881,15.351,15.45
"2009/03/17",15.721,16.15,15.57,16.14
"2009/03/18",16.031,16.941,16.021,16.5
"2009/03/19",16.681,16.681,16.06,16.23
"2009/03/20",16.371,16.57,15.75,15.91
"2009/03/23",16.31,17,15.9,16.98
"2009/03/24",16.701,17.041,16.58,16.681
"2009/03/25",16.5,17.05,16.281,16.57
"2009/03/26",16.8,17.39,16.761,17.31
"2009/03/27",17,17.171,16.851,16.951
"2009/03/30",16.57,16.57,16.08,16.31
"2009/03/31",16.531,17.011,16.371,16.771
"2009/04/01",16.511,17.541,16.3,17.46
"2009/04/02",17.83,18.611,17.791,18.14
"2009/04/03",18.3,18.541,17.951,18.16
"2009/04/06",17.56,17.64,17.07,17.531
"2009/04/07",17.201,17.25,16.58,16.851
"2009/04/08",17.291,17.33,16.941,17.13
"2009/04/09",17.671,18.08,17.58,17.82
"2009/04/13",17.851,18.05,17.761,17.89
"2009/04/14",17.8,18.181,17.611,17.931
"2009/04/15",17.75,18,17.341,17.56
"2009/04/16",17.82,18.181,17.65,18.08
"2009/04/17",18.101,18.171,17.83,17.99
"2009/04/20",17.71,17.791,17.201,17.31
"2009/04/21",17.201,17.791,17.14,17.691
"2009/04/22",17.451,18.021,17.431,17.441
"2009/04/23",17.521,17.64,17.13,17.621
"2009/04/24",18.121,18.5,17.97,18.421
"2009/04/27",18.101,18.591,18.011,18.371
"2009/04/28",18.3,18.96,18.15,18.671
"2009/04/29",18.83,19.531,18.73,19.25
"2009/04/30",19.691,19.931,19.101,19.32
"2009/05/01",19.24,19.781,19.06,19.58
"2009/05/04",19.82,19.871,19.261,19.5
"2009/05/05",19.5,19.63,19.281,19.63
"2009/05/06",19.761,19.851,19.031,19.611
"2009/05/07",20,20,18.601,18.951
"2009/05/08",19,19.22,18.55,18.73
"2009/05/11",18.451,18.83,18.271,18.611
"2009/05/12",18.671,18.82,18.55,18.72
"2009/05/13",18.49,18.601,18.031,18.05
"2009/05/14",18.07,18.291,18.05,18.091
"2009/05/15",18.14,18.21,17.771,17.921
"2009/05/18",18.14,18.81,18.06,18.72
"2009/05/19",18.71,19.351,18.64,18.88
"2009/05/20",19.021,19.06,18.46,18.601
"2009/05/21",18.431,18.5,17.851,18.101
"2009/05/22",18.091,18.15,17.66,17.9
"2009/05/26",17.66,18.671,17.611,18.49
"2009/05/27",18.41,18.71,18.111,18.22
"2009/05/28",18.351,18.66,18.06,18.511
"2009/05/29",18.541,18.601,18.091,18.5
"2009/06/01",19.15,19.771,19.011,19.5
"2009/06/02",19.57,19.861,19.41,19.611
"2009/06/03",19.55,19.611,19.101,19.361
"2009/06/04",19.46,19.81,19.3,19.671
"2009/06/05",19.941,20.021,19.521,19.871
"2009/06/08",19.74,20.06,19.531,19.871
"2009/06/09",19.951,20.201,19.681,20.08
"2009/06/10",20.191,20.24,19.601,19.951
"2009/06/11",19.931,20.351,19.9,20.101
"2009/06/12",19.931,20,19.63,19.91
"2009/06/15",19.681,19.701,19.101,19.361
"2009/06/16",19.421,19.48,19.031,19.08
"2009/06/17",19.041,19.49,18.97,19.201
