date,open,high,low,close
"2019/01/02",62.5,63.811,62.5,63.091
"2019/01/03",62.361,62.971,61.01,61.1
"2019/01/04",62.28,63.8,61.951,63.701
"2019/01/07",63.35,63.971,62.8,63.6
"2019/01/08",64.27,64.431,63.44,64.32
"2019/01/09",64.621,64.801,63.98,64.261
"2019/01/10",63.64,64.85,63.5,64.81
"2019/01/11",64.78,65.191,64.581,64.92
"2019/01/14",64.46,65.02,64.34,64.63
"2019/01/15",64.84,66.25,64.651,65.99
"2019/01/16",65.901,66.081,65.45,65.791
"2019/01/17",65.49,66.74,65.2,66.551
"2019/01/18",67.551,68.03,66.971,67.82
"2019/01/22",67.301,67.691,66.27,66.801
"2019/01/23",66.96,67.45,66.21,67.06
"2019/01/24",67.121,68.151,66.92,68.121
"2019/01/25",70.25,70.32,69.25,70.02
"2019/01/28",69.27,69.38,68.34,68.95
"2019/01/29",69,69.231,68.38,68.661
"2019/01/30",68.731,70.1,68.541,69.801
"2019/01/31",69.861,70.31,69.411,69.681
"2019/02/01",69.95,70.941,69.78,70.14
"2019/02/04",70.07,71.511,69.941,71.291
"2019/02/05",71.35,71.871,71.111,71.21
"2019/02/06",70.02,74.691,70,74.5
"2019/02/07",74.181,74.45,71.42,72.99
"2019/02/08",72.46,73.541,72.181,73.161
"2019/02/11",73.35,73.871,72.88,72.971
"2019/02/12",73.42,73.621,72.88,73.45
"2019/02/13",74.161,74.35,73.181,73.581
"2019/02/14",73.06,73.64,72.92,73.121
"2019/02/15",73.71,74.051,73.081,73.56
"2019/02/19",73.21,73.57,72.64,73.181
"2019/02/20",73.27,73.411,71.861,72.25
"2019/02/21",72.1,72.42,71.121,71.34
"2019/02/22",71.691,72.42,71.49,72.38
"2019/02/25",72.931,73,72.14,72.25
"2019/02/26",72.431,72.541,71.761,72.041
"2019/02/27",71.721,71.721,70.96,71.31
"2019/02/28",71.25,71.761,70.88,70.981
"2019/03/01",70.911,72.221,70.801,72.13
"2019/03/04",72.56,72.88,71.011,71.761
"2019/03/05",71.691,71.99,71.34,71.39
"2019/03/06",71.42,72.03,71.191,71.46
"2019/03/07",72.32,72.721,71.661,72.331
"2019/03/08",71.611,72,70.57,71.151
"2019/03/11",71.371,72.39,71.301,72.35
"2019/03/12",72.301,72.611,71.681,71.78
"2019/03/13",71.931,72.331,71.151,71.21
"2019/03/14",71.221,71.471,70.85,70.931
"2019/03/15",71.06,72.361,70.941,72.13
"2019/03/18",72.1,72.32,71.221,71.88
"2019/03/19",72.31,72.441,71.801,72.02
"2019/03/20",72.17,72.431,71.32,71.71
"2019/03/21",71.49,72.64,71.411,72.2
"2019/03/22",71.96,72.06,70.64,70.89
"2019/03/25",70.74,70.89,70.011,70.75
"2019/03/26",71.231,71.731,70.67,71.09
"2019/03/27",71.13,71.471,70.32,71.03
"2019/03/28",71.89,71.89,71.041,71.581
"2019/03/29",72.02,72.85,71.971,72.45
"2019/04/01",73,73.981,72.651,73.85
"2019/04/02",73.861,74.181,73.411,73.57
"2019/04/03",73.901,74.85,73.82,74.181
"2019/04/04",74.301,74.401,73.32,73.791
"2019/04/05",73.85,74.42,73.13,74.2
"2019/04/08",74.261,74.45,73.56,74.411
"2019/04/09",73.92,74.52,73.721,74.371
"2019/04/10",74.45,74.77,74.31,74.6
"2019/04/11",74.67,74.78,74.07,74.191
"2019/04/12",74.411,74.5,73.551,74.291
