date,open,high,low,close
"2006/01/03",22.958,23.476,22.767,23.284
"2006/01/04",23.38,23.89,23.364,23.842
"2006/01/05",23.81,23.945,23.778,23.858
"2006/01/06",23.961,24.144,23.515,23.993
"2006/01/09",24.033,24.049,23.563,23.826
"2006/01/10",23.683,23.794,23.34,23.484
"2006/01/11",23.492,23.611,23.34,23.555
"2006/01/12",23.571,24.455,23.492,24.176
"2006/01/13",24.216,24.391,23.738,24.336
"2006/01/17",24.296,24.495,23.898,24.216
"2006/01/18",23.929,24.152,23.372,23.914
"2006/01/19",25.888,27.608,25.466,25.785
"2006/01/20",25.076,25.49,24.845,25.235
"2006/01/23",25.004,25.315,24.917,24.973
"2006/01/24",24.925,25.172,24.59,24.845
"2006/01/25",24.726,25.339,24.63,24.909
"2006/01/26",25.14,25.14,24.718,24.925
"2006/01/27",24.821,25.363,24.821,25.06
"2006/01/30",25.004,25.291,24.662,24.718
"2006/01/31",24.646,24.813,24.304,24.559
"2006/02/01",24.113,24.893,23.842,24.797
"2006/02/02",24.646,24.845,24.399,24.574
"2006/02/03",24.439,24.463,24.009,24.391
"2006/02/06",24.614,24.678,24.184,24.256
"2006/02/07",24.168,24.407,23.659,23.953
"2006/02/08",24.129,24.574,23.611,24.431
"2006/02/09",24.447,25.124,24.359,24.742
"2006/02/10",24.766,24.782,24.288,24.344
"2006/02/13",24.344,24.567,23.929,24.16
"2006/02/14",24.24,24.24,23.794,23.89
"2006/02/15",23.914,24.63,23.81,24.407
"2006/02/16",24.471,25.275,24.431,25.212
"2006/02/17",25.18,25.283,24.829,25.004
"2006/02/21",25.116,25.124,24.288,24.447
"2006/02/22",24.503,25.164,24.391,25.052
"2006/02/23",24.981,25.036,24.614,24.877
"2006/02/24",24.789,24.885,24.312,24.646
"2006/02/27",24.678,25.888,24.535,25.594
"2006/02/28",25.578,25.825,25.243,25.769
"2006/03/01",25.665,26.271,25.339,26.135
"2006/03/02",26.127,26.263,25.681,26.151
"2006/03/03",26.159,26.541,25.721,26.103
"2006/03/06",26.103,26.645,25.841,26.103
"2006/03/07",25.49,25.968,25.442,25.761
"2006/03/08",25.642,26.159,25.442,25.857
"2006/03/09",25.833,26.159,25.538,25.618
"2006/03/10",25.546,25.88,25.004,25.761
"2006/03/13",26.597,27.298,26.597,26.971
"2006/03/14",26.717,27.529,26.669,27.274
"2006/03/15",27.218,27.951,27.043,27.863
"2006/03/16",28.094,28.437,27.999,28.078
"2006/03/17",27.855,28.683,27.855,28.604
"2006/03/20",28.628,28.747,28.301,28.516
"2006/03/21",27.855,28.421,27.76,27.855
"2006/03/22",27.648,28.174,27.385,28.118
"2006/03/23",28.07,28.667,27.728,28.572
"2006/03/24",28.397,28.667,28.126,28.373
"2006/03/27",28.349,28.365,28.094,28.23
"2006/03/28",28.07,28.11,27.64,27.8
"2006/03/29",27.8,28.652,27.688,28.429
"2006/03/30",28.381,29.265,28.317,29.185
"2006/03/31",29.512,30.403,29.432,30.18
"2006/04/03",30.579,30.579,30.093,30.395
"2006/04/04",30.38,30.395,29.599,29.942
"2006/04/05",29.862,30.236,29.782,30.077
"2006/04/06",29.934,30.149,29.615,29.942
"2006/04/07",30.109,30.395,29.878,29.934
"2006/04/10",30.029,30.698,29.989,30.531
"2006/04/11",30.658,30.778,29.671,29.894
"2006/04/12",29.894,30.324,29.806,30.173
"2006/04/13",30.188,30.459,29.862,30.188
"2006/04/17",30.395,30.451,29.727,30.173
"2006/04/18",30.22,30.658,29.782,30.555
"2006/04/19",30.722,31.056,30.292,30.961
"2006/04/20",33.485,34.401,32.569,33.406
"2006/04/21",32.609,33.573,30.26,32.323
"2006/04/24",31.948,32.323,31.837,32.195
"2006/04/25",32.052,32.641,31.797,31.98
"2006/04/26",31.861,32.45,31.829,32.171
"2006/04/27",31.805,32.45,31.463,31.773
"2006/04/28",31.789,31.908,31.51,31.789
"2006/05/01",31.725,32.474,31.717,32.131
"2006/05/02",32.115,32.641,32.115,32.386
"2006/05/03",32.442,33.246,32.33,33.198
"2006/05/04",33.238,34.162,33.095,34.003
"2006/05/05",34.218,34.799,33.995,34.727
"2006/05/08",34.807,36.232,34.711,35.962
"2006/05/09",35.962,36.097,35.317,35.364
"2006/05/10",35.372,35.436,34.393,34.64
"2006/05/11",34.568,34.703,32.609,32.776
"2006/05/12",32.585,32.983,31.988,32.649
"2006/05/15",32.657,32.904,32.227,32.474
"2006/05/16",32.553,32.593,31.502,32.036
"2006/05/17",32.084,32.45,31.55,32.068
"2006/05/18",32.195,32.323,31.128,31.232
"2006/05/19",31.001,31.932,30.435,31.813
"2006/05/22",31.423,31.877,30.475,30.945
"2006/05/23",31.08,31.59,30.897,31.056
"2006/05/24",30.945,31.853,30.196,31.096
"2006/05/25",31.518,31.654,30.706,31.295
"2006/05/26",31.351,31.351,30.451,30.73
"2006/05/30",30.308,30.483,29.727,29.758
"2006/05/31",29.631,30.053,29.289,29.926
"2006/06/01",29.719,30.141,29.719,30.133
"2006/06/02",30.308,30.499,29.265,29.878
"2006/06/05",29.878,30.053,29.352,29.48
"2006/06/06",29.472,29.703,28.596,28.938
"2006/06/07",28.922,29.48,28.715,28.747
"2006/06/08",28.365,28.667,27.672,28.612
"2006/06/09",28.715,29.225,28.373,28.405
"2006/06/12",28.413,28.508,27.592,27.664
"2006/06/13",27.553,28.078,26.86,27.561
"2006/06/14",27.513,28.301,27.417,27.871
"2006/06/15",28.222,29.774,28.182,29.607
"2006/06/16",29.623,30.133,29.217,29.376
"2006/06/19",29.44,29.735,28.843,28.954
"2006/06/20",28.922,29.257,28.445,28.906
"2006/06/21",28.906,30.085,28.675,29.607
"2006/06/22",29.655,29.79,28.898,29.551
"2006/06/23",29.623,30.348,29.392,29.846
"2006/06/26",29.838,30.157,29.504,29.83
"2006/06/27",29.862,30.133,29.392,29.711
"2006/06/28",29.703,29.981,29.464,29.894
"2006/06/29",30.658,31.59,30.284,31.502
"2006/06/30",31.853,32.115,31.494,31.932
"2006/07/03",31.964,32.1,31.725,32.084
"2006/07/05",31.829,32.139,31.391,31.733
"2006/07/06",31.654,31.853,30.547,31.112
"2006/07/07",31.001,31.001,29.806,30.069
"2006/07/10",30.061,30.101,28.086,28.357
"2006/07/11",28.468,29.002,27.983,28.803
"2006/07/12",28.612,28.755,27.186,27.537
"2006/07/13",26.916,28.46,26.079,27.823
"2006/07/14",27.839,28.269,27.186,27.632
"2006/07/17",27.632,27.839,27.186,27.616
"2006/07/18",27.545,27.903,26.947,27.863
"2006/07/19",27.871,28.261,27.314,27.688
"2006/07/20",25.259,25.323,23.762,23.866
"2006/07/21",23.786,25.084,23.165,24.686
"2006/07/24",24.686,25.156,24.543,25.084
"2006/07/25",25.02,25.466,24.957,25.299
"2006/07/26",25.18,25.634,25.036,25.291
"2006/07/27",25.251,25.872,24.821,24.861
"2006/07/28",24.877,25.243,24.511,25.172
"2006/07/31",25.212,25.419,24.71,25.299
"2006/08/01",24.989,25.036,24.288,24.511
"2006/08/02",24.511,25.331,24.367,25.092
"2006/08/03",25.036,25.036,24.455,24.567
"2006/08/04",24.718,24.957,23.969,24.152
"2006/08/07",24.686,24.686,23.77,23.993
"2006/08/08",23.969,24.24,23.555,23.922
"2006/08/09",24.017,24.288,23.014,23.061
"2006/08/10",23.006,23.093,22.026,22.297
"2006/08/11",22.194,22.735,22.09,22.671
"2006/08/14",22.807,23.237,22.138,22.846
"2006/08/15",23.149,24.192,23.077,24.144
"2006/08/16",24.407,24.861,24.009,24.829
"2006/08/17",24.893,26.478,24.885,26.127
"2006/08/18",26.056,26.127,25.084,25.546
"2006/08/21",25.403,25.482,24.933,25.076
"2006/08/22",25.108,25.227,24.67,24.734
"2006/08/23",24.829,25.02,24.527,24.622
"2006/08/24",24.686,25.14,24.559,24.71
"2006/08/25",24.654,24.965,24.352,24.383
"2006/08/28",24.288,24.622,24.248,24.455
"2006/08/29",24.439,24.527,23.858,24.208
"2006/08/30",24.359,24.479,23.945,24.439
"2006/08/31",24.479,24.789,24.28,24.455
"2006/09/01",24.63,24.67,24.184,24.24
"2006/09/05",24.129,24.957,23.874,24.805
"2006/09/06",24.686,24.965,24.574,24.782
"2006/09/07",24.766,24.949,24.407,24.662
"2006/09/08",24.67,25.522,24.662,25.411
"2006/09/11",25.562,26.605,25.554,26.271
"2006/09/12",26.255,27.521,26.255,27.393
"2006/09/13",27.155,28.142,27.075,28.015
"2006/09/14",27.879,28.269,27.736,27.967
"2006/09/15",28.07,28.739,27.21,27.306
"2006/09/18",27.25,28.134,27.234,27.553
"2006/09/19",27.752,27.776,26.979,27.131
"2006/09/20",27.377,29.328,27.377,28.89
"2006/09/21",29.177,29.464,28.11,28.644
"2006/09/22",28.516,28.66,27.871,28.365
"2006/09/25",28.429,29.105,27.823,29.082
"2006/09/26",29.097,29.344,28.771,28.946
"2006/09/27",28.978,29.145,28.389,28.604
"2006/09/28",28.652,29.145,28.452,29.074
