date,open,high,low,close
"2019/09/19",40.35,41.44,36.03,37.55
"2019/09/20",38.591,39.201,36.151,36.151
"2019/09/23",36.581,38.151,35.75,36.111
"2019/09/24",36.01,37.12,34.061,34.5
"2019/09/25",34.6,35.6,34.201,35.25
"2019/09/26",36,36.291,32.3,32.44
"2019/09/27",33,33.51,30.47,32.271
"2019/09/30",32.64,34.201,32,33.91
"2019/10/01",34.25,34.48,31.25,32.39
"2019/10/02",31.65,31.9,30.011,31.101
"2019/10/03",31.181,34.8,30.5,32.89
"2019/10/04",33.05,35.081,32.799,34.721
"2019/10/07",34.901,37.971,34.401,36.811
"2019/10/08",36.5,36.701,34.92,35.451
"2019/10/09",35.85,37.491,35.611,36.75
"2019/10/10",36.75,37.35,35.151,35.6
"2019/10/11",35.931,36.48,35.37,35.67
"2019/10/14",35.651,36.25,32.951,33.091
"2019/10/15",33.17,34.85,32.51,34.8
"2019/10/16",33.561,33.771,31.9,32.201
"2019/10/17",32.3,34.16,32.3,33.96
"2019/10/18",33.841,33.875,31.46,31.57
"2019/10/21",31.9,32.1,29.701,30.011
"2019/10/22",30.05,30.31,28.011,28.041
"2019/10/23",27.9,29.25,27.55,28.761
"2019/10/24",29.16,33.46,29.15,32.5
"2019/10/25",32.861,34.5,32.401,34.3
"2019/10/28",35,35.438,33.111,33.28
"2019/10/29",33.19,34.081,32.6,33.651
"2019/10/30",33.791,34.87,33.381,34.811
"2019/10/31",34.82,34.991,33.12,33.591
"2019/11/01",33.701,34.48,33.631,34.021
"2019/11/04",34.53,34.87,33.361,34.44
"2019/11/05",34.5,35.25,33.21,34.91
"2019/11/06",34.561,34.76,32.89,33.061
"2019/11/07",33.3,33.741,31,31.291
"2019/11/08",31.111,32.831,30.261,32.811
"2019/11/11",32.76,34,32.361,33.55
"2019/11/12",33.811,35.201,33.8,34.401
"2019/11/13",38.82,41.92,38.25,40.19
"2019/11/14",40.181,41.721,39.381,41.37
"2019/11/15",41.75,42.96,40.431,40.631
"2019/11/18",40.721,41.48,39.75,40.32
"2019/11/19",40.451,40.881,37.53,39.151
"2019/11/20",38.831,39.938,37.6,38.401
"2019/11/21",38.241,40.17,38.181,40.03
"2019/11/22",41.35,42.701,39.71,41.041
"2019/11/25",41.5,44.091,41.467,42.811
"2019/11/26",43.1,43.701,39.811,40.55
"2019/11/27",40.8,42.201,39.721,41.861
"2019/11/29",41.82,42.201,40.561,40.771
"2019/12/02",41.111,41.32,37.841,39.6
"2019/12/03",37.581,38.723,37.5,37.771
"2019/12/04",38,38.25,36.091,36.92
"2019/12/05",36.831,36.831,35.811,35.861
"2019/12/06",35.931,36.331,35.6,35.91
"2019/12/09",34.631,36.041,34.1,35.16
"2019/12/10",34.331,36.25,34.26,34.811
"2019/12/11",34.811,35.681,33.061,35.55
"2019/12/12",35.451,36.611,35.14,35.73
"2019/12/13",36.201,39.131,36.01,38.791
"2019/12/16",38.91,39.021,37.131,38.791
"2019/12/17",37.861,38.241,36.021,37.181
"2019/12/18",37.66,38.75,36.811,38.21
"2019/12/19",37.51,38.44,37.5,38.1
"2019/12/20",37.71,38.87,37.6,38.51
"2019/12/23",38.85,39.64,37.41,37.8
"2019/12/24",37.721,37.798,36.62,37.091
"2019/12/26",37.3,38.201,37,37.96
"2019/12/27",37.901,37.952,35.612,36.111
"2019/12/30",36.721,37.201,35.401,37.131
"2019/12/31",36.901,37.951,36.771,37.78
