date,open,high,low,close
"2017/01/03",30.499,30.599,29.978,30.216
"2017/01/04",30.3,30.687,30.3,30.455
"2017/01/05",30.344,30.77,30.344,30.604
"2017/01/06",30.754,31.54,30.654,31.446
"2017/01/09",31.241,31.363,30.814,31.28
"2017/01/10",31.23,31.933,31.191,31.556
"2017/01/11",31.689,31.922,31.579,31.883
"2017/01/12",31.673,31.983,31.44,31.916
"2017/01/13",31.844,32.265,31.839,32.21
"2017/01/17",32.166,32.658,31.927,32.082
"2017/01/18",32.01,32.448,31.916,32.431
"2017/01/19",32.321,32.885,32.166,32.564
"2017/01/20",32.553,32.93,32.536,32.813
"2017/01/23",32.692,32.802,31.916,32.271
"2017/01/24",32.448,33.179,32.326,33.096
"2017/01/25",33.223,33.406,32.968,33.256
"2017/01/26",33.356,33.356,32.946,33.007
"2017/01/27",34.037,34.884,33.888,34.635
"2017/01/30",34.386,34.641,34.148,34.574
"2017/01/31",34.386,34.884,34.275,34.879
"2017/02/01",34.785,35.05,34.441,34.94
"2017/02/02",34.768,35.493,34.63,35.416
"2017/02/03",35.189,35.792,35.189,35.632
"2017/02/06",35.455,35.947,35.438,35.787
"2017/02/07",35.914,36.069,35.687,35.914
"2017/02/08",35.848,36.047,35.715,35.903
"2017/02/09",35.925,36.424,35.776,35.992
"2017/02/10",36.097,36.252,35.787,35.842
"2017/02/13",35.914,36.335,35.87,35.898
"2017/02/14",35.853,36.152,35.754,35.909
"2017/02/15",35.87,36.163,35.814,36.058
"2017/02/16",36.102,36.424,35.826,36.058
"2017/02/17",35.997,36.141,35.754,35.765
"2017/02/21",35.742,36.152,35.742,36.047
"2017/02/22",35.909,36.141,35.798,35.864
"2017/02/23",35.931,35.992,35.383,35.504
"2017/02/24",35.272,35.615,35.161,35.571
"2017/02/27",35.427,35.538,35.3,35.46
"2017/02/28",35.239,35.416,35.05,35.156
"2017/03/01",35.156,35.709,35.144,35.482
"2017/03/02",35.327,35.709,35.106,35.144
"2017/03/03",34.973,35.128,34.746,35.128
"2017/03/06",34.956,35.067,34.585,34.724
"2017/03/07",34.724,35.139,34.707,34.912
"2017/03/08",34.962,35.416,34.917,35.172
"2017/03/09",35.061,35.133,34.713,34.956
"2017/03/10",35.106,35.344,34.834,35.15
"2017/03/13",35.05,35.349,34.956,35.161
"2017/03/14",35.167,35.244,34.796,35.156
"2017/03/15",35.194,35.499,35.045,35.288
"2017/03/16",35.327,35.565,35.084,35.438
"2017/03/17",35.621,35.853,35.427,35.543
"2017/03/20",35.471,35.593,35.25,35.477
"2017/03/21",35.576,35.654,34.463,34.574
"2017/03/22",34.585,34.995,34.519,34.873
"2017/03/23",34.868,35.244,34.624,34.929
"2017/03/24",35.128,35.493,34.834,35.089
"2017/03/27",34.757,35.255,34.513,35.089
"2017/03/28",35,35.499,35,35.2
"2017/03/29",35.139,35.443,35.034,35.383
"2017/03/30",35.383,36.147,35.272,35.432
"2017/03/31",35.416,35.659,35.288,35.482
"2017/04/03",35.432,35.947,35.183,35.355
"2017/04/04",35.294,35.77,35.266,35.538
"2017/04/05",35.682,35.953,35.349,35.449
"2017/04/06",35.504,35.709,35.355,35.549
"2017/04/07",35.615,35.969,35.549,35.92
"2017/04/10",35.925,36.136,35.798,35.942
"2017/04/11",35.953,36.102,35.626,36.053
"2017/04/12",35.776,35.947,35.283,35.383
"2017/04/13",35.344,35.698,35.277,35.394
"2017/04/17",35.416,35.626,35.416,35.576
"2017/04/18",35.449,35.798,35.305,35.654
"2017/04/19",35.826,35.826,35.665,35.731
"2017/04/20",35.748,36.008,35.51,35.936
"2017/04/21",36.008,36.008,35.56,35.67
"2017/04/24",35.992,36.678,35.947,36.645
"2017/04/25",36.905,37.071,36.689,36.739
"2017/04/26",36.739,37.398,36.739,37.132
"2017/04/27",37.376,37.426,37.132,37.337
"2017/04/28",37.354,37.514,36.894,37.16
"2017/05/01",37.343,37.492,37.121,37.415
"2017/05/02",37.415,37.542,36.927,37.06
"2017/05/03",37.005,37.005,36.545,36.639
"2017/05/04",36.645,36.839,36.479,36.723
"2017/05/05",36.734,37.309,36.695,37.26
"2017/05/08",37.315,37.647,37.132,37.448
"2017/05/09",37.431,37.791,37.127,37.232
"2017/05/10",37.182,37.332,36.861,37.088
"2017/05/11",36.817,36.889,36.49,36.601
"2017/05/12",36.601,36.756,35.964,35.964
"2017/05/15",36.008,36.855,35.914,36.689
"2017/05/16",36.772,37.077,36.756,36.844
"2017/05/17",36.407,36.623,35.914,35.931
"2017/05/18",35.731,35.909,35.416,35.803
"2017/05/19",35.886,36.352,35.875,35.947
"2017/05/22",36.224,37.376,36.141,37.309
"2017/05/23",37.575,37.642,37.099,37.309
"2017/05/24",37.426,37.719,37.304,37.692
"2017/05/25",37.808,38.251,37.752,38.018
"2017/05/26",37.946,38.251,37.824,38.096
"2017/05/30",38.096,38.395,37.963,38.068
"2017/05/31",38.234,38.422,37.531,38.422
"2017/06/01",38.483,38.605,38.051,38.362
"2017/06/02",37.88,38.229,36.911,37.791
"2017/06/05",37.73,37.764,36.778,36.883
"2017/06/06",36.938,37.271,36.689,37.171
"2017/06/07",37.171,37.581,37.099,37.559
"2017/06/08",36.916,37.365,35.272,36.047
"2017/06/09",35.992,36.102,34.253,34.641
"2017/06/12",34.502,34.679,34.092,34.463
"2017/06/13",34.535,34.984,34.292,34.785
"2017/06/14",35.023,35.056,34.153,34.425
"2017/06/15",34.198,34.286,33.649,34.247
"2017/06/16",34.247,34.508,34.247,34.397
"2017/06/19",34.607,34.978,34.497,34.701
"2017/06/20",34.735,34.812,34.397,34.458
"2017/06/21",34.735,35.189,34.707,35.061
"2017/06/22",35.189,35.499,35.061,35.194
"2017/06/23",35.117,35.626,35.067,35.228
"2017/06/26",35.322,35.632,35.05,35.133
"2017/06/27",35.078,35.106,34.297,34.319
"2017/06/28",34.497,34.829,34.292,34.718
"2017/06/29",34.491,34.58,33.373,33.666
"2017/06/30",33.677,34.009,33.661,33.838
"2017/07/03",33.849,34.314,33.422,33.422
"2017/07/05",33.378,33.777,33.184,33.666
"2017/07/06",33.4,33.727,33.317,33.688
"2017/07/07",33.749,34.187,33.699,34.059
"2017/07/10",34.087,34.17,33.804,34.054
"2017/07/11",34.026,34.325,33.843,34.065
"2017/07/12",34.292,34.292,33.943,34.103
"2017/07/13",34.103,34.181,33.832,33.943
"2017/07/14",33.954,34.054,33.832,33.888
"2017/07/17",33.943,34.89,33.766,34.834
"2017/07/18",34.713,34.834,34.541,34.735
"2017/07/19",34.796,35.266,34.718,35.233
"2017/07/20",35.416,35.455,35.172,35.405
"2017/07/21",35.41,35.46,35.089,35.233
"2017/07/24",35.216,35.355,35.111,35.255
"2017/07/25",35.288,35.543,35.05,35.277
"2017/07/26",35.471,35.549,35.277,35.449
"2017/07/27",35.549,35.549,34.89,35.178
"2017/07/28",35.056,35.349,34.906,35.283
"2017/07/31",35.438,35.737,35.383,35.587
"2017/08/01",35.737,35.787,35.416,35.698
"2017/08/02",35.709,35.709,35.122,35.355
"2017/08/03",35.266,35.504,35.139,35.443
"2017/08/04",35.554,35.737,35.471,35.654
"2017/08/07",35.554,35.82,35.416,35.687
"2017/08/08",35.56,35.875,35.399,35.687
"2017/08/09",35.355,35.621,35.216,35.504
"2017/08/10",35.383,35.438,34.945,34.978
"2017/08/11",34.84,35.067,34.735,34.906
"2017/08/14",35.936,37.736,35.936,37.509
"2017/08/15",37.52,37.608,36.645,36.662
"2017/08/16",36.667,37.42,36.639,37.221
"2017/08/17",37.005,37.453,36.756,36.767
"2017/08/18",36.684,37.094,36.507,36.994
"2017/08/21",36.966,37.21,36.59,37.138
"2017/08/22",37.675,38.19,37.559,38.046
"2017/08/23",37.73,38.334,37.73,38.317
"2017/08/24",38.334,38.821,38.334,38.716
"2017/08/25",39.325,40.2,39.231,39.724
"2017/08/28",39.701,40.51,39.585,40.311
"2017/08/29",40.078,40.576,39.53,40.388
"2017/08/30",40.471,41.141,40.416,41.102
"2017/08/31",41.23,41.529,41.136,41.49
"2017/09/01",41.518,41.567,41.224,41.396
"2017/09/05",41.18,41.584,40.925,41.418
"2017/09/06",41.529,41.606,41.34,41.352
"2017/09/07",41.252,41.717,41.13,41.235
"2017/09/08",41.185,41.673,41.086,41.119
"2017/09/11",41.595,41.867,41.451,41.783
"2017/09/12",41.806,42.232,41.684,42.221
"2017/09/13",42.226,42.597,42.16,42.487
"2017/09/14",42.481,43.018,42.404,42.835
"2017/09/15",42.78,42.869,42.548,42.625
"2017/09/18",42.542,42.874,42.409,42.553
"2017/09/19",42.625,42.769,42.298,42.536
"2017/09/20",42.52,42.719,42.376,42.542
"2017/09/21",42.404,42.703,41.916,42.415
"2017/09/22",42.437,42.642,42.326,42.642
"2017/09/25",42.481,42.608,41.85,42.044
"2017/09/26",42.359,42.404,42.044,42.149
"2017/09/27",42.365,42.935,42.365,42.703
"2017/09/28",42.692,42.824,42.398,42.719
"2017/09/29",42.808,42.968,42.669,42.752
"2017/10/02",42.769,43.428,42.764,43.157
"2017/10/03",43.184,43.566,43.134,43.339
"2017/10/04",43.345,43.434,43.035,43.312
"2017/10/05",43.467,43.843,43.328,43.766
"2017/10/06",43.55,43.777,43.378,43.766
"2017/10/09",43.816,44.032,43.744,43.888
"2017/10/10",44.043,44.192,43.672,43.788
"2017/10/11",43.793,44.02,43.672,43.943
"2017/10/12",44.009,44.552,43.987,44.458
"2017/10/13",44.585,44.829,44.463,44.674
"2017/10/16",44.724,45.122,44.679,44.906
"2017/10/17",44.934,45.1,44.746,44.845
"2017/10/18",44.929,45.239,44.906,45.045
"2017/10/19",45,45.266,44.807,45.205
"2017/10/20",45.405,45.682,45.305,45.538
"2017/10/23",45.637,46.053,45.626,45.798
"2017/10/24",45.776,46.097,45.698,46.097
