date,open,high,low,close
"2013/01/02",18.521,19.07,18.441,18.98
"2013/01/03",19,19.091,18.771,18.99
"2013/01/04",19.041,19.591,18.941,19.191
"2013/01/07",19.091,19.091,18.65,19.021
"2013/01/08",18.921,19.16,18.83,19.16
"2013/01/09",19.32,19.8,19.271,19.601
"2013/01/10",19.591,19.931,19.41,19.791
"2013/01/11",19.701,20.3,19.601,20.191
"2013/01/14",20.07,20.14,19.771,20.121
"2013/01/15",19.96,20.25,19.88,20.22
"2013/01/16",20.121,20.3,20.021,20.22
"2013/01/17",20.371,20.371,19.941,20.181
"2013/01/18",20.3,20.38,20.15,20.261
"2013/01/22",20.271,20.441,19.98,20.371
"2013/01/23",20.46,20.541,20.171,20.41
"2013/01/24",20.56,21.05,20.47,20.9
"2013/01/25",20.931,21.06,20.74,20.921
"2013/01/28",20.97,21.101,20.66,20.98
"2013/01/29",21.011,21.091,20.861,20.951
"2013/01/30",20.99,21.05,20.851,20.97
"2013/01/31",20.99,20.99,20.611,20.72
"2013/02/01",20.71,21.9,20.71,21.83
"2013/02/04",21.82,22.201,21.111,21.601
"2013/02/05",21.72,21.91,21.671,21.791
"2013/02/06",21.681,21.861,21.31,21.47
"2013/02/07",21.55,21.591,21.13,21.521
"2013/02/08",21.601,21.75,21.361,21.49
"2013/02/11",21.5,21.5,19.861,19.931
"2013/02/12",19.91,20.3,19.621,20.3
"2013/02/13",20.24,20.421,20.08,20.3
"2013/02/14",20.341,20.601,20.121,20.521
"2013/02/15",20.47,21.05,20.39,21.05
"2013/02/19",21.13,21.13,20.701,20.941
"2013/02/20",20.99,21.101,20.65,20.8
"2013/02/21",20.761,21,20.701,20.851
"2013/02/22",20.9,21.181,20.73,21.06
"2013/02/25",21.06,21.06,20.611,20.621
"2013/02/26",20.75,20.91,20.33,20.63
"2013/02/27",20.58,21.771,20.55,21.511
"2013/02/28",21.931,22.22,20.591,20.98
"2013/03/01",20.851,22.49,20.81,22.451
"2013/03/04",22.451,22.451,20.941,22.101
"2013/03/05",22.16,23.65,22.14,22.98
"2013/03/06",23.14,23.74,23.041,23.521
"2013/03/07",23.5,23.5,23.08,23.41
"2013/03/08",23.431,23.75,23.041,23.681
"2013/03/11",23.8,23.8,22.871,23.39
"2013/03/12",23.441,23.441,22.921,23.14
"2013/03/13",22.9,23.531,22.9,23.49
"2013/03/14",23.201,23.75,23,23.031
"2013/03/15",23.021,23.181,22.771,22.89
"2013/03/18",22.65,22.861,22.5,22.73
"2013/03/19",22.63,22.861,22.39,22.82
"2013/03/20",22.871,22.871,22.451,22.83
"2013/03/21",22.621,22.851,22.47,22.671
"2013/03/22",22.8,22.99,22.531,22.72
"2013/03/25",22.88,22.88,22.351,22.511
"2013/03/26",22.541,23.16,22.521,22.89
"2013/03/27",22.841,23.46,22.671,23.341
"2013/03/28",23.341,23.5,23.14,23.23
"2013/04/01",23.171,23.341,22.861,23.25
