date,open,high,low,close
"2014/01/02",12.07,12.091,11.841,11.881
"2014/01/03",11.921,11.961,11.82,11.86
"2014/01/06",11.891,11.94,11.801,11.841
"2014/01/07",11.83,11.86,11.761,11.841
"2014/01/08",11.971,12,11.9,11.94
"2014/01/09",11.961,11.961,11.83,11.931
"2014/01/10",12.181,12.23,12.12,12.141
"2014/01/13",12.08,12.12,11.86,11.87
"2014/01/14",12,12.04,11.94,11.961
"2014/01/15",12.04,12.24,12.03,12.2
"2014/01/16",12.021,12.07,11.99,12.04
"2014/01/17",12.11,12.131,12.051,12.061
"2014/01/21",11.95,12.03,11.86,11.99
"2014/01/22",12.08,12.101,11.99,12.04
"2014/01/23",11.86,11.881,11.721,11.83
"2014/01/24",11.7,11.74,11.521,11.54
"2014/01/27",11.921,11.971,11.78,11.91
"2014/01/28",11.931,12.07,11.921,12.021
"2014/01/29",11.9,12.011,11.87,11.95
"2014/01/30",12.341,12.58,12.23,12.551
"2014/01/31",12.261,12.431,12.181,12.29
"2014/02/03",12.301,12.33,11.971,11.99
"2014/02/04",12.15,12.2,12.04,12.181
"2014/02/05",12.11,12.19,12.021,12.131
"2014/02/06",12.37,12.5,12.351,12.421
"2014/02/07",12.351,12.431,12.271,12.41
"2014/02/10",12.44,12.48,12.351,12.461
"2014/02/11",12.57,12.7,12.57,12.671
"2014/02/12",12.5,12.58,12.471,12.54
"2014/02/13",12.48,12.631,12.461,12.58
"2014/02/14",12.61,12.681,12.561,12.681
"2014/02/18",12.561,12.69,12.54,12.631
"2014/02/19",12.591,12.681,12.54,12.561
"2014/02/20",12.49,12.62,12.431,12.591
"2014/02/21",12.631,12.74,12.62,12.631
"2014/02/24",12.74,12.79,12.681,12.69
"2014/02/25",12.73,12.86,12.671,12.711
"2014/02/26",12.921,12.94,12.811,12.851
"2014/02/27",12.801,12.82,12.73,12.801
"2014/02/28",12.921,13,12.811,12.91
"2014/03/03",12.671,12.711,12.521,12.54
"2014/03/04",12.641,12.771,12.631,12.711
"2014/03/05",12.95,13.08,12.931,13
"2014/03/06",13.08,13.101,13.03,13.051
"2014/03/07",13.021,13.051,12.91,13.011
"2014/03/10",12.94,12.99,12.891,12.971
"2014/03/11",13,13.051,12.87,12.87
"2014/03/12",12.75,12.881,12.69,12.881
"2014/03/13",12.971,13.03,12.65,12.69
"2014/03/14",12.58,12.721,12.561,12.69
"2014/03/17",12.82,12.9,12.801,12.82
"2014/03/18",12.99,13.08,12.98,13.03
"2014/03/19",12.98,13,12.79,12.87
"2014/03/20",12.83,13.07,12.82,12.87
"2014/03/21",13.091,13.221,13,13.061
"2014/03/24",12.98,13.011,12.86,12.971
"2014/03/25",13.011,13.181,12.961,13.16
"2014/03/26",13.15,13.221,13.011,13.04
"2014/03/27",13.07,13.19,13.051,13.141
"2014/03/28",13.19,13.211,13.03,13.091
"2014/03/31",13.23,13.37,13.211,13.33
"2014/04/01",13.4,13.57,13.381,13.561
"2014/04/02",13.351,13.511,13.33,13.49
"2014/04/03",13.44,13.48,13.261,13.28
"2014/04/04",13.351,13.36,13.141,13.19
"2014/04/07",13.07,13.15,13.011,13.051
"2014/04/08",13.25,13.33,13.211,13.32
"2014/04/09",13.49,13.61,13.461,13.591
"2014/04/10",13.431,13.471,13.211,13.211
"2014/04/11",13.181,13.311,13.101,13.131
"2014/04/14",12.601,12.841,12.601,12.73
"2014/04/15",12.721,12.79,12.561,12.69
"2014/04/16",12.811,12.881,12.78,12.86
"2014/04/17",12.851,12.961,12.83,12.91
"2014/04/21",12.94,12.961,12.82,12.91
"2014/04/22",13.16,13.171,12.961,13
"2014/04/23",12.2,12.341,12.181,12.28
"2014/04/24",12.271,12.32,12.2,12.261
"2014/04/25",12.221,12.24,11.98,12.04
"2014/04/28",12.101,12.11,11.83,11.881
"2014/04/29",12.03,12.08,11.98,12.051
"2014/04/30",12.021,12.04,11.94,11.98
"2014/05/01",12.051,12.24,12,12.061
"2014/05/02",11.95,12.061,11.94,12.021
