date,open,high,low,close
"2013/01/02",35.17,35.841,35.131,35.82
"2013/01/03",35.861,35.92,35.521,35.57
"2013/01/04",35.67,36.021,35.51,35.98
"2013/01/07",35.75,35.951,35.48,35.8
"2013/01/08",35.681,35.771,35.51,35.681
"2013/01/09",35.82,36.05,35.67,36.021
"2013/01/10",36.111,36.541,35.841,36.541
"2013/01/11",36.631,37.361,36.561,37
"2013/01/14",36.881,37.291,36.78,37.19
"2013/01/15",36.881,36.91,36.181,36.76
"2013/01/16",36.631,37.03,36.541,37
"2013/01/17",37.091,37.25,36.951,37.05
"2013/01/18",37.181,37.241,36.82,37.061
"2013/01/22",37,37.771,36.94,37.681
"2013/01/23",37.78,37.931,37.541,37.71
"2013/01/24",37.721,37.82,37.19,37.23
"2013/01/25",37.28,37.39,37.091,37.201
"2013/01/28",37.19,37.311,36.771,36.841
"2013/01/29",36.8,36.96,36.471,36.901
"2013/01/30",36.901,37.221,36.791,37.17
"2013/01/31",37.221,37.35,36.791,37.111
"2013/02/01",37.311,37.75,37.271,37.66
"2013/02/04",37.42,37.66,36.94,36.96
"2013/02/05",37.181,37.491,37.091,37.28
"2013/02/06",37.16,37.51,36.971,37.401
"2013/02/07",37.311,37.401,36.96,37.081
"2013/02/08",37.21,37.62,37.151,37.62
"2013/02/11",37.53,37.721,37.341,37.561
"2013/02/12",36.041,37.1,35.21,36.5
"2013/02/13",36.631,37.491,36.6,37.201
"2013/02/14",37.061,37.07,36.561,36.98
"2013/02/15",36.901,36.94,36.401,36.491
"2013/02/19",36.5,36.991,36.361,36.991
"2013/02/20",36.971,37.491,36.92,37.26
"2013/02/21",37.131,37.241,36.311,36.55
"2013/02/22",36.561,37.021,36.01,37
"2013/02/25",37.07,37.35,36.721,36.721
"2013/02/26",36.831,37.151,36.591,37.041
"2013/02/27",37.1,37.87,36.991,37.701
"2013/02/28",37.701,37.861,37.46,37.651
"2013/03/01",37.46,37.73,36.87,37.66
"2013/03/04",37.55,37.771,37.341,37.771
"2013/03/05",37.89,38.28,37.82,38.28
"2013/03/06",38.39,38.44,38.14,38.41
"2013/03/07",37.5,37.931,37.05,37.53
"2013/03/08",37.721,38.16,37.521,37.91
"2013/03/11",37.91,38.471,37.69,38.451
"2013/03/12",38.291,38.64,38.14,38.48
"2013/03/13",38.35,38.581,38.16,38.51
"2013/03/14",38.57,38.67,38.431,38.57
"2013/03/15",38.491,38.841,38.14,38.3
"2013/03/18",37.94,38.26,37.611,37.701
"2013/03/19",37.85,38.1,37.611,38
"2013/03/20",38.311,38.51,38.1,38.44
"2013/03/21",38.17,38.521,38.17,38.431
"2013/03/22",38.5,38.631,38.201,38.57
"2013/03/25",38.75,39.14,38.381,38.491
"2013/03/26",38.66,39.03,38.581,39.021
"2013/03/27",38.701,39.16,38.701,39.021
"2013/03/28",39.091,39.66,38.971,39.62
"2013/04/01",39.71,39.881,39.491,39.701
"2013/04/02",39.76,39.991,39.701,39.98
"2013/04/03",40.05,40.291,39.69,39.901
"2013/04/04",39.89,40,39.581,39.73
"2013/04/05",39.341,39.431,38.85,39.05
"2013/04/08",38.991,39.16,38.881,39.16
"2013/04/09",39.271,39.271,38.91,39.091
"2013/04/10",39.25,40.05,39.151,40.041
"2013/04/11",40.12,41.021,39.94,41
"2013/04/12",40.44,40.771,40.26,40.75
"2013/04/15",40.581,40.591,40.111,40.12
"2013/04/16",40.35,40.69,39.96,40.651
"2013/04/17",40.431,40.431,39.67,40.111
"2013/04/18",40.16,40.28,39.71,40.25
"2013/04/19",40.48,40.94,40.271,40.811
"2013/04/22",40.861,41.061,40.32,40.6
"2013/04/23",40.78,41.07,40.55,40.96
"2013/04/24",41,41.14,40.78,40.931
"2013/04/25",41.081,41.25,40.96,41.061
"2013/04/26",40.991,41.061,40.721,40.791
"2013/04/29",40.841,40.89,40.471,40.67
"2013/04/30",42,42.3,40.561,42.05
"2013/05/01",41.931,42.44,41.841,42.1
"2013/05/02",42.091,42.451,42.07,42.331
"2013/05/03",42.5,42.951,42.431,42.721
"2013/05/06",42.811,42.811,42.42,42.541
"2013/05/07",42.55,42.721,42.331,42.631
"2013/05/08",42.631,43.69,42.521,43.57
"2013/05/09",43.431,44,43.37,43.791
"2013/05/10",43.811,44,43.591,43.791
"2013/05/13",43.651,43.791,43.57,43.721
"2013/05/14",43.741,44.021,43.651,43.971
"2013/05/15",43.91,44.361,43.901,44.32
"2013/05/16",44.3,44.771,44.291,44.51
"2013/05/17",44.541,45.111,44.51,45.081
"2013/05/20",45.05,45.3,44.92,45.26
"2013/05/21",45.291,45.82,45.201,45.291
"2013/05/22",45.341,45.75,44.98,45.181
"2013/05/23",44.91,45.361,44.85,45.241
"2013/05/24",44.991,45.25,44.561,45.16
"2013/05/28",45.451,45.951,45.37,45.8
"2013/05/29",45.46,45.53,44.94,45.07
"2013/05/30",45.131,45.87,45.091,45.78
"2013/05/31",45.581,45.67,44.881,44.901
"2013/06/03",44.89,45.23,44.41,44.91
"2013/06/04",44.901,44.98,44,44.32
"2013/06/05",44.23,44.451,43.341,43.37
"2013/06/06",43.311,44.14,43.03,44.131
"2013/06/07",44.361,44.71,44.241,44.53
"2013/06/10",44.581,44.771,44.331,44.71
"2013/06/11",44.26,44.951,44.07,44.581
"2013/06/12",44.57,44.66,43.811,43.85
"2013/06/13",43.85,44.771,43.6,44.71
"2013/06/14",44.291,44.471,43.46,43.64
"2013/06/17",43.98,44.471,43.69,44.021
"2013/06/18",44.111,44.331,43.951,44.331
"2013/06/19",44.381,44.521,43.76,43.771
"2013/06/20",43.431,43.66,42.55,42.62
"2013/06/21",42.87,42.901,42.16,42.64
"2013/06/24",42.37,42.87,42.091,42.53
"2013/06/25",42.91,43.07,42.431,43.01
