date,open,high,low,close
"2008/01/02",13.79,14.2,13.783,13.815
"2008/01/03",13.846,13.926,13.688,13.726
"2008/01/04",13.708,13.796,13.338,13.355
"2008/01/07",13.473,13.473,13.153,13.36
"2008/01/08",13.188,13.658,13.188,13.205
"2008/01/09",13.216,13.443,13.216,13.396
"2008/01/10",13.278,13.551,13.213,13.421
"2008/01/11",13.468,13.485,12.933,13.008
"2008/01/14",13.173,13.248,12.705,12.766
"2008/01/15",12.676,12.75,12.511,12.511
"2008/01/16",12.506,12.78,12.488,12.538
"2008/01/17",12.588,12.615,12.341,12.375
"2008/01/18",12.45,12.558,12.143,12.348
"2008/01/22",11.878,12.268,11.75,12.028
"2008/01/23",11.703,12.203,11.688,12.176
"2008/01/24",12.056,12.413,12.008,12.328
"2008/01/25",12.476,12.476,12.023,12.058
"2008/01/28",12.086,12.468,12.046,12.45
"2008/01/29",12.458,12.516,12.338,12.485
"2008/01/30",12.41,12.663,12.398,12.436
"2008/01/31",12.298,12.918,12.298,12.843
"2008/02/01",12.918,13.075,12.796,13.023
"2008/02/04",13.056,13.056,12.836,12.91
"2008/02/05",12.603,12.721,12.5,12.525
"2008/02/06",12.588,12.698,12.373,12.398
"2008/02/07",12.216,12.818,12.181,12.806
"2008/02/08",12.75,12.886,12.506,12.7
"2008/02/11",12.708,12.838,12.578,12.815
"2008/02/12",12.915,13.115,12.811,12.875
"2008/02/13",12.99,13.141,12.973,13.063
"2008/02/14",13.061,13.125,12.768,12.83
"2008/02/15",12.773,12.976,12.678,12.948
"2008/02/19",13.148,13.168,12.671,12.673
"2008/02/20",12.633,12.971,12.62,12.958
"2008/02/21",12.756,12.998,12.718,12.758
"2008/02/22",12.853,13.006,12.771,12.988
"2008/02/25",13.011,13.29,12.963,13.271
"2008/02/26",13.258,13.563,13.168,13.485
"2008/02/27",13.418,13.676,13.4,13.553
"2008/02/28",13.41,13.445,13.153,13.218
"2008/02/29",13.043,13.168,12.9,13.155
"2008/03/03",13.138,13.19,13.008,13.113
"2008/03/04",13.061,13.351,13.006,13.315
"2008/03/05",13.318,13.5,13.108,13.263
"2008/03/06",13.211,13.211,12.738,12.745
"2008/03/07",12.488,12.773,12.458,12.493
"2008/03/10",12.468,12.5,12.348,12.351
"2008/03/11",12.485,12.73,12.368,12.73
"2008/03/12",12.636,12.808,12.353,12.383
"2008/03/13",12.243,12.355,12.043,12.186
"2008/03/14",12.235,12.308,11.928,12.046
"2008/03/17",11.936,12.08,11.718,11.87
"2008/03/18",11.973,12.063,11.66,11.823
"2008/03/19",11.931,12.253,11.908,12.021
"2008/03/20",12.093,12.226,12,12.176
"2008/03/24",12.23,12.516,12.148,12.328
"2008/03/25",12.348,12.471,12.258,12.391
"2008/03/26",12.351,12.436,12.113,12.233
"2008/03/27",12.123,12.23,12.03,12.043
"2008/03/28",12.195,12.195,11.926,11.94
"2008/03/31",12.073,12.091,11.915,12.023
"2008/04/01",12.233,12.721,12.228,12.718
"2008/04/02",12.683,12.886,12.563,12.828
"2008/04/03",12.793,12.888,12.655,12.818
"2008/04/04",12.87,12.966,12.695,12.883
"2008/04/07",12.78,12.868,12.728,12.745
"2008/04/08",12.623,12.798,12.535,12.613
"2008/04/09",12.603,12.733,12.49,12.565
"2008/04/10",12.623,12.79,12.543,12.653
"2008/04/11",12.575,12.598,12.263,12.28
"2008/04/14",12.256,12.381,12.195,12.203
"2008/04/15",12.25,12.298,12.118,12.268
"2008/04/16",12.5,12.881,12.5,12.75
"2008/04/17",12.785,12.833,12.535,12.723
"2008/04/18",13,13.573,12.873,13.525
"2008/04/21",13.438,13.546,13.218,13.336
"2008/04/22",13.211,13.213,12.843,12.86
"2008/04/23",12.985,13.193,12.881,13.176
"2008/04/24",13.028,13.373,12.983,13.245
"2008/04/25",13.2,13.205,12.518,12.7
"2008/04/28",12.75,12.825,12.671,12.69
"2008/04/29",12.62,12.873,12.62,12.841
"2008/04/30",12.808,12.905,12.53,12.638
"2008/05/01",12.638,13.096,12.298,13.08
"2008/05/02",13.4,13.593,13.228,13.358
"2008/05/05",13.378,13.48,13.133,13.188
"2008/05/06",13.118,13.421,13.061,13.355
"2008/05/07",13.353,13.353,12.803,12.958
"2008/05/08",13.056,13.056,12.778,12.886
"2008/05/09",12.773,12.923,12.65,12.788
"2008/05/12",12.836,13.035,12.668,13.013
"2008/05/13",13.035,13.253,12.926,13.223
"2008/05/14",12.938,13.223,12.86,12.903
"2008/05/15",12.855,13.148,12.775,13.105
"2008/05/16",13.253,13.261,13.023,13.143
"2008/05/19",13.138,13.273,13.013,13.123
"2008/05/20",13.096,13.273,12.891,12.973
"2008/05/21",13.016,13.146,12.686,12.748
"2008/05/22",12.628,12.883,12.628,12.705
"2008/05/23",12.636,12.636,12.498,12.586
"2008/05/27",12.568,12.801,12.528,12.73
"2008/05/28",12.726,12.853,12.641,12.75
"2008/05/29",12.775,13.115,12.688,12.918
"2008/05/30",12.9,13.131,12.801,13.091
"2008/06/02",13.115,13.118,12.7,12.78
"2008/06/03",12.873,12.963,12.65,12.733
"2008/06/04",12.655,13.065,12.608,12.963
"2008/06/05",12.948,13.176,12.843,13.158
"2008/06/06",13.051,13.051,12.488,12.5
"2008/06/09",12.641,12.663,12.221,12.341
