date,open,high,low,close
"2013/01/02",54.561,55.32,54.1,55.181
"2013/01/03",55.05,55.17,54.561,54.89
"2013/01/04",55.021,55.32,54.811,55
"2013/01/07",55.01,55.82,54.611,55.811
"2013/01/08",55.611,56.041,55.57,55.741
"2013/01/09",55.701,56.16,55.42,55.98
"2013/01/10",56.201,56.76,55.96,56.71
"2013/01/11",55.701,57.03,55.581,56.57
"2013/01/14",56.901,56.931,56.151,56.931
"2013/01/15",56.89,57.331,56.51,57.201
"2013/01/16",57.271,57.28,56.631,57.17
"2013/01/17",57.471,58.78,57.46,58.19
"2013/01/18",58,59.12,58,59.081
"2013/01/22",59.291,59.291,58.431,58.73
"2013/01/23",58.591,58.701,57.94,58.021
"2013/01/24",58.201,59.431,58.201,59.361
"2013/01/25",59.55,60.26,59.35,60.26
"2013/01/28",60.44,60.6,58.94,59.341
"2013/01/29",59.151,59.521,58.901,59.081
"2013/01/30",59.341,59.82,58.791,59.51
"2013/01/31",59.87,60,59.271,59.841
"2013/02/01",60.23,60.401,59.94,60.03
"2013/02/04",60,60.221,59.631,59.78
"2013/02/05",60.12,60.771,59.791,59.89
"2013/02/06",59.861,60.401,59.721,59.901
"2013/02/07",59.98,60.241,59.341,59.55
"2013/02/08",64.07,68.231,64.07,66.011
"2013/02/11",66.401,66.7,64.35,66.151
"2013/02/12",66.161,66.57,65.731,66.03
"2013/02/13",66.03,66.46,65.88,66.041
"2013/02/14",65.931,66.59,65.82,66.53
"2013/02/15",66.77,68.541,66.6,68.471
"2013/02/19",68.551,69.56,68.09,69.551
"2013/02/20",69.661,70.75,68.471,68.651
"2013/02/21",68.231,68.25,66.691,67.7
"2013/02/22",68.13,68.541,67.511,67.971
"2013/02/25",68.151,68.651,67.231,67.28
"2013/02/26",67.45,67.931,67.041,67.45
"2013/02/27",67.75,68.32,67.17,68.231
"2013/02/28",68.371,70.681,68.301,69.81
"2013/03/01",69.57,70.581,69.13,70.34
"2013/03/04",70.411,72.09,70.28,71.181
"2013/03/05",71.621,72.191,71.25,72.07
"2013/03/06",72.261,72.901,71.49,72.25
"2013/03/07",70.5,70.84,69.871,69.88
"2013/03/08",70.371,71.09,69.35,70.52
"2013/03/11",70.59,70.6,70,70.411
"2013/03/12",70.35,70.581,70.06,70.401
"2013/03/13",70.57,70.681,70.27,70.5
"2013/03/14",70.541,70.75,70.32,70.56
"2013/03/15",70.441,70.57,69.331,69.52
"2013/03/18",69.06,69.901,67.331,69.46
"2013/03/19",69.441,69.901,68.7,68.831
"2013/03/20",69.121,70.34,69.03,69.74
"2013/03/21",69.6,72.5,69.46,72.38
"2013/03/22",72.551,76,72.191,75.82
"2013/03/25",76.011,76.88,74.57,75.46
"2013/03/26",76.13,77.46,75.75,76.691
"2013/03/27",76.5,76.5,75.371,76.051
"2013/03/28",76.111,76.731,75.411,76.67
"2013/04/01",76.731,77.911,76.541,77.24
"2013/04/02",77.52,78.13,77.051,77.831
"2013/04/03",78,78.371,75.92,77.27
"2013/04/04",77.481,77.721,75.95,77.261
"2013/04/05",76,76.07,74.051,75.25
"2013/04/08",75.301,76.57,75.301,76.441
"2013/04/09",76.721,77.52,76.301,77.081
"2013/04/10",77.21,78.871,77.111,78.361
"2013/04/11",78.731,78.731,77.411,77.57
"2013/04/12",77.401,77.84,76.59,77.03
"2013/04/15",76.661,76.661,73.081,73.81
"2013/04/16",74.25,75.401,73.941,75.051
"2013/04/17",74.681,74.89,73.21,74.1
"2013/04/18",74.301,74.301,72.14,72.42
"2013/04/19",72.56,73.59,70.09,73.441
"2013/04/22",73.77,75.49,73.161,75.301
"2013/04/23",75.74,77.34,75.581,77.221
"2013/04/24",77.2,77.6,75.85,75.931
"2013/04/25",76.261,76.411,74.941,74.99
"2013/04/26",75.041,75.901,74.551,75.481
"2013/04/29",75.901,76.081,74.85,75.441
"2013/04/30",75.081,77.14,75.011,76.901
"2013/05/01",76.581,77,74.67,74.901
"2013/05/02",75.231,77.25,74.71,77.2
"2013/05/03",85.181,85.56,78.88,80.34
"2013/05/06",81.1,82,80.681,81.971
"2013/05/07",82.39,82.5,81.6,82.17
"2013/05/08",81.34,82.911,81.07,82.84
"2013/05/09",82.99,83.051,81.361,81.581
"2013/05/10",81.63,81.901,80.371,81.25
"2013/05/13",80.78,82.471,80.511,82.35
"2013/05/14",82.24,84.541,82.24,84.21
"2013/05/15",82.411,82.75,81.5,81.901
"2013/05/16",81.191,81.5,80.09,81.221
"2013/05/17",81.38,82.75,81.32,82.051
"2013/05/20",82.261,83.67,82.261,83.431
"2013/05/21",83.5,84.31,82.6,84.011
"2013/05/22",83.95,84.441,81.401,81.84
"2013/05/23",80.32,82.971,80.1,82.06
"2013/05/24",81.651,82.95,81.121,82.541
"2013/05/28",83.871,85.31,83.64,84.35
"2013/05/29",84.35,87.45,84.051,85.911
"2013/05/30",86.25,88.831,86.25,87.39
"2013/05/31",87.331,88.801,86.151,87.081
"2013/06/03",87.1,87.21,83.661,86.14
"2013/06/04",86.151,86.96,84.78,85.331
"2013/06/05",85.221,85.82,83.651,84.13
"2013/06/06",83.59,85.49,82.691,85.42
"2013/06/07",86.53,87.2,85.53,87.111
"2013/06/10",87.49,88.5,87.231,88.1
"2013/06/11",86.791,88.221,86.111,87.581
"2013/06/12",88,88.081,86.45,87.541
"2013/06/13",87.221,88.181,86.411,87.791
"2013/06/14",87.95,88.46,86.731,87.651
"2013/06/17",89.1,89.75,87.75,88.07
"2013/06/18",88.371,89.74,88.261,89.121
"2013/06/19",89.181,89.53,87.84,88.151
"2013/06/20",87.301,87.481,83.5,83.941
"2013/06/21",83.941,84.541,80.28,83.801
"2013/06/24",82.95,83.24,80.431,82.38
"2013/06/25",83.041,84.06,82.32,83.401
"2013/06/26",84.34,85.52,84.17,84.911
"2013/06/27",85.651,85.691,82.09,83.17
"2013/06/28",82.88,83.181,81.181,81.301
"2013/07/01",81.551,83.691,81.1,82.88
"2013/07/02",82.901,83.6,82.02,82.411
"2013/07/03",82,83.32,81.75,83.24
"2013/07/05",83.901,84.42,82.14,84.34
"2013/07/08",84.901,85.31,83.581,84.261
"2013/07/09",84.5,85.85,83.45,85.801
"2013/07/10",85.901,86,84.681,85.67
"2013/07/11",86.67,87.07,85.38,86.651
"2013/07/12",86.2,87.411,85.82,85.971
"2013/07/15",86.27,86.53,85.03,86.13
"2013/07/16",85.95,86.191,84.59,84.941
"2013/07/17",85,85.801,84.56,85.57
"2013/07/18",85.831,87.301,85.831,87
"2013/07/19",86.77,87.07,86.191,86.871
"2013/07/22",87.151,88.081,86.81,87.611
"2013/07/23",87.761,88.011,86.791,87.081
"2013/07/24",87.45,87.96,87.081,87.74
"2013/07/25",87.34,88.64,87.221,87.611
"2013/07/26",87.81,90.92,87.59,90.46
"2013/07/29",90.431,90.431,88.581,89.121
"2013/07/30",89.42,90.041,88.71,89.57
"2013/07/31",89.59,91.621,89.59,89.77
"2013/08/01",90.32,92.941,90.32,91.85
"2013/08/02",95.95,100.871,94.21,98.441
"2013/08/05",100.301,100.301,97.99,98.78
"2013/08/06",98.541,99.27,97.02,98.191
"2013/08/07",98.051,98.5,97,97.941
"2013/08/08",98.541,99.5,97.77,98.901
"2013/08/09",98.261,99.06,97.32,98.67
"2013/08/12",98.67,98.67,97.151,97.25
"2013/08/13",97.651,97.651,96.041,97.45
"2013/08/14",97.831,100.301,96.75,99.431
"2013/08/15",98.161,99.151,96.161,97.52
"2013/08/16",97,99.59,96.121,97.67
"2013/08/19",97.721,99.64,97.32,97.511
"2013/08/20",98,98.401,97.2,97.801
"2013/08/21",97.861,98.181,96.401,96.96
"2013/08/22",97.42,104.801,96.971,103.121
"2013/08/23",104.041,104.35,101.59,102.82
"2013/08/26",102.901,108.38,102.901,104.7
"2013/08/27",104,104,101.71,103.17
"2013/08/28",103.041,103.871,101.731,103.09
"2013/08/29",103.081,105.221,103.02,104.481
"2013/08/30",105.121,106.181,102.13,103.111
"2013/09/03",104.331,106.13,104.331,105.801
"2013/09/04",105.901,106.901,103.77,103.99
"2013/09/05",104.221,105.21,103.431,104.011
"2013/09/06",104.42,104.541,100.88,103.331
"2013/09/09",103.78,104.1,102.84,103.21
"2013/09/10",104.471,106.261,104.151,106.09
"2013/09/11",106.301,110.42,106.301,107.411
"2013/09/12",107.5,108.611,106.731,107.24
"2013/09/13",107.32,107.721,106.03,107.231
"2013/09/16",108.82,109.81,107.541,108.471
"2013/09/17",109.081,109.82,107.941,109.57
"2013/09/18",109.57,111.181,108.411,110.981
"2013/09/19",111.5,112.5,110.1,110.731
"2013/09/20",111.07,111.64,109.14,110.681
"2013/09/23",110.92,111.88,108.96,109.871
"2013/09/24",110.09,111.081,108.151,110.42
"2013/09/25",110.301,111.75,108.801,110.931
"2013/09/26",110.871,111.99,109.371,110.1
"2013/09/27",109.801,111.99,109.35,111.17
"2013/09/30",110,111.261,109,110.161
"2013/10/01",110.371,112.13,110.31,111.371
"2013/10/02",110.791,113.681,109.511,113.6
"2013/10/03",113.611,113.611,110.6,111.151
"2013/10/04",111.09,112.25,110.861,112.041
"2013/10/07",111.02,112.151,110.5,111.81
"2013/10/08",111.74,112.25,104.28,104.57
"2013/10/09",103.911,104.7,98.411,103.09
"2013/10/10",104.611,107.95,104.481,107.081
"2013/10/11",107.35,108.24,106.371,106.59
"2013/10/14",105.74,106.45,104.731,106.1
"2013/10/15",105.691,108.39,105.6,106.791
"2013/10/16",107.71,111.331,107.621,110.411
"2013/10/17",110.49,111.401,109.71,111.301
"2013/10/18",111.88,112.611,111.25,112.49
"2013/10/21",113.25,113.621,111.09,112.32
"2013/10/22",113.011,114.161,112,113.361
"2013/10/23",112.511,112.52,109.17,111.09
"2013/10/24",111.06,111.981,109.401,110.411
"2013/10/25",111.431,111.71,109,109.581
"2013/10/28",109.74,109.931,108.13,108.471
"2013/10/29",109.09,111.24,108.981,111.24
"2013/10/30",111.401,113.651,107.161,107.161
"2013/10/31",117,120.511,112,115.35
"2013/11/01",115.081,116.95,113.17,114.161
"2013/11/04",114.5,115.181,113.25,114.401
"2013/11/05",114.02,116.67,113.011,116.27
"2013/11/06",116.53,117.1,113.6,114.71
"2013/11/07",115.02,115.38,110.5,111.181
"2013/11/08",112.081,114.09,111.49,113.6
"2013/11/11",113.74,115.291,113.161,114.861
"2013/11/12",114.38,115.401,114.17,114.82
"2013/11/13",114.121,117.06,113.801,116.99
"2013/11/14",117.181,117.57,116.111,117.49
"2013/11/15",117.13,118.481,116.02,118.2
"2013/11/18",118.551,120.24,117.24,118.03
"2013/11/19",118.191,118.611,115.981,116.081
"2013/11/20",116.181,117.71,116.1,116.981
"2013/11/21",117.74,119.721,117.03,119.361
"2013/11/22",120,122.09,119.74,120.931
"2013/11/25",121.901,122.34,120.1,120.721
"2013/11/26",121.151,121.861,119.441,120.52
"2013/11/27",120.551,121.411,119.74,121.2
"2013/11/29",120.99,122.791,120.56,121.78
"2013/12/02",122.401,123.96,121.5,122.7
"2013/12/03",122.181,123,121.151,122.051
"2013/12/04",121.661,122.75,120.71,121.99
"2013/12/05",121.17,123.32,121.17,122.191
"2013/12/06",119.301,120.21,117.63,118.731
"2013/12/09",119,119.721,117.82,118.31
"2013/12/10",118,119.49,117.06,118.481
"2013/12/11",118.331,118.731,116.471,116.78
"2013/12/12",116.401,117.46,115.621,116.59
"2013/12/13",117.14,118.511,116.511,118.121
"2013/12/16",118.911,120,118.331,118.6
"2013/12/17",118.74,119.24,116.95,118.151
"2013/12/18",118.74,119.42,116.03,119.121
"2013/12/19",118.81,119.261,116.861,117.06
"2013/12/20",117.78,119.02,116.861,117.871
"2013/12/23",118.45,119.06,118.09,118.621
"2013/12/24",118.5,118.99,117.96,118.09
"2013/12/26",118.161,119.2,118.081,118.53
"2013/12/27",118.7,118.88,115.13,115.95
"2013/12/30",115.96,116.31,113.011,114.27
"2013/12/31",114.25,117.261,114.17,117.17
