date,open,high,low,close
"2010/01/04",8.94,9.101,8.815,9
"2010/01/05",9.016,9.301,9,9.195
"2010/01/06",9.44,9.926,9.4,9.705
"2010/01/07",9.766,9.806,9.5,9.726
"2010/01/08",9.775,10.296,9.61,10.056
"2010/01/11",10.125,10.125,9.846,10.025
"2010/01/12",9.945,10.12,9.846,9.896
"2010/01/13",9.881,9.94,9.205,9.721
"2010/01/14",9.73,10.035,9.625,9.95
"2010/01/15",9.98,9.98,9.575,9.815
"2010/01/19",9.825,10.24,9.811,9.9
"2010/01/20",9.86,10,9.44,9.53
"2010/01/21",9.575,9.575,9.125,9.195
"2010/01/22",9.2,9.421,8.915,8.94
"2010/01/25",9.065,9.065,8.851,9.006
"2010/01/26",9,9.351,9,9.155
"2010/01/27",9.195,9.405,8.95,9.325
"2010/01/28",9.5,9.516,8.631,8.9
"2010/01/29",8.94,9.216,8.061,8.615
"2010/02/01",8.646,8.875,8.5,8.726
"2010/02/02",8.75,8.865,8.506,8.565
"2010/02/03",8.575,8.61,8.176,8.221
"2010/02/04",8.19,8.275,7.761,7.85
"2010/02/05",7.85,7.946,7.591,7.845
"2010/02/08",7.875,8.04,7.68,7.95
"2010/02/09",8.36,8.57,8.136,8.296
"2010/02/10",8.275,8.5,8.186,8.431
"2010/02/11",8.431,8.436,8.15,8.336
"2010/02/12",8.226,8.485,8.211,8.261
"2010/02/16",8.33,8.391,8.19,8.256
"2010/02/17",8.275,8.461,8.235,8.461
"2010/02/18",8.476,8.681,8.431,8.665
"2010/02/19",8.665,8.74,8.625,8.665
"2010/02/22",8.665,8.681,8.45,8.485
"2010/02/23",8.455,8.5,8.261,8.341
"2010/02/24",8.415,8.535,8.256,8.285
"2010/02/25",8.221,8.421,8.016,8.381
"2010/02/26",8.405,8.65,8.25,8.591
"2010/03/01",8.66,9.061,8.516,8.995
"2010/03/02",9,9.125,8.636,8.73
"2010/03/03",8.75,8.756,8.516,8.546
"2010/03/04",8.596,8.695,8.351,8.436
"2010/03/05",8.511,8.695,8.471,8.525
"2010/03/08",8.551,8.65,8.551,8.62
"2010/03/09",8.565,8.82,8.506,8.506
"2010/03/10",8.535,8.565,8.235,8.33
"2010/03/11",8.296,8.296,8.11,8.186
"2010/03/12",8.25,8.25,8.101,8.171
"2010/03/15",8.181,8.44,8.115,8.165
"2010/03/16",8.165,8.4,8.021,8.24
"2010/03/17",8.275,8.511,8.221,8.471
"2010/03/18",8.5,8.775,8.5,8.591
"2010/03/19",8.551,8.625,8.36,8.551
"2010/03/22",8.485,8.665,8.476,8.565
"2010/03/23",8.551,8.7,8.525,8.671
"2010/03/24",8.65,8.82,8.575,8.605
"2010/03/25",8.641,8.79,8.586,8.601
"2010/03/26",8.605,8.66,8.445,8.525
"2010/03/29",8.521,8.7,8.485,8.7
"2010/03/30",8.686,8.851,8.636,8.83
"2010/03/31",8.815,8.95,8.761,8.79
"2010/04/01",8.875,8.976,8.811,8.846
"2010/04/05",8.896,8.905,8.575,8.655
"2010/04/06",8.58,8.7,8.511,8.605
"2010/04/07",8.625,8.726,8.445,8.66
"2010/04/08",8.646,8.686,8.375,8.506
"2010/04/09",8.506,8.586,8.16,8.431
"2010/04/12",8.405,8.551,8.351,8.511
"2010/04/13",8.466,8.535,8.19,8.221
"2010/04/14",8.32,8.601,8.096,8.525
"2010/04/15",8.506,8.535,8.2,8.23
"2010/04/16",8.24,8.245,7.941,8.101
"2010/04/19",8.091,8.271,8.091,8.125
"2010/04/20",8.141,8.341,8.091,8.33
"2010/04/21",8.341,8.426,8.176,8.211
"2010/04/22",8.105,8.301,8.051,8.181
"2010/04/23",8.195,8.301,7.93,8.29
"2010/04/26",8.301,8.336,8.096,8.131
"2010/04/27",8.11,8.33,8.021,8.216
"2010/04/28",8.325,8.436,8.11,8.41
"2010/04/29",8.671,9,8.471,8.9
"2010/04/30",8.955,9.605,8.771,8.891
"2010/05/03",8.905,9.346,8.881,9.315
"2010/05/04",9.23,9.57,8.75,8.955
"2010/05/05",8.926,8.966,8.655,8.815
"2010/05/06",8.73,8.86,7.805,8.596
"2010/05/07",8.565,8.601,8.08,8.23
"2010/05/10",8.681,8.75,8.355,8.45
"2010/05/11",8.311,8.525,8.23,8.375
"2010/05/12",8.44,8.65,8.33,8.586
"2010/05/13",8.516,8.561,8.301,8.375
"2010/05/14",8.256,8.351,8.061,8.07
"2010/05/17",7.6,8.4,7.551,8.375
"2010/05/18",8.32,8.54,8.271,8.285
"2010/05/19",8.23,8.48,8.181,8.266
"2010/05/20",8.176,8.296,8.006,8.11
"2010/05/21",8.035,8.226,8,8.131
"2010/05/24",8.131,8.23,7.995,8.021
"2010/05/25",7.81,7.91,7.745,7.861
"2010/05/26",7.85,8.186,7.85,8.101
"2010/05/27",8.221,8.221,8.011,8.101
"2010/05/28",8.061,8.2,7.986,8.16
"2010/06/01",8.061,8.155,7.85,7.865
"2010/06/02",7.941,8.016,7.865,8
"2010/06/03",7.99,8.056,7.75,7.89
"2010/06/04",7.785,7.91,7.58,7.595
"2010/06/07",7.636,7.66,7.5,7.52
"2010/06/08",7.511,7.606,7.39,7.5
"2010/06/09",7.54,7.825,7.515,7.551
"2010/06/10",7.62,7.805,7.566,7.725
"2010/06/11",7.696,7.986,7.696,7.901
"2010/06/14",7.906,8.176,7.906,8.096
"2010/06/15",8.11,8.216,8.08,8.211
"2010/06/16",8.146,8.221,8.086,8.125
"2010/06/17",8.131,8.341,8.125,8.25
"2010/06/18",8.296,8.575,8.275,8.57
"2010/06/21",8.575,8.591,8.48,8.525
"2010/06/22",8.495,8.636,8.445,8.49
"2010/06/23",8.455,8.565,8.365,8.391
"2010/06/24",8.346,8.575,8.346,8.546
"2010/06/25",8.561,8.87,8.525,8.775
"2010/06/28",8.775,8.801,8.636,8.735
"2010/06/29",8.625,8.625,8.421,8.535
"2010/06/30",8.5,8.681,8.176,8.221
"2010/07/01",8.275,8.275,7.946,8.131
"2010/07/02",8.171,8.336,7.99,8.096
"2010/07/06",8.155,8.461,8.075,8.136
"2010/07/07",8.15,8.365,8.046,8.351
"2010/07/08",8.405,8.506,8.205,8.506
"2010/07/09",8.48,8.575,8.325,8.485
"2010/07/12",8.436,8.495,8.205,8.33
"2010/07/13",8.4,8.556,7.361,8.426
"2010/07/14",8.41,8.495,8.306,8.426
"2010/07/15",8.396,8.445,8.205,8.301
"2010/07/16",8.235,8.285,8.075,8.141
"2010/07/19",8.141,8.211,7.85,8.07
"2010/07/20",7.97,8.165,7.836,8.061
"2010/07/21",8.101,8.245,7.856,8
"2010/07/22",8.12,8.676,8.08,8.66
"2010/07/23",8.601,8.926,8.341,8.905
"2010/07/26",8.905,9.086,8.891,9.04
"2010/07/27",9,9.046,8.905,8.971
"2010/07/28",8.926,8.971,8.801,8.86
"2010/07/29",8.875,8.95,8.716,8.9
"2010/07/30",8.78,9.006,8.78,9.006
"2010/08/02",9.051,9.125,8.905,9.08
"2010/08/03",9.075,9.205,9.065,9.096
"2010/08/04",9.115,9.211,8.976,9.205
"2010/08/05",9.146,9.226,8.966,8.99
"2010/08/06",8.9,9.115,8.806,9.096
"2010/08/09",9.08,9.176,9.021,9.086
"2010/08/10",8.976,9.021,8.766,8.936
"2010/08/11",8.811,8.896,8.561,8.605
"2010/08/12",8.525,8.686,8.431,8.681
"2010/08/13",8.631,8.875,8.421,8.78
"2010/08/16",8.705,8.95,8.641,8.851
"2010/08/17",8.926,9.075,8.7,9.04
"2010/08/18",8.961,9.141,8.91,9.105
"2010/08/19",9.101,9.146,8.7,8.9
"2010/08/20",8.855,9.2,8.766,9.19
"2010/08/23",9.2,9.296,9.03,9.205
"2010/08/24",9.065,9.271,9.03,9.216
"2010/08/25",9.141,9.301,8.99,9.301
"2010/08/26",9.301,9.601,9.25,9.415
"2010/08/27",9.485,10.851,9.461,9.995
"2010/08/30",10,10.24,9.9,10.016
"2010/08/31",10.025,10.211,9.841,10.19
"2010/09/01",10.261,10.511,10.25,10.49
"2010/09/02",10.471,10.966,10.375,10.915
"2010/09/03",11,11.046,10.495,10.586
"2010/09/07",10.591,10.735,10.176,10.235
"2010/09/08",10.221,10.521,10.19,10.44
"2010/09/09",10.535,11.075,10.535,11.006
"2010/09/10",11.056,11.075,10.695,10.756
"2010/09/13",11.131,11.48,10.921,10.95
"2010/09/14",10.865,11.575,10.686,11.461
"2010/09/15",11.461,11.716,11.171,11.2
"2010/09/16",11.186,11.54,11.186,11.4
"2010/09/17",11.525,12.625,11.275,12.5
"2010/09/20",12.5,12.695,12.306,12.556
"2010/09/21",12.5,12.521,12.301,12.336
"2010/09/22",12.341,12.365,11.796,11.91
"2010/09/23",11.75,12.03,11.625,11.836
"2010/09/24",12.03,12.25,11.881,12
"2010/09/27",11.98,12.57,11.851,12.336
"2010/09/28",12.386,12.815,12.11,12.181
"2010/09/29",12.2,12.646,12.15,12.605
"2010/09/30",12.7,12.796,12.436,12.5
"2010/10/01",12.615,12.615,12.226,12.5
"2010/10/04",12.525,12.815,12.415,12.766
"2010/10/05",12.806,12.961,12.61,12.766
"2010/10/06",12.851,12.976,11.9,12.096
"2010/10/07",12.115,12.25,11.78,12.04
"2010/10/08",12,12.25,11.926,12.096
"2010/10/11",12.086,12.641,12.086,12.5
"2010/10/12",12.436,12.561,12.341,12.495
"2010/10/13",12.54,12.676,12.445,12.511
"2010/10/14",12.5,12.676,12.461,12.641
"2010/10/15",12.766,13.306,12.676,13.016
"2010/10/18",13,13.28,12.83,13.061
"2010/10/19",12.915,12.915,12.461,12.591
"2010/10/20",12.625,12.976,12.426,12.58
"2010/10/21",12.686,12.726,12.131,12.351
"2010/10/22",13.5,14.875,13.436,14.815
"2010/10/25",14.82,15.155,14.586,15.125
"2010/10/26",14.985,15.75,14.931,15.686
"2010/10/27",15.646,15.825,15.471,15.671
"2010/10/28",15.285,15.375,14.37,15
"2010/10/29",15.025,15.146,14.801,15
"2010/11/01",18.361,18.386,15.535,15.94
"2010/11/02",16.175,16.365,15.355,15.495
"2010/11/03",15.54,15.811,15.386,15.5
"2010/11/04",15.506,15.601,14.705,15.28
"2010/11/05",15.2,15.775,15.2,15.646
"2010/11/08",15.5,15.65,14.551,15.49
"2010/11/09",15.49,15.881,15.49,15.596
"2010/11/10",15.57,15.7,15.341,15.49
"2010/11/11",15.275,15.535,15,15.216
"2010/11/12",15.096,15.5,15.006,15.16
"2010/11/15",15.301,15.726,15.125,15.5
"2010/11/16",15.461,15.891,14.966,15.69
"2010/11/17",15.591,15.796,15.28,15.641
"2010/11/18",15.78,16.386,15.686,16.281
"2010/11/19",16.3,16.451,15.896,15.971
"2010/11/22",15.855,16.31,15.381,15.83
"2010/11/23",15.69,15.886,15.535,15.721
"2010/11/24",15.86,16,15.7,15.936
"2010/11/26",15.931,16.115,15.806,15.851
"2010/11/29",15.74,15.846,15.48,15.761
"2010/11/30",15.65,16.046,15.57,15.936
"2010/12/01",16.15,16.265,15.855,16.101
"2010/12/02",15.851,16.365,15.546,16.22
"2010/12/03",16.205,16.925,16.011,16.63
"2010/12/06",16.695,16.966,16.38,16.455
"2010/12/07",16.585,16.65,16.306,16.355
"2010/12/08",16.355,16.5,16.05,16.345
"2010/12/09",16.476,17,16.261,16.73
"2010/12/10",16.775,16.955,16.531,16.666
"2010/12/13",16.761,16.935,15.926,15.955
"2010/12/14",15.99,16.115,15.311,15.54
"2010/12/15",15.556,15.775,15.426,15.705
"2010/12/16",15.771,15.966,15.671,15.891
"2010/12/17",15.875,16.07,15.726,16.05
"2010/12/20",16,16.316,15.695,16.011
"2010/12/21",16.05,16.14,15.891,15.99
"2010/12/22",15.905,16.011,15.78,15.841
"2010/12/23",15.851,16.025,15.66,15.676
"2010/12/27",15.665,16.326,15.5,16.255
"2010/12/28",16.265,16.306,15.705,15.825
"2010/12/29",15.896,16.246,15.771,16.091
"2010/12/30",16.06,16.326,16.035,16.091
"2010/12/31",16.125,16.25,15.905,16.175
