date,open,high,low,close
"2018/06/27",1007,1012.5,999.375,1000
"2018/06/28",1000.66,1010.5,995,1010.5
"2018/06/29",1010,1025.59,1010,1025.59
"2018/07/02",1008,1013.62,1008,1013.391
"2018/07/03",1021.92,1021.92,1012,1014
"2018/07/05",1020,1020,1020,1020
"2018/07/06",1020,1023.271,1023.271,1023.271
"2018/07/09",1023,1025,1023,1025
"2018/07/10",1025,1025,1013.93,1013.93
"2018/07/11",1008.55,1015.151,1007.67,1013.071
"2018/07/12",1011.5,1015,1011.5,1011.5
"2018/07/13",1016.651,1016.91,1015.43,1015.531
"2018/07/16",1008.831,1011.48,1008,1009
"2018/07/17",1009.11,1015.5,1009.11,1015.49
"2018/07/18",1020.72,1031,1020,1031
"2018/07/19",1017.5,1017.5,1017.5,1017.5
"2018/07/20",1018.66,1018.66,1018.66,1018.66
"2018/07/23",1018.66,1018.66,1018.66,1018.66
"2018/07/24",1012.12,1012.43,1011.391,1012.43
"2018/07/25",1025,1025,1025,1025
"2018/07/26",1044.921,1044.921,1040.261,1043.5
"2018/07/27",1031.22,1041.551,1020,1041.551
"2018/07/30",1046.1,1046.1,1032.801,1032.801
"2018/07/31",1047.921,1055,1047.921,1053.631
"2018/08/01",1060.171,1062.94,1058.96,1059.32
"2018/08/02",1040.85,1048,1040.85,1048
"2018/08/03",1048,1048,1048,1048
"2018/08/06",1052.35,1052.35,1052.35,1052.35
"2018/08/07",1052.35,1052.35,1052.35,1052.35
"2018/08/08",1045.651,1045.651,1045.651,1045.651
"2018/08/09",1045.651,1045.651,1045.651,1045.651
"2018/08/10",1045.651,1045.651,1045.651,1045.651
"2018/08/13",1032.35,1036.33,1032.35,1036.33
"2018/08/14",1033.48,1040.6,1033.48,1040.6
"2018/08/15",1029.381,1034,1029.381,1034
"2018/08/16",1044.83,1044.97,1044.83,1044.97
"2018/08/17",1040.21,1043,1040.21,1042.5
"2018/08/20",1044.771,1045.74,1044.771,1045.74
"2018/08/21",1045.74,1045.74,1045.74,1045.74
"2018/08/22",1045.74,1045.74,1045.74,1045.74
"2018/08/23",1041.46,1041.46,1040.421,1041.46
"2018/08/24",1041.46,1041.46,1041.46,1041.46
"2018/08/27",1044.771,1057.33,1044.771,1048.97
"2018/08/28",1056.811,1057.48,991.237,1046
"2018/08/29",1054.82,1070.08,1054.82,1070.08
"2018/08/30",1077.34,1079.301,1074.891,1074.891
"2018/08/31",1074.891,1074.891,1074.891,1074.891
"2018/09/04",1073.87,1075.911,1064.901,1064.901
"2018/09/05",1073.891,1073.891,1073.891,1073.891
"2018/09/06",1073.891,1073.891,1073.891,1073.891
"2018/09/07",1079.021,1079.021,1079.021,1079.021
"2018/09/10",1079.021,1079.021,1079.021,1079.021
"2018/09/11",1079.021,1079.021,1079.021,1079.021
"2018/09/12",1112.58,1112.58,1112.58,1112.58
"2018/09/13",1081.801,1087.5,1079.84,1087.5
"2018/09/14",1094.411,1097.561,1094.411,1097.19
"2018/09/17",1095,1095,1095,1095
"2018/09/18",1095,1095,1095,1095
"2018/09/19",1083,1083,1083,1083
"2018/09/20",1084.32,1092.281,1084.32,1084.84
"2018/09/21",1096.6,1096.6,1087.85,1090.631
"2018/09/24",1106,1106,1085,1092.57
"2018/09/25",1092.57,1092.57,1092.57,1092.57
"2018/09/26",1080,1087.62,1080,1083.5
"2018/09/27",1085,1085,1079.98,1079.99
"2018/09/28",1079.99,1079.99,1071.85,1078.811
"2018/10/01",1069.08,1078.99,1061.051,1061.051
"2018/10/02",1070.5,1071.881,1068.791,1071.24
"2018/10/03",1075.641,1076.511,1071.21,1074.49
"2018/10/04",1073.261,1077.98,1073.261,1077.98
"2018/10/05",1071.46,1077.99,1068.12,1077.99
"2018/10/08",1102.061,1120.36,1064.96,1074.22
"2018/10/09",1060.411,1064.291,1059.83,1060
"2018/10/10",1048,1053.021,1043.25,1048.131
"2018/10/11",1037.24,1039.74,1028.261,1028.261
"2018/10/12",1039.031,1039.57,1022.021,1032.07
"2018/10/15",1029.75,1037.32,1023.201,1023.201
"2018/10/16",1034.791,1039.21,1029.411,1035.2
"2018/10/17",1032.411,1043.511,1032.411,1042
"2018/10/18",1038.901,1043.261,1037.07,1037.07
"2018/10/19",1039.07,1043.87,1031.631,1043.87
"2018/10/22",1040.48,1040.48,1022.331,1022.331
"2018/10/23",1007.191,1008.151,1001.61,1008.151
"2018/10/24",1006.651,1006.651,996.566,1006.641
"2018/10/25",1006.641,1006.641,1006.641,1006.641
"2018/10/26",949.831,963.571,949.811,953.62
"2018/10/29",978.711,980.22,963.031,963.031
"2018/10/30",963.521,973.901,962.461,973.901
"2018/10/31",973.841,983.451,973.841,982.31
"2018/11/01",982.31,982.31,982.31,982.31
"2018/11/02",982.31,982.31,982.31,982.31
"2018/11/05",988.36,988.36,988.36,988.36
"2018/11/06",988.36,988.36,988.36,988.36
"2018/11/07",995.31,1016.211,995.31,1016.211
"2018/11/08",1000.651,1007.891,1000.651,1007.891
"2018/11/09",1007.891,1007.891,1007.891,1007.891
"2018/11/12",1007.891,1007.891,1007.891,1007.891
"2018/11/13",991.79,1004.72,991.79,1001.72
"2018/11/14",982.141,991.831,974.66,991.831
"2018/11/15",977.25,995.821,974.011,992.441
"2018/11/16",998.081,998.081,998.081,998.081
"2018/11/19",985.201,985.3,976.531,976.531
"2018/11/20",974.701,974.701,967.292,969.11
"2018/11/21",975.461,979.79,971,971
"2018/11/23",969.933,969.933,969.933,969.933
"2018/11/26",969.05,969.05,969.05,969.05
"2018/11/27",969.04,977.441,969.04,977.441
"2018/11/28",987.66,988.66,987.66,988.66
"2018/11/29",988.66,988.66,988.66,988.66
"2018/11/30",983.803,1002.6,983.803,998.591
"2018/12/03",996.631,998.43,996.631,998.341
"2018/12/04",995.139,996.37,967.37,967.37
"2018/12/06",950.66,961.841,950.66,961.841
"2018/12/07",946.22,946.79,941.031,941.031
"2018/12/10",949.97,958.901,949.97,958.901
"2018/12/11",959,959.461,941.43,941.43
"2018/12/12",954.641,954.641,953.11,953.11
"2018/12/13",937.545,937.545,930.401,932.091
"2018/12/14",920.412,920.8,920.412,920.8
"2018/12/17",913.62,917.5,913.62,917.5
"2018/12/18",908.771,909.216,908.771,908.771
"2018/12/19",919.271,919.271,918.54,918.54
"2018/12/20",886.12,886.12,872.451,872.451
"2018/12/21",884.341,886.201,884.341,886.16
"2018/12/24",869.91,874.6,869.91,874.6
"2018/12/26",877.461,890.524,877.461,890.524
"2018/12/27",888.451,888.451,879.031,885.261
"2018/12/28",894.271,898.821,894.271,898.821
"2018/12/31",905,905,905,905
