date,open,high,low,close
"2006/01/03",8.15,8.41,8.091,8.181
"2006/01/04",8.211,8.211,7.93,8.091
"2006/01/05",8.061,8.061,7.921,8.021
"2006/01/06",8.04,8.311,7.841,8.261
"2006/01/09",8.23,8.5,8.181,8.48
"2006/01/10",8.391,8.53,8.16,8.44
"2006/01/11",8.44,8.53,8.44,8.471
"2006/01/12",8.45,8.45,8.08,8.08
"2006/01/13",8.091,8.211,8.051,8.051
"2006/01/17",8.141,8.141,7.99,8.07
"2006/01/18",7.981,8,7.921,7.95
"2006/01/19",7.961,8.08,7.95,8.07
"2006/01/20",8.101,8.141,8.07,8.141
"2006/01/23",8.141,8.25,7.99,8.131
"2006/01/24",8.131,8.131,7.901,8.051
"2006/01/25",8.011,8.04,7.87,7.93
"2006/01/26",7.91,7.91,7.74,7.75
"2006/01/27",7.68,7.95,7.68,7.901
"2006/01/30",7.91,8.021,7.77,7.97
"2006/01/31",8.07,8.091,7.77,7.77
"2006/02/01",7.801,7.961,7.761,7.91
"2006/02/02",7.85,8.2,7.841,8.11
"2006/02/03",8.11,8.28,8,8.181
"2006/02/06",8.08,8.19,8.03,8.181
"2006/02/07",8.16,8.211,7.95,8.141
"2006/02/08",8.131,8.2,8.091,8.12
"2006/02/09",8.11,8.221,8.08,8.211
"2006/02/10",8.181,8.19,8.04,8.12
"2006/02/13",8.12,8.12,7.93,8.021
"2006/02/14",8.021,8.03,7.901,7.93
"2006/02/15",7.95,7.981,7.801,7.801
"2006/02/16",7.801,7.81,7.6,7.79
"2006/02/17",7.85,7.85,7.691,7.75
"2006/02/21",7.7,7.7,7.481,7.49
"2006/02/22",7.52,7.64,7.511,7.64
"2006/02/23",7.631,7.631,7.54,7.54
"2006/02/24",7.56,7.611,7.49,7.611
"2006/02/27",7.591,7.66,7.511,7.56
"2006/02/28",7.66,7.66,7.29,7.511
"2006/03/01",7.47,7.611,7.47,7.56
"2006/03/02",7.531,7.901,7.531,7.801
"2006/03/03",7.761,7.79,7.6,7.7
"2006/03/06",7.671,7.761,7.651,7.671
"2006/03/07",7.7,7.781,7.6,7.6
"2006/03/08",7.58,7.631,7.39,7.511
"2006/03/09",7.461,7.511,7.231,7.24
"2006/03/10",7.231,7.29,7.02,7.06
"2006/03/13",7.031,7.191,7.031,7.18
"2006/03/14",7.14,7.43,7.12,7.281
"2006/03/15",7.211,7.35,7.191,7.281
"2006/03/16",7.33,7.43,7.33,7.35
"2006/03/17",7.39,7.421,7.281,7.39
"2006/03/20",7.401,7.421,7.321,7.321
"2006/03/21",7.29,7.29,7.171,7.231
"2006/03/22",7.281,7.281,7.1,7.18
"2006/03/23",7.231,7.29,7.16,7.22
"2006/03/24",7.2,7.27,7.18,7.231
"2006/03/27",7.2,7.25,7.14,7.25
"2006/03/28",7.231,7.27,7.191,7.211
"2006/03/29",6.7,6.89,6.401,6.75
"2006/03/30",6.651,6.901,6.651,6.841
"2006/03/31",6.77,6.821,6.6,6.631
"2006/04/03",6.58,6.87,6.58,6.781
"2006/04/04",6.841,7.211,6.841,7.191
"2006/04/05",7.18,7.24,7.12,7.211
"2006/04/06",7.211,7.35,7.2,7.301
"2006/04/07",7.35,7.37,7.211,7.231
"2006/04/10",7.361,7.361,7.2,7.25
"2006/04/11",7.29,7.321,7.2,7.24
"2006/04/12",7.18,7.24,7.111,7.14
"2006/04/13",7.1,7.2,7.08,7.111
"2006/04/17",7.151,7.22,7.111,7.191
"2006/04/18",7.151,7.481,7.151,7.361
"2006/04/19",7.421,7.461,7.25,7.27
"2006/04/20",7.211,7.39,7.211,7.31
"2006/04/21",7.31,7.35,7.2,7.231
"2006/04/24",7.2,7.25,7.14,7.16
"2006/04/25",7.191,7.231,7.111,7.22
"2006/04/26",7,7.071,6.901,7.02
"2006/04/27",7,7.35,7,7.27
"2006/04/28",7.18,7.22,7.131,7.211
"2006/05/01",7.2,7.261,7.131,7.16
"2006/05/02",7.131,7.341,7.131,7.261
"2006/05/03",7.2,7.301,7.2,7.22
"2006/05/04",7.211,7.281,7.211,7.261
"2006/05/05",7.24,7.281,7.131,7.151
"2006/05/08",7.151,7.421,7.151,7.381
"2006/05/09",7.45,7.5,7.281,7.301
"2006/05/10",7.191,7.321,7.111,7.22
"2006/05/11",7.261,7.31,7.2,7.211
"2006/05/12",7.131,7.171,6.941,6.981
"2006/05/15",6.95,7.18,6.95,7.08
"2006/05/16",7.091,7.16,7.02,7.131
"2006/05/17",7.1,7.191,6.89,6.91
"2006/05/18",6.87,6.981,6.691,6.72
"2006/05/19",6.68,6.821,6.5,6.75
"2006/05/22",6.7,6.75,6.461,6.49
"2006/05/23",6.591,6.761,6.591,6.631
"2006/05/24",6.6,6.68,6.571,6.6
"2006/05/25",6.611,6.77,6.611,6.74
"2006/05/26",6.79,6.89,6.72,6.85
"2006/05/30",6.81,7.011,6.74,6.81
"2006/05/31",6.85,6.89,6.56,6.671
"2006/06/01",6.6,6.7,6.571,6.58
"2006/06/02",6.6,6.64,6.43,6.531
"2006/06/05",6.511,6.551,6.39,6.41
"2006/06/06",6.45,6.56,6.281,6.511
"2006/06/07",6.45,6.47,6.39,6.45
"2006/06/08",6.301,6.37,6.031,6.31
"2006/06/09",6.281,6.421,6.281,6.381
"2006/06/12",6.33,6.421,6.33,6.381
"2006/06/13",6.361,6.421,6.25,6.321
"2006/06/14",6.25,6.25,6.131,6.231
"2006/06/15",6.231,6.441,6.231,6.33
"2006/06/16",6.301,6.301,6.18,6.281
"2006/06/19",6.261,6.27,6.071,6.24
"2006/06/20",6.301,6.301,6.131,6.171
"2006/06/21",6.171,6.211,6.06,6.16
"2006/06/22",6.1,6.35,6.091,6.301
"2006/06/23",6.31,6.43,6.261,6.33
"2006/06/26",6.33,6.441,6.33,6.43
"2006/06/27",6.49,6.511,6.111,6.24
"2006/06/28",6.231,6.24,6.131,6.18
"2006/06/29",6.2,6.421,6.18,6.361
"2006/06/30",6.301,6.33,6.18,6.18
"2006/07/03",6.25,6.35,6.151,6.321
