date,open,high,low,close
"2007/01/03",18.941,19.261,18.611,18.851
"2007/01/04",18.681,19.601,18.621,19.541
"2007/01/05",19.31,19.64,18.91,19.041
"2007/01/08",19.05,19.15,18.55,18.64
"2007/01/09",18.931,19.101,18.32,18.46
"2007/01/10",18.5,18.99,18.121,18.96
"2007/01/11",18.32,19.541,18.32,19.421
"2007/01/12",19.48,20.08,19.351,20.031
"2007/01/16",19.96,20.201,19.8,20.05
"2007/01/17",19.91,19.91,19.261,19.451
"2007/01/18",19.3,19.591,19.25,19.351
"2007/01/19",19.291,19.531,19.25,19.33
"2007/01/22",19.421,19.451,18.81,19
"2007/01/23",18.951,19,18.601,18.841
"2007/01/24",20.21,21.091,20.201,20.9
"2007/01/25",21.3,21.73,20.89,21.16
"2007/01/26",21.281,21.3,20.951,21.201
"2007/01/29",21.15,21.281,20.791,20.921
"2007/01/30",20.761,21.011,20.64,20.681
"2007/01/31",20.74,20.97,20.3,20.841
"2007/02/01",21,21.14,20.701,20.861
"2007/02/02",20.861,21.23,20.851,21.091
"2007/02/05",21.191,21.58,21.171,21.361
"2007/02/06",21.5,22.41,21.451,22.371
"2007/02/07",22.521,22.8,22.261,22.39
"2007/02/08",22.281,22.681,22.25,22.49
"2007/02/09",22.15,22.5,21.5,21.591
"2007/02/12",21.611,21.851,21.431,21.601
"2007/02/13",21.81,22,21.72,21.921
"2007/02/14",21.88,22.431,21.761,22.24
"2007/02/15",22.23,22.41,21.96,22.05
"2007/02/16",21.931,22,21.541,21.72
"2007/02/20",21.56,22,21.511,21.73
"2007/02/21",21.671,21.96,21.451,21.9
"2007/02/22",22,22.14,21.74,21.771
"2007/02/23",21.611,21.8,21.55,21.611
"2007/02/26",21.65,21.88,21.421,21.521
"2007/02/27",21,21.111,19.56,20.38
"2007/02/28",20.5,20.88,20.13,20.63
"2007/03/01",20.05,20.97,19.82,20.761
"2007/03/02",20.48,20.73,20.23,20.3
"2007/03/05",20,20.671,19.941,20.14
"2007/03/06",20.681,20.75,20.39,20.63
"2007/03/07",20.56,21.22,20.531,20.99
"2007/03/08",21.361,21.48,21.111,21.23
"2007/03/09",21.58,21.621,21.25,21.371
"2007/03/12",21.371,21.951,21.31,21.771
"2007/03/13",21.521,21.921,21.281,21.32
"2007/03/14",21.281,21.681,21.101,21.601
"2007/03/15",21.55,21.771,21.351,21.74
"2007/03/16",21.75,22.181,21.64,21.771
"2007/03/19",22.101,22.591,22.05,22.451
"2007/03/20",22.4,23,22.351,22.941
"2007/03/21",23,23.21,22.71,23.121
"2007/03/22",23.041,23.15,22.71,22.941
"2007/03/23",23,23.121,22.841,22.99
"2007/03/26",22.851,22.931,22.49,22.9
"2007/03/27",22.781,23.15,22.621,23.08
"2007/03/28",22.96,23.33,22.65,22.921
"2007/03/29",23.05,23.16,22.48,22.83
"2007/03/30",22.75,22.97,22.39,22.74
"2007/04/02",22.521,22.8,22.431,22.72
"2007/04/03",22.82,23.14,22.761,23.041
"2007/04/04",22.97,23.15,22.81,23.121
"2007/04/05",23.111,23.861,23.06,23.591
"2007/04/09",23.761,23.771,23.3,23.521
"2007/04/10",23.521,24.041,23.49,23.771
"2007/04/11",23.931,24.031,23.701,23.71
"2007/04/12",23.591,23.9,23.371,23.83
"2007/04/13",24,24,23.531,23.74
"2007/04/16",23.89,24.05,23.73,24.011
"2007/04/17",24,24.011,23.55,23.691
"2007/04/18",23.4,23.841,23.201,23.63
"2007/04/19",23.75,23.75,23.421,23.56
"2007/04/20",23.851,23.851,22.91,23.48
"2007/04/23",23.541,23.73,23.25,23.32
"2007/04/24",23.4,23.82,22.96,23.73
"2007/04/25",24.96,25.531,24.5,24.98
"2007/04/26",25.261,25.4,24.56,24.91
"2007/04/27",24.611,24.74,24.291,24.4
"2007/04/30",24.291,24.38,23.65,23.72
"2007/05/01",23.49,23.691,23.011,23.56
"2007/05/02",23.57,24.16,23.56,23.82
"2007/05/03",23.83,24.24,23.201,23.97
"2007/05/04",24.361,24.451,23.83,23.96
"2007/05/07",24.011,24.281,23.83,23.861
"2007/05/08",23.791,23.99,23.451,23.73
"2007/05/09",23.65,23.941,23.511,23.691
"2007/05/10",23.56,23.611,23.101,23.291
"2007/05/11",23.451,23.841,23.361,23.73
"2007/05/14",23.73,23.97,23.23,23.341
"2007/05/15",23.5,23.701,23.201,23.33
"2007/05/16",23.761,23.89,23.531,23.83
"2007/05/17",23.82,23.931,23.58,23.691
"2007/05/18",23.74,23.941,23.601,23.921
"2007/05/21",23.8,24.73,23.701,24.521
"2007/05/22",24.55,24.83,24.371,24.611
"2007/05/23",24.671,24.98,24.57,24.601
"2007/05/24",24.421,24.71,23.791,23.98
"2007/05/25",23.951,24.24,23.72,24.16
"2007/05/29",24.21,24.5,24.031,24.201
"2007/05/30",23.99,24.97,23.89,24.871
"2007/05/31",24.851,25.011,24.681,25
"2007/06/01",25.15,25.98,25,25.65
"2007/06/04",25.63,26.24,25.49,25.97
"2007/06/05",25.73,26.101,25.511,25.74
"2007/06/06",25.57,25.72,25.25,25.671
"2007/06/07",25.66,25.82,25.121,25.15
"2007/06/08",25.15,25.601,25,25.591
"2007/06/11",25.65,26.07,25.55,25.941
"2007/06/12",25.89,25.9,25.291,25.3
"2007/06/13",25.46,26.031,25.371,26
"2007/06/14",25.97,26.25,25.951,26.021
"2007/06/15",26.13,26.671,26.101,26.341
"2007/06/18",26.39,26.4,26.111,26.22
"2007/06/19",26,26.031,25.351,25.98
"2007/06/20",26.23,26.38,25.55,25.601
"2007/06/21",25.48,25.97,25.441,25.691
"2007/06/22",25.65,25.74,25.451,25.49
"2007/06/25",25.5,25.951,25.46,25.66
"2007/06/26",25.75,25.9,25.201,25.39
