date,open,high,low,close
"2018/01/02",59.64,59.861,59.19,59.541
"2018/01/03",59.66,60.3,59.561,60.271
"2018/01/04",60.241,60.361,59.791,60.271
"2018/01/05",60.39,60.5,59.62,59.741
"2018/01/08",59.6,60.381,59.17,60.341
"2018/01/09",60.53,60.591,59.741,59.85
"2018/01/10",59.841,60.71,59.67,60.471
"2018/01/11",60.46,61.591,60.42,61.42
"2018/01/12",61.471,61.98,61.37,61.96
"2018/01/16",62.151,62.64,61.361,61.451
"2018/01/17",61.831,63.1,61.8,63.041
"2018/01/18",62.94,63.341,62.87,63.241
"2018/01/19",63.5,63.91,63.05,63.87
"2018/01/22",63.42,64.051,63.14,64.041
"2018/01/23",64.09,64.63,63.85,64.52
"2018/01/24",64.84,64.96,63.771,64.21
"2018/01/25",64.441,64.53,63.53,63.75
"2018/01/26",64.13,64.6,63.98,64.581
"2018/01/29",63.94,64.52,63.51,63.71
"2018/01/30",63.44,63.55,62.82,63.07
"2018/01/31",63.16,63.541,62.5,62.94
"2018/02/01",62.791,63.19,61.98,62.681
"2018/02/02",62.611,63.341,62.291,62.41
"2018/02/05",62.12,62.791,60.78,60.791
"2018/02/06",60,62.55,59.17,62.311
"2018/02/07",63.401,63.85,61.1,63.081
"2018/02/08",63.1,63.381,61.1,61.131
"2018/02/09",61.75,62.151,59.611,61.221
"2018/02/12",61.561,62.401,61.541,61.971
"2018/02/13",62.021,62.581,61.26,62.431
"2018/02/14",62.19,64.2,61.69,64
"2018/02/15",64.411,65.041,63.931,64.871
"2018/02/16",64.791,65.511,64.621,65.21
"2018/02/20",65.2,65.96,64.681,64.861
"2018/02/21",60.861,63.19,60.061,61.87
"2018/02/22",62.221,62.62,59.76,60.39
"2018/02/23",60.25,60.811,59.57,60.35
"2018/02/26",60.51,60.92,60.05,60.651
"2018/02/27",60.48,60.76,60.05,60.221
"2018/02/28",60.44,60.701,59.23,59.241
"2018/03/01",59.151,59.8,58.271,58.861
"2018/03/02",58.66,59.521,57.841,59.42
"2018/03/05",59.01,59.89,58.861,59.6
"2018/03/06",59.631,59.82,59.1,59.811
"2018/03/07",59.37,60.061,59.271,59.991
"2018/03/08",60.5,62.12,59.57,59.89
"2018/03/09",60.041,61.021,59.94,60.991
"2018/03/12",61.061,61.39,60.651,61.01
"2018/03/13",61.5,61.78,60.91,61.151
"2018/03/14",61.041,61.151,59.971,60.26
"2018/03/15",60.44,60.6,59.561,59.681
"2018/03/16",59.721,60.28,59.51,60.111
"2018/03/19",59.78,60,59.361,59.841
"2018/03/20",59.951,60.14,59.701,59.991
"2018/03/21",59.94,60.181,59.48,59.51
"2018/03/22",59.131,59.44,58.331,58.341
"2018/03/23",58.64,58.69,57.66,57.681
"2018/03/26",58.271,58.96,58.061,58.69
"2018/03/27",58.71,59.341,57.811,58.14
"2018/03/28",58.201,58.861,57.841,58.21
"2018/03/29",58.611,59.271,58.201,58.931
"2018/04/02",58.791,58.791,57.291,58.061
"2018/04/03",58.341,58.91,57.831,58.8
"2018/04/04",58.131,59.401,57.87,59.331
"2018/04/05",59.631,59.791,59.201,59.651
"2018/04/06",59.3,59.651,57.881,58.42
"2018/04/09",58.69,59.17,58.381,58.51
"2018/04/10",59.241,59.681,58.91,59.37
"2018/04/11",59.14,59.46,59.021,59.291
"2018/04/12",59.451,59.66,59.241,59.3
"2018/04/13",59.611,59.611,58.811,59.03
"2018/04/16",59.401,59.701,58.931,59.431
"2018/04/17",59.94,60.111,59.651,59.92
"2018/04/18",59.96,60.381,59.78,59.98
"2018/04/19",59.861,59.861,58.771,59.23
