date,open,high,low,close
"2019/01/02",20.031,20.781,20,20.63
"2019/01/03",20.351,20.4,19.701,19.931
"2019/01/04",20.38,20.89,20.271,20.72
"2019/01/07",20.75,21.16,20.74,20.951
"2019/01/08",21.22,21.421,20.841,21.21
"2019/01/09",21.341,21.46,21.011,21.21
"2019/01/10",21.121,21.531,21.06,21.47
"2019/01/11",21.24,21.291,20.8,21.171
"2019/01/14",20.941,21.091,20.681,20.791
"2019/01/15",20.8,21.07,20.65,21.011
"2019/01/16",20.951,21.181,20.71,21.05
"2019/01/17",20.951,21.451,20.921,21.23
"2019/01/18",21.361,21.791,21.291,21.75
"2019/01/22",21.621,21.65,21.181,21.32
"2019/01/23",21.41,21.58,21.191,21.441
"2019/01/24",21.55,21.951,21.511,21.771
"2019/01/25",21.941,22.121,21.841,22.101
"2019/01/28",21.83,22,21.681,21.98
"2019/01/29",22.121,22.23,21.851,21.88
"2019/01/30",22.091,22.24,21.91,22.201
"2019/01/31",22.201,22.261,22.011,22.031
"2019/02/01",22.16,22.291,21.931,22.261
"2019/02/04",22.271,22.601,22.16,22.55
"2019/02/05",22.57,22.82,22.57,22.8
"2019/02/06",22.8,23.091,22.8,23.07
"2019/02/07",22.921,23.021,22.691,22.861
"2019/02/08",22.65,22.931,22.601,22.921
"2019/02/11",23,23.201,22.791,22.861
"2019/02/12",23.011,23.4,23,23.351
"2019/02/13",23.441,23.541,23.22,23.32
"2019/02/14",23.23,23.46,23.191,23.23
"2019/02/15",23.33,23.4,23.14,23.281
"2019/02/19",23.24,23.39,23.181,23.25
"2019/02/20",23.281,23.531,23.25,23.38
"2019/02/21",23.21,23.621,23.21,23.39
"2019/02/22",23.55,23.82,23.521,23.74
"2019/02/25",23.83,24.091,23.81,23.91
"2019/02/26",23.781,23.99,23.761,23.9
"2019/02/27",23.75,23.89,23.611,23.851
"2019/02/28",20.05,20.341,19.341,19.73
"2019/03/01",19.921,19.951,19.49,19.601
"2019/03/04",19.611,19.91,19.351,19.531
"2019/03/05",19.541,19.74,19.351,19.361
"2019/03/06",19.33,19.351,19.06,19.08
"2019/03/07",19,19.021,18.73,18.82
"2019/03/08",18.531,18.75,18.46,18.74
"2019/03/11",18.781,19.21,18.781,19.041
"2019/03/12",18.921,19.111,18.861,19.06
"2019/03/13",19.101,19.63,19.05,19.611
"2019/03/14",19.621,19.71,19.49,19.64
"2019/03/15",19.65,19.97,19.64,19.941
"2019/03/18",19.91,20.07,19.841,19.951
"2019/03/19",20.031,20.281,19.91,20
"2019/03/20",20.011,20.16,19.8,19.99
"2019/03/21",19.951,20.351,19.951,20.22
"2019/03/22",20.111,20.171,19.33,19.341
"2019/03/25",19.281,19.32,18.861,18.97
"2019/03/26",19.101,19.361,19,19.13
"2019/03/27",19.111,19.38,18.861,18.931
"2019/03/28",18.96,19.25,18.91,19
