date,open,high,low,close
"2012/01/03",186.73,188.711,186,186.301
"2012/01/04",185.571,186.331,184.941,185.54
"2012/01/05",184.81,185.03,183.101,184.661
"2012/01/06",184.39,184.48,182.31,182.54
"2012/01/09",182.2,182.271,180.271,181.59
"2012/01/10",183.23,183.721,181.2,181.31
"2012/01/11",180.73,182.81,180.5,182.321
"2012/01/12",181.861,181.911,178.381,180.551
"2012/01/13",179.48,179.611,177.351,179.161
"2012/01/17",180.361,182,179.321,180
"2012/01/18",179.831,181.601,179.5,181.071
"2012/01/19",181.79,182.361,180.351,180.521
"2012/01/20",185.771,188.971,184.75,188.521
"2012/01/23",187.911,190.521,187.67,189.98
"2012/01/24",188.631,192.301,188.521,191.93
"2012/01/25",191.331,192.241,189.611,191.73
"2012/01/26",191.79,192.79,190.471,190.98
"2012/01/27",190.01,191.771,189.81,190.461
"2012/01/30",189.39,192.73,188.221,192.5
"2012/01/31",193.09,193.101,191,192.601
"2012/02/01",193.211,194.81,192.411,192.62
"2012/02/02",192.721,193.331,191.331,191.53
"2012/02/03",192.93,194.131,192.54,193.64
"2012/02/06",192.48,193.76,192,192.821
"2012/02/07",192.45,194.14,191.971,193.351
"2012/02/08",192.78,193.581,191.73,192.95
"2012/02/09",193.03,194.461,192.551,193.131
"2012/02/10",191.76,192.43,191.28,192.42
"2012/02/13",193.31,193.691,191.741,192.62
"2012/02/14",191.76,192.601,190.831,192.221
"2012/02/15",192.31,193.441,191.26,192.25
"2012/02/16",192.611,193.25,192,193.021
"2012/02/17",193.711,193.861,192.301,193.42
"2012/02/21",193.73,194.241,192.461,193.39
"2012/02/22",193.03,194.741,192.75,193.87
"2012/02/23",193.87,199.23,193.28,197.611
"2012/02/24",198.381,198.56,196.611,197.76
"2012/02/27",196.78,198.711,196.101,197.53
"2012/02/28",197.75,198.961,197.43,197.98
"2012/02/29",197.861,199.17,196.45,196.73
"2012/03/01",197.23,198.471,196.93,197.53
"2012/03/02",197.101,198.89,197.06,198.81
"2012/03/05",198.361,201.191,198.301,200.661
"2012/03/06",199.14,199.64,196.81,197.26
"2012/03/07",198.09,198.571,197.31,197.771
"2012/03/08",199.241,199.991,198.65,199.81
"2012/03/09",199.98,201.101,199.721,200.62
"2012/03/12",200.93,201.571,200.23,201
"2012/03/13",201.721,203.9,201.611,203.78
"2012/03/14",203.78,205.15,203.64,204.721
"2012/03/15",204.941,206.18,204.741,206
"2012/03/16",207.03,207.521,206.01,206.01
"2012/03/19",205.711,206.53,204.5,205.721
"2012/03/20",204.741,205,203.7,204.25
"2012/03/21",204.321,205.771,204.301,204.691
"2012/03/22",204,205.991,203.961,205.491
"2012/03/23",205.89,205.961,204.56,205.48
"2012/03/26",206.45,207.92,206.321,207.771
"2012/03/27",208.461,208.661,207,207.18
"2012/03/28",207.441,208.691,206.271,207.29
"2012/03/29",206.09,208.5,206.021,208.271
"2012/03/30",208.741,209.12,208.01,208.65
"2012/04/02",208.961,209.691,208.09,209.471
"2012/04/03",209.31,210.691,208.54,209.5
"2012/04/04",206.221,206.98,205.191,206.051
"2012/04/05",205.15,205.68,204.461,205.471
"2012/04/09",204.4,206.17,203.37,204.941
"2012/04/10",204.941,205.741,202.17,202.331
"2012/04/11",203.991,204.321,202.461,202.581
"2012/04/12",202.801,205.56,202.64,205.321
"2012/04/13",204.321,204.65,202.801,202.801
"2012/04/16",204.741,205.971,202.721,202.721
"2012/04/17",204.571,207.64,204.15,207.45
"2012/04/18",202.43,204.071,200,200.131
"2012/04/19",200.03,201.26,197.521,199.51
"2012/04/20",199.831,200.12,199.09,199.601
"2012/04/23",197.89,199.101,196.79,198.62
"2012/04/24",199.06,202.48,198.87,200
"2012/04/25",202.021,203.691,201.801,203.571
"2012/04/26",203.4,206.211,203.4,205.581
"2012/04/27",206.471,208.17,205.911,206.81
"2012/04/30",206.711,207.961,206.321,207.081
"2012/05/01",207.18,208.93,206.711,208
"2012/05/02",206.971,208.271,206.911,208.06
"2012/05/03",208.271,208.92,206.551,207.241
"2012/05/04",206.471,207.111,204.4,204.991
"2012/05/07",203.961,204.771,202.9,203.75
"2012/05/08",202.441,203.06,199.721,201.48
"2012/05/09",199.991,203,199.06,201.23
"2012/05/10",201,203.25,200.021,200.601
"2012/05/11",199.961,202.12,199.95,201.17
"2012/05/14",199.92,200.711,198.56,199.441
"2012/05/15",199.441,201.471,198.76,199.04
"2012/05/16",199.42,201.351,198.18,199.73
"2012/05/17",199.67,200.79,197.64,197.89
"2012/05/18",198.78,198.78,195.161,195.881
"2012/05/21",195.98,197.93,194.631,197.76
"2012/05/22",198.04,198.26,196.06,196.821
"2012/05/23",195.53,196.491,193.2,196.12
"2012/05/24",195.991,196.28,194,196.09
"2012/05/25",195.111,196,194,194.301
"2012/05/29",195.221,198.081,195.221,196.461
"2012/05/30",194.801,195.471,193.771,194.53
"2012/05/31",194.101,194.93,192,192.9
"2012/06/01",190.12,191.721,188.601,189.081
"2012/06/04",188.34,189.381,187,188.54
"2012/06/05",187.92,189.851,187.56,189.2
"2012/06/06",190.78,194,190.021,193.991
"2012/06/07",195.28,195.831,193.941,194.441
"2012/06/08",193.711,195.14,192.7,195.14
"2012/06/11",196.601,196.7,192.37,192.51
"2012/06/12",192.14,194.67,192.14,194.551
