date,open,high,low,close
"2011/01/03",9.61,9.74,9.602,9.692
"2011/01/04",9.668,9.69,9.516,9.61
"2011/01/05",9.652,9.732,9.537,9.673
"2011/01/06",9.622,9.708,9.605,9.662
"2011/01/07",9.493,9.522,9.378,9.471
"2011/01/10",9.4,9.524,9.362,9.405
"2011/01/11",9.308,9.444,9.283,9.4
"2011/01/12",9.44,9.627,9.337,9.586
"2011/01/13",9,9.103,8.838,8.98
"2011/01/14",8.971,9.011,8.811,8.842
"2011/01/18",9.101,9.15,8.869,8.884
"2011/01/19",8.86,8.95,8.803,8.857
"2011/01/20",8.9,8.984,8.819,8.834
"2011/01/21",8.902,8.994,8.768,8.787
"2011/01/24",8.896,8.944,8.819,8.865
"2011/01/25",8.829,8.859,8.697,8.75
"2011/01/26",8.773,8.824,8.713,8.802
"2011/01/27",8.793,8.802,8.73,8.758
"2011/01/28",8.719,8.742,8.453,8.453
"2011/01/31",8.427,8.504,8.427,8.464
"2011/02/01",8.516,8.618,8.476,8.594
"2011/02/02",8.524,8.594,8.464,8.503
"2011/02/03",8.5,8.575,8.468,8.544
"2011/02/04",8.418,8.482,8.368,8.461
"2011/02/07",8.537,8.642,8.471,8.593
"2011/02/08",8.588,8.638,8.514,8.623
"2011/02/09",8.625,8.625,8.463,8.502
"2011/02/10",8.382,8.473,8.342,8.415
"2011/02/11",8.343,8.391,8.283,8.391
"2011/02/14",8.461,8.57,8.461,8.518
"2011/02/15",8.48,8.577,8.48,8.537
"2011/02/16",8.543,8.648,8.539,8.584
"2011/02/17",8.575,8.703,8.557,8.695
"2011/02/18",8.636,8.7,8.596,8.672
"2011/02/22",8.586,8.623,8.396,8.426
"2011/02/23",8.429,8.448,8.264,8.315
"2011/02/24",8.324,8.348,8.214,8.315
"2011/02/25",8.363,8.462,8.319,8.418
"2011/02/28",8.422,8.422,8.311,8.338
"2011/03/01",8.539,8.553,8.287,8.32
"2011/03/02",8.298,8.442,8.298,8.357
"2011/03/03",8.422,8.57,8.422,8.551
"2011/03/04",8.517,8.535,8.393,8.459
"2011/03/07",8.468,8.495,8.303,8.353
"2011/03/08",8.521,8.672,8.521,8.615
"2011/03/09",8.573,8.624,8.525,8.586
"2011/03/10",8.466,8.484,8.354,8.383
"2011/03/11",8.368,8.513,8.365,8.444
"2011/03/14",8.502,8.592,8.432,8.479
"2011/03/15",8.256,8.341,8.23,8.313
"2011/03/16",8.314,8.346,8.058,8.101
"2011/03/17",8.212,8.217,8.119,8.154
"2011/03/18",8.163,8.184,8.062,8.069
"2011/03/21",8.15,8.187,8.129,8.15
"2011/03/22",8.168,8.184,8.062,8.065
"2011/03/23",8.235,8.303,8.159,8.271
"2011/03/24",8.338,8.561,8.334,8.532
"2011/03/25",8.784,8.853,8.619,8.655
"2011/03/28",8.717,8.753,8.659,8.678
"2011/03/29",8.796,8.869,8.777,8.844
"2011/03/30",8.851,8.87,8.777,8.846
"2011/03/31",9.019,9.153,8.957,8.963
"2011/04/01",8.998,9.155,8.964,9.139
"2011/04/04",9.195,9.218,9.128,9.174
"2011/04/05",9.152,9.211,9.12,9.176
"2011/04/06",9.209,9.282,9.078,9.143
"2011/04/07",9.125,9.203,9.088,9.159
"2011/04/08",9.165,9.178,8.961,9.007
"2011/04/11",9.089,9.147,9.051,9.107
"2011/04/12",9.027,9.057,8.94,8.972
"2011/04/13",9.183,9.239,9.064,9.124
"2011/04/14",9.04,9.169,9.017,9.127
"2011/04/15",8.038,8.063,7.676,7.902
"2011/04/18",7.963,7.994,7.829,7.935
"2011/04/19",8.03,8.047,7.882,7.988
"2011/04/20",8.149,8.173,8.049,8.123
"2011/04/21",8.142,8.192,8.102,8.131
